!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:01:31
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1149000000,-3.2954259,-106.04414
1150000000,-3.3107455,-106.27146
1151000000,-3.3173504,-106.25132
1152000000,-3.2783864,-106.39413
1153000000,-3.2929566,-106.36574
1154000000,-3.3242731,-106.55842
1155000000,-3.288136,-106.89366
1156000000,-3.2859199,-106.87144
1157000000,-3.2989321,-106.82957
1158000000,-3.3048391,-106.91302
1159000000,-3.3149669,-107.08723
1160000000,-3.2696495,-107.10748
1161000000,-3.3042147,-107.09969
1162000000,-3.3144491,-107.35252
1163000000,-3.3085001,-107.39706
1164000000,-3.3333271,-107.45665
1165000000,-3.3010154,-107.62519
1166000000,-3.282094,-107.67661
1167000000,-3.2934194,-107.83859
1168000000,-3.2960327,-107.94295
1169000000,-3.3102725,-107.96626
1170000000,-3.2857852,-108.1278
1171000000,-3.2861309,-108.21351
1172000000,-3.3063083,-108.18752
1173000000,-3.3133583,-108.29445
1174000000,-3.3365052,-108.25565
1175000000,-3.3079386,-108.69226
1176000000,-3.2935283,-108.58237
1177000000,-3.307409,-108.74121
1178000000,-3.297821,-108.83698
1179000000,-3.3035872,-108.93023
1180000000,-3.2948563,-109.04113
1181000000,-3.2910936,-109.10737
1182000000,-3.2622781,-109.38131
1183000000,-3.2830405,-109.37486
1184000000,-3.3271601,-109.42213
1185000000,-3.3263872,-109.4072
1186000000,-3.2919872,-109.5364
1187000000,-3.3156688,-109.7674
1188000000,-3.2898293,-109.87477
1189000000,-3.3215561,-110.0723
1190000000,-3.2815495,-109.98704
1191000000,-3.2934175,-109.96235
1192000000,-3.2809501,-110.2256
1193000000,-3.2935545,-110.20641
1194000000,-3.2833235,-110.26839
1195000000,-3.3078136,-110.51374
1196000000,-3.2913804,-110.6237
1197000000,-3.3213198,-110.83795
1198000000,-3.3141496,-110.83205
1199000000,-3.2846918,-110.89138
1200000000,-3.3017137,-111.0008
1201000000,-3.282418,-110.94623
1202000000,-3.3014312,-111.09499
1203000000,-3.3017182,-111.13448
1204000000,-3.2970417,-111.30995
1205000000,-3.3156273,-111.4113
1206000000,-3.3080819,-111.34203
1207000000,-3.2910469,-111.39965
1208000000,-3.312058,-111.68256
1209000000,-3.2994533,-111.80804
1210000000,-3.3214746,-111.80457
1211000000,-3.2888615,-112.02848
1212000000,-3.3044655,-112.05479
1213000000,-3.3030972,-112.21555
1214000000,-3.2830482,-112.15967
1215000000,-3.2820354,-112.36352
1216000000,-3.2975295,-112.36388
1217000000,-3.2885499,-112.6208
1218000000,-3.2771368,-112.63917
1219000000,-3.2806501,-112.65452
1220000000,-3.2801085,-112.82411
1221000000,-3.2997468,-112.89458
1222000000,-3.3191955,-112.80045
1223000000,-3.3073575,-113.12365
1224000000,-3.2755747,-113.03423
1225000000,-3.2943072,-113.08951
1226000000,-3.3231652,-113.43501
1227000000,-3.3225121,-113.48432
1228000000,-3.3052256,-113.54817
1229000000,-3.3000727,-113.66997
1230000000,-3.3048217,-113.76283
1231000000,-3.2963624,-113.9797
1232000000,-3.2992842,-113.87566
1233000000,-3.293679,-114.0598
1234000000,-3.3292484,-114.23734
1235000000,-3.2815831,-114.13417
1236000000,-3.2888501,-114.27256
1237000000,-3.2681568,-114.2931
1238000000,-3.3032062,-114.51398
1239000000,-3.3208647,-114.67605
1240000000,-3.310729,-114.71297
1241000000,-3.2912042,-114.75249
1242000000,-3.2869244,-114.71027
1243000000,-3.3179107,-114.93431
1244000000,-3.2843471,-115.08459
1245000000,-3.3178768,-115.19781
1246000000,-3.2853744,-115.24279
1247000000,-3.29109,-115.46323
1248000000,-3.2864797,-115.61031
1249000000,-3.2866094,-115.4752
1250000000,-3.3005927,-115.64996
1251000000,-3.2702985,-115.72859
1252000000,-3.2748792,-115.8802
1253000000,-3.3215249,-116.023
1254000000,-3.3299575,-116.21909
1255000000,-3.2897093,-116.06731
1256000000,-3.296854,-116.1228
1257000000,-3.2833509,-116.31484
1258000000,-3.2793648,-116.42245
1259000000,-3.2907395,-116.56319
1260000000,-3.2778728,-116.43123
1261000000,-3.3204634,-116.57153
1262000000,-3.2901883,-116.74602
1263000000,-3.2870495,-116.89344
1264000000,-3.3165987,-116.8859
1265000000,-3.2876003,-116.87103
1266000000,-3.3023624,-117.02678
1267000000,-3.3011107,-117.28654
1268000000,-3.2924278,-117.28547
1269000000,-3.2717938,-117.28495
1270000000,-3.3249006,-117.57271
1271000000,-3.3158586,-117.57021
1272000000,-3.3038394,-117.77716
1273000000,-3.2893014,-117.71796
1274000000,-3.2832782,-117.93684
1275000000,-3.2898338,-118.03976
1276000000,-3.3254118,-118.02599
1277000000,-3.2968335,-118.12335
1278000000,-3.2770638,-118.26273
1279000000,-3.2782605,-118.4385
1280000000,-3.2853973,-118.55814
1281000000,-3.3245506,-118.54657
1282000000,-3.3034105,-118.52545
1283000000,-3.2995679,-118.9001
1284000000,-3.2785685,-118.89955
1285000000,-3.287291,-118.83869
1286000000,-3.3051505,-118.86373
