Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1,-13.5771245722,-3.3786037933,-16.9848049876,-3.3732685019,-9.4548431459,-17.0362685265
1.001,-13.5828766757,-3.3785048503,-16.9945362542,-3.3731583941,-9.4612957649,-17.0462775692
1.002,-13.5886263036,-3.378406273,-17.0042576968,-3.3730486289,-9.4677491332,-17.0562776216
1.003,-13.5943734421,-3.3783080611,-17.0139692241,-3.372939206,-9.4742032621,-17.0662685893
1.004,-13.6001180772,-3.3782102142,-17.023670744,-3.372830125,-9.4806581632,-17.0762503773
1.005,-13.6058601954,-3.3781127318,-17.0333621646,-3.3727213858,-9.487113848,-17.0862228907
1.006,-13.611599783,-3.3780156136,-17.0430433933,-3.372612988,-9.4935703279,-17.0961860338
1.007,-13.6173368264,-3.3779188591,-17.0527143374,-3.3725049315,-9.5000276145,-17.106139711
1.008,-13.6230713121,-3.377822468,-17.0623749038,-3.3723972159,-9.5064857195,-17.1160838259
1.009,-13.6288032267,-3.3777264399,-17.0720249992,-3.3722898409,-9.5129446543,-17.1260182822
1.01,-13.6345325566,-3.3776307743,-17.0816645299,-3.3721828063,-9.5194044308,-17.1359429828
1.011,-13.6402592887,-3.3775354709,-17.0912934021,-3.3720761118,-9.5258650604,-17.1458578308
1.012,-13.6459834097,-3.3774405292,-17.1009115214,-3.3719697572,-9.532326555,-17.1557627284
1.013,-13.6517049064,-3.3773459487,-17.1105187934,-3.371863742,-9.5387889262,-17.1656575778
1.014,-13.6574237657,-3.3772517292,-17.1201151232,-3.3717580661,-9.5452521857,-17.1755422809
1.015,-13.6631399745,-3.3771578701,-17.1297004157,-3.3716527291,-9.5517163454,-17.185416739
1.016,-13.6688535199,-3.377064371,-17.1392745756,-3.3715477308,-9.5581814169,-17.1952808534
1.017,-13.6745643889,-3.3769712315,-17.1488375071,-3.3714430708,-9.5646474122,-17.2051345247
1.018,-13.6802725688,-3.3768784511,-17.1583891143,-3.3713387489,-9.5711143431,-17.2149776535
1.019,-13.6859780467,-3.3767860295,-17.167929301,-3.3712347647,-9.5775822214,-17.2248101399
1.02,-13.6916808099,-3.3766939662,-17.1774579706,-3.371131118,-9.5840510591,-17.2346318838
1.021,-13.6973808459,-3.3766022607,-17.1869750263,-3.3710278085,-9.5905208679,-17.2444427845
1.022,-13.703078142,-3.3765109126,-17.196480371,-3.3709248357,-9.59699166,-17.2542427412
1.023,-13.7087726858,-3.3764199214,-17.2059739074,-3.3708221995,-9.6034634472,-17.2640316529
1.024,-13.7144644649,-3.3763292868,-17.2154555379,-3.3707198996,-9.6099362416,-17.2738094179
1.025,-13.7201534669,-3.3762390082,-17.2249251645,-3.3706179355,-9.6164100551,-17.2835759346
1.026,-13.7258396795,-3.3761490851,-17.2343826891,-3.370516307,-9.6228848999,-17.2933311009
