Freq(Hz),S21 Log Mag(dB),S21 Phase,S11 Log Mag(dB),S11 Phase
1073000000,-0.48891965,151.39471,-14.621446,100.62647
1074000000,-0.49892163,151.28755,-14.616982,101.05289
1075000000,-0.48124602,151.24904,-14.636026,100.82228
1076000000,-0.50074595,151.03247,-14.681913,100.8557
1077000000,-0.46198061,150.69048,-14.627912,100.34973
1078000000,-0.4884285,150.51215,-14.678634,100.35127
1079000000,-0.49768817,150.17847,-14.710751,100.10255
1080000000,-0.49949095,150.11107,-14.713674,100.23487
1081000000,-0.49519572,149.93976,-14.749669,100.24161
1082000000,-0.48949546,149.63704,-14.705419,99.848625
1083000000,-0.48500907,149.63583,-14.727651,99.925377
1084000000,-0.51574212,149.30574,-14.780367,99.784378
1085000000,-0.47061709,149.22757,-14.788547,99.587753
1086000000,-0.48243749,149.1438,-14.805967,99.58744
1087000000,-0.49623394,148.72195,-14.804123,99.476158
1088000000,-0.50149083,148.61972,-14.838576,99.376297
1089000000,-0.49007154,148.53841,-14.830474,99.508118
1090000000,-0.47849587,148.45924,-14.839161,99.227661
1091000000,-0.49315059,148.07295,-14.853045,98.893303
1092000000,-0.49989676,147.98795,-14.904807,98.989822
1093000000,-0.4827759,147.54504,-14.859623,98.855103
1094000000,-0.48503453,147.38144,-14.885954,98.784294
1095000000,-0.48250684,147.34157,-14.895975,98.633217
1096000000,-0.47736806,147.11446,-14.89379,98.389656
1097000000,-0.48284075,146.80714,-14.973046,98.341858
1098000000,-0.49774119,146.82674,-14.940722,98.051987
1099000000,-0.46748447,146.41585,-14.950491,98.413406
1100000000,-0.4838571,146.51888,-14.98907,98.247093
1101000000,-0.46495074,146.22678,-15.017227,98.035904
1102000000,-0.45251778,146.11777,-15.029125,98.034729
1103000000,-0.49307448,145.73024,-15.076961,97.717194
1104000000,-0.48366356,145.61139,-15.023818,97.673256
1105000000,-0.50291324,145.30286,-15.084298,97.732643
1106000000,-0.49881047,145.14751,-15.145693,97.234863
1107000000,-0.49143913,144.96838,-15.152118,97.175308
1108000000,-0.48655993,144.52539,-15.123384,96.912941
1109000000,-0.50399888,144.65102,-15.173021,97.183418
1110000000,-0.49192044,144.354,-15.143594,96.878151
1111000000,-0.4436354,144.2095,-15.167477,97.198883
1112000000,-0.46670759,143.85391,-15.151256,96.605301
1113000000,-0.47725376,143.81801,-15.25573,96.791374
1114000000,-0.47423479,143.72714,-15.202892,96.682266
1115000000,-0.49193087,143.53543,-15.283834,96.605026
1116000000,-0.48669234,143.24829,-15.290189,96.255882
1117000000,-0.4840256,142.94757,-15.299154,96.270271
1118000000,-0.47487536,142.82616,-15.319829,96.303131
1119000000,-0.47197774,142.59401,-15.324972,96.198792
1120000000,-0.46599945,142.30676,-15.39492,95.753799
1121000000,-0.47148836,142.25031,-15.401111,96.091812
1122000000,-0.44945469,142.09836,-15.382866,96.054993
1123000000,-0.42861342,141.86241,-15.372311,96.029572
1124000000,-0.46615744,141.83669,-15.480371,95.795113
1125000000,-0.45780426,141.47394,-15.391787,95.958557
1126000000,-0.47298154,141.30626,-15.53036,95.643997
1127000000,-0.48947889,140.95763,-15.526722,95.487213
1128000000,-0.45803726,141.08475,-15.531266,95.791954
1129000000,-0.47716054,140.64183,-15.508986,95.386475
1130000000,-0.49530953,140.53702,-15.6273,95.134865
1131000000,-0.43526897,140.40289,-15.511989,95.250824
1132000000,-0.44438216,140.3821,-15.600289,95.278854
1133000000,-0.47140655,140.01637,-15.658615,95.132233
1134000000,-0.45718259,139.79535,-15.666972,95.177063
1135000000,-0.44912726,139.68483,-15.69081,95.062508
1136000000,-0.46774518,139.51529,-15.711648,94.687607
1137000000,-0.44470522,139.25198,-15.730235,94.918861
1138000000,-0.46962401,139.12389,-15.780662,94.657784
1139000000,-0.4399718,138.85165,-15.809685,94.538101
1140000000,-0.46004227,138.67001,-15.840702,94.289139
1141000000,-0.48342276,138.69258,-15.84174,94.555122
1142000000,-0.48613498,138.36292,-15.906088,94.491745
1143000000,-0.48727918,137.98053,-15.882382,94.32074
1144000000,-0.47139943,137.78748,-15.902608,94.337212
1145000000,-0.4591431,137.53658,-15.930952,94.061165
1146000000,-0.45920855,137.37215,-15.947683,94.014244
1147000000,-0.45746744,137.35493,-15.955348,94.145973
1148000000,-0.42992109,137.09233,-15.971607,93.912437
1149000000,-0.47362235,137.01768,-16.025547,94.260971
1150000000,-0.46053958,136.52011,-16.067696,93.699852
1151000000,-0.47993979,136.48294,-16.125444,93.918694
1152000000,-0.47005224,136.21423,-16.110628,93.453651
1153000000,-0.43195999,136.15778,-16.128977,93.761009
1154000000,-0.45389855,136.04361,-16.185968,93.695786
1155000000,-0.46298629,135.5379,-16.206949,93.036873
1156000000,-0.45708972,135.58183,-16.221235,93.530479
1157000000,-0.44784498,135.39664,-16.217941,93.446602
1158000000,-0.46424118,135.12279,-16.288023,93.449478
1159000000,-0.44792962,134.94003,-16.290211,93.582413
1160000000,-0.42934638,134.80051,-16.312122,92.935066
1161000000,-0.45544973,134.55855,-16.332035,93.145737
1162000000,-0.47095719,134.44208,-16.346151,93.11924
1163000000,-0.45147058,134.23404,-16.38669,93.066093
1164000000,-0.42932251,133.97014,-16.441181,92.767067
1165000000,-0.43913493,133.84158,-16.459715,92.834404
1166000000,-0.44633365,133.563,-16.461653,92.811546
1167000000,-0.4336859,133.49188,-16.505247,92.893967
1168000000,-0.46627912,133.22636,-16.525568,92.862526
1169000000,-0.4471826,133.12296,-16.605867,92.941025
1170000000,-0.45883602,132.91182,-16.591597,92.558578
1171000000,-0.44102204,132.74081,-16.63093,92.316208
1172000000,-0.43031758,132.46092,-16.659685,92.232933
1173000000,-0.46059155,132.17676,-16.67391,92.138969
1174000000,-0.45527589,132.13501,-16.706894,92.416214
1175000000,-0.47475713,131.85959,-16.796593,92.149635
1176000000,-0.43763524,131.50388,-16.758503,92.028557
1177000000,-0.44989252,131.42725,-16.87402,92.010895
1178000000,-0.43785879,131.14748,-16.855196,91.738152
1179000000,-0.43476248,131.05467,-16.860477,92.19548
1180000000,-0.42207065,130.87743,-16.923872,91.947289
1181000000,-0.42184788,130.80287,-16.952524,91.630829
1182000000,-0.43646136,130.35973,-16.96773,91.847298
1183000000,-0.43882328,130.47295,-17.001482,92.115692
1184000000,-0.45443356,130.17477,-17.098139,91.596718
1185000000,-0.43643767,129.96626,-17.084255,91.813087
1186000000,-0.41877154,129.57539,-17.144056,91.148598
1187000000,-0.43680745,129.55879,-17.133686,91.369827
1188000000,-0.44739598,129.14371,-17.200985,91.427902
1189000000,-0.41754055,129.10399,-17.248072,91.252113
1190000000,-0.42708501,128.79538,-17.221313,91.126793
1191000000,-0.43194428,128.67296,-17.298349,91.605453
