"Freq [GHz]","dB(S(1,1)) []"
1,-0.130207931698072
1.001,-0.130367249232086
1.002,-0.130526212298167
1.003,-0.130684821356627
1.004,-0.130843076868943
1.005,-0.131000979297743
1.006,-0.131158529106809
1.007,-0.131315726761052
1.008,-0.131472572726522
1.009,-0.131629067470373
1.01,-0.131785211460876
1.011,-0.131941005167395
1.012,-0.132096449060379
1.013,-0.132251543611361
1.014,-0.132406289292934
1.015,-0.132560686578758
1.016,-0.132714735943534
1.017,-0.132868437863006
1.018,-0.133021792813948
1.019,-0.133174801274152
1.02,-0.133327463722417
1.021,-0.133479780638557
1.022,-0.133631752503355
1.023,-0.133783379798597
1.024,-0.133934663007033
1.025,-0.134085602612378
1.026,-0.134236199099298
1.027,-0.134386452953407
1.028,-0.134536364661262
1.029,-0.134685934710334
1.03,-0.134835163589021
1.031,-0.134984051786626
1.032,-0.135132599793358
1.033,-0.135280808100307
1.034,-0.135428677199455
1.035,-0.13557620758365
1.036,-0.13572339974661
1.037,-0.135870254182904
1.038,-0.136016771387954
1.039,-0.136162951858016
1.04,-0.136308796090174
1.041,-0.136454304582335
1.042,-0.136599477833219
1.043,-0.136744316342351
1.044,-0.136888820610053
1.045,-0.137032991137426
1.046,-0.137176828426356
1.047,-0.137320332979497
1.048,-0.13746350530027
1.049,-0.13760634589284
1.05,-0.137748855262123
1.051,-0.137891033913774
1.052,-0.138032882354172
1.053,-0.138174401090419
1.054,-0.13831559063033
1.055,-0.138456451482425
1.056,-0.138596984155917
1.057,-0.138737189160714
1.058,-0.138877067007396
1.059,-0.139016618207221
1.06,-0.139155843272112
1.061,-0.139294742714645
1.062,-0.139433317048053
1.063,-0.139571566786197
1.064,-0.139709492443585
1.065,-0.139847094535342
1.066,-0.139984373577216
1.067,-0.140121330085566
1.068,-0.140257964577348
1.069,-0.140394277570117
1.07,-0.14053026958202
1.071,-0.140665941131777
1.072,-0.140801292738682
1.073,-0.1409363249226
1.074,-0.141071038203951
1.075,-0.141205433103704
1.076,-0.141339510143374
1.077,-0.141473269845013
1.078,-0.141606712731195
1.079,-0.141739839325029
1.08,-0.141872650150124
1.081,-0.142005145730605
1.082,-0.142137326591098
1.083,-0.142269193256716
1.084,-0.142400746253066
1.085,-0.142531986106226
1.086,-0.142662913342751
1.087,-0.142793528489664
1.088,-0.142923832074443
1.089,-0.143053824625013
1.09,-0.143183506669758
1.091,-0.143312878737484
1.092,-0.143441941357436
1.093,-0.143570695059286
1.094,-0.143699140373115
1.095,-0.143827277829429
1.096,-0.143955107959119
1.097,-0.144082631293496
1.098,-0.144209848364245
1.099,-0.144336759703445
1.1,-0.14446336584355
1.101,-0.144589667317386
1.102,-0.144715664658146
1.103,-0.144841358399379
1.104,-0.144966749074992
1.105,-0.14509183721923
1.106,-0.145216623366691
1.107,-0.145341108052292
1.108,-0.145465291811288
1.109,-0.14558917517925
1.11,-0.145712758692064
1.111,-0.14583604288593
1.112,-0.145959028297348
1.113,-0.146081715463112
1.114,-0.146204104920306
1.115,-0.146326197206308
1.116,-0.146447992858768
1.117,-0.146569492415602
1.118,-0.146690696415006
1.119,-0.146811605395426
1.12,-0.146932219895572
1.121,-0.147052540454398
1.122,-0.147172567611101
1.123,-0.147292301905113
1.124,-0.147411743876105
1.125,-0.147530894063971
1.126,-0.147649753008822
1.127,-0.147768321250987
1.128,-0.147886599331002
1.129,-0.14800458778961
1.13,-0.148122287167748
1.131,-0.148239698006546
1.132,-0.148356820847322
1.133,-0.148473656231572
1.134,-0.148590204700976
1.135,-0.148706466797375
1.136,-0.148822443062777
1.137,-0.148938134039353
1.138,-0.149053540269425
1.139,-0.149168662295466
1.14,-0.149283500660087
1.141,-0.149398055906047
1.142,-0.149512328576232
1.143,-0.149626319213652
1.144,-0.149740028361451
1.145,-0.149853456562879
1.146,-0.149966604361297
1.147,-0.150079472300188
1.148,-0.150192060923123
1.149,-0.150304370773773
1.15,-0.150416402395906
1.151,-0.150528156333372
1.152,-0.150639633130108
1.153,-0.150750833330117
1.154,-0.150861757477485
1.155,-0.150972406116365
1.156,-0.151082779790964
1.157,-0.151192879045556
1.158,-0.151302704424459
1.159,-0.151412256472044
1.16,-0.151521535732727
1.161,-0.151630542750955
1.162,-0.151739278071214
1.163,-0.151847742238016
1.164,-0.151955935795905
1.165,-0.152063859289427
1.166,-0.152171513263165
1.167,-0.152278898261697
1.168,-0.152386014829611
1.169,-0.152492863511499
1.17,-0.152599444851946
1.171,-0.152705759395528
1.172,-0.152811807686811
1.173,-0.152917590270346
1.174,-0.153023107690661
1.175,-0.153128360492259
1.176,-0.153233349219609
1.177,-0.153338074417151
1.178,-0.153442536629284
1.179,-0.153546736400364
1.18,-0.153650674274702
1.181,-0.153754350796554
1.182,-0.153857766510118
1.183,-0.153960921959542
1.184,-0.154063817688898
1.185,-0.154166454242198
1.186,-0.154268832163378
1.187,-0.154370951996296
1.188,-0.154472814284734
1.189,-0.154574419572383
1.19,-0.154675768402847
1.191,-0.154776861319643
1.192,-0.154877698866183
1.193,-0.154978281585783
1.194,-0.155078610021651
1.195,-0.155178684716885
1.196,-0.155278506214479
1.197,-0.155378075057299
1.198,-0.155477391788093
1.199,-0.155576456949494
1.2,-0.155675271083993
1.201,-0.155773834733959
1.202,-0.155872148441619
1.203,-0.155970212749065
1.204,-0.15606802819824
1.205,-0.156165595330947
