"Freq [GHz]","cang_deg(S(2,1)) [deg]"
1,-63.7928997205109
1.001,-63.8577823952129
1.002,-63.9226643977261
1.003,-63.9875457286059
1.004,-64.0524263884152
1.005,-64.117306377724
1.006,-64.1821856971098
1.007,-64.2470643471575
1.008,-64.311942328459
1.009,-64.3768196416133
1.01,-64.4416962872267
1.011,-64.5065722659124
1.012,-64.5714475782909
1.013,-64.6363222249892
1.014,-64.7011962066416
1.015,-64.766069523889
1.016,-64.8309421773793
1.017,-64.895814167767
1.018,-64.9606854957134
1.019,-65.0255561618866
1.02,-65.0904261669608
1.021,-65.1552955116174
1.022,-65.220164196544
1.023,-65.2850322224348
1.024,-65.3498995899901
1.025,-65.4147662999169
1.026,-65.4796323529285
1.027,-65.5444977497444
1.028,-65.6093624910904
1.029,-65.6742265776984
1.03,-65.7390900103066
1.031,-65.8039527896591
1.032,-65.8688149165062
1.033,-65.9336763916043
1.034,-65.9985372157155
1.035,-66.0633973896081
1.036,-66.1282569140561
1.037,-66.1931157898394
1.038,-66.2579740177438
1.039,-66.3228315985607
1.04,-66.3876885330872
1.041,-66.4525448221262
1.042,-66.5174004664863
1.043,-66.5822554669813
1.044,-66.6471098244309
1.045,-66.7119635396603
1.046,-66.7768166135
1.047,-66.8416690467859
1.048,-66.9065208403595
1.049,-66.9713719950674
1.05,-67.0362225117617
1.051,-67.1010723912996
1.052,-67.1659216345436
1.053,-67.2307702423614
1.054,-67.2956182156259
1.055,-67.3604655552148
1.056,-67.4253122620112
1.057,-67.4901583369033
1.058,-67.5550037807839
1.059,-67.6198485945509
1.06,-67.6846927791074
1.061,-67.749536335361
1.062,-67.8143792642243
1.063,-67.8792215666148
1.064,-67.9440632434547
1.065,-68.0089042956706
1.066,-68.0737447241944
1.067,-68.1385845299622
1.068,-68.203423713915
1.069,-68.2682622769981
1.07,-68.3331002201616
1.071,-68.39793754436
1.072,-68.4627742505524
1.073,-68.5276103397022
1.074,-68.5924458127772
1.075,-68.6572806707497
1.076,-68.7221149145964
1.077,-68.786948545298
1.078,-68.85178156384
1.079,-68.9166139712115
1.08,-68.9814457684063
