"Freq [GHz]","ang_deg(S(1,1)) [deg]","ang_deg(S(2,1)) [deg]","ang_deg(S(3,1)) [deg]","ang_deg(S(4,1)) [deg]"
1,158.965547650485,-52.5510071444936,-72.3331614632754,-56.8592535626958
1.001,158.930216115577,-52.5918564795065,-72.4026141540261,-56.9135191578578
1.002,158.894854334338,-52.6326750070503,-72.4720650281231,-56.9677931283216
1.003,158.859462288993,-52.6734626578599,-72.5415141174087,-57.0220754992774
1.004,158.824039961697,-52.7142193623558,-72.6109614538237,-57.0763662956321
1.005,158.788587334531,-52.7549450506452,-72.6804070694092,-57.130665542012
1.006,158.753104389509,-52.7956396525228,-72.7498509963061,-57.1849732627636
1.007,158.717591108574,-52.8363030974715,-72.8192932667551,-57.2392894819552
1.008,158.682047473597,-52.8769353146625,-72.8887339130975,-57.2936142233791
1.009,158.64647346638,-52.9175362329559,-72.9581729677742,-57.3479475105521
1.01,158.610869068655,-52.9581057809026,-73.0276104633276,-57.4022893667182
1.011,158.575234262083,-52.9986438867433,-73.0970464324,-57.4566398148498
1.012,158.539569028256,-53.0391504784105,-73.1664809077346,-57.5109988776499
1.013,158.503873348693,-53.0796254835285,-73.235913922176,-57.5653665775539
1.014,158.468147204846,-53.1200688294146,-73.3053455086695,-57.6197429367312
1.015,158.432390578096,-53.1604804430792,-73.3747757002619,-57.6741279770875
1.016,158.396603449754,-53.2008602512272,-73.4442045301013,-57.7285217202669
1.017,158.360785801059,-53.241208180259,-73.5136320314377,-57.7829241876541
1.018,158.324937613183,-53.2815241562699,-73.5830582376224,-57.8373354003758
1.019,158.289058867226,-53.3218081050531,-73.6524831821092,-57.8917553793045
1.02,158.25314954422,-53.3620599520978,-73.7219068984534,-57.9461841450585
1.021,158.217209625124,-53.402279622593,-73.7913294203132,-58.0006217180069
1.022,158.18123909083,-53.4424670414264,-73.8607507814489,-58.0550681182704
1.023,158.14523792216,-53.4826221331853,-73.9301710157233,-58.1095233657235
1.024,158.109206099865,-53.5227448221585,-73.9995901571016,-58.163987479998
1.025,158.073143604626,-53.5628350323369,-74.0690082396531,-58.2184604804856
1.026,158.037050417056,-53.6028926874135,-74.138425297549,-58.2729423863396
1.027,158.000926517697,-53.642917710786,-74.207841365064,-58.3274332164785
1.028,157.964771887021,-53.682910025556,-74.2772564765769,-58.3819329895885
1.029,157.92858650543,-53.7228695545317,-74.3466706665692,-58.4364417241266
1.03,157.892370353259,-53.7627962202273,-74.4160839696267,-58.4909594383225
1.031,157.856123410772,-53.802689944865,-74.4854964204388,-58.5454861501833
1.032,157.819845658162,-53.8425506503758,-74.5549080537992,-58.6000218774946
1.033,157.783537075553,-53.8823782584004,-74.6243189046056,-58.654566637825
1.034,157.747197643002,-53.9221726902907,-74.6937290078604,-58.7091204485288
1.035,157.710827340492,-53.9619338671102,-74.7631383986707,-58.7636833267489
1.036,157.674426147942,-54.0016617096357,-74.8325471122477,-58.8182552894207
1.037,157.637994045196,-54.0413561383582,-74.9019551839082,-58.8728363532746
1.038,157.601531012032,-54.0810170734838,-74.9713626490738,-58.92742653484
1.039,157.565037028158,-54.1206444349352,-75.0407695432714,-58.9820258504489
1.04,157.528512073212,-54.1602381423529,-75.1101759021334,-59.0366343162387
1.041,157.491956126763,-54.1997981150958,-75.1795817613977,-59.0912519481561
1.042,157.455369168311,-54.2393242722434,-75.2489871569083,-59.1458787619611
1.043,157.418751177286,-54.2788165325959,-75.3183921246147,-59.2005147732302
1.044,157.382102133048,-54.3182748146763,-75.3877967005729,-59.2551599973603
1.045,157.34542201489,-54.3576990367311,-75.4572009209447,-59.3098144495719
1.046,157.308710802034,-54.3970891167324,-75.5266048219993,-59.3644781449149
1.047,157.271968473632,-54.4364449723778,-75.5960084401117,-59.4191510982697
1.048,157.235195008768,-54.4757665210929,-75.6654118117643,-59.4738333243536
1.049,157.198390386457,-54.5150536800324,-75.7348149735461,-59.5285248377234
1.05,157.161554585644,-54.5543063660808,-75.8042179621534,-59.5832256527799
1.051,157.124687585205,-54.5935244958547,-75.87362081439,-59.6379357837725
1.052,157.087789363946,-54.6327079857038,-75.9430235671673,-59.6926552448027
1.053,157.050859900606,-54.6718567517116,-76.012426257504,-59.7473840498285
1.054,157.013899173853,-54.7109707096977,-76.0818289225271,-59.8021222126689
1.055,156.976907162285,-54.7500497752195,-76.1512315994718,-59.8568697470088
1.056,156.939883844433,-54.7890938635722,-76.2206343256812,-59.9116266664019
1.057,156.902829198757,-54.8281028897918,-76.2900371386067,-59.9663929842767
1.058,156.865743203649,-54.8670767686559,-76.359440075809,-60.0211687139403
1.059,156.828625837432,-54.9060154146849,-76.4288431749568,-60.0759538685832
1.06,156.791477078358,-54.9449187421445,-76.4982464738287,-60.1307484612837
1.061,156.754296904612,-54.9837866650459,-76.5676500103115,-60.1855525050129
1.062,156.717085294309,-55.0226190971484,-76.6370538224018,-60.240366012639
1.063,156.679842225494,-55.0614159519612,-76.7064579482061,-60.295188996933
1.064,156.642567676144,-55.1001771427435,-76.7758624259401,-60.3500214705723
1.065,156.605261624167,-55.1389025825078,-76.8452672939294,-60.4048634461465
1.066,156.567924047401,-55.1775921840202,-76.9146725906099,-60.4597149361615
1.067,156.530554923614,-55.216245859803,-76.9840783545275,-60.5145759530462
1.068,156.493154230508,-55.2548635221363,-77.053484624339,-60.5694465091554
1.069,156.455721945713,-55.2934450830589,-77.1228914388119,-60.6243266167763
1.07,156.41825804679,-55.3319904543705,-77.1922988368237,-60.6792162881329
1.071,156.380762511232,-55.3704995476332,-77.2617068573635,-60.7341155353917
1.072,156.343235316463,-55.4089722741747,-77.3311155395317,-60.789024370667
1.073,156.305676439836,-55.4474085450872,-77.4005249225401,-60.8439428060254
1.074,156.268085858636,-55.4858082712319,-77.4699350457116,-60.898870853492
1.075,156.230463550081,-55.5241713632389,-77.5393459484814,-60.9538085250549
1.076,156.192809491315,-55.5624977315106,-77.6087576703963,-61.0087558326715
1.077,156.155123659416,-55.600787286222,-77.6781702511156,-61.0637127882737
1.078,156.117406031393,-55.6390399373236,-77.7475837304104,-61.1186794037725
1.079,156.079656584185,-55.6772555945429,-77.816998148165,-61.173655691065
1.08,156.041875294661,-55.7154341673862,-77.886413544376,-61.2286416620387
1.081,156.004062139621,-55.753575565141,-77.9558299591529,-61.283637328578
1.082,155.966217095798,-55.7916796968772,-78.0252474327185,-61.3386427025694
1.083,155.928340139852,-55.8297464714493,-78.0946660054088,-61.3936577959069
1.084,155.890431248377,-55.8677757974986,-78.1640857176732,-61.4486826204985
1.085,155.852490397895,-55.9057675834552,-78.233506610075,-61.5037171882716
1.086,155.814517564862,-55.9437217375394,-78.302928723291,-61.5587615111782
1.087,155.776512725661,-55.9816381677648,-78.3723520981129,-61.6138156012022
1.088,155.738475856608,-56.0195167819388,-78.4417767754456,-61.6688794703633
1.089,155.700406933948,-56.057357487666,-78.5112027963092,-61.7239531307247
1.09,155.662305933859,-56.0951601923498,-78.5806302018381,-61.7790365943978
1.091,155.624172832448,-56.1329248031946,-78.6500590332821,-61.8341298735491
1.092,155.586007605751,-56.1706512272071,-78.7194893320049,-61.889232980405
1.093,155.547810229738,-56.2083393711998,-78.7889211394871,-61.9443459272592
1.094,155.509580680308,-56.2459891417923,-78.8583544973233,-61.9994687264777
1.095,155.471318933288,-56.283600445413,-78.9277894472245,-62.0546013905054
