!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 29, 2016 12:03:07
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 SMITH Real(Ohm),S11 SMITH Imag(Ohm)
1191000000,3.7960734,145.77237
1192000000,4.0314808,146.49799
1193000000,3.9735839,147.01999
1194000000,3.949199,147.56615
1195000000,4.7647552,148.14273
1196000000,4.4747028,149.3679
1197000000,4.7920756,149.7771
1198000000,3.87391,150.74338
1199000000,4.7594023,150.41742
1200000000,4.5317082,151.27016
1201000000,5.0547881,152.42711
1202000000,4.8732152,152.82532
1203000000,5.0888448,153.41287
1204000000,4.7789149,153.85233
1205000000,5.2321305,154.96236
1206000000,4.5655723,155.04529
1207000000,5.062048,155.93958
1208000000,5.1275535,156.81613
1209000000,4.96664,157.66571
1210000000,6.2651887,158.36244
1211000000,5.4476676,159.53754
1212000000,4.400547,160.22478
1213000000,5.9764481,159.75507
1214000000,5.5191436,161.22806
1215000000,4.7020555,162.07678
1216000000,5.3734403,162.56703
1217000000,5.4298458,163.68454
1218000000,4.9774632,165.44775
1219000000,5.6811504,165.63528
1220000000,5.8885903,166.48672
1221000000,6.1023402,166.90413
1222000000,5.6000881,167.57298
1223000000,6.1790299,168.92067
1224000000,6.3226776,169.59407
1225000000,5.5466557,170.00568
1226000000,5.8077993,170.797
1227000000,6.1960568,172.01241
1228000000,6.5331392,172.8933
1229000000,7.4962735,173.40442
1230000000,6.7507811,174.2608
1231000000,6.7720308,175.14725
1232000000,7.3506093,175.60747
1233000000,7.1932631,177.76869
1234000000,7.1754856,177.72083
1235000000,7.2741375,179.07036
1236000000,7.3969617,180.86012
1237000000,6.9253526,180.77788
1238000000,8.563694,182.19466
1239000000,7.5576649,182.59558
1240000000,7.8036776,183.81044
1241000000,7.6993465,184.62799
1242000000,6.5808125,185.05875
1243000000,8.3392725,185.99889
1244000000,7.5329819,188.33987
1245000000,8.7434826,188.33763
1246000000,9.0274029,189.37384
1247000000,8.1326036,189.91478
1248000000,8.4562769,191.34456
1249000000,8.4095058,192.58551
1250000000,8.3641243,193.65044
1251000000,8.3741608,194.23116
1252000000,8.2874947,194.51051
1253000000,8.5316029,197.51514
1254000000,9.1250257,197.67581
1255000000,10.160974,199.35587
1256000000,8.2482233,200.37468
1257000000,10.176561,202.44691
1258000000,10.171768,203.00328
1259000000,9.1609135,203.2074
1260000000,8.6355867,204.84254
1261000000,9.6390562,206.3237
1262000000,10.594397,206.68729
1263000000,10.092085,208.31392
1264000000,10.256635,208.3755
1265000000,10.992064,210.57469
1266000000,10.47465,212.07997
1267000000,12.089328,211.93616
1268000000,10.0035,213.47839
1269000000,11.454461,214.52353
1270000000,10.223464,216.95129
1271000000,10.817402,219.86043
1272000000,11.60945,218.6866
1273000000,12.732061,221.63492
1274000000,11.27104,221.69817
1275000000,10.593284,224.1463
1276000000,11.036029,224.65213
1277000000,13.65553,226.52216
1278000000,11.894044,228.14555
1279000000,12.688151,228.37778
1280000000,11.206259,230.84441
1281000000,13.494274,230.71031
1282000000,13.157384,234.32045
1283000000,12.209849,233.972
1284000000,13.194808,238.27446
1285000000,14.366302,238.56219
1286000000,13.479738,239.37213
1287000000,14.355779,242.51111
1288000000,14.710012,243.15483
1289000000,15.976861,245.11333
1290000000,14.33153,248.01257
1291000000,12.765991,247.53542
1292000000,14.357385,249.94345
1293000000,14.572433,251.11923
1294000000,12.707178,252.71268
1295000000,13.465303,253.8157
1296000000,18.05162,257.79218
1297000000,17.34288,258.04996
1298000000,16.30135,259.6142
1299000000,15.368403,262.84869
1300000000,18.266129,264.47183
1301000000,17.632902,268.67233
1302000000,19.198439,268.05331
1303000000,18.98296,270.776
1304000000,17.497822,272.62222
1305000000,16.820335,274.61325
1306000000,19.490576,275.96021
1307000000,20.607746,278.82269
1308000000,19.738298,279.34537
1309000000,21.434597,284.59375
1310000000,19.483017,285.3439
1311000000,22.011385,286.21426
1312000000,21.327656,289.35767
1313000000,18.575052,290.63507
1314000000,20.79418,294.99622
1315000000,23.222132,295.40335
1316000000,22.59646,298.3811
1317000000,22.877714,302.47205
1318000000,25.957111,302.96277
1319000000,25.05159,307.42325
1320000000,23.179665,308.72025
1321000000,24.53949,313.58337
1322000000,23.293718,314.57947
1323000000,25.640356,316.13376
1324000000,23.693293,321.01501
1325000000,25.929764,320.49805
1326000000,28.545931,327.4949
1327000000,28.065935,330.71664
1328000000,27.487711,331.73538
1329000000,28.953611,333.25787
1330000000,29.020552,336.11459
1331000000,31.158861,340.72189
1332000000,31.341843,349.4931
1333000000,30.711784,346.16031
1334000000,28.961128,349.67865
1335000000,28.515291,352.60791
1336000000,33.958462,355.5687
1337000000,27.490946,360.45114
1338000000,33.568024,366.82651
1339000000,32.274738,366.31955
1340000000,35.464157,370.83679
1341000000,32.113586,374.11642
1342000000,35.599251,376.85645
1343000000,35.083336,383.7099
1344000000,38.411503,390.78497
1345000000,37.082943,392.1712
1346000000,39.703201,400.0321
1347000000,38.204678,399.87265
1348000000,45.512016,404.13879
1349000000,46.861664,407.32422
1350000000,48.858376,412.04462
1351000000,45.883526,417.53302
1352000000,45.834808,428.37662
1353000000,45.936161,426.67874
1354000000,48.810562,431.23904
1355000000,52.013004,438.2442
1356000000,55.934669,444.22794
1357000000,50.187099,449.32117
1358000000,60.774357,454.20633
1359000000,50.775753,458.69479
1360000000,55.030952,463.21497
1361000000,56.337593,471.72443
1362000000,59.589058,481.87775
1363000000,66.26033,488.19476
1364000000,64.098907,495.59122
1365000000,55.147408,500.29041
1366000000,66.213806,506.13904
1367000000,66.232979,510.01959
1368000000,67.567482,522.57898
1369000000,69.813614,531.15594
1370000000,72.644028,529.13141
1371000000,67.085892,534.85608
1372000000,76.20887,547.68091
1373000000,81.865097,558.40662
1374000000,82.379166,561.77551
1375000000,78.050247,566.44696
1376000000,83.5662,592.45618
1377000000,87.795441,583.69373
1378000000,93.969437,605.86969
1379000000,97.463699,605.79559
1380000000,101.39313,616.75897
1381000000,106.57777,623.24622
1382000000,112.80255,642.86401
1383000000,116.14009,652.80652
1384000000,114.88747,666.97839
1385000000,123.34981,679.88788
1386000000,127.79026,693.56232
1387000000,123.63838,703.97876
1388000000,143.45146,721.73907
1389000000,138.63191,726.16858
1390000000,161.2453,745.05847
1391000000,152.93274,750.6283
1392000000,170.1368,785.55438
1393000000,171.87061,771.69916
1394000000,175.44807,804.97778
1395000000,170.77979,813.89636
1396000000,187.6331,844.19116
1397000000,172.26089,855.59399
1398000000,225.7209,867.21362
1399000000,225.66104,877.36133
1400000000,231.82501,918.3255
1401000000,231.81804,946.25195
1402000000,285.37329,974.92303
1403000000,281.96545,969.15503
1404000000,289.25012,1031.9565
1405000000,312.29309,1016.0668
1406000000,350.50931,1055.1233
1407000000,334.34183,1088.6593
1408000000,388.26569,1148.7579
1409000000,380.31592,1141.6376
1410000000,433.7739,1195.0881
1411000000,467.55823,1240.2856
1412000000,451.32932,1270.8665
1413000000,501.81204,1314.7982
1414000000,521.64746,1358.6884
1415000000,658.31415,1391.2386
1416000000,595.43335,1409.9956
1417000000,741.91022,1459.9404
1418000000,868.99194,1482.6945
1419000000,918.39618,1480.0597
1420000000,909.55267,1592.5515
1421000000,948.22833,1631.3735
1422000000,1171.3969,1707.2771
1423000000,1241.3206,1797.2168
1424000000,1326.4335,1690.7522
1425000000,1481.6091,1659.5514
1426000000,1788.9878,1771.3895
1427000000,1975.921,1765.0585
1428000000,2163.6545,1775.4448
1429000000,2180.0942,1737.0852
1430000000,2493.5857,1497.0046
1431000000,2740.4233,1235.3076
1432000000,2718.5054,1242.562
1433000000,3058.0955,1185.4606
1434000000,3241.9229,790.85864
1435000000,3502.3503,720.36053
1436000000,3649.5022,369.37405
1437000000,3383.6411,144.59717
1438000000,3423.3962,-624.60968
1439000000,3143.0911,-507.05304
