Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []"
3.52,-0.480004036,-24.74839108
3.521,-0.479629826,-24.78138663
3.522,-0.479256949,-24.81439273
3.523,-0.478885397,-24.84740943
3.524,-0.478515163,-24.88043674
3.525,-0.478146239,-24.91347472
3.526,-0.477778617,-24.94652339
3.527,-0.477412291,-24.97958279
3.528,-0.477047253,-25.01265296
3.529,-0.476683495,-25.04573393
3.53,-0.47632101,-25.07882574
3.531,-0.475959791,-25.11192842
3.532,-0.47559983,-25.14504202
3.533,-0.475241122,-25.17816658
3.534,-0.474883657,-25.21130211
3.535,-0.47452743,-25.24444868
3.536,-0.474172434,-25.27760631
3.537,-0.473818661,-25.31077504
3.538,-0.473466104,-25.34395491
3.539,-0.473114757,-25.37714596
3.54,-0.472764613,-25.41034822
3.541,-0.472415665,-25.44356175
3.542,-0.472067906,-25.47678657
3.543,-0.47172133,-25.51002272
3.544,-0.47137593,-25.54327025
3.545,-0.471031699,-25.57652919
3.546,-0.470688631,-25.60979959
3.547,-0.470346719,-25.64308149
3.548,-0.470005958,-25.67637492
3.549,-0.469666339,-25.70967993
3.55,-0.469327858,-25.74299655
3.551,-0.468990507,-25.77632484
3.552,-0.468654281,-25.80966482
3.553,-0.468319172,-25.84301655
3.554,-0.467985176,-25.87638007
3.555,-0.467652285,-25.90975541
3.556,-0.467320494,-25.94314262
3.557,-0.466989797,-25.97654174
3.558,-0.466660187,-26.00995282
3.559,-0.466331659,-26.0433759
3.56,-0.466004205,-26.07681102
3.561,-0.465677822,-26.11025823
3.562,-0.465352502,-26.14371756
3.563,-0.46502824,-26.17718907
3.564,-0.46470503,-26.2106728
3.565,-0.464382866,-26.24416879
3.566,-0.464061743,-26.27767709
3.567,-0.463741654,-26.31119774
3.568,-0.463422595,-26.3447308
3.569,-0.463104559,-26.37827629
3.57,-0.462787541,-26.41183428
3.571,-0.462471535,-26.4454048
3.572,-0.462156536,-26.47898791
3.573,-0.461842539,-26.51258364
3.574,-0.461529537,-26.54619205
3.575,-0.461217526,-26.57981319
3.576,-0.4609065,-26.6134471
3.577,-0.460596455,-26.64709382
3.578,-0.460287383,-26.68075342
3.579,-0.459979281,-26.71442592
3.58,-0.459672143,-26.74811139
3.581,-0.459365964,-26.78180988
3.582,-0.459060738,-26.81552142
3.583,-0.458756461,-26.84924608
3.584,-0.458453128,-26.88298389
3.585,-0.458150733,-26.91673492
3.586,-0.457849271,-26.9504992
3.587,-0.457548738,-26.98427679
3.588,-0.457249129,-27.01806775
3.589,-0.456950438,-27.05187211
3.59,-0.45665266,-27.08568994
3.591,-0.456355792,-27.11952128
3.592,-0.456059828,-27.15336619
3.593,-0.455764762,-27.18722471
3.594,-0.455470592,-27.2210969
3.595,-0.455177311,-27.25498282
3.596,-0.454884915,-27.28888251
3.597,-0.454593399,-27.32279602
3.598,-0.454302759,-27.35672342
3.599,-0.454012991,-27.39066475
3.6,-0.453724088,-27.42462007
3.601,-0.453436048,-27.45858943
3.602,-0.453148866,-27.49257289
3.603,-0.452862536,-27.52657049
3.604,-0.452577055,-27.56058231
3.605,-0.452292419,-27.59460838
3.606,-0.452008622,-27.62864878
3.607,-0.45172566,-27.66270354
3.608,-0.45144353,-27.69677273
3.609,-0.451162226,-27.73085641
3.61,-0.450881745,-27.76495463
3.611,-0.450602082,-27.79906744
3.612,-0.450323233,-27.83319492
3.613,-0.450045194,-27.8673371
3.614,-0.449767961,-27.90149406
3.615,-0.449491529,-27.93566584
3.616,-0.449215895,-27.96985252
3.617,-0.448941054,-28.00405413
3.618,-0.448667003,-28.03827076
3.619,-0.448393736,-28.07250245
3.62,-0.448121252,-28.10674926
3.621,-0.447849544,-28.14101125
3.622,-0.44757861,-28.17528849
3.623,-0.447308445,-28.20958104
3.624,-0.447039046,-28.24388895
3.625,-0.446770408,-28.27821228
3.626,-0.446502528,-28.3125511
3.627,-0.446235403,-28.34690548
3.628,-0.445969027,-28.38127546
3.629,-0.445703399,-28.41566112
3.63,-0.445438512,-28.45006251
3.631,-0.445174365,-28.48447971
3.632,-0.444910954,-28.51891277
3.633,-0.444648274,-28.55336175
3.634,-0.444386322,-28.58782673
3.635,-0.444125094,-28.62230776
3.636,-0.443864587,-28.65680491
3.637,-0.443604798,-28.69131824
3.638,-0.443345722,-28.72584782
3.639,-0.443087357,-28.76039372
3.64,-0.442829698,-28.794956
3.641,-0.442572742,-28.82953473
3.642,-0.442316486,-28.86412997
3.643,-0.442060927,-28.8987418
3.644,-0.44180606,-28.93337027
3.645,-0.441551883,-28.96801546
3.646,-0.441298393,-29.00267743
3.647,-0.441045585,-29.03735625
3.648,-0.440793456,-29.07205199
3.649,-0.440542004,-29.10676473
3.65,-0.440291225,-29.14149452
3.651,-0.440041116,-29.17624144
3.652,-0.439791673,-29.21100557
3.653,-0.439542894,-29.24578696
3.654,-0.439294774,-29.28058569
3.655,-0.439047312,-29.31540183
3.656,-0.438800503,-29.35023545
3.657,-0.438554345,-29.38508663
3.658,-0.438308835,-29.41995544
3.659,-0.438063969,-29.45484194
3.66,-0.437819745,-29.48974622
3.661,-0.437576159,-29.52466834
3.662,-0.437333209,-29.55960838
3.663,-0.437090891,-29.59456642
3.664,-0.436849202,-29.62954252
3.665,-0.43660814,-29.66453676
3.666,-0.436367701,-29.69954923
3.667,-0.436127883,-29.73457998
3.668,-0.435888683,-29.7696291
3.669,-0.435650098,-29.80469667
3.67,-0.435412124,-29.83978277
3.671,-0.43517476,-29.87488746
3.672,-0.434938002,-29.91001082
3.673,-0.434701848,-29.94515295
3.674,-0.434466294,-29.9803139
3.675,-0.434231338,-30.01549377
3.676,-0.433996978,-30.05069262
3.677,-0.43376321,-30.08591055
3.678,-0.433530032,-30.12114763
3.679,-0.43329744,-30.15640393
3.68,-0.433065434,-30.19167955
3.681,-0.432834009,-30.22697456
3.682,-0.432603163,-30.26228904
3.683,-0.432372894,-30.29762308
3.684,-0.432143198,-30.33297676
3.685,-0.431914074,-30.36835016
3.686,-0.431685519,-30.40374336
3.687,-0.43145753,-30.43915645
3.688,-0.431230104,-30.47458951
3.689,-0.43100324,-30.51004262
3.69,-0.430776934,-30.54551588
3.691,-0.430551185,-30.58100936
3.692,-0.430325989,-30.61652316
3.693,-0.430101344,-30.65205735
3.694,-0.429877249,-30.68761203
3.695,-0.429653699,-30.72318728
3.696,-0.429430694,-30.7587832
3.697,-0.42920823,-30.79439986
3.698,-0.428986305,-30.83003735
3.699,-0.428764918,-30.86569577
3.7,-0.428544065,-30.90137521
3.701,-0.428323744,-30.93707575
3.702,-0.428103953,-30.97279749
3.703,-0.427884689,-31.00854051
3.704,-0.427665951,-31.04430491
3.705,-0.427447736,-31.08009077
3.706,-0.427230042,-31.1158982
3.707,-0.427012867,-31.15172728
3.708,-0.426796208,-31.18757811
3.709,-0.426580063,-31.22345078
3.71,-0.42636443,-31.25934539
3.711,-0.426149307,-31.29526202
3.712,-0.425934692,-31.33120078
3.713,-0.425720582,-31.36716176
3.714,-0.425506975,-31.40314506
3.715,-0.42529387,-31.43915077
3.716,-0.425081264,-31.47517899
3.717,-0.424869156,-31.51122982
3.718,-0.424657542,-31.54730335
3.719,-0.424446421,-31.58339969
3.72,-0.424235791,-31.61951893
3.721,-0.424025651,-31.65566118
3.722,-0.423815997,-31.69182653
3.723,-0.423606827,-31.72801509
3.724,-0.423398141,-31.76422695
3.725,-0.423189936,-31.80046223
3.726,-0.42298221,-31.83672101
3.727,-0.422774961,-31.87300341
3.728,-0.422568186,-31.90930952
3.729,-0.422361885,-31.94563946
3.73,-0.422156056,-31.98199332
3.731,-0.421950695,-32.01837121
3.732,-0.421745802,-32.05477324
3.733,-0.421541375,-32.09119952
3.734,-0.421337411,-32.12765014
3.735,-0.42113391,-32.16412523
3.736,-0.420930868,-32.20062487
3.737,-0.420728285,-32.2371492
3.738,-0.420526158,-32.27369831
3.739,-0.420324485,-32.31027231
3.74,-0.420123266,-32.34687131
3.741,-0.419922497,-32.38349543
3.742,-0.419722178,-32.42014478
3.743,-0.419522306,-32.45681946
3.744,-0.419322881,-32.4935196
3.745,-0.419123899,-32.5302453
3.746,-0.41892536,-32.56699668
3.747,-0.418727261,-32.60377386
3.748,-0.418529601,-32.64057695
3.749,-0.418332379,-32.67740606
3.75,-0.418135592,-32.71426131
3.751,-0.417939239,-32.75114282
3.752,-0.417743319,-32.78805071
3.753,-0.417547829,-32.82498509
3.754,-0.417352768,-32.86194609
3.755,-0.417158135,-32.89893382
3.756,-0.416963928,-32.93594841
3.757,-0.416770145,-32.97298998
3.758,-0.416576784,-33.01005864
3.759,-0.416383845,-33.04715452
3.76,-0.416191325,-33.08427775
3.761,-0.415999223,-33.12142844
3.762,-0.415807538,-33.15860672
3.763,-0.415616267,-33.19581273
3.764,-0.41542541,-33.23304657
3.765,-0.415234965,-33.27030839
3.766,-0.41504493,-33.30759831
3.767,-0.414855304,-33.34491645
3.768,-0.414666086,-33.38226294
3.769,-0.414477273,-33.41963792
3.77,-0.414288865,-33.45704151
3.771,-0.41410086,-33.49447385
3.772,-0.413913257,-33.53193506
3.773,-0.413726054,-33.56942529
