"Freq [GHz]","S(1,1) []"
1,-0.99037966415304 - 0.081849424619623i
1.001,-0.990442079521494 - 0.0812798740806068i
1.002,-0.990504045615772 - 0.0807108455781196i
1.003,-0.990565563805253 - 0.0801423377230241i
1.004,-0.990626635452828 - 0.0795743491300862i
1.005,-0.990687261914933 - 0.0790068784179613i
1.006,-0.990747444541587 - 0.0784399242091762i
1.007,-0.990807184676421 - 0.0778734851301202i
1.008,-0.990866483656712 - 0.0773075598110324i
1.009,-0.990925342813422 - 0.0767421468859818i
1.01,-0.990983763471223 - 0.0761772449928676i
1.011,-0.991041746948534 - 0.0756128527733961i
1.012,-0.991099294557554 - 0.0750489688730649i
1.013,-0.991156407604292 - 0.0744855919411617i
1.014,-0.991213087388604 - 0.0739227206307409i
1.015,-0.991269335204217 - 0.0733603535986197i
1.016,-0.991325152338769 - 0.0727984895053582i
1.017,-0.991380540073837 - 0.0722371270152448i
1.018,-0.991435499684964 - 0.0716762647962981i
1.019,-0.991490032441702 - 0.0711159015202307i
1.02,-0.99154413960763 - 0.0705560358624628i
1.021,-0.991597822440392 - 0.0699966665020896i
1.022,-0.991651082191727 - 0.0694377921218747i
1.023,-0.9917039201075 - 0.0688794114082435i
1.024,-0.991756337427727 - 0.0683215230512661i
1.025,-0.991808335386612 - 0.0677641257446373i
1.026,-0.991859915212575 - 0.0672072181856779i
1.027,-0.991911078128276 - 0.0666507990753209i
1.028,-0.991961825350653 - 0.0660948671180792i
1.029,-0.992012158090948 - 0.0655394210220643i
1.03,-0.992062077554732 - 0.0649844594989447i
1.031,-0.99211158494194 - 0.0644299812639597i
1.032,-0.992160681446898 - 0.063875985035886i
1.033,-0.99220936825835 - 0.0633224695370375i
1.034,-0.992257646559487 - 0.0627694334932444i
1.035,-0.992305517527976 - 0.0622168756338563i
1.036,-0.992352982335991 - 0.0616647946917115i
1.037,-0.992400042150234 - 0.0611131894031365i
1.038,-0.992446698131966 - 0.060562058507935i
1.039,-0.992492951437039 - 0.0600114007493663i
1.04,-0.992538803215917 - 0.0594612148741414i
1.041,-0.992584254613706 - 0.0589114996324117i
1.042,-0.992629306770182 - 0.0583622537777504i
1.043,-0.992673960819816 - 0.0578134760671468i
1.044,-0.992718217891801 - 0.0572651652609905i
1.045,-0.992762079110081 - 0.0567173201230655i
1.046,-0.992805545593375 - 0.056169939420528i
1.047,-0.992848618455204 - 0.0556230219239109i
1.048,-0.992891298803915 - 0.0550765664070916i
1.049,-0.992933587742712 - 0.0545305716472979i
1.05,-0.992975486369676 - 0.05398503642509i
1.051,-0.993016995777797 - 0.0534399595243429i
1.052,-0.993058117054992 - 0.0528953397322482i
1.053,-0.993098851284137 - 0.0523511758392888i
1.054,-0.993139199543088 - 0.0518074666392386i
1.055,-0.993179162904708 - 0.0512642109291416i
1.056,-0.99321874243689 - 0.0507214075093095i
1.057,-0.993257939202585 - 0.0501790551833025i
1.058,-0.993296754259824 - 0.0496371527579251i
1.059,-0.993335188661742 - 0.0490956990432081i
1.06,-0.993373243456604 - 0.0485546928524006i
1.061,-0.993410919687828 - 0.0480141330019602i
1.062,-0.993448218394011 - 0.0474740183115406i
1.063,-0.993485140608949 - 0.0469343476039766i
1.064,-0.993521687361663 - 0.0463951197052808i
1.065,-0.993557859676425 - 0.0458563334446258i
1.066,-0.993593658572775 - 0.0453179876543371i
1.067,-0.993629085065552 - 0.0447800811698781i
1.068,-0.993664140164911 - 0.0442426128298449i
1.069,-0.993698824876349 - 0.043705581475947i
1.07,-0.993733140200725 - 0.0431689859530103i
1.071,-0.993767087134287 - 0.0426328251089471i
1.072,-0.993800666668694 - 0.0420970977947616i
1.073,-0.993833879791032 - 0.0415618028645328i
1.074,-0.993866727483845 - 0.0410269391754023i
1.075,-0.993899210725152 - 0.0404925055875638i
1.076,-0.99393133048847 - 0.039958500964259i
1.077,-0.993963087742837 - 0.0394249241717566i
1.078,-0.993994483452832 - 0.0388917740793501i
1.079,-0.994025518578597 - 0.0383590495593417i
1.08,-0.994056194075862 - 0.0378267494870315i
1.081,-0.994086510895961 - 0.0372948727407187i
1.082,-0.994116469985856 - 0.0367634182016693i
1.083,-0.994146072288159 - 0.0362323847541297i
1.084,-0.99417531874115 - 0.0357017712852962i
1.085,-0.994204210278803 - 0.0351715766853146i
