frequency,e_Acetone,e_DI_water,e_Ethylene_Glycol,e_Glass_Cleaner,e_Hydrocal,e_Isopropyl_Acohol,e_Pine_Sol,e_Silicone_Fluid,e_Simple_Green_Cleaner,e_WD_40
1000000000,20.778,78.0857,26.8714,79.0416,2.0367,14.6761,68.2898,3.046,74.6083,1.9622
1010000000,20.7668,78.0463,26.722,79.0399,2.0506,14.576,68.2723,3.0568,74.6469,1.9725
1020000000,20.7613,78.0711,26.5245,79.0241,2.0377,14.495,68.2294,3.0269,74.5176,1.9305
1030000000,20.8076,78.0775,26.4134,79.1709,2.066,14.4352,68.2409,3.0242,74.5546,1.959
1040000000,20.8246,78.071,26.2971,79.1845,2.0647,14.3939,68.2486,3.0288,74.6115,1.9882
1050000000,20.822,78.0687,26.0801,79.1923,2.0571,14.2705,68.2043,3.028,74.5618,1.9746
1060000000,20.8472,78.0266,25.9598,79.2102,2.0796,14.2712,68.1591,3.0646,74.5261,1.9839
1070000000,20.8433,78.0734,25.8533,79.2123,2.0733,14.1869,68.1611,3.0468,74.525,1.9879
1080000000,20.8368,78.0664,25.6074,79.1815,2.0719,14.1092,68.0459,3.0233,74.3706,1.9765
1090000000,20.7979,77.99,25.4616,79.0674,2.0342,13.9533,67.9716,3.0542,74.2797,1.9803
1100000000,20.8174,78.0373,25.3556,79.095,2.0727,13.9298,67.9564,3.0603,74.2688,1.9944
1110000000,20.7984,78.0279,25.1774,79.0925,2.0637,13.8451,67.9052,3.0468,74.117,1.9831
1120000000,20.8024,78.0175,25.0143,79.084,2.0571,13.7596,67.8617,3.1117,74.1697,1.9831
1130000000,20.8265,78.0144,24.9296,79.103,2.072,13.7298,67.8531,3.1002,74.2221,1.9826
1140000000,20.8181,77.9841,24.7592,79.1041,2.0608,13.6323,67.7952,3.1046,74.1207,1.9946
1150000000,20.8564,78.0131,24.6674,79.1057,2.0966,13.6002,67.8517,3.1233,74.2417,1.9688
1160000000,20.8272,78.0022,24.4957,79.0318,2.0608,13.5107,67.7596,3.106,74.1411,1.9851
1170000000,20.8415,78.0284,24.3363,78.9929,2.0635,13.4333,67.7141,3.1097,74.0311,1.9872
1180000000,20.8185,77.994,24.1963,78.8794,2.0667,13.36,67.644,3.1014,73.9927,2.008
1190000000,20.8071,77.9956,24.0588,78.835,2.0589,13.2874,67.5594,3.1129,73.9652,1.9238
1200000000,20.7916,77.98,23.8895,78.7291,2.0489,13.2006,67.5412,3.1093,73.8059,1.9901
1210000000,20.8022,77.9923,23.7573,78.6913,2.0572,13.1496,67.5139,3.1132,73.8442,1.9948
1220000000,20.852,78.0031,23.6241,78.6991,2.0519,13.0758,67.5281,3.1423,73.8808,2.0134
1230000000,20.7905,77.963,23.4672,78.6658,2.0365,13.0093,67.4457,3.1142,73.7989,1.9845
1240000000,20.8208,77.9686,23.4253,78.69,2.0636,13.0025,67.5444,3.1171,73.9103,1.9883
