frequency,e_Acetone,e_DI_water,e_Ethylene_Glycol,e_Glass_Cleaner,e_Hydrocal,e_Isopropyl_Acohol,e_Pine_Sol,e_Silicone_Fluid,e_Simple_Green_Cleaner,e_WD_40
1250000000,20.8291,77.9714,23.2775,78.7296,2.0447,12.9085,67.527,3.1127,73.9154,2.0015
1260000000,20.8418,77.9507,23.1672,78.7925,2.0328,12.8996,67.5865,3.1013,73.9569,1.9822
1270000000,20.8814,77.9517,23.0977,78.8904,2.0728,12.8587,67.6241,3.0979,74.0059,1.9809
1280000000,20.8765,77.9326,22.9667,78.9302,2.0568,12.7787,67.6568,3.0817,73.9251,2.006
1290000000,20.9076,77.9762,22.8005,78.9574,2.0289,12.7308,67.6468,3.0761,73.9541,1.9925
1300000000,20.8881,77.9348,22.7186,78.9802,2.0592,12.6596,67.6387,3.1116,73.9398,1.9983
1310000000,20.8798,77.9362,22.5699,78.9621,2.0509,12.5867,67.6082,3.1329,73.8434,2.0013
1320000000,20.9295,77.9433,22.4346,78.8903,2.0663,12.552,67.5917,3.1171,73.871,2.0082
1330000000,20.883,77.914,22.3208,78.7573,2.0594,12.4757,67.5282,3.1272,73.7893,2.0142
1340000000,20.8819,77.8964,22.1554,78.6243,2.0496,12.4101,67.4413,3.1194,73.6362,2.0108
1350000000,20.886,77.9205,22.0485,78.5373,2.0258,12.3721,67.408,3.1207,73.6898,1.9866
1360000000,20.8794,77.9187,21.964,78.4646,2.0708,12.3148,67.3704,3.1065,73.6121,1.993
1370000000,20.8767,77.9099,21.8283,78.3867,2.0695,12.233,67.3485,3.0989,73.5245,2.0064
1380000000,20.8844,77.9073,21.6839,78.3136,2.0947,12.1514,67.3258,3.1046,73.4845,1.9939
1390000000,20.8534,77.9075,21.5418,78.257,2.1144,12.0823,67.2518,3.1538,73.422,1.9375
1400000000,20.8601,77.8878,21.5005,78.2728,2.047,12.0703,67.2986,3.1127,73.4639,1.9944
1410000000,20.8747,77.9011,21.4404,78.323,2.0958,12.0405,67.315,3.1087,73.5843,1.9863
1420000000,20.8814,77.9365,21.3513,78.3597,2.0511,11.9757,67.3237,3.0777,73.6363,1.9841
1430000000,20.9064,77.9097,21.2338,78.4413,2.0673,11.971,67.347,3.12,73.6379,1.9894
1440000000,20.9469,77.9359,21.2181,78.5559,2.0618,11.9593,67.4604,3.1328,73.8028,1.9973
1450000000,20.9685,77.9296,21.1117,78.6575,2.0698,11.8929,67.5063,3.138,73.8438,2.0104
1460000000,20.9931,77.925,21.0168,78.762,2.0736,11.8713,67.5809,3.1339,73.8799,2.0082
1470000000,21.0334,77.927,20.9688,78.8821,2.0794,11.8454,67.6701,3.1288,73.9898,2.0162
1480000000,21.0304,77.9137,20.8209,78.9314,2.0765,11.7746,67.6863,3.138,73.9253,1.9975
1490000000,21.0391,77.8479,20.7234,79.0354,2.0752,11.7492,67.6697,3.1217,73.9509,2.0133
1500000000,21.0284,77.8731,20.6497,79.0242,2.0806,11.6972,67.7057,3.117,73.9663,2.016
1510000000,21.0302,77.8478,20.4948,79.0405,2.113,11.6359,67.6359,3.1118,73.8928,2.0126
1520000000,20.9966,77.8436,20.3975,79.0027,2.0964,11.5527,67.5849,3.1013,73.8324,2.0239
1530000000,20.9775,77.8312,20.3044,78.9866,2.091,11.5314,67.54,3.0858,73.7694,2.0164
1540000000,20.9473,77.8285,20.1604,78.9653,2.097,11.4564,67.4435,3.0759,73.6661,2.0087
1550000000,20.9129,77.8124,20.0838,78.9365,2.0826,11.4131,67.4383,3.0896,73.6269,2.0196
1560000000,20.8673,77.791,19.9775,78.9203,2.0891,11.3628,67.4024,3.0801,73.5809,2.0132
1570000000,20.8141,77.7445,19.8319,78.8991,2.0642,11.3028,67.3179,3.0836,73.4951,2.0195
1580000000,20.8366,77.7875,19.7912,78.951,2.0828,11.2724,67.3698,3.1033,73.5644,2.0342
1590000000,20.8117,77.7692,19.7115,78.982,2.0833,11.238,67.3886,3.1104,73.573,2.0223
1600000000,20.8383,77.7698,19.592,79.0357,2.089,11.2001,67.4257,3.1259,73.6153,2.0196
1610000000,20.8452,77.7528,19.5444,79.0833,2.0819,11.1658,67.4299,3.1287,73.6613,2.0231
1620000000,20.8431,77.7232,19.4702,79.1331,2.0726,11.1267,67.4724,3.136,73.6788,2.0233
1630000000,20.8756,77.7313,19.3641,79.1852,2.0741,11.0662,67.5297,3.1451,73.705,2.0282
1640000000,20.9077,77.7278,19.3033,79.2534,2.0899,11.0579,67.5151,3.1485,73.731,2.0255
1650000000,20.9107,77.7278,19.2133,79.2836,2.0806,11.0098,67.5291,3.1491,73.7258,2.015
1660000000,20.9092,77.7199,19.0963,79.3043,2.0786,10.9367,67.5188,3.1543,73.7155,2.0234
1670000000,20.9341,77.7279,19.0222,79.348,2.0752,10.9072,67.5463,3.15,73.7294,2.0086
1680000000,20.9607,77.7026,18.933,79.3538,2.0896,10.8589,67.4914,3.1923,73.683,2.0222
1690000000,20.9321,77.7136,18.8061,79.3652,2.0653,10.7816,67.471,3.1842,73.6056,1.9782
1700000000,20.9597,77.7012,18.7346,79.3535,2.0787,10.7683,67.4162,3.1633,73.6208,2.0315
1710000000,20.9799,77.6926,18.6351,79.3554,2.0823,10.7339,67.3827,3.1711,73.5705,2.0176
1720000000,20.9984,77.6954,18.5498,79.3728,2.0892,10.7053,67.346,3.1707,73.5321,2.011
1730000000,20.9934,77.6963,18.4405,79.3662,2.0757,10.6495,67.3135,3.1755,73.4874,2.0169
1740000000,21.0239,77.6978,18.3321,79.3183,2.0801,10.6124,67.2868,3.1932,73.4069,1.9957
1750000000,20.9942,77.6903,18.2483,79.3553,2.0711,10.5607,67.2512,3.1859,73.3958,2.0174
1760000000,21.0005,77.6739,18.1728,79.3503,2.077,10.527,67.2077,3.1855,73.3395,2.0214
1770000000,21.0095,77.6796,18.0767,79.3634,2.0901,10.4429,67.1958,3.1914,73.3082,2.0329
1780000000,20.9999,77.6747,18.0128,79.3445,2.0735,10.4221,67.1667,3.1793,73.2879,2.0406
1790000000,21.0055,77.6626,17.9347,79.3519,2.0715,10.3983,67.1485,3.1838,73.2536,2.044
1800000000,21.0139,77.6679,17.8592,79.3533,2.0866,10.3732,67.1055,3.1597,73.2247,2.0346
1810000000,21.0213,77.6542,17.7741,79.3401,2.0875,10.3416,67.0748,3.1452,73.1902,2.0398
1820000000,21.0215,77.6523,17.7183,79.3473,2.0866,10.2983,67.0659,3.1269,73.1826,2.045
1830000000,21.0272,77.6264,17.6412,79.3404,2.0909,10.2745,67.0465,3.1311,73.1582,2.037
1840000000,21.0126,77.6261,17.57,79.3213,2.0911,10.2371,67.0162,3.1255,73.1416,2.046
1850000000,20.9991,77.5994,17.4849,79.3029,2.0923,10.1919,67.0144,3.1337,73.1037,2.0273
1860000000,20.9934,77.5963,17.4131,79.2842,2.0867,10.155,67.0082,3.1337,73.0938,2.0203
1870000000,20.9902,77.5805,17.3397,79.2482,2.088,10.1108,66.9777,3.1423,73.0649,2.0325
1880000000,20.958,77.5731,17.2606,79.2203,2.0896,10.0708,66.9584,3.1469,73.0365,2.0316
1890000000,20.9548,77.5629,17.184,79.1627,2.09,10.0347,66.9105,3.1464,72.989,2.0262
1900000000,20.9268,77.5615,17.0956,79.1191,2.0911,9.9964,66.8747,3.1495,72.9519,2.0286
1910000000,20.9157,77.5553,17.0296,79.0772,2.085,9.956,66.8542,3.1384,72.9246,2.0342
1920000000,20.9082,77.5483,16.9493,79.0299,2.0833,9.9191,66.8161,3.135,72.8907,2.027
1930000000,20.8999,77.5528,16.863,78.9919,2.0791,9.8826,66.7936,3.14,72.849,2.0335
1940000000,20.8962,77.5523,16.8055,78.9545,2.0935,9.848,66.7503,3.1343,72.7929,2.0297
1950000000,20.8909,77.5409,16.7275,78.9048,2.0844,9.8146,66.7303,3.1297,72.7706,2.0141
1960000000,20.8868,77.5483,16.6498,78.8866,2.096,9.7698,66.6882,3.137,72.7272,2.024
1970000000,20.8889,77.5433,16.5773,78.8541,2.0971,9.7404,66.6634,3.1234,72.6805,2.0234
1980000000,20.8808,77.5436,16.5048,78.8233,2.0903,9.7024,66.65,3.1329,72.6691,2.0175
1990000000,20.8894,77.5501,16.4357,78.8047,2.0825,9.674,66.6236,3.1232,72.6405,2.0197
2000000000,20.8927,77.5345,16.3815,78.7802,2.0944,9.6484,66.5946,3.1196,72.616,2.0274
2010000000,20.8903,77.5159,16.3139,78.7358,2.1021,9.6202,66.5532,3.1149,72.5871,2.0299
2020000000,20.8875,77.5189,16.2513,78.7059,2.1028,9.5987,66.509,3.1117,72.5528,2.031
2030000000,20.8729,77.5113,16.1799,78.673,2.0936,9.5559,66.4759,3.1114,72.491,2.0241
2040000000,20.885,77.5179,16.1155,78.6596,2.1017,9.5431,66.4589,3.1356,72.4557,2.0318
2050000000,20.8633,77.493,16.0571,78.6098,2.0878,9.5041,66.4142,3.1369,72.3954,2.0242
2060000000,20.8607,77.4919,15.9725,78.5808,2.0891,9.4591,66.3879,3.1465,72.3433,2.023
2070000000,20.8669,77.4794,15.9019,78.576,2.0987,9.4274,66.3722,3.1387,72.3277,2.0221
2080000000,20.8518,77.4841,15.8449,78.5361,2.08,9.3909,66.3589,3.144,72.3143,2.0286
2090000000,20.8594,77.4631,15.7688,78.5201,2.0852,9.3659,66.3276,3.1436,72.2877,2.0255
2100000000,20.858,77.4706,15.7076,78.4979,2.0786,9.3332,66.3162,3.1483,72.2803,2.0311
2110000000,20.861,77.4506,15.6551,78.4775,2.0767,9.305,66.3041,3.1539,72.2632,2.0388
2120000000,20.8698,77.4502,15.6023,78.4562,2.0806,9.2883,66.2949,3.1417,72.2565,2.0213
2130000000,20.875,77.4377,15.5433,78.4352,2.0757,9.2594,66.2434,3.1507,72.2209,2.0208
2140000000,20.8665,77.4268,15.4831,78.4206,2.0723,9.2249,66.2516,3.1508,72.2053,2.0199
2150000000,20.8798,77.4193,15.4235,78.4303,2.0838,9.2011,66.2388,3.1444,72.1968,2.0255
2160000000,20.8859,77.4164,15.3701,78.4041,2.0728,9.1685,66.2243,3.155,72.1979,2.0172
2170000000,20.8787,77.4024,15.3065,78.3957,2.0748,9.1369,66.1868,3.1552,72.17,2.0159
2180000000,20.8784,77.3941,15.243,78.3816,2.0713,9.1102,66.1698,3.1476,72.1405,2.0196
2190000000,20.8965,77.3856,15.2114,78.3798,2.0814,9.0942,66.145,3.1474,72.1533,2.0277
2200000000,20.8904,77.3868,15.1565,78.3729,2.0785,9.0714,66.1316,3.1369,72.133,2.016
2210000000,20.8984,77.367,15.1079,78.3747,2.0782,9.0487,66.1304,3.1256,72.1202,2.0187
2220000000,20.8947,77.3505,15.0577,78.3575,2.0752,9.018,66.0984,3.1258,72.0874,2.012
2230000000,20.8864,77.3399,15.0046,78.3541,2.0815,8.9875,66.0725,3.1217,72.0662,2.0114
2240000000,20.8812,77.325,14.9505,78.3483,2.0878,8.9566,66.0362,3.1157,72.0304,2.0139
2250000000,20.8782,77.3092,14.8906,78.3298,2.087,8.9319,66.0247,3.1134,71.9953,2.0031
2260000000,20.8813,77.2963,14.8313,78.3142,2.08,8.9067,65.986,3.123,71.9827,2.0093
2270000000,20.8799,77.278,14.7837,78.309,2.0798,8.8882,65.9649,3.116,71.958,2.008
2280000000,20.8614,77.2634,14.7214,78.2753,2.0789,8.8546,65.9072,3.1119,71.8902,2.0148
2290000000,20.8718,77.2495,14.6872,78.2738,2.0861,8.8475,65.8827,3.1053,71.8886,2.0192
2300000000,20.8685,77.2344,14.6359,78.253,2.0878,8.8236,65.8377,3.1099,71.8464,2.0231
2310000000,20.8617,77.2312,14.5885,78.254,2.0916,8.7953,65.8052,3.1037,71.7967,2.0239
2320000000,20.8537,77.2081,14.5371,78.2088,2.0988,8.7701,65.7674,3.0974,71.7367,2.0091
2330000000,20.8626,77.2034,14.4978,78.2061,2.0943,8.7568,65.722,3.1015,71.7077,2.0216
2340000000,20.8565,77.2073,14.4421,78.1839,2.0997,8.7233,65.6932,3.1017,71.6618,2.0192
2350000000,20.8517,77.2051,14.3819,78.1567,2.0973,8.6912,65.6507,3.0993,71.6098,2.0248
2360000000,20.8471,77.1953,14.3301,78.1342,2.0892,8.666,65.6044,3.0959,71.5813,2.0245
2370000000,20.8519,77.1975,14.2823,78.1206,2.0936,8.6522,65.5694,3.0907,71.5587,2.024
2380000000,20.8544,77.1836,14.2332,78.1074,2.1006,8.6378,65.512,3.0816,71.5081,2.016
2390000000,20.848,77.1812,14.1879,78.0735,2.0993,8.616,65.4821,3.0836,71.4681,2.0167
2400000000,20.831,77.1574,14.1298,78.0188,2.0877,8.5833,65.4154,3.0809,71.4052,2.0149
2410000000,20.8372,77.1548,14.0957,78.0078,2.0935,8.5586,65.3901,3.0931,71.3745,2.0116
2420000000,20.8194,77.1327,14.0376,77.9554,2.0804,8.5245,65.3306,3.1012,71.2929,2.0244
2430000000,20.8238,77.13,13.9857,77.9349,2.0858,8.4937,65.302,3.1052,71.2778,2.0106
2440000000,20.8243,77.1151,13.937,77.9324,2.0823,8.4726,65.2797,3.1119,71.2599,2.0058
2450000000,20.8184,77.1058,13.8859,77.902,2.0841,8.4463,65.2537,3.1211,71.2336,2.0041
2460000000,20.832,77.0866,13.8447,77.8979,2.0922,8.4288,65.226,3.1237,71.2115,2.0106
2470000000,20.8305,77.0746,13.7946,77.8921,2.0879,8.4055,65.2192,3.1226,71.2227,2.0132
2480000000,20.8302,77.0582,13.7623,77.8811,2.091,8.3915,65.1924,3.1169,71.1993,2.0074
2490000000,20.8166,77.063,13.7127,77.8781,2.0919,8.3591,65.1846,3.1201,71.168,2.0085
2500000000,20.8032,77.027,13.68,77.8467,2.0945,8.3351,65.1307,3.1077,71.1291,2.0109
2510000000,20.7879,77.0125,13.635,77.8299,2.0958,8.3131,65.126,3.1166,71.1326,2.0076
2520000000,20.7907,77.001,13.5836,77.8243,2.0892,8.2986,65.1074,3.1222,71.1099,2.0008
2530000000,20.7834,77.0073,13.543,77.8127,2.0912,8.2728,65.0793,3.1232,71.0929,2.0079
2540000000,20.7928,76.9976,13.4989,77.8132,2.0854,8.2611,65.0761,3.128,71.1177,2.0042
2550000000,20.7791,76.9988,13.4674,77.8135,2.0783,8.2419,65.0758,3.1356,71.1077,2.009
2560000000,20.7914,77.0027,13.422,77.8014,2.0719,8.2248,65.0816,3.1418,71.0962,2.0165
2570000000,20.7853,77.0009,13.3839,77.7986,2.0738,8.2103,65.0776,3.144,71.1012,2.0137
2580000000,20.7841,76.9888,13.355,77.7914,2.075,8.1937,65.0753,3.1395,71.1154,2.0081
2590000000,20.7862,76.9948,13.3166,77.7821,2.0724,8.1777,65.0769,3.1299,71.1026,2.016
2600000000,20.7974,76.9737,13.2817,77.7667,2.0809,8.1536,65.054,3.1176,71.0757,2.0062
2610000000,20.8035,76.9581,13.2412,77.7609,2.0753,8.1362,65.0541,3.1176,71.0764,2.0075
2620000000,20.8169,76.9402,13.2169,77.7413,2.0805,8.1224,65.036,3.1152,71.0629,2.0098
2630000000,20.8153,76.9198,13.1775,77.7222,2.0778,8.1065,65.023,3.139,71.0436,2.0148
2640000000,20.8185,76.9048,13.1501,77.7002,2.0801,8.0906,65.0048,3.1377,71.0362,2.0069
2650000000,20.8203,76.8919,13.1071,77.6656,2.0775,8.0767,64.9837,3.147,71.0474,2.0035
2660000000,20.8201,76.8588,13.0882,77.6424,2.0796,8.0586,64.954,3.1496,71.0261,2.0047
2670000000,20.8251,76.8693,13.0538,77.6229,2.073,8.0462,64.9521,3.1518,70.9931,2.0203
2680000000,20.8349,76.8462,13.0238,77.6138,2.0853,8.0335,64.9416,3.1497,71.0225,2.0162
2690000000,20.838,76.8406,12.9991,77.6161,2.0829,8.0117,64.9513,3.1416,71.0165,2.0149
2700000000,20.8618,76.837,12.9807,77.6045,2.0883,8.0045,64.9393,3.1406,71.0058,2.0112
2710000000,20.8567,76.8223,12.9368,77.6035,2.0859,7.9845,64.9458,3.1333,71.0018,2.0035
2720000000,20.8854,76.8209,12.9094,77.6045,2.0871,7.9768,64.9618,3.1368,71.0235,2.0114
2730000000,20.8871,76.8218,12.8825,77.5924,2.0837,7.9569,64.9366,3.1322,71.0276,1.9999
2740000000,20.888,76.8153,12.8496,77.571,2.0846,7.949,64.9136,3.1254,71.0016,2.0022
2750000000,20.898,76.8131,12.8166,77.5339,2.0877,7.9391,64.8779,3.1219,70.9885,1.9969
2760000000,20.9016,76.8062,12.7859,77.4965,2.0957,7.9255,64.8426,3.1117,70.9636,1.9982
2770000000,20.8902,76.8161,12.754,77.4507,2.0924,7.9113,64.7959,3.1036,70.9203,2.0046
2780000000,20.8788,76.8001,12.7196,77.4015,2.0858,7.894,64.7441,3.0959,70.8655,2.0034
2790000000,20.8698,76.7974,12.6867,77.3741,2.0846,7.8694,64.7263,3.0791,70.8191,2.0108
2800000000,20.8686,76.7837,12.6498,77.3403,2.0933,7.8576,64.6704,3.0656,70.7665,2.0041
2810000000,20.8562,76.7603,12.6126,77.3023,2.0936,7.8374,64.6343,3.0595,70.7077,2.0056
2820000000,20.8609,76.7508,12.5835,77.2772,2.0978,7.8256,64.6007,3.0621,70.6913,2.0006
2830000000,20.8552,76.7422,12.5489,77.2498,2.096,7.8057,64.5635,3.0622,70.6693,2.0047
2840000000,20.8511,76.7141,12.5147,77.2059,2.0962,7.7972,64.517,3.0674,70.627,2.0005
2850000000,20.8426,76.6981,12.4793,77.1744,2.0975,7.7791,64.4764,3.0756,70.6039,2.0016
2860000000,20.8277,76.6792,12.4418,77.1419,2.0896,7.7609,64.4238,3.084,70.5617,1.9997
2870000000,20.8207,76.6567,12.4118,77.1089,2.087,7.7498,64.3799,3.0902,70.5274,2.0021
2880000000,20.8026,76.6341,12.3685,77.0661,2.0885,7.7256,64.3455,3.0963,70.4433,2.004
2890000000,20.8036,76.6072,12.3312,77.0687,2.0895,7.7115,64.3015,3.1044,70.4116,2.0011
2900000000,20.797,76.5907,12.3073,77.0554,2.0926,7.6848,64.2896,3.0998,70.3908,2.0017
2910000000,20.7909,76.5703,12.2685,77.058,2.0855,7.6682,64.2802,3.1078,70.3782,2
2920000000,20.7943,76.5523,12.2343,77.0622,2.0816,7.6541,64.2729,3.1132,70.3657,2.0089
2930000000,20.8013,76.5332,12.2041,77.0678,2.0771,7.6414,64.2563,3.1225,70.3711,1.9973
2940000000,20.8155,76.5192,12.1814,77.0835,2.0777,7.6278,64.2588,3.1285,70.3831,2.0014
2950000000,20.8208,76.517,12.1565,77.0847,2.0678,7.6153,64.2544,3.1343,70.3821,1.9997
2960000000,20.8256,76.486,12.1154,77.0958,2.0861,7.5972,64.2306,3.1328,70.3759,1.999
2970000000,20.8359,76.4814,12.1037,77.1322,2.0734,7.5859,64.2516,3.1397,70.3984,1.9988
2980000000,20.841,76.4784,12.0768,77.1533,2.073,7.5737,64.2443,3.1488,70.3883,1.9928
2990000000,20.8501,76.4618,12.0504,77.1731,2.075,7.5478,64.2506,3.1552,70.3898,1.996
3000000000,20.8563,76.4578,12.028,77.1827,2.0778,7.5319,64.2656,3.167,70.4274,1.9924
3010000000,20.8679,76.4441,11.996,77.227,2.0743,7.5222,64.2868,3.1789,70.4425,1.9909
3020000000,20.8763,76.4489,11.9697,77.2728,2.0726,7.5109,64.3224,3.1882,70.4876,1.9929
3030000000,20.9005,76.4456,11.9483,77.3269,2.0756,7.5072,64.3593,3.1867,70.5447,1.998
3040000000,20.924,76.4344,11.9289,77.3618,2.0561,7.5038,64.3989,3.1937,70.6067,2.0005
3050000000,20.9329,76.4363,11.9083,77.3946,2.0686,7.4973,64.4031,3.1981,70.6493,1.9896
3060000000,20.9345,76.4351,11.8836,77.4168,2.0566,7.4751,64.4089,3.1976,70.6413,1.9924
3070000000,20.9713,76.4421,11.8816,77.4703,2.0642,7.4823,64.4603,3.1944,70.7025,1.9964
3080000000,20.9734,76.4443,11.8641,77.497,2.0652,7.4657,64.4771,3.1985,70.721,1.9988
3090000000,20.9912,76.4657,11.8443,77.5278,2.0747,7.4626,64.4956,3.1986,70.7297,1.9959
3100000000,20.999,76.4675,11.8132,77.5514,2.0702,7.4476,64.5209,3.2028,70.7598,1.9896
3110000000,21.0171,76.4719,11.7999,77.5983,2.0683,7.4434,64.5495,3.2017,70.7844,1.9906
3120000000,21.0254,76.4841,11.7902,77.6331,2.0689,7.429,64.5719,3.204,70.8277,1.9929
3130000000,21.032,76.4745,11.7764,77.6411,2.0753,7.4121,64.5867,3.1971,70.8599,1.9896
3140000000,21.0468,76.468,11.7553,77.6387,2.0715,7.4191,64.5805,3.1893,70.8748,1.9993
3150000000,21.057,76.4555,11.7345,77.6444,2.0754,7.4103,64.5825,3.1844,70.8854,1.9995
3160000000,21.0636,76.4447,11.7184,77.6356,2.0786,7.4102,64.5822,3.1685,70.9025,1.9943
3170000000,21.0693,76.425,11.703,77.6386,2.0897,7.4023,64.572,3.1607,70.8824,1.9972
3180000000,21.0747,76.4196,11.6815,77.6584,2.0953,7.389,64.5726,3.1554,70.8882,2.0077
3190000000,21.0739,76.3925,11.6634,77.6513,2.0968,7.3808,64.561,3.1483,70.8674,2.0087
3200000000,21.0702,76.3649,11.6452,77.6494,2.0998,7.3672,64.5419,3.146,70.8655,2.0078
3210000000,21.0763,76.3418,11.624,77.6323,2.1007,7.3573,64.536,3.1428,70.8568,2.0167
3220000000,21.075,76.3215,11.6041,77.6048,2.0926,7.3509,64.5009,3.1466,70.8364,2.0165
3230000000,21.0633,76.2957,11.5848,77.545,2.1015,7.3352,64.4552,3.1426,70.7776,2.0192
3240000000,21.0476,76.2781,11.5517,77.4678,2.1012,7.3201,64.3906,3.1355,70.6974,2.0145
3250000000,21.0354,76.2587,11.5323,77.4119,2.1035,7.3149,64.3373,3.1276,70.6332,2.0232
3260000000,21.015,76.2475,11.5039,77.3335,2.1055,7.3044,64.2666,3.1181,70.5501,2.0196
3270000000,20.993,76.2144,11.477,77.2705,2.1031,7.285,64.2077,3.1043,70.4574,2.0207
3280000000,20.9808,76.202,11.441,77.2484,2.1076,7.2727,64.1693,3.0963,70.4159,2.0165
3290000000,20.977,76.1864,11.4193,77.2142,2.1121,7.262,64.1304,3.0916,70.3919,2.018
3300000000,20.9686,76.1635,11.3909,77.172,2.112,7.2466,64.0789,3.0884,70.3575,2.0175
3310000000,20.9656,76.1545,11.3664,77.146,2.1139,7.2345,64.0398,3.0921,70.3337,2.0222
3320000000,20.9566,76.1412,11.3372,77.101,2.1104,7.2248,63.9907,3.0942,70.294,2.0229
3330000000,20.9443,76.1231,11.3067,77.054,2.1145,7.2104,63.9334,3.1043,70.2318,2.0228
3340000000,20.9305,76.1026,11.2817,76.993,2.1138,7.199,63.8693,3.1099,70.1671,2.0205
3350000000,20.9173,76.0923,11.2472,76.9417,2.1088,7.1792,63.8107,3.1134,70.0902,2.0256
3360000000,20.8991,76.0783,11.2169,76.895,2.1063,7.159,63.7517,3.1111,70.0132,2.0205
3370000000,20.8855,76.0618,11.1862,76.8825,2.109,7.1377,63.7226,3.1135,69.977,2.0213
3380000000,20.8865,76.0418,11.1556,76.8875,2.1062,7.1252,63.6991,3.117,69.9521,2.0194
3390000000,20.8858,76.0312,11.1212,76.9034,2.1083,7.1073,63.7152,3.1109,69.9629,2.0137
3400000000,20.8961,76.0161,11.1006,76.9177,2.1043,7.0947,63.7152,3.1241,69.9996,2.013
3410000000,20.9009,76.0029,11.0759,76.9233,2.0979,7.0854,63.7165,3.1413,70.0279,2.0144
3420000000,20.9061,75.9781,11.0417,76.9079,2.1022,7.073,63.7021,3.1509,70.0203,2.0097
3430000000,20.9019,75.9788,11.0152,76.8872,2.0893,7.0596,63.6864,3.1686,70.0173,2.0054
3440000000,20.9065,75.9752,10.9942,76.8779,2.0863,7.0482,63.68,3.1845,70.006,2.0019
3450000000,20.8937,75.9564,10.9674,76.8569,2.0843,7.0295,63.6487,3.1957,69.9565,1.9982
3460000000,20.8947,75.9467,10.9398,76.8616,2.083,7.0162,63.6415,3.207,69.9419,1.9909
3470000000,20.8954,75.9372,10.918,76.8809,2.073,6.9991,63.6586,3.2112,69.9509,1.9906
3480000000,20.9012,75.918,10.9001,76.9097,2.0762,6.9853,63.6951,3.2202,69.9734,1.9873
3490000000,20.9145,75.9141,10.8745,76.9543,2.0701,6.9738,63.7213,3.2155,70.0194,1.9894
3500000000,20.9345,75.8937,10.8462,77.0065,2.0658,6.9695,63.7556,3.2153,70.0804,1.984
3510000000,20.9463,75.8766,10.8396,77.0523,2.0672,6.9646,63.8001,3.22,70.1506,1.9882
3520000000,20.9494,75.8471,10.8192,77.0542,2.0611,6.9557,63.7927,3.2171,70.1768,1.9841
3530000000,20.9633,75.8301,10.808,77.0632,2.0588,6.9513,63.8011,3.2257,70.1846,1.9958
3540000000,20.9658,75.8122,10.8007,77.0719,2.0606,6.9509,63.7993,3.2311,70.1933,1.9949
