Freq,Water
20000000,77.8114
59960000,78.3127
99920000,78.1749
139880000,78.4338
179840000,78.3594
219800000,78.3039
259760000,78.3566
299720000,78.2881
339680000,78.3729
379640000,78.3371
419600000,78.3304
459560000,78.2904
499520000,78.3135
539480000,78.2856
579440000,78.3063
619400000,78.2797
659360000,78.2815
699320000,78.2719
739280000,78.3399
779240000,78.2131
819200000,78.2296
859160000,78.2182
899120000,78.1661
939080000,78.1533
979040000,78.1903
1019000000,78.1762
1058960000,78.1276
1098920000,78.118
1138880000,78.0815
1178840000,78.0512
1218800000,78.055
1258760000,78.0192
1298720000,78.0355
1338680000,78.0348
1378640000,77.9994
1418600000,77.9853
1458560000,77.9574
1498520000,77.9422
1538480000,77.9234
1578440000,77.8852
1618400000,77.8645
1658360000,77.8295
1698320000,77.8052
1738280000,77.7809
1778240000,77.7446
1818200000,77.7114
1858160000,77.6923
1898120000,77.6612
1938080000,77.6189
1978040000,77.594
2018000000,77.5766
2057960000,77.5485
2097920000,77.5176
2137880000,77.4933
2177840000,77.4489
2217800000,77.422
2257760000,77.384
2297720000,77.3625
2337680000,77.3283
2377640000,77.2765
2417600000,77.2252
2457560000,77.1832
2497520000,77.1452
2537480000,77.0964
2577440000,77.0533
2617400000,77.0066
2657360000,76.9672
2697320000,76.9362
2737280000,76.8906
2777240000,76.8623
2817200000,76.811
2857160000,76.7749
2897120000,76.7451
2937080000,76.6996
2977040000,76.6605
3017000000,76.6082
3056960000,76.5561
3096920000,76.5048
3136880000,76.4636
3176840000,76.4085
3216800000,76.3452
3256760000,76.285
3296720000,76.2359
3336680000,76.1879
3376640000,76.1324
3416600000,76.0665
3456560000,76.0091
3496520000,75.981
3536480000,75.9371
3576440000,75.896
3616400000,75.8492
3656360000,75.7919
3696320000,75.7429
3736280000,75.6817
3776240000,75.6208
3816200000,75.551
3856160000,75.4888
3896120000,75.4072
3936080000,75.3322
3976040000,75.3057
4016000000,75.2457
4055960000,75.196
4095920000,75.138
4135880000,75.0822
4175840000,75.0298
4215800000,74.9713
4255760000,74.8966
4295720000,74.8165
4335680000,74.7657
4375640000,74.6968
4415600000,74.6259
4455560000,74.5633
4495520000,74.4906
4535480000,74.4501
4575440000,74.374
4615400000,74.3017
4655360000,74.2459
4695320000,74.1635
4735280000,74.0857
4775240000,74.0124
4815200000,73.9469
