Freq(Hz),S21 Phase_measured(deg),S21 Phase_HFSS(deg)
1176000000,-1.0573192,-0.154249085
1177000000,-1.1021662,-0.154984324
1178000000,-1.0775987,-0.155718293
1179000000,-1.0147599,-0.156450992
1180000000,-0.91412199,-0.157182425
1181000000,-0.94583863,-0.157912591
1182000000,-1.1490767,-0.158641494
1183000000,-0.83663362,-0.159369133
1184000000,-1.0713546,-0.160095511
1185000000,-0.87393224,-0.16082063
1186000000,-1.0367271,-0.161544491
1187000000,-1.0816317,-0.162267094
1188000000,-0.92654866,-0.162988443
1189000000,-0.84334219,-0.163708538
1190000000,-0.92707366,-0.164427381
1191000000,-0.89920223,-0.165144974
1192000000,-0.85169411,-0.165861317
1193000000,-1.0013853,-0.166576413
1194000000,-1.0944808,-0.167290264
1195000000,-0.86625195,-0.168002869
1196000000,-0.88324749,-0.168714232
1197000000,-0.86202157,-0.169424354
1198000000,-1.1069103,-0.170133235
1199000000,-0.93427151,-0.170840879
1200000000,-0.97807509,-0.171547285
1201000000,-1.0617598,-0.172252457
1202000000,-0.94702023,-0.172956395
1203000000,-1.2553504,-0.1736591
1204000000,-0.9080773,-0.174360575
1205000000,-1.0523016,-0.175060821
1206000000,-0.79856998,-0.17575984
1207000000,-0.87185603,-0.176457632
1208000000,-1.1502762,-0.1771542
1209000000,-1.1302154,-0.177849545
1210000000,-0.82747447,-0.178543669
1211000000,-1.0446694,-0.179236573
1212000000,-0.97463781,-0.179928258
1213000000,-0.87457389,-0.180618727
1214000000,-0.94573873,-0.181307981
1215000000,-1.0184985,-0.18199602
1216000000,-0.93569791,-0.182682848
1217000000,-0.98123479,-0.183368465
1218000000,-0.95805985,-0.184052873
1219000000,-0.98133659,-0.184736073
1220000000,-1.0781826,-0.185418068
1221000000,-1.0073204,-0.186098858
1222000000,-1.1519731,-0.186778445
1223000000,-0.98676467,-0.18745683
1224000000,-0.84051788,-0.188134016
1225000000,-0.8152588,-0.188810003
1226000000,-0.95426613,-0.189484794
1227000000,-0.92722422,-0.19015839
1228000000,-1.0849049,-0.190830791
1229000000,-1.065913,-0.191502001
1230000000,-0.98676854,-0.19217202
1231000000,-0.87076843,-0.19284085
1232000000,-0.90413624,-0.193508492
1233000000,-1.150485,-0.194174949
1234000000,-1.2167265,-0.194840221
1235000000,-0.9961403,-0.19550431
1236000000,-0.89868057,-0.196167218
1237000000,-0.78128093,-0.196828946
1238000000,-0.93650764,-0.197489495
1239000000,-1.0010996,-0.198148868
1240000000,-0.98479432,-0.198807066
1241000000,-1.1386894,-0.19946409
1242000000,-0.8934201,-0.200119942
1243000000,-0.97782528,-0.200774623
1244000000,-0.84854221,-0.201428136
1245000000,-0.93833971,-0.202080481
1246000000,-0.85300398,-0.20273166
1247000000,-1.1076087,-0.203381674
1248000000,-0.90857559,-0.204030526
1249000000,-0.99992126,-0.204678216
1250000000,-0.90267193,-0.205324747
1251000000,-1.0511382,-0.205970119
1252000000,-0.93690699,-0.206614335
1253000000,-0.91050017,-0.207257396
1254000000,-1.0024191,-0.207899302
1255000000,-0.73677957,-0.208540057
1256000000,-0.9390344,-0.209179662
1257000000,-1.0719634,-0.209818117
1258000000,-1.2096918,-0.210455425
1259000000,-0.83298892,-0.211091587
1260000000,-0.97000664,-0.211726604
1261000000,-0.90692097,-0.212360479
1262000000,-1.1740721,-0.212993213
1263000000,-0.93826044,-0.213624806
1264000000,-0.86982435,-0.214255262
1265000000,-0.93426371,-0.214884581
1266000000,-1.0821443,-0.215512764
1267000000,-0.83121216,-0.216139814
1268000000,-0.84882623,-0.216765733
1269000000,-1.0638871,-0.21739052
1270000000,-0.82443017,-0.218014179
1271000000,-0.97854304,-0.21863671
1272000000,-0.96293223,-0.219258115
1273000000,-1.0678716,-0.219878396
1274000000,-0.83891195,-0.220497554
1275000000,-0.9675613,-0.221115591
1276000000,-0.94853216,-0.221732508
1277000000,-0.78215617,-0.222348307
1278000000,-0.92336899,-0.222962989
1279000000,-0.92251074,-0.223576556
1280000000,-0.91586637,-0.22418901
1281000000,-0.96793121,-0.224800351
1282000000,-1.0935503,-0.225410582
1283000000,-0.93462676,-0.226019704
1284000000,-0.93832278,-0.226627718
1285000000,-1.012705,-0.227234627
1286000000,-0.84647399,-0.227840431
1287000000,-0.99710709,-0.228445132
1288000000,-0.91401517,-0.229048732
1289000000,-0.88168716,-0.229651232
1290000000,-0.91575956,-0.230252634
1291000000,-1.0357529,-0.230852939
1292000000,-1.1208127,-0.231452149
1293000000,-0.97915119,-0.232050266
1294000000,-0.83610743,-0.23264729
1295000000,-1.1382022,-0.233243224
1296000000,-0.97950143,-0.233838068
