Freq(Hz),S11 Log Mag_measured(dB),S11 Log Mag_HFSS(dB)
1176000000,-1.2854737,-1.048409148
1177000000,-1.2606401,-1.049422719
1178000000,-1.2549629,-1.050435101
1179000000,-1.2624902,-1.051446282
1180000000,-1.2731004,-1.052456249
1181000000,-1.2524749,-1.053464989
1182000000,-1.2911761,-1.054472491
1183000000,-1.2776097,-1.055478743
1184000000,-1.2528108,-1.056483732
1185000000,-1.2874681,-1.057487447
1186000000,-1.2911766,-1.058489875
1187000000,-1.2845099,-1.059491005
1188000000,-1.272307,-1.060490826
1189000000,-1.2485709,-1.061489324
1190000000,-1.2734834,-1.062486489
1191000000,-1.2325186,-1.063482309
1192000000,-1.2819867,-1.064476773
1193000000,-1.288337,-1.065469868
1194000000,-1.2658826,-1.066461584
1195000000,-1.2710904,-1.06745191
1196000000,-1.3037173,-1.068440833
1197000000,-1.283607,-1.069428344
1198000000,-1.2646062,-1.070414429
1199000000,-1.2630851,-1.07139908
1200000000,-1.2763902,-1.072382284
1201000000,-1.2783526,-1.07336403
1202000000,-1.2827897,-1.074344308
1203000000,-1.2631824,-1.075323107
1204000000,-1.2754314,-1.076300416
1205000000,-1.2749592,-1.077276224
1206000000,-1.2843678,-1.078250521
1207000000,-1.2844719,-1.079223296
1208000000,-1.2963499,-1.080194539
1209000000,-1.2882127,-1.081164239
1210000000,-1.2981827,-1.082132386
1211000000,-1.2842635,-1.08309897
1212000000,-1.2661908,-1.08406398
1213000000,-1.2962371,-1.085027406
1214000000,-1.2872752,-1.085989238
1215000000,-1.3029573,-1.086949466
1216000000,-1.3112307,-1.08790808
1217000000,-1.2869807,-1.08886507
1218000000,-1.2455375,-1.089820426
1219000000,-1.2813498,-1.090774139
1220000000,-1.3152791,-1.091726199
1221000000,-1.2854224,-1.092676595
1222000000,-1.2912384,-1.09362532
1223000000,-1.2630101,-1.094572362
1224000000,-1.2864572,-1.095517713
1225000000,-1.2940512,-1.096461364
1226000000,-1.3018856,-1.097403304
1227000000,-1.2994024,-1.098343525
1228000000,-1.299477,-1.099282017
1229000000,-1.2932129,-1.100218772
1230000000,-1.2610047,-1.101153781
1231000000,-1.2768418,-1.102087033
1232000000,-1.3021808,-1.103018522
1233000000,-1.3049189,-1.103948236
1234000000,-1.2861327,-1.104876169
1235000000,-1.3073511,-1.105802311
1236000000,-1.2956632,-1.106726654
1237000000,-1.2850507,-1.107649188
1238000000,-1.2745665,-1.108569906
1239000000,-1.3112514,-1.109488799
1240000000,-1.2931608,-1.110405859
1241000000,-1.3097191,-1.111321077
1242000000,-1.2707603,-1.112234446
1243000000,-1.3200195,-1.113145956
1244000000,-1.3093096,-1.1140556
1245000000,-1.3053377,-1.11496337
1246000000,-1.2753687,-1.115869259
1247000000,-1.3224862,-1.116773257
1248000000,-1.3017379,-1.117675357
1249000000,-1.2912812,-1.118575552
1250000000,-1.3042316,-1.119473833
1251000000,-1.2939482,-1.120370194
1252000000,-1.316956,-1.121264626
1253000000,-1.279169,-1.122157123
1254000000,-1.3273528,-1.123047676
1255000000,-1.2993442,-1.123936278
1256000000,-1.2990547,-1.124822922
1257000000,-1.297158,-1.125707601
1258000000,-1.292183,-1.126590308
1259000000,-1.3060735,-1.127471036
1260000000,-1.3017615,-1.128349777
1261000000,-1.3147354,-1.129226524
1262000000,-1.3070691,-1.130101271
1263000000,-1.2812095,-1.130974012
1264000000,-1.3107785,-1.131844738
1265000000,-1.2755944,-1.132713444
1266000000,-1.2759556,-1.133580123
1267000000,-1.3126726,-1.134444768
1268000000,-1.2974036,-1.135307373
1269000000,-1.283039,-1.136167931
1270000000,-1.2888858,-1.137026437
1271000000,-1.2957342,-1.137882883
1272000000,-1.2934068,-1.138737264
1273000000,-1.3109043,-1.139589573
1274000000,-1.2671342,-1.140439805
1275000000,-1.3289212,-1.141287953
1276000000,-1.290808,-1.142134011
1277000000,-1.3259763,-1.142977974
1278000000,-1.2990839,-1.143819836
1279000000,-1.2727218,-1.144659591
1280000000,-1.3044934,-1.145497233
1281000000,-1.297497,-1.146332756
1282000000,-1.3063915,-1.147166156
1283000000,-1.3241135,-1.147997426
1284000000,-1.3318194,-1.148826562
1285000000,-1.3118473,-1.149653557
1286000000,-1.3233275,-1.150478407
1287000000,-1.3295115,-1.151301107
1288000000,-1.3111228,-1.15212165
1289000000,-1.2913573,-1.152940033
1290000000,-1.3094356,-1.153756249
1291000000,-1.3170756,-1.154570295
1292000000,-1.3189366,-1.155382165
1293000000,-1.2925867,-1.156191854
1294000000,-1.3113253,-1.156999358
1295000000,-1.3093866,-1.157804672
1296000000,-1.2840554,-1.158607791
1297000000,-1.302066,-1.159408711
1298000000,-1.2821674,-1.160207427
1299000000,-1.2887931,-1.161003934
1300000000,-1.3150902,-1.161798229
1301000000,-1.3203243,-1.162590307
1302000000,-1.3010743,-1.163380164
1303000000,-1.2948102,-1.164167795
1304000000,-1.2400975,-1.164953197
1305000000,-1.2813352,-1.165736365
1306000000,-1.2621036,-1.166517295
1307000000,-1.2985967,-1.167295984
1308000000,-1.2877011,-1.168072428
1309000000,-1.2983257,-1.168846622
1310000000,-1.2901859,-1.169618563
1311000000,-1.304075,-1.170388248
1312000000,-1.2945043,-1.171155672
1313000000,-1.3038216,-1.171920832
1314000000,-1.2821057,-1.172683725
1315000000,-1.3009624,-1.173444347
1316000000,-1.3319134,-1.174202694
1317000000,-1.3115325,-1.174958765
1318000000,-1.3107623,-1.175712554
1319000000,-1.2995634,-1.17646406
1320000000,-1.3204875,-1.177213278
1321000000,-1.3257073,-1.177960206
1322000000,-1.2824851,-1.178704841
1323000000,-1.2919167,-1.17944718
1324000000,-1.2881919,-1.180187219
1325000000,-1.3235061,-1.180924957
1326000000,-1.3103833,-1.18166039
1327000000,-1.3120494,-1.182393516
1328000000,-1.2925578,-1.183124332
1329000000,-1.3211174,-1.183852835
1330000000,-1.2938966,-1.184579023
1331000000,-1.3106939,-1.185302893
1332000000,-1.3031645,-1.186024443
1333000000,-1.2967052,-1.186743671
1334000000,-1.3079815,-1.187460574
1335000000,-1.2844958,-1.18817515
1336000000,-1.2748996,-1.188887397
1337000000,-1.2960861,-1.189597313
1338000000,-1.3042029,-1.190304896
1339000000,-1.3008871,-1.191010143
1340000000,-1.2917441,-1.191713053
1341000000,-1.2752807,-1.192413624
1342000000,-1.3060094,-1.193111854
1343000000,-1.2698911,-1.193807741
1344000000,-1.3097429,-1.194501283
1345000000,-1.3074104,-1.195192479
1346000000,-1.3187231,-1.195881328
1347000000,-1.3046778,-1.196567827
1348000000,-1.3092666,-1.197251976
1349000000,-1.301854,-1.197933772
1350000000,-1.3074324,-1.198613214
1351000000,-1.3041614,-1.199290302
1352000000,-1.2644126,-1.199965033
1353000000,-1.2624283,-1.200637407
1354000000,-1.2858524,-1.201307422
1355000000,-1.294286,-1.201975078
1356000000,-1.3011664,-1.202640372
1357000000,-1.296842,-1.203303305
1358000000,-1.3095865,-1.203963875
1359000000,-1.3044358,-1.204622082
1360000000,-1.3200495,-1.205277924
1361000000,-1.320119,-1.2059314
1362000000,-1.3004187,-1.206582511
1363000000,-1.3008249,-1.207231255
1364000000,-1.32285,-1.207877631
1365000000,-1.3203378,-1.20852164
1366000000,-1.3214723,-1.20916328
1367000000,-1.3182846,-1.209802552
1368000000,-1.3135197,-1.210439454
1369000000,-1.2966834,-1.211073986
1370000000,-1.3061576,-1.211706149
1371000000,-1.3215704,-1.212335941
1372000000,-1.2915207,-1.212963362
1373000000,-1.3002027,-1.213588413
1374000000,-1.3063825,-1.214211094
1375000000,-1.2854115,-1.214831403
1376000000,-1.294109,-1.215449342
1377000000,-1.2922463,-1.216064909
1378000000,-1.3032763,-1.216678106
1379000000,-1.2860527,-1.217288933
1380000000,-1.2669661,-1.217897389
1381000000,-1.2883109,-1.218503475
1382000000,-1.2859207,-1.219107191
1383000000,-1.2994863,-1.219708538
1384000000,-1.2723361,-1.220307515
1385000000,-1.2666733,-1.220904124
1386000000,-1.2710221,-1.221498364
1387000000,-1.2692641,-1.222090236
1388000000,-1.2922885,-1.222679742
1389000000,-1.2948132,-1.223266881
1390000000,-1.2782398,-1.223851654
1391000000,-1.2783116,-1.224434062
1392000000,-1.257494,-1.225014105
1393000000,-1.2877827,-1.225591785
1394000000,-1.2947277,-1.226167102
1395000000,-1.2721769,-1.226740057
1396000000,-1.2928497,-1.227310651
1397000000,-1.305593,-1.227878885
1398000000,-1.2814792,-1.228444761
1399000000,-1.2655784,-1.229008278
1400000000,-1.2850025,-1.229569439
1401000000,-1.3039591,-1.230128244
1402000000,-1.3216858,-1.230684695
1403000000,-1.2874621,-1.231238793
1404000000,-1.2669047,-1.231790539
1405000000,-1.2849476,-1.232339935
1406000000,-1.2572948,-1.232886981
1407000000,-1.3050603,-1.23343168
1408000000,-1.3140746,-1.233974033
1409000000,-1.2950544,-1.234514041
1410000000,-1.2873718,-1.235051705
1411000000,-1.2769694,-1.235587029
1412000000,-1.2792543,-1.236120012
1413000000,-1.2695434,-1.236650658
1414000000,-1.2844989,-1.237178967
1415000000,-1.2930077,-1.237704941
1416000000,-1.2649926,-1.238228582
1417000000,-1.2961242,-1.238749892
1418000000,-1.2572405,-1.239268873
1419000000,-1.262832,-1.239785527
1420000000,-1.2492871,-1.240299855
1421000000,-1.2590618,-1.24081186
1422000000,-1.2672863,-1.241321544
1423000000,-1.2492611,-1.241828909
1424000000,-1.2495227,-1.242333957
1425000000,-1.258198,-1.24283669
1426000000,-1.2814023,-1.24333711
1427000000,-1.2721629,-1.243835219
1428000000,-1.2664845,-1.244331021
1429000000,-1.2506485,-1.244824516
1430000000,-1.2598169,-1.245315708
1431000000,-1.2802967,-1.245804599
1432000000,-1.2555792,-1.246291192
1433000000,-1.2242746,-1.246775487
1434000000,-1.3051859,-1.24725749
1435000000,-1.2858765,-1.247737201
1436000000,-1.2846587,-1.248214623
1437000000,-1.2589333,-1.248689759
1438000000,-1.2679675,-1.249162612
1439000000,-1.2798971,-1.249633184
1440000000,-1.3023192,-1.250101478
1441000000,-1.2835679,-1.250567497
1442000000,-1.2823316,-1.251031244
1443000000,-1.2842478,-1.25149272
1444000000,-1.2984867,-1.25195193
1445000000,-1.294677,-1.252408876
1446000000,-1.3009751,-1.252863561
1447000000,-1.2890449,-1.253315988
1448000000,-1.2782897,-1.25376616
1449000000,-1.2846582,-1.254214079
1450000000,-1.2817142,-1.25465975
1451000000,-1.2687043,-1.255103174
1452000000,-1.2971293,-1.255544356
1453000000,-1.2992803,-1.255983298
1454000000,-1.268452,-1.256420004
1455000000,-1.2802987,-1.256854476
1456000000,-1.2708937,-1.257286719
1457000000,-1.3007128,-1.257716734
1458000000,-1.2716733,-1.258144526
1459000000,-1.2628101,-1.258570098
1460000000,-1.2628256,-1.258993453
1461000000,-1.2836673,-1.259414595
1462000000,-1.2545869,-1.259833526
1463000000,-1.2371215,-1.260250251
1464000000,-1.2443413,-1.260664774
1465000000,-1.2387747,-1.261077096
1466000000,-1.2463158,-1.261487223
1467000000,-1.2618941,-1.261895157
1468000000,-1.2599812,-1.262300903
1469000000,-1.2357986,-1.262704463
1470000000,-1.2403549,-1.263105842
1471000000,-1.2795166,-1.263505042
1472000000,-1.2693827,-1.263902069
1473000000,-1.2435886,-1.264296926
1474000000,-1.2396597,-1.264689615
1475000000,-1.2553847,-1.265080142
1476000000,-1.2554529,-1.26546851
1477000000,-1.2660124,-1.265854723
