!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:49:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2085000000,-5.5506291,-6.6442838,-52.506596,-40.923141
2086000000,-5.5837793,-6.4092798,-52.178104,-40.343884
2087000000,-5.6084776,-6.1525941,-51.790874,-40.022408
2088000000,-5.6133442,-5.9093814,-51.373463,-40.17704
2089000000,-5.576859,-5.5984969,-51.121342,-40.395729
2090000000,-5.503294,-5.3589454,-50.784508,-41.012638
2091000000,-5.4517126,-5.092958,-50.585091,-41.83033
2092000000,-5.3643203,-4.8352199,-50.746658,-43.147114
2093000000,-5.2954707,-4.6422572,-51.139309,-44.533314
2094000000,-5.2310481,-4.4585938,-51.594238,-46.169258
2095000000,-5.2119789,-4.3101983,-52.187893,-48.162243
2096000000,-5.2018199,-4.2262802,-52.862198,-50.210007
2097000000,-5.2261529,-4.1735773,-53.443077,-52.129055
2098000000,-5.2809734,-4.2077155,-53.999355,-54.13129
2099000000,-5.3216624,-4.2507949,-54.32275,-56.108486
2100000000,-5.4153275,-4.3426833,-54.587509,-57.831539
2101000000,-5.4614663,-4.4874382,-54.657127,-59.511513
2102000000,-5.5290303,-4.6730227,-54.504715,-60.705452
2103000000,-5.5689387,-4.8286757,-54.304657,-61.915535
2104000000,-5.5971117,-5.0432053,-54.102177,-62.849518
2105000000,-5.5817885,-5.2497082,-53.711403,-63.327541
2106000000,-5.5741773,-5.4556952,-53.688557,-63.925606
2107000000,-5.5343752,-5.6433134,-53.400253,-63.932762
2108000000,-5.5086422,-5.8505149,-53.246113,-63.665226
2109000000,-5.4453802,-6.0399084,-53.400284,-63.35247
2110000000,-5.3842134,-6.2034941,-53.599594,-62.790936
2111000000,-5.3491964,-6.33285,-53.881878,-61.688084
2112000000,-5.295033,-6.4327116,-54.217136,-60.89809
2113000000,-5.2687473,-6.4842167,-54.629971,-59.600697
2114000000,-5.2183914,-6.463696,-55.149792,-58.448212
2115000000,-5.2491498,-6.4454942,-55.617073,-57.077839
2116000000,-5.2444172,-6.3871269,-56.279575,-55.877232
2117000000,-5.2882123,-6.2350655,-56.671551,-54.887661
2118000000,-5.3356309,-6.0631709,-56.961079,-53.744598
2119000000,-5.3901248,-5.8583388,-57.50518,-53.229404
2120000000,-5.4552922,-5.6190138,-57.81665,-52.710861
2121000000,-5.5175786,-5.3618879,-57.741486,-52.647182
2122000000,-5.5936475,-5.1399493,-57.650322,-52.9491
2123000000,-5.6117959,-4.8692341,-57.479889,-53.394402
2124000000,-5.6511846,-4.5980897,-57.122108,-54.111828
2125000000,-5.6246128,-4.3800449,-56.781887,-55.215523
2126000000,-5.594593,-4.1943364,-56.648373,-56.378323
2127000000,-5.5483937,-4.0275707,-56.534668,-57.973801
2128000000,-5.4942646,-3.8981485,-56.713188,-59.612511
2129000000,-5.4448752,-3.794703,-56.876938,-61.177116
2130000000,-5.3660326,-3.7435198,-57.347923,-63.065807
2131000000,-5.3404675,-3.7317231,-57.966267,-65.14119
2132000000,-5.3150258,-3.7595806,-58.496433,-66.866379
2133000000,-5.3587236,-3.846693,-59.126038,-68.619736
2134000000,-5.3969975,-3.9633453,-59.814789,-70.198196
2135000000,-5.4698677,-4.1275935,-60.176937,-71.500427
2136000000,-5.5433874,-4.2738919,-60.612377,-72.57354
2137000000,-5.6275654,-4.4780102,-60.56176,-73.420105
2138000000,-5.6962109,-4.6736236,-60.537708,-74.009346
2139000000,-5.7443886,-4.8605361,-60.25209,-74.299316
2140000000,-5.7981448,-5.0828419,-59.981041,-74.400848
2141000000,-5.8008304,-5.261703,-59.758385,-74.444962
2142000000,-5.7564459,-5.3882155,-59.382191,-74.000885
2143000000,-5.7565613,-5.5326886,-59.324154,-73.613167
2144000000,-5.7046623,-5.6803575,-59.122829,-72.79528
2145000000,-5.6433158,-5.7451916,-59.289253,-71.922234
2146000000,-5.6059332,-5.8180003,-59.324474,-71.071121
2147000000,-5.5295525,-5.8380771,-59.573784,-69.93058
2148000000,-5.4755549,-5.7866259,-59.885445,-68.846474
2149000000,-5.4449191,-5.770319,-60.302551,-67.72979
2150000000,-5.43606,-5.6484513,-60.822536,-66.712242
2151000000,-5.4096513,-5.5340419,-61.343399,-65.744949
2152000000,-5.4156842,-5.3556218,-61.997368,-65.077347
2153000000,-5.4291849,-5.1197886,-62.471302,-64.642952
2154000000,-5.4861388,-4.8927951,-63.003986,-64.586922
2155000000,-5.5282164,-4.6662111,-63.37447,-64.791016
2156000000,-5.5983219,-4.4444451,-63.723316,-65.3368
2157000000,-5.6562867,-4.2114625,-63.732517,-65.822067
2158000000,-5.7008705,-4.0102739,-63.926132,-66.771698
2159000000,-5.7588091,-3.8381531,-63.866238,-67.925331
2160000000,-5.7775135,-3.6848187,-63.692116,-69.254082
2161000000,-5.7820563,-3.5556014,-63.601814,-70.637245
2162000000,-5.7801995,-3.5000324,-63.452847,-72.295197
2163000000,-5.74262,-3.4466071,-63.573174,-74.085167
2164000000,-5.7143488,-3.4546123,-63.496075,-75.57412
2165000000,-5.6756301,-3.4745708,-63.80883,-76.976463
2166000000,-5.6333685,-3.5589402,-64.001549,-78.506378
2167000000,-5.6070781,-3.643182,-64.662437,-80.016365
2168000000,-5.612371,-3.794138,-65.099777,-81.156883
2169000000,-5.6365657,-3.9324474,-65.686722,-82.252876
2170000000,-5.6673036,-4.1222744,-66.118332,-82.871086
2171000000,-5.7353039,-4.271203,-66.616669,-83.390144
2172000000,-5.7901592,-4.4519281,-66.849648,-83.533302
2173000000,-5.8747029,-4.6377125,-67.164452,-83.796265
2174000000,-5.9321141,-4.7964792,-66.999428,-83.48838
