!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:48:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-7.8418012,-5.4432378,-33.605217,-143.69153
2001000000,-7.8638167,-5.5023541,-33.419212,-144.42381
2002000000,-7.8395529,-5.5462604,-33.125717,-145.25188
2003000000,-7.8182993,-5.6161275,-32.983845,-146.00429
2004000000,-7.7807016,-5.6926608,-32.698444,-146.46127
2005000000,-7.7194991,-5.7645249,-32.623405,-146.89563
2006000000,-7.6701298,-5.8445778,-32.688442,-147.13141
2007000000,-7.6139026,-5.9311333,-32.967232,-147.6212
2008000000,-7.6023488,-6.0525026,-33.294754,-147.5507
2009000000,-7.5827909,-6.1329722,-33.795826,-147.63098
2010000000,-7.5450296,-6.237257,-34.374458,-147.47946
2011000000,-7.5976181,-6.2831554,-34.699474,-147.10147
2012000000,-7.6445494,-6.3680253,-35.130226,-146.79239
2013000000,-7.6811557,-6.392313,-35.445919,-146.37036
2014000000,-7.7591839,-6.4192028,-35.723862,-145.86543
2015000000,-7.8267932,-6.4328671,-35.750561,-145.37643
2016000000,-7.8853869,-6.4051194,-35.706039,-145.03233
2017000000,-7.9101067,-6.3678856,-35.647896,-144.60941
2018000000,-7.9938164,-6.3075657,-35.397625,-144.24687
2019000000,-8.0443611,-6.2541051,-35.236286,-143.93596
2020000000,-8.0295868,-6.1613646,-34.980293,-143.70874
2021000000,-8.0400515,-6.059052,-34.642792,-143.38452
2022000000,-8.0199833,-5.9689531,-34.344025,-143.4382
2023000000,-8.027463,-5.8869958,-34.197807,-143.51129
2024000000,-7.9925537,-5.7664428,-34.169956,-143.7384
2025000000,-7.955905,-5.6685529,-34.070587,-144.11206
2026000000,-7.9391313,-5.5802813,-34.253849,-144.52473
2027000000,-7.9047217,-5.4840221,-34.312923,-145.1113
2028000000,-7.8956919,-5.3983507,-34.551453,-145.75894
2029000000,-7.8853917,-5.3640046,-34.851002,-146.41203
2030000000,-7.8973427,-5.3188791,-35.235611,-147.23802
2031000000,-7.9034195,-5.2391143,-35.445728,-148.06097
2032000000,-7.9623933,-5.2520013,-35.841892,-149.01631
2033000000,-8.014967,-5.2570662,-35.789024,-149.79367
2034000000,-8.0691986,-5.2966566,-35.752129,-150.62663
2035000000,-8.1269331,-5.3461185,-35.725689,-151.39195
2036000000,-8.1553421,-5.3881679,-35.429657,-152.0132
2037000000,-8.1912365,-5.4638,-35.059124,-152.74762
2038000000,-8.2038231,-5.5453067,-34.722473,-153.17813
2039000000,-8.2006474,-5.6490374,-34.236965,-153.44489
2040000000,-8.1364202,-5.7089176,-34.044479,-153.925
2041000000,-8.1066179,-5.7863607,-33.853436,-153.92834
2042000000,-8.0674028,-5.8794379,-33.893089,-154.22171
2043000000,-7.9919086,-5.962184,-33.752857,-153.99802
2044000000,-7.9420147,-6.0319543,-34.087925,-153.94875
2045000000,-7.8794141,-6.1170521,-34.329517,-153.66147
2046000000,-7.8493791,-6.1796021,-34.985294,-153.51151
2047000000,-7.8300614,-6.1873012,-35.301918,-153.12097
2048000000,-7.849297,-6.2170377,-35.772648,-152.66212
2049000000,-7.8921175,-6.2345076,-36.352684,-152.27103
2050000000,-7.9326544,-6.2197537,-36.690002,-151.68927
2051000000,-7.9988909,-6.1869154,-36.937088,-151.25198
2052000000,-8.0952129,-6.1311455,-37.062363,-151.08386
2053000000,-8.1679544,-6.0530014,-37.068913,-150.7173
2054000000,-8.2442741,-5.9846125,-36.741535,-150.47702
2055000000,-8.2912617,-5.8982377,-36.50436,-150.37813
2056000000,-8.3258638,-5.8256211,-36.161812,-150.43501
2057000000,-8.3462067,-5.7099757,-35.942081,-150.40665
2058000000,-8.3612995,-5.625041,-35.398785,-150.78653
2059000000,-8.3118544,-5.5258441,-35.130096,-150.9841
2060000000,-8.2791376,-5.4175525,-34.839947,-151.32285
2061000000,-8.239625,-5.3402848,-34.717796,-151.99887
2062000000,-8.2050571,-5.3002634,-34.717758,-152.58939
2063000000,-8.1427946,-5.2346363,-34.89423,-153.32581
2064000000,-8.1153784,-5.163096,-35.124187,-154.04665
2065000000,-8.0962811,-5.108664,-35.325542,-154.80841
2066000000,-8.0960741,-5.1105757,-35.657066,-155.56207
2067000000,-8.1075306,-5.1230416,-36.096268,-156.40817
2068000000,-8.1401558,-5.1546054,-36.394798,-157.32663
2069000000,-8.2011051,-5.1777959,-36.640659,-157.98259
2070000000,-8.2438116,-5.2492528,-36.671173,-158.85222
2071000000,-8.2962618,-5.2969346,-36.762779,-159.27559
2072000000,-8.3578825,-5.3892555,-36.484329,-159.82802
2073000000,-8.3873739,-5.4667788,-36.264339,-160.23985
2074000000,-8.4354124,-5.5662951,-36.073917,-160.59476
2075000000,-8.4399786,-5.6262183,-35.614895,-160.80096
2076000000,-8.4376507,-5.7309685,-35.358593,-161.0554
2077000000,-8.4075193,-5.8279562,-34.902977,-160.94112
2078000000,-8.3746119,-5.8789024,-34.729733,-160.93274
2079000000,-8.3248777,-5.9320574,-34.701038,-160.69788
2080000000,-8.2605247,-5.9952712,-34.538807,-160.39885
