Freq [GHz],"dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1.917,-13.5637489782,-16.6862165426,-13.3479055239,-16.8835932712
1.918,-13.5998903053,-16.7025952696,-13.3821786651,-16.8997344687
1.919,-13.6360866135,-16.7190274287,-13.4164989533,-16.9159307696
1.92,-13.6723378895,-16.735512762,-13.4508663653,-16.9321819503
1.921,-13.7086441189,-16.7520510116,-13.4852808772,-16.9484877872
1.922,-13.7450052866,-16.7686419195,-13.5197424651,-16.9648480573
1.923,-13.7814213765,-16.785285228,-13.5542511044,-16.9812625377
1.924,-13.8178923716,-16.8019806793,-13.5888067702,-16.9977310057
1.925,-13.854418254,-16.8187280154,-13.6234094371,-17.0142532388
1.926,-13.8909990046,-16.8355269785,-13.6580590794,-17.0308290148
1.927,-13.9276346031,-16.8523773107,-13.6927556707,-17.0474581117
1.928,-13.9643250284,-16.869278754,-13.727499184,-17.0641403074
1.929,-14.0010702579,-16.8862310502,-13.7622895919,-17.0808753804
1.93,-14.037870268,-16.9032339412,-13.7971268663,-17.0976631089
1.931,-14.0747250337,-16.9202871687,-13.8320109785,-17.1145032714
1.932,-14.1116345286,-16.9373904742,-13.8669418991,-17.1313956467
1.933,-14.148598725,-16.9545435992,-13.901919598,-17.1483400132
1.934,-14.1856175939,-16.9717462848,-13.9369440443,-17.1653361499
1.935,-14.2226911047,-16.9889982721,-13.9720152065,-17.1823838355
1.936,-14.259819225,-17.0062993019,-14.0071330521,-17.1994828488
1.937,-14.2970019214,-17.0236491148,-14.0422975479,-17.2166329687
1.938,-14.3342391582,-17.0410474512,-14.0775086596,-17.2338339741
1.939,-14.3715308985,-17.0584940511,-14.1127663524,-17.2510856437
1.94,-14.4088771033,-17.0759886543,-14.14807059,-17.2683877565
1.941,-14.4462777321,-17.0935310003,-14.1834213357,-17.285740091
1.942,-14.4837327422,-17.1111208282,-14.2188185512,-17.3031424261
1.943,-14.5212420892,-17.128757877,-14.2542621975,-17.3205945403
1.944,-14.5588057265,-17.1464418851,-14.2897522345,-17.338096212
1.945,-14.5964236056,-17.1641725905,-14.3252886206,-17.3556472197
1.946,-14.6340956758,-17.1819497311,-14.3608713134,-17.3732473415
1.947,-14.6718218842,-17.199773044,-14.3965002691,-17.3908963556
1.948,-14.7096021757,-17.2176422661,-14.4321754427,-17.4085940397
1.949,-14.7474364927,-17.2355571339,-14.4678967877,-17.4263401716
1.95,-14.7853247755,-17.2535173833,-14.5036642563,-17.4441345288
1.951,-14.8232669617,-17.2715227497,-14.5394777996,-17.4619768885
1.952,-14.8612629864,-17.2895729682,-14.5753373667,-17.4798670277
1.953,-14.8993127821,-17.307667773,-14.6112429058,-17.4978047232
1.954,-14.9374162787,-17.3258068981,-14.647194363,-17.5157897513
1.955,-14.9755734032,-17.3439900769,-14.6831916831,-17.5338218883
1.956,-15.0137840799,-17.3622170419,-14.7192348093,-17.5519009098
1.957,-15.0520482302,-17.3804875255,-14.755323683,-17.5700265915
1.958,-15.0903657723,-17.3988012591,-14.7914582439,-17.5881987084
1.959,-15.1287366216,-17.4171579736,-14.8276384298,-17.6064170353
1.96,-15.1671606901,-17.4355573991,-14.8638641769,-17.6246813465
1.961,-15.2056378867,-17.4539992654,-14.9001354191,-17.6429914159
1.962,-15.244168117,-17.4724833011,-14.9364520889,-17.6613470171
1.963,-15.2827512831,-17.4910092345,-14.9728141162,-17.679747923
1.964,-15.3213872838,-17.509576793,-15.0092214293,-17.6981939062
1.965,-15.3600760139,-17.5281857032,-15.0456739542,-17.7166847389
1.966,-15.398817365,-17.5468356911,-15.0821716147,-17.7352201925
1.967,-15.4376112247,-17.5655264816,-15.1187143324,-17.753800038
1.968,-15.4764574767,-17.5842577992,-15.1553020267,-17.7724240461
1.969,-15.5153560008,-17.6030293674,-15.1919346145,-17.7910919866
1.97,-15.5543066728,-17.6218409086,-15.2286120103,-17.8098036287
1.971,-15.5933093643,-17.6406921447,-15.2653341263,-17.8285587413
1.972,-15.6323639425,-17.6595827966,-15.302100872,-17.8473570924
1.973,-15.6714702705,-17.6785125843,-15.3389121544,-17.8661984495
1.974,-15.7106282068,-17.6974812268,-15.3757678776,-17.8850825794
1.975,-15.7498376053,-17.7164884422,-15.4126679433,-17.904009248
1.976,-15.7890983153,-17.7355339478,-15.4496122503,-17.9229782209
1.977,-15.8284101812,-17.7546174596,-15.4866006943,-17.9419892627
1.978,-15.8677730427,-17.773738693,-15.5236331684,-17.9610421373
1.979,-15.9071867344,-17.792897362,-15.5607095626,-17.9801366078
1.98,-15.9466510855,-17.8120931798,-15.5978297636,-17.9992724367
1.981,-15.9861659205,-17.8313258586,-15.6349936552,-18.0184493854
1.982,-16.025731058,-17.8505951093,-15.6722011179,-18.0376672147
1.983,-16.0653463115,-17.8699006419,-15.7094520289,-18.0569256846
1.984,-16.1050114886,-17.8892421653,-15.746746262,-18.0762245539
1.985,-16.1447263914,-17.9086193871,-15.7840836876,-18.095563581
1.986,-16.1844908161,-17.9280320139,-15.8214641725,-18.1149425229
1.987,-16.2243045527,-17.9474797511,-15.85888758,-18.1343611361
1.988,-16.2641673853,-17.966962303,-15.8963537697,-18.1538191758
1.989,-16.3040790918,-17.9864793726,-15.9338625972,-18.1733163964
1.99,-16.3440394434,-18.0060306616,-15.9714139146,-18.1928525514
1.991,-16.384048205,-18.0256158708,-16.0090075697,-18.2124273932
1.992,-16.4241051348,-18.0452346993,-16.0466434066,-18.2320406731
1.993,-16.4642099842,-18.0648868453,-16.0843212651,-18.2516921415
1.994,-16.5043624975,-18.0845720055,-16.1220409808,-18.2713815476
1.995,-16.5445624121,-18.1042898754,-16.159802385,-18.2911086396
1.996,-16.584809458,-18.1240401491,-16.1976053048,-18.3108731644
1.997,-16.6251033579,-18.1438225194,-16.2354495626,-18.3306748682
1.998,-16.6654438268,-18.1636366778,-16.2733349763,-18.3505134955
1.999,-16.7058305721,-18.1834823143,-16.3112613591,-18.37038879
2,-16.7462632932,-18.2033591176,-16.3492285196,-18.3903004942
2.001,-16.7867416816,-18.223266775,-16.3872362614,-18.4102483492
2.002,-16.8272654206,-18.2432049722,-16.4252843831,-18.4302320949
2.003,-16.8678341849,-18.2631733936,-16.4633726782,-18.4502514702
2.004,-16.9084476409,-18.2831717223,-16.5015009354,-18.4703062123
2.005,-16.9491054463,-18.3031996395,-16.5396689376,-18.4903960574
2.006,-16.9898072497,-18.3232568253,-16.5778764627,-18.5105207404
2.007,-17.0305526908,-18.3433429581,-16.6161232829,-18.5306799947
2.008,-17.0713414001,-18.3634577147,-16.654409165,-18.5508735524
2.009,-17.1121729984,-18.3836007707,-16.6927338699,-18.5711011443
2.01,-17.1530470973,-18.4037717996,-16.7310971529,-18.5913624997
2.011,-17.1939632983,-18.4239704738,-16.7694987631,-18.6116573465
2.012,-17.2349211929,-18.4441964638,-16.8079384438,-18.6319854111
2.013,-17.2759203627,-18.4644494388,-16.846415932,-18.6523464187
2.014,-17.3169603787,-18.484729066,-16.8849309585,-18.6727400927
2.015,-17.3580408014,-18.5050350112,-16.9234832475,-18.6931661552
2.016,-17.3991611804,-18.5253669385,-16.9620725169,-18.7136243266
2.017,-17.4403210545,-18.5457245104,-17.0006984779,-18.7341143259
2.018,-17.4815199513,-18.5661073875,-17.0393608349,-18.7546358705
2.019,-17.5227573869,-18.5865152288,-17.0780592853,-18.7751886762
2.02,-17.5640328658,-18.6069476918,-17.1167935197,-18.7957724571
2.021,-17.6053458808,-18.6274044319,-17.1555632212,-18.8163869259
2.022,-17.6466959126,-18.647885103,-17.1943680659,-18.8370317935
2.023,-17.6880824296,-18.6683893573,-17.2332077224,-18.8577067691
2.024,-17.7295048878,-18.6889168449,-17.2720818517,-18.8784115602
2.025,-17.7709627304,-18.7094672145,-17.310990107,-18.8991458728
2.026,-17.8124553878,-18.7300401126,-17.3499321339,-18.9199094109
2.027,-17.8539822772,-18.7506351844,-17.3889075697,-18.9407018769
2.028,-17.8955428022,-18.7712520728,-17.4279160438,-18.9615229715
2.029,-17.9371363531,-18.791890419,-17.4669571774,-18.9823723934
2.03,-17.9787623061,-18.8125498625,-17.5060305829,-19.0032498395
2.031,-18.0204200234,-18.8332300409,-17.5451358646,-19.0241550052
2.032,-18.0621088527,-18.8539305897,-17.5842726176,-19.0450875837
2.033,-18.1038281273,-18.8746511427,-17.6234404286,-19.0660472665
2.034,-18.1455771653,-18.8953913318,-17.662638875,-19.0870337431
2.035,-18.1873552702,-18.916150787,-17.701867525,-19.1080467012
2.036,-18.2291617298,-18.9369291363,-17.7411259376,-19.1290858264
2.037,-18.2709958162,-18.9577260059,-17.7804136622,-19.1501508027
2.038,-18.3128567858,-18.9785410198,-17.8197302385,-19.1712413117
2.039,-18.3547438789,-18.9993738003,-17.8590751965,-19.1923570333
2.04,-18.3966563193,-19.0202239677,-17.8984480562,-19.2134976453
2.041,-18.4385933142,-19.0410911403,-17.9378483272,-19.2346628236
2.042,-18.4805540537,-19.0619749344,-17.9772755092,-19.2558522418
2.043,-18.5225377107,-19.0828749642,-18.016729091,-19.2770655716
2.044,-18.564543441,-19.1037908422,-18.0562085509,-19.2983024826
2.045,-18.6065703821,-19.1247221786,-18.0957133564,-19.3195626425
2.046,-18.6486176537,-19.1456685817,-18.1352429639,-19.3408457164
2.047,-18.6906843573,-19.1666296579,-18.1747968187,-19.3621513677
2.048,-18.7327695757,-19.1876050114,-18.2143743545,-19.3834792575
2.049,-18.7748723727,-19.2085942444,-18.2539749937,-19.4048290447
2.05,-18.8169917932,-19.2295969572,-18.2935981469,-19.426200386
2.051,-18.8591268623,-19.2506127478,-18.3332432126,-19.447592936
2.052,-18.9012765856,-19.2716412124,-18.3729095775,-19.469006347
2.053,-18.9434399487,-19.292681945,-18.4125966156,-19.490440269
2.054,-18.9856159168,-19.3137345375,-18.4523036887,-19.5118943499
2.055,-19.0278034344,-19.33479858,-18.4920301459,-19.5333682351
2.056,-19.0700014253,-19.3558736601,-18.5317753234,-19.554861568
2.057,-19.1122087919,-19.3769593638,-18.5715385442,-19.5763739895
2.058,-19.1544244153,-19.3980552747,-18.6113191183,-19.5979051381
2.059,-19.1966471546,-19.4191609744,-18.651116342,-19.6194546502
2.06,-19.2388758472,-19.4402760425,-18.6909294981,-19.6410221596
2.061,-19.2811093077,-19.4614000564,-18.7307578554,-19.662607298
2.062,-19.3233463283,-19.4825325915,-18.7706006688,-19.6842096945
2.063,-19.3655856782,-19.503673221,-18.8104571789,-19.7058289758
2.064,-19.4078261033,-19.5248215163,-18.8503266118,-19.7274647663
2.065,-19.450066326,-19.5459770463,-18.8902081789,-19.749116688
2.066,-19.4923050449,-19.5671393782,-18.9301010769,-19.7707843603
2.067,-19.5345409344,-19.5883080769,-18.9700044873,-19.7924674002
2.068,-19.5767726445,-19.6094827053,-19.0099175764,-19.8141654224
2.069,-19.6189988005,-19.6306628242,-19.0498394948,-19.8358780388
2.07,-19.6612180028,-19.6518479923,-19.0897693777,-19.857604859
2.071,-19.7034288265,-19.6730377663,-19.1297063442,-19.8793454902
2.072,-19.745629821,-19.6942317008,-19.1696494975,-19.9010995369
2.073,-19.7878195101,-19.7154293482,-19.2095979241,-19.9228666011
