Freq(Hz),S21 Log Mag(dB),S21 Phase(�)
1000000000,-10.641809,-60.327484
1001000000,-10.65833,-60.052452
1002000000,-10.666235,-60.080368
1003000000,-10.694569,-60.066605
1004000000,-10.699408,-60.2127
1005000000,-10.768373,-59.912556
1006000000,-10.726007,-60.185783
1007000000,-10.749262,-60.181324
1008000000,-10.750133,-60.277035
1009000000,-10.755584,-60.096123
1010000000,-10.781174,-60.365295
1011000000,-10.80985,-60.085079
1012000000,-10.838021,-60.108963
1013000000,-10.80777,-60.146122
1014000000,-10.820589,-60.003567
1015000000,-10.87909,-60.151566
1016000000,-10.833554,-60.038673
1017000000,-10.904716,-60.465446
1018000000,-10.879139,-60.26754
1019000000,-10.925851,-60.072906
1020000000,-10.971731,-59.902653
1021000000,-10.951514,-60.150745
1022000000,-10.95337,-59.792583
1023000000,-11.035975,-60.230766
1024000000,-11.018505,-59.949642
1025000000,-11.037668,-60.09964
1026000000,-11.038846,-59.952137
1027000000,-11.04495,-59.924747
1028000000,-11.091418,-60.130226
1029000000,-11.057398,-59.915779
1030000000,-11.138405,-60.03632
1031000000,-11.136851,-60.010418
1032000000,-11.15699,-60.040329
1033000000,-11.163325,-59.809761
1034000000,-11.194449,-60.011799
1035000000,-11.184137,-59.963913
1036000000,-11.202115,-59.86475
1037000000,-11.214261,-60.005638
1038000000,-11.236273,-59.811619
1039000000,-11.243206,-59.834816
1040000000,-11.257689,-59.779613
1041000000,-11.316528,-59.813778
1042000000,-11.325045,-59.710041
1043000000,-11.322614,-59.78688
1044000000,-11.31531,-59.893635
1045000000,-11.345811,-59.595097
1046000000,-11.390227,-59.895657
1047000000,-11.406029,-59.467236
1048000000,-11.414124,-59.239582
1049000000,-11.390985,-59.477798
1050000000,-11.417082,-59.297455
1051000000,-11.483363,-59.310604
1052000000,-11.460479,-59.413132
1053000000,-11.491391,-59.362534
1054000000,-11.479713,-59.353848
1055000000,-11.526631,-59.320168
1056000000,-11.541079,-59.163933
1057000000,-11.536471,-59.367149
1058000000,-11.606836,-59.350662
1059000000,-11.601919,-59.160088
1060000000,-11.590051,-59.108067
1061000000,-11.632028,-59.186562
1062000000,-11.644479,-59.094048
1063000000,-11.654819,-59.132595
1064000000,-11.674725,-59.091766
1065000000,-11.642493,-59.0317
1066000000,-11.716839,-58.874973
1067000000,-11.71854,-59.034439
1068000000,-11.74432,-58.926514
1069000000,-11.773101,-58.794373
1070000000,-11.762985,-58.763344
1071000000,-11.787828,-58.697903
1072000000,-11.793585,-58.502811
1073000000,-11.848454,-58.56282
1074000000,-11.818102,-58.392567
1075000000,-11.878619,-58.536415
1076000000,-11.882508,-58.51408
1077000000,-11.901547,-58.476234
1078000000,-11.923793,-58.391514
1079000000,-11.894394,-58.296062
1080000000,-11.92807,-58.419025
1081000000,-11.957734,-58.158394
1082000000,-11.99378,-58.146214
1083000000,-11.99484,-58.176552
1084000000,-12.01839,-58.01088
1085000000,-12.017393,-57.837475
1086000000,-12.068489,-58.129951
1087000000,-12.058016,-57.862598
1088000000,-12.080563,-57.753456
1089000000,-12.067688,-57.765221
1090000000,-12.105374,-57.621117
1091000000,-12.128071,-57.513889
1092000000,-12.163504,-57.422993
1093000000,-12.108305,-57.583012
1094000000,-12.181141,-57.520683
1095000000,-12.180944,-57.478577
1096000000,-12.197942,-57.4133
1097000000,-12.238793,-57.315231
1098000000,-12.223549,-57.112797
1099000000,-12.297097,-57.23793
1100000000,-12.284669,-56.816452
1101000000,-12.314027,-56.7929
1102000000,-12.329698,-56.668186
1103000000,-12.336092,-56.651169
1104000000,-12.364917,-56.669773
1105000000,-12.361784,-56.881065
1106000000,-12.356311,-56.5168
1107000000,-12.399302,-56.431496
1108000000,-12.425203,-56.608204
1109000000,-12.410847,-56.0662
1110000000,-12.447502,-56.158463
1111000000,-12.466761,-55.867447
1112000000,-12.447061,-55.96159
1113000000,-12.528844,-55.759857
1114000000,-12.499675,-55.729752
1115000000,-12.517983,-55.714417
1116000000,-12.550388,-55.555897
1117000000,-12.544469,-55.493172
1118000000,-12.578399,-55.233177
1119000000,-12.566892,-55.188858
1120000000,-12.602318,-55.256042
1121000000,-12.617537,-55.246101
1122000000,-12.65115,-55.178703
1123000000,-12.645952,-54.622078
1124000000,-12.638355,-54.690727
1125000000,-12.672854,-54.784046
1126000000,-12.696718,-54.483189
1127000000,-12.714885,-54.396992
1128000000,-12.726635,-54.2547
1129000000,-12.775947,-54.358868
1130000000,-12.801017,-54.208771
1131000000,-12.757758,-54.177574
1132000000,-12.785239,-53.741692
1133000000,-12.794791,-53.712284
1134000000,-12.809446,-53.626678
1135000000,-12.836063,-53.507004
1136000000,-12.851799,-53.334438
1137000000,-12.854437,-53.144089
1138000000,-12.867628,-53.333649
1139000000,-12.891377,-53.062485
1140000000,-12.92155,-52.750854
1141000000,-12.954173,-52.583382
1142000000,-12.931775,-52.787277
1143000000,-12.935592,-52.399513
1144000000,-12.979545,-52.399887
1145000000,-12.961267,-52.39159
1146000000,-13.006383,-51.810646
1147000000,-12.970529,-51.946026
1148000000,-13.017822,-51.822803
1149000000,-13.006257,-51.759651
1150000000,-13.006583,-51.740883
1151000000,-13.04845,-51.299789
1152000000,-13.038939,-51.373909
1153000000,-13.036695,-51.212975
1154000000,-13.078793,-51.074566
1155000000,-13.100924,-50.968445
1156000000,-13.104805,-50.856937
1157000000,-13.112258,-50.578438
1158000000,-13.126553,-50.386566
1159000000,-13.143438,-50.388527
1160000000,-13.131624,-50.129623
1161000000,-13.141769,-49.843239
1162000000,-13.1424,-49.853683
1163000000,-13.204951,-49.64489
1164000000,-13.199711,-49.633034
1165000000,-13.189734,-49.303066
1166000000,-13.19632,-49.044239
1167000000,-13.175035,-49.170044
1168000000,-13.213828,-49.108395
1169000000,-13.243796,-48.951283
1170000000,-13.218577,-48.45863
1171000000,-13.214361,-48.412968
1172000000,-13.250739,-48.28339
1173000000,-13.295245,-47.920155
1174000000,-13.286184,-47.73938
1175000000,-13.274633,-47.764606
1176000000,-13.295719,-47.669605
1177000000,-13.318336,-47.42305
1178000000,-13.306139,-47.328537
1179000000,-13.300486,-47.068512
1180000000,-13.293086,-46.903362
1181000000,-13.319901,-46.651615
1182000000,-13.326238,-46.61853
1183000000,-13.289247,-46.438808
1184000000,-13.380974,-46.116104
1185000000,-13.38018,-45.874344
1186000000,-13.388533,-45.827724
1187000000,-13.372264,-45.790276
1188000000,-13.370221,-45.605968
1189000000,-13.389797,-45.487156
1190000000,-13.350351,-45.136078
1191000000,-13.351057,-45.090599
1192000000,-13.372689,-44.829655
1193000000,-13.355528,-44.758968
1194000000,-13.401847,-44.704033
1195000000,-13.387122,-44.242229
1196000000,-13.391435,-43.975422
1197000000,-13.399961,-44.096504
1198000000,-13.383564,-43.773914
1199000000,-13.411898,-43.248726
1200000000,-13.417631,-43.344826
1201000000,-13.370718,-43.281143
1202000000,-13.400186,-43.036522
1203000000,-13.418363,-42.591465
1204000000,-13.418267,-42.607349
1205000000,-13.386862,-42.207245
1206000000,-13.398293,-42.027599
1207000000,-13.435428,-41.770321
1208000000,-13.374977,-41.688766
1209000000,-13.390272,-41.43832
1210000000,-13.43059,-41.771496
1211000000,-13.396912,-41.177956
1212000000,-13.385115,-41.104507
1213000000,-13.399917,-40.676094
1214000000,-13.394025,-40.591721
1215000000,-13.388332,-40.400597
1216000000,-13.362575,-40.193737
1217000000,-13.38399,-39.990685
1218000000,-13.37944,-39.908684
1219000000,-13.373928,-39.39497
1220000000,-13.390283,-39.436764
1221000000,-13.336628,-39.194386
1222000000,-13.354466,-39.029846
1223000000,-13.358545,-38.614872
1224000000,-13.315265,-38.348122
1225000000,-13.351526,-38.422897
1226000000,-13.3606,-38.104591
1227000000,-13.357895,-38.106136
1228000000,-13.336719,-37.767662
1229000000,-13.316751,-37.631023
1230000000,-13.303679,-37.32658
1231000000,-13.307913,-37.528641
1232000000,-13.317906,-37.026936
1233000000,-13.257287,-36.915058
1234000000,-13.314653,-36.766758
1235000000,-13.236687,-36.238728
1236000000,-13.274098,-36.173962
1237000000,-13.254512,-36.108059
1238000000,-13.219852,-35.795868
1239000000,-13.244883,-35.512428
1240000000,-13.231969,-35.62854
1241000000,-13.225069,-35.194111
1242000000,-13.218558,-35.068062
1243000000,-13.185192,-34.86002
1244000000,-13.204871,-34.597733
1245000000,-13.170102,-34.414711
1246000000,-13.138368,-34.291344
1247000000,-13.148025,-34.125446
1248000000,-13.120962,-33.968433
1249000000,-13.090041,-33.573277
1250000000,-13.10624,-33.442543
1251000000,-13.060216,-33.477459
1252000000,-13.058765,-33.19775
1253000000,-13.06129,-32.985538
1254000000,-13.062617,-32.877464
1255000000,-13.039901,-32.394474
1256000000,-12.975328,-32.229263
1257000000,-12.973048,-32.24622
1258000000,-12.945561,-32.161491
1259000000,-12.945105,-31.983553
1260000000,-12.957524,-31.555014
1261000000,-12.9534,-31.370783
1262000000,-12.919661,-31.586924
1263000000,-12.878374,-31.140326
1264000000,-12.849465,-30.891638
1265000000,-12.82036,-30.575705
1266000000,-12.823453,-30.391293
1267000000,-12.782069,-30.371338
1268000000,-12.759422,-30.259575
1269000000,-12.765507,-29.76008
1270000000,-12.798616,-29.798988
1271000000,-12.756492,-29.655682
1272000000,-12.7026,-29.506277
1273000000,-12.687256,-29.215031
1274000000,-12.646586,-29.274065
1275000000,-12.628422,-29.115786
1276000000,-12.660407,-28.934441
1277000000,-12.614886,-28.699154
1278000000,-12.552471,-28.383869
1279000000,-12.53691,-28.284475
1280000000,-12.5619,-28.344397
1281000000,-12.545825,-27.943304
1282000000,-12.517682,-27.627592
1283000000,-12.471165,-27.764502
1284000000,-12.452026,-27.555473
1285000000,-12.424767,-27.23333
1286000000,-12.404382,-27.318018
1287000000,-12.412266,-26.828978
1288000000,-12.35985,-26.787502
1289000000,-12.345002,-26.865646
1290000000,-12.321804,-26.569279
1291000000,-12.279791,-26.278854
1292000000,-12.262955,-26.457891
1293000000,-12.236973,-26.085018
1294000000,-12.229753,-26.1029
1295000000,-12.176965,-25.905256
1296000000,-12.16518,-25.726448
1297000000,-12.188716,-25.743919
1298000000,-12.121593,-25.636202
1299000000,-12.063371,-25.45306
1300000000,-12.048648,-25.134623
1301000000,-12.054391,-25.129032
1302000000,-11.979203,-25.117077
1303000000,-11.969314,-25.01598
1304000000,-11.957177,-24.680317
1305000000,-11.958455,-24.518288
1306000000,-11.88279,-24.297024
1307000000,-11.853616,-24.253408
1308000000,-11.867007,-24.002251
1309000000,-11.824492,-23.998589
1310000000,-11.791183,-24.217308
1311000000,-11.747728,-24.006334
1312000000,-11.725707,-23.670912
1313000000,-11.695194,-23.727163
1314000000,-11.679412,-23.665112
1315000000,-11.636686,-23.648726
1316000000,-11.605396,-23.346167
1317000000,-11.565326,-23.115303
1318000000,-11.539306,-23.061956
1319000000,-11.515044,-23.084106
1320000000,-11.501211,-22.892595
1321000000,-11.491121,-22.770346
1322000000,-11.42846,-22.673374
1323000000,-11.410428,-22.585459
1324000000,-11.365698,-22.311836
1325000000,-11.340504,-22.17482
1326000000,-11.318887,-22.377411
1327000000,-11.285987,-21.990103
1328000000,-11.245872,-22.182388
1329000000,-11.247006,-22.019619
1330000000,-11.183374,-21.844921
1331000000,-11.184174,-21.989445
1332000000,-11.134184,-21.661064
1333000000,-11.105938,-21.665415
1334000000,-11.080315,-21.546043
1335000000,-11.02634,-21.554314
1336000000,-11.011802,-21.674786
1337000000,-10.952545,-21.423269
1338000000,-10.932536,-21.400438
1339000000,-10.90209,-21.348341
1340000000,-10.882531,-21.222364
1341000000,-10.858699,-20.963127
1342000000,-10.800136,-20.905415
1343000000,-10.80492,-20.939707
1344000000,-10.778151,-20.912186
1345000000,-10.728951,-20.934702
1346000000,-10.693582,-20.846399
1347000000,-10.692806,-20.711489
1348000000,-10.625015,-20.641058
1349000000,-10.601726,-20.828987
1350000000,-10.579341,-20.633265
1351000000,-10.511423,-20.413109
1352000000,-10.520178,-20.531601
1353000000,-10.471965,-20.431791
1354000000,-10.425994,-20.330008
1355000000,-10.445322,-20.106026
1356000000,-10.3904,-20.395031
1357000000,-10.341904,-20.330318
1358000000,-10.297951,-20.126114
1359000000,-10.272294,-20.206785
1360000000,-10.229121,-20.218218
1361000000,-10.222631,-20.246
1362000000,-10.194771,-20.198856
1363000000,-10.156146,-20.143305
1364000000,-10.136705,-19.919453
1365000000,-10.094104,-19.90274
1366000000,-10.027069,-19.985098
1367000000,-10.01562,-19.867626
1368000000,-10.014337,-19.914839
1369000000,-9.9340582,-19.831573
1370000000,-9.9221201,-19.837261
1371000000,-9.910759,-19.573597
1372000000,-9.8391447,-19.905037
1373000000,-9.8411093,-19.874441
1374000000,-9.7867804,-19.781773
1375000000,-9.7773838,-19.707897
1376000000,-9.7376118,-19.627605
1377000000,-9.6943884,-19.837328
1378000000,-9.669138,-19.706144
1379000000,-9.652606,-19.653172
1380000000,-9.6404266,-19.67676
1381000000,-9.5893145,-19.702181
1382000000,-9.5326881,-19.689627
1383000000,-9.5195379,-19.596319
1384000000,-9.5015011,-19.577217
1385000000,-9.4570923,-19.61924
1386000000,-9.3807201,-19.683517
1387000000,-9.4004879,-19.544077
1388000000,-9.3834858,-19.583204
1389000000,-9.3284206,-19.44989
1390000000,-9.2938118,-19.771423
1391000000,-9.2635603,-19.636957
1392000000,-9.2415743,-19.496458
1393000000,-9.2138176,-19.616177
1394000000,-9.1729212,-19.747198
1395000000,-9.1315737,-19.510736
1396000000,-9.1129103,-19.857214
1397000000,-9.0830927,-19.689112
1398000000,-9.0416155,-19.846811
1399000000,-8.9997034,-19.733135
1400000000,-9.0083237,-19.843372
1401000000,-8.9560776,-19.908304
1402000000,-8.9375172,-19.638979
1403000000,-8.8821421,-19.838905
1404000000,-8.8604288,-19.805149
1405000000,-8.844573,-19.920881
1406000000,-8.7845898,-19.946127
1407000000,-8.7816067,-19.976694
1408000000,-8.7279053,-19.833506
1409000000,-8.6834879,-19.873684
1410000000,-8.6645002,-19.965334
1411000000,-8.6380701,-20.277834
1412000000,-8.6086798,-20.035032
1413000000,-8.5863571,-20.087379
1414000000,-8.5752344,-19.99161
1415000000,-8.5162268,-20.129145
1416000000,-8.4907236,-20.171732
1417000000,-8.4388609,-20.170225
1418000000,-8.4069338,-20.080074
1419000000,-8.3652668,-20.360506
1420000000,-8.3932238,-20.267109
1421000000,-8.3318424,-20.325684
1422000000,-8.3197165,-20.250895
1423000000,-8.2569389,-20.326979
1424000000,-8.2569265,-20.436583
1425000000,-8.2019806,-20.546804
1426000000,-8.1891031,-20.465294
1427000000,-8.1740751,-20.428888
1428000000,-8.0828257,-20.746384
1429000000,-8.077714,-20.71452
1430000000,-8.061595,-20.656656
1431000000,-8.0233383,-20.731432
1432000000,-8.0060959,-20.886312
1433000000,-7.981658,-20.788332
1434000000,-7.9390206,-21.009102
1435000000,-7.8936977,-21.060192
1436000000,-7.8842096,-21.112078
1437000000,-7.8734727,-21.284985
1438000000,-7.8193507,-21.15391
1439000000,-7.8182974,-21.187721
1440000000,-7.7717323,-21.180891
1441000000,-7.7563863,-21.374142
1442000000,-7.7389503,-21.297871
1443000000,-7.6923876,-21.50663
1444000000,-7.658102,-21.385017
1445000000,-7.6563969,-21.541712
1446000000,-7.6144776,-21.792881
1447000000,-7.561727,-21.715075
1448000000,-7.5387444,-21.640823
1449000000,-7.5187235,-21.850601
1450000000,-7.5045505,-21.837154
1451000000,-7.4519758,-21.993925
1452000000,-7.4313502,-21.992634
1453000000,-7.4401321,-22.120163
1454000000,-7.3949051,-22.255941
1455000000,-7.3604498,-22.270195
1456000000,-7.3355966,-22.357302
1457000000,-7.2938347,-22.207762
1458000000,-7.2633543,-22.432594
1459000000,-7.2565446,-22.537136
1460000000,-7.2067013,-22.353941
1461000000,-7.1861992,-22.891418
1462000000,-7.1642442,-22.822752
1463000000,-7.1509814,-22.866047
1464000000,-7.1285791,-22.833267
1465000000,-7.0656013,-23.171473
1466000000,-7.0784001,-23.261436
1467000000,-7.0403123,-23.075968
1468000000,-6.9835258,-23.252562
1469000000,-6.9458084,-23.527159
1470000000,-6.9583864,-23.55303
1471000000,-6.9220448,-23.594873
1472000000,-6.9114099,-23.560026
1473000000,-6.8787384,-23.898813
