"Freq [GHz]","dB(S(1,1)) []"
2,-11.992751309704
2.001,-11.9935125425631
2.002,-11.9942738999231
2.003,-11.995035378105
2.004,-11.9957969733705
2.005,-11.9965586819215
2.006,-11.9973204999014
2.007,-11.9980824233946
2.008,-11.9988444484275
2.009,-11.9996065709687
2.01,-12.0003687869291
2.011,-12.0011310921628
2.012,-12.0018934824668
2.013,-12.0026559535821
2.014,-12.0034185011935
2.015,-12.0041811209302
2.016,-12.0049438083663
2.017,-12.0057065590208
2.018,-12.0064693683586
2.019,-12.0072322317901
2.02,-12.0079951446723
2.021,-12.0087581023087
2.022,-12.0095210999498
2.023,-12.0102841327937
2.024,-12.0110471959862
2.025,-12.0118102846212
2.026,-12.0125733937413
2.027,-12.0133365183381
2.028,-12.0140996533525
2.029,-12.0148627936749
2.03,-12.0156259341462
2.031,-12.0163890695576
2.032,-12.0171521946511
2.033,-12.0179153041202
2.034,-12.0186783926099
2.035,-12.0194414547172
2.036,-12.0202044849917
2.037,-12.0209674779359
2.038,-12.0217304280052
2.039,-12.022493329609
2.04,-12.0232561771104
2.041,-12.024018964827
2.042,-12.0247816870312
2.043,-12.0255443379507
2.044,-12.0263069117686
2.045,-12.0270694026239
2.046,-12.0278318046123
2.047,-12.028594111786
2.048,-12.0293563181543
2.049,-12.0301184176843
2.05,-12.0308804043008
2.051,-12.0316422718871
2.052,-12.0324040142851
2.053,-12.0331656252959
2.054,-12.0339270986802
2.055,-12.0346884281585
2.056,-12.0354496074117
2.057,-12.0362106300814
2.058,-12.0369714897703
2.059,-12.0377321800426
2.06,-12.0384926944246
2.061,-12.0392530264045
2.062,-12.0400131694337
2.063,-12.0407731169263
2.064,-12.0415328622602
2.065,-12.0422923987771
2.066,-12.0430517197829
2.067,-12.0438108185484
2.068,-12.0445696883093
2.069,-12.0453283222671
2.07,-12.0460867135888
2.071,-12.0468448554082
2.072,-12.0476027408252
2.073,-12.0483603629075
2.074,-12.0491177146896
2.075,-12.0498747891745
2.076,-12.0506315793331
2.077,-12.0513880781053
2.078,-12.0521442783999
2.079,-12.0529001730952
2.08,-12.0536557550395
2.081,-12.0544110170514
2.082,-12.0551659519202
2.083,-12.0559205524063
2.084,-12.0566748112416
2.085,-12.0574287211299
2.086,-12.0581822747472
2.087,-12.0589354647425
2.088,-12.0596882837375
2.089,-12.0604407243278
2.09,-12.0611927790825
2.091,-12.0619444405455
2.092,-12.0626957012348
2.093,-12.0634465536441
2.094,-12.0641969902422
2.095,-12.0649470034738
2.096,-12.0656965857601
2.097,-12.0664457294989
2.098,-12.0671944270651
2.099,-12.0679426708109
2.1,-12.0686904530668
2.101,-12.0694377661411
2.102,-12.0701846023211
2.103,-12.070930953873
2.104,-12.0716768130427
2.105,-12.0724221720556
2.106,-12.0731670231177
2.107,-12.0739113584154
2.108,-12.0746551701164
2.109,-12.0753984503697
2.11,-12.076141191306
2.111,-12.0768833850385
2.112,-12.0776250236628
2.113,-12.0783660992576
2.114,-12.0791066038852
2.115,-12.0798465295913
2.116,-12.0805858684062
2.117,-12.0813246123444
2.118,-12.0820627534056
2.119,-12.0828002835749
2.12,-12.0835371948231
2.121,-12.084273479107
2.122,-12.0850091283701
2.123,-12.0857441345427
2.124,-12.0864784895426
2.125,-12.087212185275
2.126,-12.0879452136335
2.127,-12.0886775664998
2.128,-12.0894092357447
2.129,-12.0901402132283
2.13,-12.0908704908001
2.131,-12.0916000602996
2.132,-12.092328913557
2.133,-12.0930570423928
2.134,-12.093784438619
2.135,-12.094511094039
2.136,-12.0952370004482
2.137,-12.0959621496341
2.138,-12.096686533377
2.139,-12.0974101434503
2.14,-12.0981329716206
2.141,-12.0988550096485
2.142,-12.0995762492888
2.143,-12.1002966822907
2.144,-12.1010163003983
2.145,-12.1017350953513
2.146,-12.1024530588846
2.147,-12.1031701827296
2.148,-12.1038864586139
2.149,-12.1046018782618
2.15,-12.1053164333949
2.151,-12.1060301157324
2.152,-12.1067429169911
2.153,-12.1074548288864
2.154,-12.108165843132
2.155,-12.1088759514409
2.156,-12.1095851455253
2.157,-12.110293417097
2.158,-12.1110007578683
2.159,-12.1117071595514
2.16,-12.1124126138597
2.161,-12.1131171125077
2.162,-12.1138206472113
2.163,-12.1145232096883
2.164,-12.115224791659
2.165,-12.115925384846
2.166,-12.116624980975
2.167,-12.117323571775
2.168,-12.1180211489787
2.169,-12.1187177043226
2.17,-12.1194132295478
2.171,-12.1201077164002
2.172,-12.1208011566305
2.173,-12.121493541995
2.174,-12.1221848642557
2.175,-12.1228751151808
2.176,-12.1235642865449
2.177,-12.1242523701292
2.178,-12.1249393577225
2.179,-12.1256252411208
2.18,-12.1263100121278
2.181,-12.1269936625558
2.182,-12.1276761842252
2.183,-12.1283575689654
2.184,-12.129037808615
2.185,-12.1297168950222
2.186,-12.1303948200449
2.187,-12.1310715755513
2.188,-12.1317471534201
2.189,-12.1324215455408
2.19,-12.1330947438142
2.191,-12.1337667401525
2.192,-12.1344375264797
2.193,-12.1351070947321
2.194,-12.1357754368585
2.195,-12.1364425448205
2.196,-12.1371084105926
2.197,-12.1377730261631
2.198,-12.1384363835339
2.199,-12.139098474721
2.2,-12.1397592917549
2.201,-12.1404188266808
2.202,-12.1410770715589
2.203,-12.1417340184648
2.204,-12.1423896594898
2.205,-12.1430439867411
2.206,-12.1436969923424
2.207,-12.1443486684338
2.208,-12.1449990071723
2.209,-12.1456480007322
2.21,-12.1462956413055
2.211,-12.1469419211017
2.212,-12.1475868323486
2.213,-12.1482303672925
2.214,-12.1488725181982
