"Freq [GHz]","mag(S(2,1)) []"
2,0.870534955418837
2.01,0.870594307471775
2.02,0.870652535705727
2.03,0.870709553697458
2.04,0.870765279559824
2.05,0.870819635946099
2.06,0.870872550049705
2.07,0.870923953599363
2.08,0.870973782849677
2.09,0.871021978567198
2.1,0.87106848601197
2.11,0.871113254914632
2.12,0.871156239449095
2.13,0.871197398200863
2.14,0.871236694131045
2.15,0.871274094536137
2.16,0.87130957100362
2.17,0.871343099363484
2.18,0.871374659635718
2.19,0.871404235973893
2.2,0.871431816604899
2.21,0.871457393764947
2.22,0.871480963631931
2.23,0.871502526254262
2.24,0.871522085476269
2.25,0.871539648860301
2.26,0.871555227605619
2.27,0.87156883646422
2.28,0.871580493653707
2.29,0.871590220767322
2.3,0.871598042681279
2.31,0.87160398745952
2.32,0.871608086256024
2.33,0.871610373214802
2.34,0.871610885367703
2.35,0.871609662530173
2.36,0.871606747195095
2.37,0.871602184424832
2.38,0.871596021741625
2.39,0.871588309016459
2.4,0.871579098356533
2.41,0.871568443991468
2.42,0.871556402158364
2.43,0.871543030985849
2.44,0.871528390377233
2.45,0.871512541892883
2.46,0.871495548631942
2.47,0.871477475113511
2.48,0.871458387157391
2.49,0.871438351764503
2.5,0.871417436997096
2.51,0.871395711858818
2.52,0.871373246174782
2.53,0.871350110471687
2.54,0.871326375858105
2.55,0.87130211390501
2.56,0.871277396526616
2.57,0.871252295861631
2.58,0.871226884154961
2.59,0.871201233639962
2.6,0.871175416421279
2.61,0.871149504358345
2.62,0.871123568949582
2.63,0.871097681217363
2.64,0.87107191159377
2.65,0.871046329807195
2.66,0.871021004769814
2.67,0.870996004465974
2.68,0.870971395841508
2.69,0.870947244694013
2.7,0.87092361556411
2.71,0.870900571627696
2.72,0.870878174589205
2.73,0.870856484575887
2.74,0.87083556003312
2.75,0.870815457620743
2.76,0.870796232110425
2.77,0.870777936284064
2.78,0.870760620833217
2.79,0.870744334259547
2.8,0.870729122776295
2.81,0.870715030210754
2.82,0.870702097907751
2.83,0.870690364634116
2.84,0.870679866484137
2.85,0.870670636785984
2.86,0.870662706009098
2.87,0.87065610167253
2.88,0.870650848254234
2.89,0.870646967101285
2.9,0.870644476341042
2.91,0.87064339079323
2.92,0.87064372188295
2.93,0.87064547755462
2.94,0.870648662186839
2.95,0.870653276508194
2.96,0.870659317514
2.97,0.870666778384016
2.98,0.870675648401123
2.99,0.870685912871001
3,0.870697553042837
