"Freq [GHz]","dB(S(2,1)) []"
2,-1.20427571113468
2.01,-1.20368353754619
2.02,-1.20310261587377
2.03,-1.20253380599012
2.04,-1.20197792234321
2.05,-1.20143573393969
2.06,-1.20090796437391
2.07,-1.2003952919021
2.08,-1.19989834956152
2.09,-1.19941772533408
2.1,-1.19895396235397
2.11,-1.19850755915884
2.12,-1.19807896998389
2.13,-1.19766860509833
2.14,-1.19727683118349
2.15,-1.19690397175191
2.16,-1.1965503076066
2.17,-1.19621607733971
2.18,-1.19590147786979
2.19,-1.19560666501664
2.2,-1.19533175411296
2.21,-1.19507682065176
2.22,-1.19484190096851
2.23,-1.19462699295709
2.24,-1.19443205681835
2.25,-1.19425701584031
2.26,-1.19410175720883
2.27,-1.19396613284755
2.28,-1.19384996028605
2.29,-1.193753023555
2.3,-1.19367507410707
2.31,-1.19361583176243
2.32,-1.19357498567764
2.33,-1.19355219533665
2.34,-1.19354709156276
2.35,-1.19355927755017
2.36,-1.19358832991407
2.37,-1.19363379975791
2.38,-1.19369521375664
2.39,-1.19377207525479
2.4,-1.19386386537806
2.41,-1.1939700441574
2.42,-1.19409005166416
2.43,-1.19422330915549
2.44,-1.19436922022845
2.45,-1.19452717198215
2.46,-1.1946965361864
2.47,-1.19487667045621
2.48,-1.1950669194308
2.49,-1.19526661595624
2.5,-1.19547508227076
2.51,-1.19569163119178
2.52,-1.19591556730368
2.53,-1.19614618814551
2.54,-1.19638278539784
2.55,-1.19662464606779
2.56,-1.19687105367169
2.57,-1.19712128941444
2.58,-1.19737463336505
2.59,-1.19763036562761
2.6,-1.19788776750711
2.61,-1.19814612266954
2.62,-1.19840471829579
2.63,-1.19866284622877
2.64,-1.19891980411334
2.65,-1.19917489652862
2.66,-1.19942743611238
2.67,-1.19967674467704
2.68,-1.19992215431701
2.69,-1.20016300850722
2.7,-1.20039866319238
2.71,-1.200628487867
2.72,-1.20085186664573
2.73,-1.20106819932412
2.74,-1.20127690242955
2.75,-1.20147741026219
2.76,-1.20166917592597
2.77,-1.2018516723496
2.78,-1.20202439329739
2.79,-1.20218685437
2.8,-1.20233859399512
2.81,-1.20247917440799
2.82,-1.20260818262186
2.83,-1.20272523138839
2.84,-1.20282996014795
2.85,-1.20292203597002
2.86,-1.2030011544835
2.87,-1.20306704079715
2.88,-1.20311945040999
2.89,-1.20315817011191
2.9,-1.20318301887421
2.91,-1.20319384873028
2.92,-1.20319054564632
2.93,-1.20317303038191
2.94,-1.20314125934064
2.95,-1.20309522541033
2.96,-1.20303495879317
2.97,-1.20296052782505
2.98,-1.20287203978446
2.99,-1.2027696416903
3,-1.20265352108858
