"Freq [GHz]","cang_deg(S(2,1)) [deg]","cang_deg(S(3,1)) [deg]"
1,-116.624953771493,-134.71181510765
1.001,-116.732687124074,-134.843369082873
1.002,-116.840388252069,-134.974919707752
1.003,-116.948057108842,-135.106467009168
1.004,-117.05569364774,-135.238011014095
1.005,-117.163297822091,-135.369551749605
1.006,-117.270869585204,-135.501089242864
1.007,-117.378408890372,-135.632623521131
1.008,-117.485915690865,-135.764154611762
1.009,-117.593389939937,-135.895682542208
1.01,-117.700831590818,-136.027207340016
1.011,-117.808240596722,-136.158729032827
1.012,-117.915616910838,-136.29024764838
1.013,-118.022960486338,-136.421763214507
1.014,-118.130271276368,-136.55327575914
1.015,-118.237549234055,-136.684785310304
1.016,-118.344794312503,-136.816291896122
1.017,-118.452006464793,-136.947795544814
1.018,-118.559185643983,-137.079296284695
1.019,-118.666331803107,-137.210794144179
1.02,-118.773444895175,-137.342289151777
1.021,-118.880524873173,-137.473781336096
1.022,-118.987571690062,-137.605270725842
1.023,-119.094585298777,-137.736757349816
1.024,-119.201565652229,-137.868241236921
1.025,-119.308512703301,-137.999722416155
1.026,-119.415426404851,-138.131200916614
1.027,-119.522306709709,-138.262676767495
1.028,-119.629153570678,-138.394149998091
1.029,-119.735966940534,-138.525620637794
1.03,-119.842746772023,-138.657088716097
1.031,-119.949493017863,-138.78855426259
1.032,-120.056205630744,-138.920017306962
1.033,-120.162884563325,-139.051477879003
1.034,-120.269529768237,-139.182936008602
1.035,-120.376141198077,-139.314391725747
1.036,-120.482718805415,-139.445845060527
1.037,-120.589262542788,-139.57729604313
1.038,-120.6957723627,-139.708744703846
1.039,-120.802248217624,-139.840191073064
1.04,-120.908690060001,-139.971635181274
1.041,-121.015097842238,-140.103077059067
1.042,-121.121471516708,-140.234516737136
1.043,-121.227811035751,-140.365954246273
1.044,-121.334116351671,-140.497389617373
1.045,-121.44038741674,-140.628822881433
1.046,-121.54662418319,-140.76025406955
1.047,-121.65282660322,-140.891683212924
1.048,-121.758994628994,-141.023110342858
1.049,-121.865128212635,-141.154535490756
1.05,-121.971227306233,-141.285958688124
1.051,-122.077291861836,-141.417379966572
1.052,-122.183321831458,-141.548799357814
1.053,-122.28931716707,-141.680216893663
1.054,-122.395277820607,-141.811632606039
1.055,-122.501203743964,-141.943046526965
1.056,-122.607094888993,-142.074458688565
1.057,-122.712951207508,-142.20586912307
1.058,-122.818772651281,-142.337277862814
1.059,-122.924559172042,-142.468684940233
1.06,-123.03031072148,-142.600090387871
1.061,-123.13602725124,-142.731494238373
1.062,-123.241708712924,-142.862896524492
1.063,-123.347355058091,-142.994297279084
1.064,-123.452966238255,-143.125696535111
1.065,-123.558542204886,-143.25709432564
1.066,-123.66408290941,-143.388490683843
1.067,-123.769588303204,-143.519885642998
1.068,-123.875058337602,-143.65127923649
1.069,-123.98049296389,-143.78267149781
1.07,-124.085892133307,-143.914062460552
1.071,-124.191255797045,-144.045452158422
1.072,-124.296583906246,-144.176840625228
1.073,-124.401876412005,-144.308227894888
1.074,-124.507133265367,-144.439614001425
1.075,-124.612354417328,-144.570998978971
1.076,-124.717539818832,-144.702382861764
1.077,-124.822689420776,-144.83376568415
1.078,-124.927803174,-144.965147480585
1.079,-125.032881029298,-145.09652828563
1.08,-125.137922937407,-145.227908133956
1.081,-125.242928849015,-145.359287060342
1.082,-125.347898714753,-145.490665099677
1.083,-125.452832485202,-145.622042286957
1.084,-125.557730110884,-145.753418657288
1.085,-125.662591542271,-145.884794245886
1.086,-125.767416729775,-146.016169088075
1.087,-125.872205623756,-146.147543219289
1.088,-125.976958174514,-146.278916675075
1.089,-126.081674332293,-146.410289491085
1.09,-126.186354047282,-146.541661703086
1.091,-126.290997269607,-146.673033346952
1.092,-126.39560394934,-146.804404458671
1.093,-126.500174036491,-146.935775074339
1.094,-126.604707481011,-147.067145230165
1.095,-126.709204232791,-147.198514962469
1.096,-126.81366424166,-147.329884307682
1.097,-126.918087457388,-147.461253302349
1.098,-127.022473829681,-147.592621983123
1.099,-127.126823308182,-147.723990386774
1.1,-127.231135842474,-147.85535855018
1.101,-127.335411382074,-147.986726510335
1.102,-127.439649876435,-148.118094304345
1.103,-127.543851274947,-148.249461969427
1.104,-127.648015526933,-148.380829542915
1.105,-127.752142581651,-148.512197062253
1.106,-127.856232388293,-148.643564565002
1.107,-127.960284895985,-148.774932088834
1.108,-128.064300053783,-148.906299671537
1.109,-128.168277810678,-149.037667351012
1.11,-128.272218115591,-149.169035165277
1.111,-128.376120917374,-149.300403152462
1.112,-128.47998616481,-149.431771350814
1.113,-128.583813806612,-149.563139798694
1.114,-128.687603791422,-149.69450853458
1.115,-128.79135606781,-149.825877597065
1.116,-128.895070584276,-149.957247024857
1.117,-128.998747289247,-150.08861685678
1.118,-129.102386131076,-150.219987131778
1.119,-129.205987058044,-150.351357888907
1.12,-129.309550018358,-150.482729167342
1.121,-129.41307496015,-150.614101006375
1.122,-129.516561831476,-150.745473445415
1.123,-129.62001058032,-150.876846523988
1.124,-129.723421154584,-151.00822028174
1.125,-129.8267935021,-151.139594758432
1.126,-129.930127570617,-151.270969993944
1.127,-130.033423307809,-151.402346028277
1.128,-130.136680661272,-151.533722901546
1.129,-130.239899578521,-151.665100653988
1.13,-130.343080006995,-151.79647932596
1.131,-130.446221894048,-151.927858957935
1.132,-130.549325186959,-152.059239590509
1.133,-130.652389832921,-152.190621264395
1.134,-130.755415779049,-152.322004020427
1.135,-130.858402972374,-152.45338789956
1.136,-130.961351359844,-152.58477294287
1.137,-131.064260888324,-152.71615919155
1.138,-131.167131504596,-152.847546686919
1.139,-131.269963155358,-152.978935470414
1.14,-131.37275578722,-153.110325583595
1.141,-131.47550934671,-153.241717068141
1.142,-131.578223780267,-153.373109965857
1.143,-131.680899034247,-153.504504318666
1.144,-131.783535054916,-153.635900168617
1.145,-131.886131788452,-153.767297557879
1.146,-131.988689180948,-153.898696528745
1.147,-132.091207178404,-154.030097123631
1.148,-132.193685726735,-154.161499385076
1.149,-132.296124771763,-154.292903355743
1.15,-132.398524259221,-154.424309078418
1.151,-132.500884134751,-154.555716596013
1.152,-132.603204343903,-154.687125951563
1.153,-132.705484832136,-154.818537188225
1.154,-132.807725544815,-154.949950349286
1.155,-132.909926427214,-155.081365478155
1.156,-133.012087424512,-155.212782618365
1.157,-133.114208481794,-155.344201813577
1.158,-133.216289544051,-155.475623107578
1.159,-133.318330556177,-155.607046544278
1.16,-133.420331462974,-155.738472167716
1.161,-133.522292209145,-155.869900022057
1.162,-133.624212739296,-156.001330151592
1.163,-133.726092997938,-156.13276260074
1.164,-133.827932929482,-156.264197414046
1.165,-133.929732478242,-156.395634636183
1.166,-134.031491588432,-156.527074311953
1.167,-134.133210204169,-156.658516486283
1.168,-134.234888269468,-156.789961204233
1.169,-134.336525728245,-156.921408510986
1.17,-134.438122524314,-157.052858451857
1.171,-134.539678601388,-157.184311072291
1.172,-134.64119390308,-157.315766417859
1.173,-134.742668372899,-157.447224534264
1.174,-134.844101954249,-157.578685467338
1.175,-134.945494590436,-157.710149263043
1.176,-135.046846224658,-157.841615967471
1.177,-135.148156800009,-157.973085626845
1.178,-135.249426259481,-158.104558287519
1.179,-135.350654545958,-158.236033995978
1.18,-135.451841602219,-158.367512798836
1.181,-135.552987370937,-158.498994742843
1.182,-135.654091794678,-158.630479874877
1.183,-135.755154815902,-158.761968241949
1.184,-135.85617637696,-158.893459891205
1.185,-135.957156420094,-159.02495486992
1.186,-136.05809488744,-159.156453225503
1.187,-136.158991721023,-159.287955005497
1.188,-136.259846862759,-159.419460257578
1.189,-136.360660254455,-159.550969029555
1.19,-136.461431837806,-159.682481369372
1.191,-136.562161554397,-159.813997325106
1.192,-136.662849345701,-159.94551694497
1.193,-136.763495153081,-160.07704027731
1.194,-136.864098917786,-160.208567370608
1.195,-136.964660580953,-160.340098273481
1.196,-137.065180083605,-160.471633034681
1.197,-137.165657366654,-160.603171703097
1.198,-137.266092370895,-160.734714327753
1.199,-137.366485037012,-160.86626095781
1.2,-137.466835305571,-160.997811642564
1.201,-137.567143117025,-161.129366431451
1.202,-137.667408411711,-161.260925374041
1.203,-137.767631129848,-161.392488520043
1.204,-137.867811211543,-161.524055919303
1.205,-137.967948596781,-161.655627621805
1.206,-138.068043225435,-161.787203677671
1.207,-138.168095037256,-161.918784137164
1.208,-138.268103971881,-162.050369050681
1.209,-138.368069968825,-162.181958468762
1.21,-138.467992967486,-162.313552442085
1.211,-138.567872907145,-162.445151021468
1.212,-138.66770972696,-162.576754257866
1.213,-138.767503365971,-162.708362202379
1.214,-138.867253763099,-162.839974906244
1.215,-138.966960857141,-162.971592420839
1.216,-139.066624586779,-163.103214797684
1.217,-139.166244890567,-163.23484208844
1.218,-139.265821706943,-163.366474344909
1.219,-139.365354974221,-163.498111619034
1.22,-139.464844630592,-163.629753962902
1.221,-139.564290614128,-163.761401428742
1.222,-139.663692862773,-163.893054068924
1.223,-139.763051314353,-164.024711935962
1.224,-139.862365906567,-164.156375082513
1.225,-139.961636576994,-164.288043561378
1.226,-140.060863263085,-164.419717425501
1.227,-140.16004590217,-164.551396727971
1.228,-140.259184431454,-164.683081522019
1.229,-140.358278788015,-164.814771861023
1.23,-140.457328908809,-164.946467798505
1.231,-140.556334730665,-165.078169388133
1.232,-140.655296190287,-165.209876683719
1.233,-140.754213224254,-165.341589739221
1.234,-140.853085769017,-165.473308608743
1.235,-140.951913760903,-165.605033346537
1.236,-141.050697136112,-165.736764006999
1.237,-141.149435830717,-165.868500644673
1.238,-141.248129780664,-166.000243314251
1.239,-141.346778921772,-166.131992070572
1.24,-141.445383189734,-166.263746968621
1.241,-141.543942520115,-166.395508063534
1.242,-141.642456848351,-166.527275410592
1.243,-141.740926109752,-166.659049065227
1.244,-141.8393502395,-166.790829083018
1.245,-141.937729172648,-166.922615519697
1.246,-142.036062844121,-167.05440843114
1.247,-142.134351188718,-167.186207873377
1.248,-142.232594141106,-167.318013902586
1.249,-142.330791635825,-167.449826575095
1.25,-142.428943607287,-167.581645947385
1.251,-142.527049989774,-167.713472076085
1.252,-142.625110717441,-167.845305017978
1.253,-142.723125724312,-167.977144829995
1.254,-142.821094944284,-168.108991569222
1.255,-142.919018311122,-168.240845292896
1.256,-143.016895758464,-168.372706058406
1.257,-143.114727219819,-168.504573923294
1.258,-143.212512628567,-168.636448945254
1.259,-143.310251917957,-168.768331182135
1.26,-143.407945021109,-168.900220691938
1.261,-143.505591871016,-169.032117532819
1.262,-143.603192400539,-169.164021763087
1.263,-143.700746542412,-169.295933441206
1.264,-143.798254229238,-169.427852625796
1.265,-143.895715393491,-169.559779375629
1.266,-143.993129967517,-169.691713749634
1.267,-144.090497883532,-169.823655806897
1.268,-144.187819073624,-169.955605606658
1.269,-144.285093469749,-170.087563208313
1.27,-144.382321003739,-170.219528671417
1.271,-144.479501607292,-170.351502055678
1.272,-144.576635211981,-170.483483420964
1.273,-144.673721749249,-170.615472827299
1.274,-144.770761150411,-170.747470334867
1.275,-144.867753346654,-170.879476004006
1.276,-144.964698269035,-171.011489895215
1.277,-145.061595848485,-171.143512069152
1.278,-145.158446015807,-171.275542586632
1.279,-145.255248701676,-171.407581508631
1.28,-145.352003836638,-171.539628896283
1.281,-145.448711351115,-171.671684810882
1.282,-145.5453711754,-171.803749313883
1.283,-145.64198323966,-171.935822466901
1.284,-145.738547473934,-172.067904331711
1.285,-145.835063808137,-172.199994970249
1.286,-145.931532172056,-172.332094444614
1.287,-146.027952495354,-172.464202817065
1.288,-146.124324707569,-172.596320150023
1.289,-146.220648738111,-172.728446506072
1.29,-146.316924516269,-172.860581947957
1.291,-146.413151971205,-172.992726538587
1.292,-146.509331031959,-173.124880341034
1.293,-146.605461627445,-173.257043418533
1.294,-146.701543686456,-173.389215834483
1.295,-146.797577137662,-173.521397652446
1.296,-146.893561909608,-173.65358893615
1.297,-146.989497930721,-173.785789749487
1.298,-147.085385129303,-173.918000156513
1.299,-147.181223433538,-174.05022022145
1.3,-147.277012771486,-174.182450008686
1.301,-147.372753071089,-174.314689582772
1.302,-147.468444260171,-174.44693900843
1.303,-147.564086266433,-174.579198350543
1.304,-147.65967901746,-174.711467674165
1.305,-147.755222440719,-174.843747044515
1.306,-147.85071646356,-174.97603652698
1.307,-147.946161013214,-175.108336187113
1.308,-148.041556016798,-175.240646090637
1.309,-148.136901401312,-175.372966303442
1.31,-148.232197093642,-175.505296891588
1.311,-148.327443020561,-175.637637921301
1.312,-148.422639108725,-175.76998945898
1.313,-148.517785284679,-175.902351571189
1.314,-148.612881474857,-176.034724324665
1.315,-148.707927605579,-176.167107786314
1.316,-148.802923603057,-176.299502023212
1.317,-148.897869393391,-176.431907102607
1.318,-148.992764902572,-176.564323091916
1.319,-149.087610056484,-176.696750058728
1.32,-149.182404780902,-176.829188070804
1.321,-149.277149001494,-176.961637196076
1.322,-149.371842643824,-177.094097502649
1.323,-149.46648563335,-177.226569058801
1.324,-149.561077895426,-177.35905193298
1.325,-149.655619355302,-177.491546193809
1.326,-149.750109938126,-177.624051910086
1.327,-149.844549568947,-177.756569150779
1.328,-149.938938172711,-177.889097985032
1.329,-150.033275674266,-178.021638482163
1.33,-150.12756199836,-178.154190711664
1.331,-150.221797069646,-178.286754743204
1.332,-150.31598081268,-178.419330646624
1.333,-150.410113151923,-178.551918491942
1.334,-150.504194011741,-178.684518349352
1.335,-150.598223316409,-178.817130289223
1.336,-150.692200990108,-178.949754382101
1.337,-150.786126956931,-179.082390698709
1.338,-150.880001140879,-179.215039309946
1.339,-150.973823465866,-179.347700286889
1.34,-151.06759385572,-179.480373700791
1.341,-151.161312234183,-179.613059623086
1.342,-151.254978524911,-179.745758125382
1.343,-151.348592651478,-179.878469279468
1.344,-151.442154537378,-180.011193157312
1.345,-151.535664106022,-180.143929831059
1.346,-151.629121280742,-180.276679373035
1.347,-151.722525984795,-180.409441855745
1.348,-151.815878141359,-180.542217351872
1.349,-151.909177673539,-180.675005934283
1.35,-152.002424504366,-180.807807676023
1.351,-152.0956185568,-180.940622650317
1.352,-152.188759753731,-181.073450930573
1.353,-152.281848017977,-181.20629259038
1.354,-152.374883272294,-181.339147703506
1.355,-152.467865439369,-181.472016343904
1.356,-152.560794441827,-181.604898585708
1.357,-152.653670202229,-181.737794503235
1.358,-152.746492643077,-181.870704170983
1.359,-152.839261686814,-182.003627663635
1.36,-152.931977255826,-182.136565056057
1.361,-153.024639272443,-182.269516423298
1.362,-153.117247658941,-182.40248184059
1.363,-153.209802337547,-182.535461383352
1.364,-153.302303230436,-182.668455127184
1.365,-153.394750259735,-182.801463147874
1.366,-153.487143347526,-182.934485521392
1.367,-153.579482415846,-183.067522323896
1.368,-153.671767386692,-183.200573631728
1.369,-153.763998182017,-183.333639521416
1.37,-153.85617472374,-183.466720069674
1.371,-153.948296933741,-183.599815353403
1.372,-154.040364733869,-183.732925449691
1.373,-154.132378045937,-183.866050435811
1.374,-154.224336791732,-183.999190389226
1.375,-154.316240893013,-184.132345387585
1.376,-154.408090271512,-184.265515508724
1.377,-154.499884848939,-184.398700830669
1.378,-154.591624546984,-184.531901431632
1.379,-154.683309287316,-184.665117390017
1.38,-154.774938991592,-184.798348784412
1.381,-154.866513581452,-184.931595693599
1.382,-154.958032978525,-185.064858196547
1.383,-155.049497104432,-185.198136372414
1.384,-155.140905880788,-185.331430300549
1.385,-155.232259229203,-185.464740060492
1.386,-155.323557071286,-185.598065731972
1.387,-155.414799328647,-185.731407394909
1.388,-155.505985922901,-185.864765129414
1.389,-155.597116775668,-185.99813901579
1.39,-155.688191808577,-186.131529134532
1.391,-155.779210943271,-186.264935566323
1.392,-155.870174101405,-186.398358392043
1.393,-155.961081204653,-186.531797692761
1.394,-156.051932174709,-186.665253549739
1.395,-156.14272693329,-186.798726044433
1.396,-156.233465402138,-186.932215258491
1.397,-156.324147503026,-187.065721273754
1.398,-156.414773157757,-187.199244172258
1.399,-156.505342288169,-187.332784036231
1.4,-156.59585481614,-187.466340948096
1.401,-156.686310663587,-187.59991499047
1.402,-156.776709752471,-187.733506246164
1.403,-156.867052004802,-187.867114798184
1.404,-156.957337342639,-188.000740729733
1.405,-157.047565688096,-188.134384124205
1.406,-157.137736963342,-188.268045065193
1.407,-157.22785109061,-188.401723636484
1.408,-157.317907992192,-188.535419922061
1.409,-157.407907590452,-188.669134006105
1.41,-157.497849807821,-188.80286597299
1.411,-157.587734566805,-188.936615907289
1.412,-157.677561789989,-189.070383893772
1.413,-157.767331400038,-189.204170017404
1.414,-157.8570433197,-189.337974363349
1.415,-157.946697471816,-189.471797016968
1.416,-158.036293779315,-189.60563806382
1.417,-158.125832165223,-189.739497589661
1.418,-158.215312552667,-189.873375680446
1.419,-158.304734864876,-190.007272422328
1.42,-158.394099025186,-190.141187901658
1.421,-158.483404957047,-190.275122204987
1.422,-158.57265258402,-190.409075419064
1.423,-158.66184182979,-190.543047630838
1.424,-158.750972618161,-190.677038927456
1.425,-158.840044873068,-190.811049396266
1.426,-158.929058518574,-190.945079124815
1.427,-159.01801347888,-191.07912820085
1.428,-159.106909678327,-191.213196712318
1.429,-159.195747041399,-191.347284747367
1.43,-159.28452549273,-191.481392394345
1.431,-159.373244957107,-191.615519741801
1.432,-159.461905359472,-191.749666878485
1.433,-159.55050662493,-191.883833893348
1.434,-159.639048678755,-192.018020875542
1.435,-159.727531446388,-192.152227914421
1.436,-159.815954853448,-192.286455099539
1.437,-159.904318825734,-192.420702520655
1.438,-159.992623289228,-192.554970267727
1.439,-160.080868170105,-192.689258430916
1.44,-160.169053394731,-192.823567100585
1.441,-160.257178889674,-192.957896367302
1.442,-160.345244581706,-193.092246321834
1.443,-160.433250397807,-193.226617055153
1.444,-160.521196265172,-193.361008658433
1.445,-160.609082111216,-193.495421223052
1.446,-160.696907863577,-193.62985484059
1.447,-160.784673450124,-193.764309602832
1.448,-160.872378798962,-193.898785601765
1.449,-160.960023838433,-194.033282929581
1.45,-161.047608497128,-194.167801678674
1.451,-161.135132703886,-194.302341941645
1.452,-161.222596387804,-194.436903811296
1.453,-161.309999478241,-194.571487380634
1.454,-161.397341904823,-194.706092742872
1.455,-161.48462359745,-194.840719991425
1.456,-161.571844486299,-194.975369219915
1.457,-161.659004501833,-195.110040522168
1.458,-161.746103574804,-195.244733992213
1.459,-161.833141636261,-195.379449724286
1.46,-161.920118617555,-195.514187812827
1.461,-162.007034450345,-195.648948352482
1.462,-162.093889066604,-195.783731438102
1.463,-162.180682398623,-195.918537164743
1.464,-162.267414379021,-196.053365627667
1.465,-162.354084940751,-196.18821692234
1.466,-162.4406940171,-196.323091144436
1.467,-162.527241541705,-196.457988389832
1.468,-162.613727448549,-196.592908754614
1.469,-162.700151671978,-196.727852335072
1.47,-162.786514146697,-196.8628192277
1.471,-162.872814807786,-196.997809529203
1.472,-162.959053590698,-197.132823336487
1.473,-163.045230431274,-197.267860746667
1.474,-163.131345265743,-197.402921857064
1.475,-163.217398030732,-197.538006765205
1.476,-163.303388663272,-197.673115568821
1.477,-163.389317100807,-197.808248365854
1.478,-163.475183281196,-197.943405254449
1.479,-163.560987142725,-198.078586332957
1.48,-163.646728624111,-198.213791699939
1.481,-163.732407664514,-198.349021454158
1.482,-163.818024203535,-198.484275694588
1.483,-163.903578181234,-198.619554520405
1.484,-163.989069538128,-198.754858030996
1.485,-164.074498215206,-198.890186325951
1.486,-164.159864153931,-199.025539505069
1.487,-164.24516729625,-199.160917668354
1.488,-164.330407584602,-199.296320916017
1.489,-164.415584961924,-199.431749348477
1.49,-164.50069937166,-199.567203066358
1.491,-164.58575075777,-199.702682170491
1.492,-164.670739064733,-199.838186761913
1.493,-164.75566423756,-199.973716941869
1.494,-164.840526221802,-200.109272811809
1.495,-164.925324963552,-200.244854473391
1.496,-165.010060409462,-200.380462028477
1.497,-165.094732506745,-200.516095579138
1.498,-165.179341203182,-200.651755227651
1.499,-165.263886447138,-200.787441076497
1.5,-165.348368187562,-200.923153228366
1.501,-165.432786374,-201.058891786153
1.502,-165.517140956605,-201.194656852958
1.503,-165.60143188614,-201.33044853209
1.504,-165.685659113991,-201.466266927061
1.505,-165.769822592175,-201.60211214159
1.506,-165.853922273349,-201.737984279603
1.507,-165.937958110817,-201.873883445229
1.508,-166.021930058541,-202.009809742805
1.509,-166.105838071149,-202.145763276873
1.51,-166.189682103946,-202.28174415218
1.511,-166.273462112919,-202.417752473679
1.512,-166.357178054751,-202.553788346526
1.513,-166.440829886827,-202.689851876084
1.514,-166.524417567245,-202.825943167922
1.515,-166.607941054825,-202.96206232781
1.516,-166.691400309117,-203.098209461727
1.517,-166.774795290414,-203.234384675853
1.518,-166.85812595976,-203.370588076575
1.519,-166.941392278956,-203.506819770481
1.52,-167.024594210578,-203.643079864367
1.521,-167.107731717979,-203.779368465229
1.522,-167.190804765303,-203.915685680268
1.523,-167.273813317494,-204.05203161689
1.524,-167.356757340306,-204.188406382703
1.525,-167.439636800314,-204.324810085518
1.526,-167.522451664922,-204.461242833348
1.527,-167.605201902377,-204.59770473441
