frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
1000000000.0000000000, 145.6133092602, -34.4113163040, -34.4113163040, -34.4113163040, 81.5813822644, -52.6786979168, -34.4113163040, -52.6786979168, 81.5814016925
1001000000.0000000000, 145.5780375562, -34.4466122931, -34.4466147216, -34.4466122931, 81.5163855771, -52.7059506751, -34.4466147216, -52.7059652462, 81.5163855771
1002000000.0000000000, 145.5427658522, -34.4819082822, -34.4819131393, -34.4819155678, 81.4513451766, -52.7331840054, -34.4819155678, -52.7331840054, 81.4513646047
1003000000.0000000000, 145.5074941482, -34.5172188424, -34.5172188424, -34.5172139854, 81.3863679174, -52.7604027646, -34.5172139854, -52.7604124786, 81.3863679174
1004000000.0000000000, 145.4722127301, -34.5525294026, -34.5525294026, -34.5525269741, 81.3214489425, -52.7876166667, -34.5525269741, -52.7876069527, 81.3214489425
1005000000.0000000000, 145.4369410261, -34.5878278202, -34.5878278202, -34.5878278202, 81.2565542528, -52.8147917127, -34.5878326773, -52.8148014268, 81.2565542528
1006000000.0000000000, 145.4016498940, -34.6231408089, -34.6231408089, -34.6231432375, 81.1916887051, -52.8419473306, -34.6231432375, -52.8419619017, 81.1916741340
1007000000.0000000000, 145.3663879041, -34.6584537976, -34.6584537976, -34.6584562262, 81.1268571566, -52.8690835204, -34.6584562262, -52.8690883774, 81.1268571566
1008000000.0000000000, 145.3310967720, -34.6937716434, -34.6937692149, -34.6937789289, 81.0620498933, -52.8962245672, -34.6937740719, -52.8962245672, 81.0620498933
1009000000.0000000000, 145.2958153539, -34.7290870606, -34.7290870606, -34.7290894891, 80.9972814861, -52.9233364719, -34.7290870606, -52.9233364719, 80.9972863431
1010000000.0000000000, 145.2605339359, -34.7644000493, -34.7644024778, -34.7644024778, 80.9325567922, -52.9504338055, -34.7644024778, -52.9504435195, 80.9325567922
1011000000.0000000000, 145.2252428038, -34.7997324661, -34.7997324661, -34.7997324661, 80.8678709544, -52.9775214250, -34.7997251805, -52.9775165680, 80.8678466693
1012000000.0000000000, 145.1899419577, -34.8350503118, -34.8350503118, -34.8350551688, 80.8031754026, -53.0045896165, -34.8350503118, -53.0045799024, 80.8031511175
1013000000.0000000000, 145.1546508256, -34.8703730145, -34.8703754431, -34.8703827286, 80.7385672772, -53.0316335228, -34.8703803001, -53.0316383799, 80.7385381350
1014000000.0000000000, 145.1193596935, -34.9057078599, -34.9057054313, -34.9057054313, 80.6739591518, -53.0586580011, -34.9057127169, -53.0586774292, 80.6739785799
1015000000.0000000000, 145.0840491333, -34.9410378481, -34.9410354196, -34.9410305626, 80.6093850255, -53.0856824793, -34.9410354196, -53.0856873364, 80.6093995966
1016000000.0000000000, 145.0487482871, -34.9763775505, -34.9763702649, -34.9763702649, 80.5448400415, -53.1126778155, -34.9763751220, -53.1126875295, 80.5448303274
1017000000.0000000000, 145.0134571550, -35.0117099673, -35.0117099673, -35.0117099673, 80.4803387706, -53.1396585805, -35.0117099673, -53.1396585805, 80.4803436276
1018000000.0000000000, 144.9781563089, -35.0470423841, -35.0470423841, -35.0470423841, 80.4158860699, -53.1666247745, -35.0470423841, -53.1666199174, 80.4158763559
1019000000.0000000000, 144.9428263206, -35.0823918004, -35.0823918004, -35.0823918004, 80.3514527974, -53.1935763974, -35.0823918004, -53.1935861114, 80.3514673684
1020000000.0000000000, 144.9075351885, -35.1177387883, -35.1177387883, -35.1177363598, 80.2870438099, -53.2205037351, -35.1177387883, -53.2205134492, 80.2870438099
1021000000.0000000000, 144.8722149143, -35.1530784906, -35.1530784906, -35.1530784906, 80.2226639646, -53.2474262159, -35.1530809191, -53.2474359300, 80.2226736787
1022000000.0000000000, 144.8368946400, -35.1884303355, -35.1884254785, -35.1884351925, 80.1583132615, -53.2743438396, -35.1884303355, -53.2743438396, 80.1583278325
1023000000.0000000000, 144.8015646518, -35.2237773234, -35.2237773234, -35.2237797519, 80.0940305566, -53.3012420353, -35.2237773234, -53.3012371783, 80.0940208426
1024000000.0000000000, 144.7662540916, -35.2591413108, -35.2591413108, -35.2591340253, 80.0297429948, -53.3280965177, -35.2591364538, -53.3281110888, 80.0297575659
1025000000.0000000000, 144.7309338173, -35.2944931557, -35.2944980127, -35.2944931557, 79.9655137172, -53.3549607142, -35.2944980127, -53.3549607142, 79.9655040032
1026000000.0000000000, 144.6956038291, -35.3298547146, -35.3298547146, -35.3298498576, 79.9012941537, -53.3818054826, -35.3298571432, -53.3818103396, 79.9012892967
1027000000.0000000000, 144.6602738408, -35.3652065595, -35.3652138451, -35.3652138451, 79.8371474455, -53.4086162518, -35.3652162736, -53.4086259659, 79.8371523026
1028000000.0000000000, 144.6249438525, -35.4005778325, -35.4005826895, -35.4005802610, 79.7729910233, -53.4354221640, -35.4005802610, -53.4354221640, 79.7730055944
1029000000.0000000000, 144.5896138642, -35.4359442485, -35.4359442485, -35.4359393915, 79.7088734573, -53.4622086481, -35.4359393915, -53.4622183622, 79.7088928854
1030000000.0000000000, 144.5542741619, -35.4713106644, -35.4713106644, -35.4713106644, 79.6447850334, -53.4889999892, -35.4713130929, -53.4889951322, 79.6447947474
1031000000.0000000000, 144.5189344595, -35.5066770804, -35.5066770804, -35.5066867944, 79.5807354657, -53.5157670453, -35.5066867944, -53.5157670453, 79.5807257516
1032000000.0000000000, 144.4835947572, -35.5420532104, -35.5420532104, -35.5420580674, 79.5167004690, -53.5425195302, -35.5420580674, -53.5425243872, 79.5166956120
