"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1,-13.6423568497056,-3.40799809684589,-16.9769337950488,-3.42920358430531,-9.5476936478429,-16.6842631884168
1.001,-13.6488021634472,-3.40794544665083,-16.9862701305057,-3.42907747206812,-9.55421716626075,-16.6942971848593
1.002,-13.6552482734808,-3.40789316575306,-16.9955976232529,-3.42895156373125,-9.56074125181428,-16.7043264153459
1.003,-13.661695170315,-3.40784125349954,-17.0049161997661,-3.42882585980814,-9.56726591609253,-16.7143508025829
1.004,-13.6681428444738,-3.40778970923505,-17.0142257862426,-3.42870036081108,-9.57379117071135,-16.7243702688978
1.005,-13.6745912864965,-3.40773853230218,-17.0235263086021,-3.42857506725112,-9.58031702731326,-16.7343847362392
1.006,-13.6810404869381,-3.40768772204137,-17.0328176924869,-3.42844997963816,-9.58684349756735,-16.7443941261773
1.007,-13.6874904363694,-3.40763727779092,-17.0420998632624,-3.42832509848094,-9.59337059316924,-16.7543983599041
1.008,-13.6939411253769,-3.40758719888705,-17.0513727460174,-3.42820042428697,-9.59989832584089,-16.7643973582334
1.009,-13.7003925445632,-3.4075374846639,-17.0606362655646,-3.4280759575626,-9.60642670733059,-16.774391041601
1.01,-13.7068446845471,-3.40748813445356,-17.0698903464414,-3.427951698813,-9.6129557494128,-16.7843793300654
1.011,-13.7132975359638,-3.40743914758611,-17.07913491291,-3.42782764854215,-9.61948546388806,-16.7943621433077
1.012,-13.7197510894649,-3.40739052338965,-17.0883698889582,-3.42770380725285,-9.62601586258292,-16.8043394006319
1.013,-13.7262053357185,-3.40734226119031,-17.0975951982997,-3.42758017544671,-9.6325469573498,-16.8143110209655
1.014,-13.7326602654097,-3.40729436031227,-17.1068107643751,-3.42745675362419,-9.63907876006696,-16.82427692286
1.015,-13.7391158692403,-3.40724682007784,-17.1160165103522,-3.42733354228452,-9.64561128263831,-16.8342370244905
1.016,-13.7455721379294,-3.4071996398074,-17.1252123591267,-3.4272105419258,-9.65214453699342,-16.8441912436573
1.017,-13.7520290622131,-3.40715281881953,-17.1343982333227,-3.42708775304493,-9.65867853508731,-16.8541394977853
1.018,-13.758486632845,-3.40710635643096,-17.143574055294,-3.42696517613762,-9.66521328890044,-16.864081703925
1.019,-13.7649448405962,-3.40706025195661,-17.1527397471239,-3.42684281169842,-9.67174881043861,-16.8740177787532
1.02,-13.7714036762552,-3.40701450470966,-17.1618952306267,-3.42672066022069,-9.6782851117328,-16.8839476385728
1.021,-13.7778631306287,-3.40696911400153,-17.171040427348,-3.42659872219663,-9.68482220483915,-16.8938711993142
1.022,-13.7843231945411,-3.40692407914192,-17.1801752585655,-3.42647699811726,-9.69136010183882,-16.9037883765353
1.023,-13.7907838588349,-3.40687939943886,-17.1892996452904,-3.42635548847241,-9.69789881483791,-16.9136990854224
1.024,-13.7972451143709,-3.4068350741987,-17.1984135082674,-3.42623419375075,-9.70443835596736,-16.9236032407908
1.025,-13.8037069520283,-3.40679110272618,-17.207516767976,-3.42611311443977,-9.71097873738288,-16.9335007570854
1.026,-13.8101693627047,-3.40674748432441,-17.2166093446313,-3.42599225102581,-9.71751997126485,-16.9433915483815
1.027,-13.8166323373165,-3.40670421829494,-17.2256911581851,-3.425871603994,-9.72406206981818,-16.9532755283854
1.028,-13.8230958667988,-3.40666130393776,-17.2347621283266,-3.42575117382834,-9.73060504527231,-16.9631526104352
1.029,-13.8295599421058,-3.40661874055135,-17.2438221744834,-3.42563096101163,-9.73714890988101,-16.973022707502
1.03,-13.8360245542107,-3.40657652743268,-17.2528712158225,-3.42551096602553,-9.7436936759224,-16.9828857321899
1.031,-13.8424896941058,-3.40653466387727,-17.2619091712514,-3.4253911893505,-9.75023935569876,-16.9927415967376
1.032,-13.8489553528031,-3.40649314917917,-17.2709359594191,-3.42527163146585,-9.75678596153654,-17.0025902130191
1.033,-13.8554215213338,-3.40645198263104,-17.2799514987172,-3.42515229284975,-9.76333350578615,-17.0124314925441
1.034,-13.861888190749,-3.40641116352416,-17.288955707281,-3.42503317397916,-9.76988200082199,-17.0222653464599
1.035,-13.8683553521194,-3.40637069114843,-17.2979485029904,-3.42491427532991,-9.77643145904227,-17.0320916855514
1.036,-13.8748229965358,-3.40633056479244,-17.3069298034714,-3.42479559737667,-9.78298189286899,-17.041910420243
1.037,-13.8812911151089,-3.40629078374345,-17.3158995260972,-3.42467714059291,-9.78953331474779,-17.0517214605987
1.038,-13.8877596989698,-3.40625134728747,-17.3248575879893,-3.424558905451,-9.79608573714792,-17.0615247163241
1.039,-13.8942287392698,-3.40621225470925,-17.3338039060188,-3.42444089242211,-9.80263917256211,-17.071320096767
1.04,-13.9006982271808,-3.40617350529233,-17.3427383968075,-3.42432310197627,-9.80919363350651,-17.0811075109184
1.041,-13.9071681538951,-3.40613509831903,-17.3516609767297,-3.42420553458234,-9.81574913252057,-17.0908868674143
1.042,-13.9136385106259,-3.40609703307053,-17.3605715619128,-3.42408819070805,-9.82230568216699,-17.1006580745361
1.043,-13.9201092886074,-3.40605930882685,-17.3694700682395,-3.42397107081998,-9.82886329503163,-17.1104210402124
1.044,-13.9265804790945,-3.40602192486692,-17.3783564113483,-3.42385417538351,-9.8354219837234,-17.1201756720204
1.045,-13.9330520733635,-3.40598488046858,-17.3872305066357,-3.42373750486293,-9.84198176087419,-17.1299218771866
1.046,-13.9395240627118,-3.40594817490858,-17.3960922692569,-3.42362105972136,-9.84854263913878,-17.1396595625885
1.047,-13.9459964384583,-3.40591180746269,-17.4049416141282,-3.42350484042075,-9.85510463119478,-17.1493886347562
1.048,-13.9524691919434,-3.40587577740564,-17.4137784559275,-3.42338884742196,-9.8616677497425,-17.1591089998734
1.049,-13.958942314529,-3.4058400840112,-17.4226027090967,-3.42327308118465,-9.86823200750491,-17.168820563779
1.05,-13.965415797599,-3.40580472655219,-17.4314142878425,-3.42315754216738,-9.87479741722753,-17.1785232319686
1.051,-13.9718896325591,-3.40576970430051,-17.4402131061387,-3.42304223082754,-9.88136399167836,-17.1882169095963
1.052,-13.9783638108369,-3.40573501652716,-17.4489990777275,-3.4229271476214,-9.88793174364782,-17.1979015014756
1.053,-13.9848383238823,-3.40570066250228,-17.4577721161208,-3.42281229300409,-9.89450068594857,-17.2075769120816
1.054,-13.9913131631674,-3.40566664149518,-17.4665321346028,-3.42269766742961,-9.90107083141557,-17.2172430455523
1.055,-13.9977883201866,-3.40563295277432,-17.4752790462307,-3.42258327135081,-9.90764219290591,-17.2268998056906
1.056,-14.0042637864568,-3.40559959560741,-17.4840127638373,-3.42246910521943,-9.91421478329873,-17.2365470959655
1.057,-14.0107395535176,-3.40556656926139,-17.4927332000321,-3.42235516948607,-9.92078861549517,-17.2461848195142
1.058,-14.0172156129313,-3.40553387300248,-17.5014402672038,-3.4222414646002,-9.92736370241827,-17.2558128791439
1.059,-14.0236919562829,-3.40550150609617,-17.5101338775214,-3.42212799101017,-9.93394005701291,-17.2654311773333
1.06,-14.0301685751805,-3.4054694678073,-17.5188139429368,-3.4220147491632,-9.94051769224572,-17.2750396162348
1.061,-14.0366454612551,-3.40543775740004,-17.5274803751861,-3.42190173950541,-9.94709662110497,-17.2846380976764
1.062,-14.0431226061608,-3.40540637413795,-17.5361330857921,-3.42178896248176,-9.95367685660054,-17.2942265231631
1.063,-14.0496000015753,-3.40537531728398,-17.5447719860656,-3.42167641853614,-9.96025841176383,-17.3038047938796
1.064,-14.0560776391993,-3.40534458610054,-17.5533969871083,-3.42156410811128,-9.96684129964765,-17.3133728106918
1.065,-14.0625555107571,-3.40531417984945,-17.5620079998141,-3.42145203164884,-9.97342553332618,-17.322930474149
1.066,-14.0690336079966,-3.40528409779206,-17.5706049348712,-3.42134018958933,-9.98001112589489,-17.332477684486
1.067,-14.0755119226893,-3.4052543391892,-17.579187702765,-3.42122858237216,-9.98659809047042,-17.3420143416253
1.068,-14.0819904466304,-3.40522490330126,-17.587756213779,-3.42111721043566,-9.99318644019056,-17.3515403451791
1.069,-14.0884691716391,-3.40519578938818,-17.5963103779983,-3.42100607421702,-9.99977618821414,-17.3610555944515
1.07,-14.0949480895584,-3.4051669967095,-17.6048501053107,-3.42089517415235,-10.006367347721,-17.3705599884411
1.071,-14.1014271922554,-3.40513852452436,-17.6133753054097,-3.42078451067665,-10.0129599319117,-17.3800534258427
1.072,-14.1079064716215,-3.40511037209158,-17.6218858877962,-3.42067408422382,-10.019553954008,-17.3895358050501
1.073,-14.1143859195719,-3.40508253866961,-17.6303817617813,-3.42056389522668,-10.0261494272519,-17.3990070241584
1.074,-14.1208655280464,-3.40505502351664,-17.6388628364884,-3.42045394411693,-10.0327463649066,-17.4084669809661
1.075,-14.1273452890092,-3.40502782589055,-17.6473290208555,-3.42034423132521,-10.0393447802555,-17.417915572978
1.076,-14.1338251944487,-3.40500094504899,-17.6557802236379,-3.42023475728103,-10.0459446866027,-17.4273526974072
1.077,-14.140305236378,-3.40497438024938,-17.6642163534102,-3.42012552241287,-10.0525460972727,-17.4367782511781
1.078,-14.146785406835,-3.40494813074895,-17.6726373185693,-3.42001652714807,-10.0591490256104,-17.4461921309287
1.079,-14.1532656978818,-3.40492219580475,-17.6810430273365,-3.41990777191294,-10.0657534849811,-17.4555942330134
1.08,-14.1597461016058,-3.40489657467371,-17.6894333877604,-3.41979925713266,-10.0723594887702,-17.4649844535052
1.081,-14.1662266101187,-3.40487126661261,-17.697808307719,-3.41969098323137,-10.0789670503832,-17.474362688199
1.082,-14.1727072155575,-3.40484627087817,-17.7061676949228,-3.41958295063214,-10.085576183246,-17.4837288326141
1.083,-14.179187910084,-3.40482158672703,-17.7145114569173,-3.41947515975694,-10.0921869008041,-17.4930827819969
1.084,-14.185668685885,-3.4047972134158,-17.7228395010854,-3.41936761102669,-10.0987992165234,-17.5024244313238
1.085,-14.1921495351723,-3.40477315020106,-17.7311517346506,-3.41926030486124,-10.1054131438893,-17.5117536753041
1.086,-14.1986304501829,-3.40474939633944,-17.7394480646795,-3.41915324167939,-10.1120286964072,-17.5210704083828
1.087,-14.2051114231791,-3.40472595108757,-17.7477283980845,-3.41904642189885,-10.1186458876022,-17.5303745247436
1.088,-14.2115924464483,-3.40470281370218,-17.7559926416269,-3.41893984593632,-10.1252647310191,-17.5396659183122
1.089,-14.2180735123031,-3.40467998344008,-17.7642407019194,-3.4188335142074,-10.1318852402222,-17.5489444827588
1.09,-14.2245546130816,-3.40465745955819,-17.7724724854293,-3.41872742712666,-10.1385074287955,-17.5582101115017
1.091,-14.2310357411473,-3.40463524131358,-17.7806878984814,-3.41862158510761,-10.1451313103424,-17.56746269771
1.092,-14.2375168888888,-3.40461332796351,-17.7888868472608,-3.41851598856274,-10.1517568984856,-17.5767021343071
1.093,-14.2439980487205,-3.40459171876541,-17.7970692378161,-3.41841063790346,-10.1583842068673,-17.5859283139739
1.094,-14.2504792130821,-3.40457041297693,-17.8052349760622,-3.41830553354017,-10.1650132491487,-17.5951411291517
1.095,-14.2569603744388,-3.404549409856,-17.8133839677836,-3.41820067588222,-10.1716440390105,-17.604340472046
1.096,-14.2634415252814,-3.4045287086608,-17.8215161186374,-3.41809606533792,-10.1782765901524,-17.6135262346295
1.097,-14.2699226581263,-3.40450830864981,-17.8296313341565,-3.41799170231458,-10.1849109162931,-17.6226983086458
1.098,-14.2764037655154,-3.40448820908184,-17.8377295197527,-3.41788758721844,-10.1915470311704,-17.6318565856125
1.099,-14.2828848400162,-3.40446840921605,-17.84581058072,-3.41778372045474,-10.198184948541,-17.6410009568249
1.1,-14.2893658742219,-3.40444890831197,-17.8538744222376,-3.4176801024277,-10.2048246821805,-17.6501313133596
1.101,-14.2958468607514,-3.40442970562954,-17.8619209493738,-3.4175767335405,-10.2114662458832,-17.6592475460777
1.102,-14.3023277922489,-3.40441080042912,-17.8699500670885,-3.41747361419534,-10.2181096534623,-17.6683495456289
1.103,-14.3088086613847,-3.40439219197154,-17.8779616802372,-3.41737074479338,-10.2247549187495,-17.677437202455
1.104,-14.3152894608544,-3.40437387951808,-17.8859556935741,-3.41726812573478,-10.2314020555952,-17.6865104067934
1.105,-14.3217701833794,-3.40435586233054,-17.8939320117556,-3.4171657574187,-10.2380510778685,-17.6955690486812
1.106,-14.3282508217069,-3.40433813967125,-17.9018905393437,-3.41706364024329,-10.2447019994566,-17.7046130179585
1.107,-14.3347313686094,-3.40432071080308,-17.9098311808096,-3.4169617746057,-10.2513548342656,-17.7136422042729
1.108,-14.3412118168852,-3.40430357498949,-17.9177538405372,-3.41686016090209,-10.2580095962196,-17.7226564970831
