x,y1,y2
2.325,-1.193561356,-12.20990356
2.326,-1.193559168,-12.21034808
2.327,-1.193557158,-12.21079053
2.328,-1.193555326,-12.21123091
2.329,-1.193553672,-12.21166919
2.33,-1.193552195,-12.2121054
2.331,-1.193550895,-12.21253951
2.332,-1.193549772,-12.21297153
2.333,-1.193548825,-12.21340145
2.334,-1.193548053,-12.21382926
2.335,-1.193547457,-12.21425498
2.336,-1.193547035,-12.21467858
2.337,-1.193546789,-12.21510007
2.338,-1.193546716,-12.21551945
2.339,-1.193546817,-12.2159367
2.34,-1.193547092,-12.21635183
2.341,-1.193547539,-12.21676484
2.342,-1.193548159,-12.21717571
2.343,-1.193548951,-12.21758445
2.344,-1.193549914,-12.21799105
2.345,-1.193551049,-12.21839551
2.346,-1.193552355,-12.21879783
2.347,-1.193553831,-12.219198
2.348,-1.193555477,-12.21959603
2.349,-1.193557293,-12.21999189
2.35,-1.193559278,-12.22038561
2.351,-1.193561431,-12.22077716
2.352,-1.193563753,-12.22116655
2.353,-1.193566242,-12.22155378
2.354,-1.193568899,-12.22193883
2.355,-1.193571723,-12.22232172
2.356,-1.193574713,-12.22270243
2.357,-1.193577869,-12.22308097
2.358,-1.193581191,-12.22345733
2.359,-1.193584678,-12.2238315
2.36,-1.19358833,-12.22420349
2.361,-1.193592146,-12.2245733
2.362,-1.193596125,-12.22494091
2.363,-1.193600268,-12.22530633
2.364,-1.193604574,-12.22566956
2.365,-1.193609042,-12.22603059
2.366,-1.193613671,-12.22638942
2.367,-1.193618463,-12.22674605
2.368,-1.193623415,-12.22710047
2.369,-1.193628527,-12.22745269
2.37,-1.1936338,-12.2278027
2.371,-1.193639232,-12.2281505
2.372,-1.193644823,-12.22849609
2.373,-1.193650572,-12.22883947
2.374,-1.193656479,-12.22918062
2.375,-1.193662544,-12.22951956
2.376,-1.193668766,-12.22985628
2.377,-1.193675145,-12.23019077
2.378,-1.193681679,-12.23052305
2.379,-1.193688369,-12.23085309
2.38,-1.193695214,-12.23118091
2.381,-1.193702213,-12.2315065
2.382,-1.193709367,-12.23182985
2.383,-1.193716673,-12.23215098
2.384,-1.193724133,-12.23246987
2.385,-1.193731745,-12.23278653
2.386,-1.19373951,-12.23310095
2.387,-1.193747425,-12.23341313
2.388,-1.193755492,-12.23372307
2.389,-1.193763709,-12.23403077
2.39,-1.193772075,-12.23433622
2.391,-1.193780591,-12.23463944
2.392,-1.193789256,-12.2349404
2.393,-1.193798069,-12.23523913
2.394,-1.19380703,-12.2355356
2.395,-1.193816138,-12.23582983
2.396,-1.193825392,-12.23612181
2.397,-1.193834793,-12.23641154
2.398,-1.193844339,-12.23669902
2.399,-1.19385403,-12.23698425
2.4,-1.193863865,-12.23726722
2.401,-1.193873845,-12.23754794
2.402,-1.193883968,-12.23782641
2.403,-1.193894233,-12.23810262
2.404,-1.193904641,-12.23837658
2.405,-1.193915191,-12.23864828
2.406,-1.193925881,-12.23891772
2.407,-1.193936713,-12.23918491
2.408,-1.193947684,-12.23944984
2.409,-1.193958795,-12.23971251
2.41,-1.193970044,-12.23997293
2.411,-1.193981432,-12.24023108
2.412,-1.193992958,-12.24048698
2.413,-1.19400462,-12.24074062
2.414,-1.19401642,-12.240992
2.415,-1.194028355,-12.24124112
2.416,-1.194040426,-12.24148798
2.417,-1.194052631,-12.24173258
2.418,-1.194064971,-12.24197492
2.419,-1.194077445,-12.24221501
2.42,-1.194090052,-12.24245283
2.421,-1.194102791,-12.2426884
2.422,-1.194115662,-12.2429217
2.423,-1.194128664,-12.24315275
2.424,-1.194141798,-12.24338154
2.425,-1.194155061,-12.24360807
2.426,-1.194168454,-12.24383234
2.427,-1.194181976,-12.24405435
2.428,-1.194195626,-12.24427411
2.429,-1.194209404,-12.24449161
2.43,-1.194223309,-12.24470686
2.431,-1.194237341,-12.24491985
2.432,-1.194251498,-12.24513059
2.433,-1.194265781,-12.24533907
2.434,-1.194280189,-12.2455453
2.435,-1.194294721,-12.24574927
2.436,-1.194309376,-12.245951
2.437,-1.194324154,-12.24615047
2.438,-1.194339055,-12.24634769
2.439,-1.194354077,-12.24654267
2.44,-1.19436922,-12.24673539
2.441,-1.194384484,-12.24692587
2.442,-1.194399867,-12.24711411
2.443,-1.19441537,-12.24730009
2.444,-1.194430991,-12.24748384
2.445,-1.19444673,-12.24766534
2.446,-1.194462586,-12.2478446
2.447,-1.194478559,-12.24802162
2.448,-1.194494648,-12.2481964
2.449,-1.194510853,-12.24836894
2.45,-1.194527172,-12.24853925
2.451,-1.194543605,-12.24870733
2.452,-1.194560152,-12.24887317
2.453,-1.194576812,-12.24903677
2.454,-1.194593584,-12.24919815
2.455,-1.194610467,-12.2493573
2.456,-1.194627462,-12.24951422
2.457,-1.194644567,-12.24966892
2.458,-1.194661781,-12.2498214
2.459,-1.194679104,-12.24997165
2.46,-1.194696536,-12.25011968
2.461,-1.194714076,-12.2502655
2.462,-1.194731722,-12.2504091
2.463,-1.194749475,-12.25055048
2.464,-1.194767334,-12.25068966
2.465,-1.194785298,-12.25082662
2.466,-1.194803366,-12.25096138
2.467,-1.194821538,-12.25109393
2.468,-1.194839813,-12.25122427
2.469,-1.194858191,-12.25135242
2.47,-1.19487667,-12.25147836
2.471,-1.194895251,-12.25160211
2.472,-1.194913932,-12.25172366
2.473,-1.194932713,-12.25184302
2.474,-1.194951593,-12.2519602
2.475,-1.194970572,-12.25207518
2.476,-1.194989649,-12.25218798
2.477,-1.195008822,-12.25229859
2.478,-1.195028092,-12.25240703
2.479,-1.195047458,-12.25251329
2.48,-1.195066919,-12.25261737
2.481,-1.195086475,-12.25271928
2.482,-1.195106124,-12.25281902
2.483,-1.195125867,-12.2529166
2.484,-1.195145702,-12.25301201
2.485,-1.195165629,-12.25310526
2.486,-1.195185647,-12.25319635
2.487,-1.195205755,-12.25328529
2.488,-1.195225953,-12.25337208
2.489,-1.19524624,-12.25345671
2.49,-1.195266616,-12.2535392
2.491,-1.195287079,-12.25361954
2.492,-1.195307629,-12.25369775
2.493,-1.195328266,-12.25377382
2.494,-1.195348988,-12.25384775
2.495,-1.195369796,-12.25391955
2.496,-1.195390687,-12.25398923
2.497,-1.195411662,-12.25405678
2.498,-1.19543272,-12.25412221
2.499,-1.195453861,-12.25418552
2.5,-1.195475082,-12.25424672
2.501,-1.195496385,-12.25430581
2.502,-1.195517768,-12.25436279
2.503,-1.19553923,-12.25441767
2.504,-1.195560771,-12.25447044
2.505,-1.19558239,-12.25452112
2.506,-1.195604086,-12.25456971
2.507,-1.195625859,-12.2546162
2.508,-1.195647708,-12.25466061
2.509,-1.195669632,-12.25470294
2.51,-1.195691631,-12.25474319
2.511,-1.195713704,-12.25478137
2.512,-1.19573585,-12.25481747
2.513,-1.195758068,-12.25485151
2.514,-1.195780358,-12.25488348
2.515,-1.19580272,-12.25491339
2.516,-1.195825151,-12.25494125
2.517,-1.195847652,-12.25496706
2.518,-1.195870223,-12.25499082
2.519,-1.195892861,-12.25501254
2.52,-1.195915567,-12.25503222
2.521,-1.19593834,-12.25504986
2.522,-1.195961179,-12.25506547
2.523,-1.195984084,-12.25507905
2.524,-1.196007053,-12.25509062
2.525,-1.196030086,-12.25510016
2.526,-1.196053183,-12.25510769
2.527,-1.196076342,-12.25511321
2.528,-1.196099563,-12.25511672
2.529,-1.196122845,-12.25511824
2.53,-1.196146188,-12.25511775
2.531,-1.196169591,-12.25511528
2.532,-1.196193052,-12.25511082
2.533,-1.196216572,-12.25510437
2.534,-1.19624015,-12.25509594
2.535,-1.196263784,-12.25508554
2.536,-1.196287475,-12.25507317
2.537,-1.196311221,-12.25505884
2.538,-1.196335022,-12.25504255
2.539,-1.196358877,-12.2550243
2.54,-1.196382785,-12.25500409
2.541,-1.196406746,-12.25498195
2.542,-1.196430759,-12.25495786
2.543,-1.196454823,-12.25493183
2.544,-1.196478938,-12.25490388
2.545,-1.196503103,-12.25487399
2.546,-1.196527316,-12.25484218
2.547,-1.196551578,-12.25480846
2.548,-1.196575887,-12.25477283
2.549,-1.196600244,-12.25473528
2.55,-1.196624646,-12.25469584
2.551,-1.196649094,-12.25465449
2.552,-1.196673587,-12.25461126
2.553,-1.196698124,-12.25456614
2.554,-1.196722704,-12.25451913
2.555,-1.196747326,-12.25447025
2.556,-1.196771991,-12.2544195
2.557,-1.196796697,-12.25436688
2.558,-1.196821443,-12.2543124
2.559,-1.196846229,-12.25425607
2.56,-1.196871054,-12.25419788
2.561,-1.196895917,-12.25413785
2.562,-1.196920818,-12.25407597
2.563,-1.196945755,-12.25401227
2.564,-1.196970729,-12.25394673
2.565,-1.196995738,-12.25387937
2.566,-1.197020782,-12.25381019
2.567,-1.19704586,-12.2537392
2.568,-1.197070971,-12.2536664
2.569,-1.197096114,-12.2535918
2.57,-1.197121289,-12.2535154
2.571,-1.197146496,-12.25343721
2.572,-1.197171733,-12.25335723
2.573,-1.197196999,-12.25327548
2.574,-1.197222294,-12.25319195
2.575,-1.197247618,-12.25310665
2.576,-1.197272969,-12.25301959
2.577,-1.197298347,-12.25293077
2.578,-1.19732375,-12.2528402
2.579,-1.19734918,-12.25274789
2.58,-1.197374633,-12.25265383
2.581,-1.197400111,-12.25255804
2.582,-1.197425612,-12.25246053
2.583,-1.197451135,-12.25236129
2.584,-1.19747668,-12.25226033
2.585,-1.197502246,-12.25215766
2.586,-1.197527832,-12.25205329
2.587,-1.197553438,-12.25194722
2.588,-1.197579063,-12.25183945
2.589,-1.197604705,-12.25173
2.59,-1.197630366,-12.25161887
2.591,-1.197656043,-12.25150606
2.592,-1.197681735,-12.25139159
2.593,-1.197707444,-12.25127545
2.594,-1.197733166,-12.25115765
2.595,-1.197758903,-12.2510382
2.596,-1.197784652,-12.25091711
2.597,-1.197810414,-12.25079438
2.598,-1.197836188,-12.25067002
2.599,-1.197861973,-12.25054403
2.6,-1.197887768,-12.25041642
2.601,-1.197913572,-12.2502872
2.602,-1.197939385,-12.25015637
2.603,-1.197965206,-12.25002394
2.604,-1.197991035,-12.24988991
2.605,-1.198016871,-12.2497543
2.606,-1.198042712,-12.2496171
2.607,-1.198068559,-12.24947833
2.608,-1.19809441,-12.24933798
2.609,-1.198120265,-12.24919608
2.61,-1.198146123,-12.24905261
2.611,-1.198171983,-12.2489076
2.612,-1.198197845,-12.24876104
2.613,-1.198223708,-12.24861294
2.614,-1.198249572,-12.24846332
2.615,-1.198275435,-12.24831216
2.616,-1.198301297,-12.24815949
2.617,-1.198327157,-12.24800531
2.618,-1.198353014,-12.24784962
2.619,-1.198378868,-12.24769244
2.62,-1.198404718,-12.24753376
2.621,-1.198430564,-12.24737359
2.622,-1.198456404,-12.24721195
2.623,-1.198482238,-12.24704883
2.624,-1.198508065,-12.24688425
2.625,-1.198533885,-12.24671821
2.626,-1.198559696,-12.24655072
2.627,-1.198585499,-12.24638178
2.628,-1.198611292,-12.2462114
2.629,-1.198637075,-12.24603959
2.63,-1.198662846,-12.24586635
2.631,-1.198688606,-12.24569169
2.632,-1.198714354,-12.24551563
2.633,-1.198740088,-12.24533815
2.634,-1.198765809,-12.24515928
2.635,-1.198791515,-12.24497901
2.636,-1.198817206,-12.24479736
2.637,-1.198842881,-12.24461434
2.638,-1.19886854,-12.24442994
2.639,-1.198894181,-12.24424417
2.64,-1.198919804,-12.24405705
2.641,-1.198945409,-12.24386857
2.642,-1.198970994,-12.24367875
2.643,-1.198996559,-12.2434876
2.644,-1.199022104,-12.24329511
2.645,-1.199047627,-12.2431013
2.646,-1.199073128,-12.24290618
2.647,-1.199098606,-12.24270974
2.648,-1.19912406,-12.242512
2.649,-1.199149491,-12.24231297
2.65,-1.199174897,-12.24211265
2.651,-1.199200277,-12.24191104
2.652,-1.199225631,-12.24170816
2.653,-1.199250957,-12.24150401
2.654,-1.199276257,-12.24129861
2.655,-1.199301528,-12.24109194
2.656,-1.19932677,-12.24088404
2.657,-1.199351983,-12.24067489
2.658,-1.199377165,-12.24046451
2.659,-1.199402316,-12.2402529
2.66,-1.199427436,-12.24004008
2.661,-1.199452523,-12.23982604
2.662,-1.199477578,-12.2396108
2.663,-1.199502599,-12.23939436
2.664,-1.199527585,-12.23917673
2.665,-1.199552536,-12.23895792
2.666,-1.199577452,-12.23873794
2.667,-1.199602331,-12.23851678
2.668,-1.199627174,-12.23829447
2.669,-1.199651978,-12.238071
2.67,-1.199676745,-12.23784638
2.671,-1.199701472,-12.23762062
2.672,-1.19972616,-12.23739373
2.673,-1.199750807,-12.23716572
2.674,-1.199775413,-12.23693659
2.675,-1.199799978,-12.23670634
2.676,-1.199824501,-12.23647499
2.677,-1.19984898,-12.23624255
2.678,-1.199873416,-12.23600901
2.679,-1.199897808,-12.2357744
2.68,-1.199922154,-12.23553871
2.681,-1.199946455,-12.23530195
2.682,-1.19997071,-12.23506413
2.683,-1.199994918,-12.23482526
2.684,-1.200019079,-12.23458534
2.685,-1.200043191,-12.23434439
2.686,-1.200067255,-12.2341024
2.687,-1.200091269,-12.23385939
2.688,-1.200115233,-12.23361537
2.689,-1.200139147,-12.23337033
2.69,-1.200163009,-12.23312429
2.691,-1.200186818,-12.23287726
2.692,-1.200210576,-12.23262924
2.693,-1.20023428,-12.23238024
2.694,-1.20025793,-12.23213027
2.695,-1.200281526,-12.23187934
2.696,-1.200305066,-12.23162745
2.697,-1.200328551,-12.2313746
2.698,-1.200351979,-12.23112082
2.699,-1.20037535,-12.2308661
2.7,-1.200398663,-12.23061045
2.701,-1.200421918,-12.23035388
2.702,-1.200445114,-12.23009639
2.703,-1.200468251,-12.229838
2.704,-1.200491327,-12.22957872
2.705,-1.200514343,-12.22931854
2.706,-1.200537297,-12.22905748
2.707,-1.20056019,-12.22879554
2.708,-1.200583019,-12.22853273
2.709,-1.200605785,-12.22826907
2.71,-1.200628488,-12.22800455
2.711,-1.200651126,-12.22773918
2.712,-1.200673699,-12.22747297
2.713,-1.200696206,-12.22720594
2.714,-1.200718647,-12.22693808
2.715,-1.200741021,-12.2266694
2.716,-1.200763327,-12.22639991
2.717,-1.200785566,-12.22612962
2.718,-1.200807736,-12.22585854
2.719,-1.200829836,-12.22558667
2.72,-1.200851867,-12.22531403
2.721,-1.200873827,-12.22504061
2.722,-1.200895716,-12.22476643
2.723,-1.200917533,-12.22449149
2.724,-1.200939278,-12.2242158
2.725,-1.200960951,-12.22393937
2.726,-1.20098255,-12.22366221
2.727,-1.201004074,-12.22338432
2.728,-1.201025525,-12.22310571
2.729,-1.2010469,-12.22282639
2.73,-1.201068199,-12.22254637
2.731,-1.201089422,-12.22226565
2.732,-1.201110569,-12.22198424
2.733,-1.201131637,-12.22170216
2.734,-1.201152628,-12.22141939
2.735,-1.20117354,-12.22113596
2.736,-1.201194373,-12.22085188
2.737,-1.201215127,-12.22056714
2.738,-1.2012358,-12.22028176
2.739,-1.201256392,-12.21999574
2.74,-1.201276902,-12.2197091
2.741,-1.201297331,-12.21942183
2.742,-1.201317677,-12.21913395
2.743,-1.201337941,-12.21884547
2.744,-1.20135812,-12.21855638
2.745,-1.201378215,-12.21826671
2.746,-1.201398226,-12.21797646
2.747,-1.201418151,-12.21768562
2.748,-1.201437991,-12.21739423
2.749,-1.201457744,-12.21710227
2.75,-1.20147741,-12.21680976
2.751,-1.201496989,-12.2165167
2.752,-1.20151648,-12.21622311
2.753,-1.201535882,-12.21592898
2.754,-1.201555196,-12.21563434
2.755,-1.201574419,-12.21533918
2.756,-1.201593553,-12.21504351
2.757,-1.201612596,-12.21474735
2.758,-1.201631548,-12.21445069
2.759,-1.201650408,-12.21415355
2.76,-1.201669176,-12.21385593
2.761,-1.201687851,-12.21355784
2.762,-1.201706433,-12.21325929
2.763,-1.201724922,-12.21296029
2.764,-1.201743316,-12.21266084
2.765,-1.201761615,-12.21236096
2.766,-1.201779819,-12.21206064
2.767,-1.201797927,-12.2117599
2.768,-1.201815939,-12.21145874
2.769,-1.201833854,-12.21115718
2.77,-1.201851672,-12.21085522
2.771,-1.201869393,-12.21055286
2.772,-1.201887014,-12.21025012
2.773,-1.201904538,-12.209947
2.774,-1.201921961,-12.20964351
2.775,-1.201939286,-12.20933966
2.776,-1.201956509,-12.20903545
