!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 04, 2016 14:13:24
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Phase(°),S21 Phase(°)
1192000000,-124.25576,137.3098
1193000000,-124.22868,137.07574
1194000000,-124.31148,136.84836
1195000000,-124.26647,136.71111
1196000000,-124.56104,136.59894
1197000000,-124.77853,136.39645
1198000000,-124.71272,136.3606
1199000000,-124.49256,136.07887
1200000000,-124.97977,135.74582
1201000000,-124.84711,135.61827
1202000000,-125.02982,135.28157
1203000000,-124.85693,135.3044
1204000000,-125.19861,135.0143
1205000000,-125.507,134.70451
1206000000,-125.3565,134.71664
1207000000,-125.9825,134.23897
1208000000,-125.46679,134.21443
1209000000,-125.87515,134.07545
1210000000,-125.65845,133.84209
1211000000,-126.13962,133.56123
1212000000,-126.35474,133.27017
1213000000,-126.0514,133.21265
1214000000,-126.44098,132.86342
1215000000,-125.97144,132.89525
1216000000,-126.22826,132.61189
1217000000,-126.63775,132.45264
1218000000,-126.6272,132.30609
1219000000,-127.0091,131.94711
1220000000,-126.96629,131.99951
1221000000,-126.88824,131.60367
1222000000,-127.38109,131.18469
1223000000,-127.30563,131.28386
1224000000,-127.48838,130.89731
1225000000,-127.39561,130.7648
1226000000,-127.40414,130.58011
1227000000,-127.44091,130.39117
1228000000,-127.75622,130.1911
1229000000,-127.74307,130.03447
1230000000,-127.76923,129.82207
1231000000,-128.03535,129.68884
1232000000,-128.41046,129.31877
1233000000,-128.002,129.33957
1234000000,-128.2863,128.97476
1235000000,-128.60312,128.97527
1236000000,-128.63895,128.65887
1237000000,-128.33319,128.49924
1238000000,-128.8976,128.1459
1239000000,-128.79942,127.93751
1240000000,-128.98047,127.79375
1241000000,-129.33783,127.48156
1242000000,-129.06609,127.29916
1243000000,-129.15076,127.24809
1244000000,-129.56418,126.71266
1245000000,-129.73602,126.61074
1246000000,-129.67596,126.62904
1247000000,-129.41254,126.32616
1248000000,-129.47784,126.39746
1249000000,-129.83401,126.01747
1250000000,-129.83682,125.89383
1251000000,-130.56966,125.5081
1252000000,-130.1864,125.53903
1253000000,-130.25528,125.18999
1254000000,-130.5247,125.09594
1255000000,-130.75722,124.96251
1256000000,-130.71733,124.69684
1257000000,-130.92393,124.5204
1258000000,-130.83733,124.31531
1259000000,-131.54875,124.02815
1260000000,-131.46266,123.65847
1261000000,-131.10612,123.51971
1262000000,-131.65305,123.40668
1263000000,-131.43007,123.26177
1264000000,-131.59929,122.94995
1265000000,-131.78638,122.81403
1266000000,-131.84142,122.86094
1267000000,-132.24214,122.30208
1268000000,-131.98198,122.35912
1269000000,-132.0769,122.04485
1270000000,-132.31606,121.83634
1271000000,-132.28128,121.69343
1272000000,-132.27831,121.52079
1273000000,-132.47726,121.2568
1274000000,-132.82933,120.97314
1275000000,-132.66727,120.66277
1276000000,-132.73001,120.59943
1277000000,-133.34172,120.19823
1278000000,-133.09134,120.14052
1279000000,-133.32791,119.87676
1280000000,-133.02568,119.72286
1281000000,-133.46416,119.58685
1282000000,-133.48749,119.49016
1283000000,-133.62715,119.14784
1284000000,-133.59399,118.99041
1285000000,-133.85258,118.55102
1286000000,-133.83672,118.64243
1287000000,-134.2186,118.27505
1288000000,-134.24956,118.24981
1289000000,-134.3553,117.93883
1290000000,-134.38902,117.90984
1291000000,-134.34676,117.55609
1292000000,-134.68185,117.26333
1293000000,-134.45238,117.25675
1294000000,-134.41106,116.96809
1295000000,-135.04568,116.60156
1296000000,-134.93427,116.53426
1297000000,-134.31042,116.25966
1298000000,-134.90094,116.27799
1299000000,-135.3821,115.89256
1300000000,-135.32263,115.68102
1301000000,-135.25644,115.53981
1302000000,-135.59929,115.44353
1303000000,-135.27536,115.29268
1304000000,-135.79176,114.94373
1305000000,-135.41106,114.80109
1306000000,-136.13577,114.3675
1307000000,-136.14522,114.34338
1308000000,-136.14307,113.9772
1309000000,-136.17676,113.82687
1310000000,-136.00359,113.70504
1311000000,-136.11839,113.43103
1312000000,-136.28888,113.3875
1313000000,-136.41472,113.11263
1314000000,-136.57266,112.97872
1315000000,-136.87556,112.74992
1316000000,-136.70583,112.44809
1317000000,-137.07646,112.21601
1318000000,-136.71983,112.13119
1319000000,-137.23317,111.86306
1320000000,-137.26379,111.86649
1321000000,-137.42659,111.33932
1322000000,-137.28641,111.48685
1323000000,-137.715,111.03992
1324000000,-137.5706,111.01778
1325000000,-137.77574,110.58635
1326000000,-137.82845,110.50705
1327000000,-138.27673,110.35515
1328000000,-138.15327,110.07209
1329000000,-137.85973,110.11921
1330000000,-138.48251,109.6717
1331000000,-138.2852,109.54488
1332000000,-138.44485,109.14898
1333000000,-138.56894,109.05391
1334000000,-138.90759,108.94952
1335000000,-138.95773,108.59035
1336000000,-138.91914,108.55084
1337000000,-138.91995,108.26179
1338000000,-138.97989,108.07161
1339000000,-138.98384,107.91322
1340000000,-139.17404,107.54456
1341000000,-139.21439,107.49977
1342000000,-139.39833,107.20432
1343000000,-139.58815,106.94933
1344000000,-139.52301,106.77862
1345000000,-139.47847,106.72613
1346000000,-139.77744,106.39387
1347000000,-139.66136,106.37048
