"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []","dB(S(2,2)) []","dB(S(3,1)) []","dB(S(3,2)) []","dB(S(3,3)) []"
1,-12.4761138396553,-3.67092628774187,-12.9557633860904,-3.65862837993704,-7.69728400823289,-13.0423246184588
1.001,-12.4805246303141,-3.67076187448613,-12.9613272545632,-3.65848276910139,-7.70150716001602,-13.0478084298841
1.002,-12.4849361326242,-3.67059754623393,-12.966891650507,-3.65833728773874,-7.70572881371779,-13.0532926564276
1.003,-12.4893483478489,-3.67043330292818,-12.972456567474,-3.65819193556994,-7.70994897159992,-13.0587772885174
1.004,-12.4937612772726,-3.67026914451067,-12.9780219989978,-3.65804671231427,-7.71416763594404,-13.0642623165876
1.005,-12.4981749222003,-3.6701050709221,-12.983587938593,-3.65790161768947,-7.71838480905157,-13.0697477310781
1.006,-12.5025892839576,-3.66994108210203,-12.9891543797547,-3.65775665141175,-7.72260049324367,-13.0752335224339
1.007,-12.5070043638907,-3.66977717798897,-12.9947213159588,-3.65761181319577,-7.72681469086113,-13.0807196811056
1.008,-12.5114201633664,-3.66961335852032,-13.0002887406613,-3.6574671027547,-7.73102740426427,-13.0862061975487
1.009,-12.5158366837719,-3.66944962363243,-13.0058566472985,-3.65732251980023,-7.73523863583288,-13.0916930622233
1.01,-12.5202539265148,-3.66928597326058,-13.0114250292863,-3.65717806404252,-7.73944838796614,-13.0971802655944
1.011,-12.5246718930231,-3.66912240733902,-13.0169938800204,-3.65703373519033,-7.74365666308247,-13.1026677981312
1.012,-12.5290905847451,-3.66895892580093,-13.0225631928762,-3.65688953295092,-7.74786346361953,-13.1081556503071
1.013,-12.5335100031492,-3.66879552857849,-13.0281329612078,-3.65674545703015,-7.75206879203408,-13.1136438125997
1.014,-12.537930149724,-3.66863221560286,-13.0337031783488,-3.65660150713241,-7.7562726508019,-13.1191322754901
1.015,-12.5423510259782,-3.66846898680415,-13.0392738376112,-3.65645768296074,-7.76047504241773,-13.124621029463
1.016,-12.5467726334405,-3.66830584211154,-13.0448449322859,-3.65631398421674,-7.76467596939514,-13.1301100650064
1.017,-12.5511949736596,-3.66814278145317,-13.0504164556419,-3.65617041060064,-7.76887543426649,-13.1355993726115
1.018,-12.555618048204,-3.66797980475624,-13.0559884009263,-3.65602696181133,-7.77307343958283,-13.1410889427724
1.019,-12.5600418586621,-3.66781691194693,-13.0615607613644,-3.65588363754632,-7.77726998791379,-13.1465787659857
1.02,-12.5644664066421,-3.66765410295054,-13.0671335301589,-3.65574043750179,-7.78146508184753,-13.1520688327508
1.021,-12.5688916937717,-3.66749137769134,-13.0727067004901,-3.65559736137262,-7.78565872399065,-13.1575591335689
1.022,-12.5733177216984,-3.66732873609273,-13.0782802655153,-3.65545440885236,-7.78985091696807,-13.1630496589436
1.023,-12.5777444920893,-3.66716617807715,-13.0838542183692,-3.65531157963326,-7.79404166342301,-13.1685403993802
1.024,-12.5821720066309,-3.66700370356615,-13.0894285521629,-3.65516887340631,-7.79823096601685,-13.1740313453853
1.025,-12.5866002670291,-3.66684131248034,-13.0950032599844,-3.65502628986124,-7.80241882742906,-13.1795224874673
1.026,-12.5910292750092,-3.66667900473947,-13.1005783348977,-3.65488382868651,-7.80660525035713,-13.1850138161354
1.027,-12.5954590323159,-3.66651678026239,-13.1061537699432,-3.65474148956937,-7.8107902375165,-13.1905053218999
1.028,-12.5998895407131,-3.66635463896709,-13.1117295581371,-3.65459927219582,-7.81497379164043,-13.1959969952716
1.029,-12.6043208019836,-3.66619258077067,-13.1173056924711,-3.65445717625069,-7.81915591547996,-13.2014888267619
1.03,-12.6087528179297,-3.66603060558939,-13.1228821659125,-3.65431520141758,-7.82333661180381,-13.2069808068824
1.031,-12.6131855903725,-3.66586871333871,-13.1284589714038,-3.65417334737895,-7.82751588339829,-13.2124729261448
1.032,-12.6176191211521,-3.66570690393318,-13.1340361018624,-3.65403161381607,-7.83169373306724,-13.2179651750602
