!CSV A.01.01
!Agilent Technologies,E8361C,US48110120,A.09.42.22
!Agilent E8361C: A.09.42.22
!Date: Thursday, May 05, 2016 14:41:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2102000000,-6.3890729,-6.0503454,-53.931686,88.307503
2103000000,-6.404037,-6.318409,-53.904987,86.760612
2104000000,-6.4334512,-6.6382065,-54.015606,85.47065
2105000000,-6.4162316,-6.9717722,-54.075977,84.672447
2106000000,-6.4430747,-7.2933378,-54.436832,83.996605
2107000000,-6.4374123,-7.613306,-54.573238,83.918907
2108000000,-6.4700646,-7.9279447,-54.936409,84.310097
2109000000,-6.4905624,-8.2233267,-55.477108,84.83477
2110000000,-6.5105114,-8.507061,-55.83725,85.75885
2111000000,-6.54918,-8.6880531,-56.279606,87.209068
2112000000,-6.6017027,-8.8750257,-56.733131,88.614563
2113000000,-6.6594796,-8.9572601,-57.255726,90.258621
2114000000,-6.7038379,-8.9925165,-57.615425,91.971397
2115000000,-6.7933502,-8.9374571,-57.912083,93.762527
2116000000,-6.8886528,-8.8855534,-58.245934,95.562752
2117000000,-6.9920783,-8.6867447,-58.447529,96.711678
2118000000,-7.0706553,-8.4861431,-58.42873,97.962296
2119000000,-7.142961,-8.2305861,-58.67765,98.57695
2120000000,-7.2128358,-7.9534521,-58.681831,99.049164
2121000000,-7.2834258,-7.6427813,-58.484364,98.947807
2122000000,-7.3356242,-7.3573251,-58.391949,98.408264
2123000000,-7.3523531,-7.0551076,-58.35997,97.559044
2124000000,-7.3915944,-6.7463474,-58.224079,96.307793
2125000000,-7.38691,-6.502492,-58.362869,94.641754
2126000000,-7.3875766,-6.2764797,-58.661362,92.809906
2127000000,-7.4321165,-6.1611133,-58.815826,90.525696
2128000000,-7.4659257,-6.0382047,-59.239864,88.06237
2129000000,-7.5026436,-5.987618,-59.598667,85.609108
2130000000,-7.5597353,-5.9913926,-60.172314,83.129463
2131000000,-7.6463909,-6.0755525,-60.424786,80.440918
2132000000,-7.7139711,-6.1952276,-60.58836,78.311798
2133000000,-7.838201,-6.3677454,-60.871815,76.06472
2134000000,-7.9258804,-6.6040325,-60.946556,74.146851
2135000000,-8.0099411,-6.8549504,-60.839725,72.542633
2136000000,-8.0834541,-7.1050043,-60.855225,71.306198
2137000000,-8.1496868,-7.3820343,-60.584221,70.226501
2138000000,-8.2066555,-7.6985207,-60.463253,69.518799
2139000000,-8.2505713,-7.9576893,-60.326786,69.339745
2140000000,-8.2926855,-8.286768,-60.279522,69.307365
2141000000,-8.3011942,-8.516902,-60.222347,69.389412
2142000000,-8.3237419,-8.7436285,-60.222549,69.791512
2143000000,-8.3643513,-8.946661,-60.41053,70.45256
2144000000,-8.4058428,-9.1292601,-60.513504,71.494102
2145000000,-8.4362259,-9.2506161,-60.758556,72.815353
2146000000,-8.4951096,-9.336092,-60.969589,73.791206
2147000000,-8.531333,-9.3493834,-61.182758,75.203827
2148000000,-8.5729532,-9.2948809,-61.273731,76.435463
2149000000,-8.6412897,-9.229063,-61.521072,77.521523
2150000000,-8.7526245,-9.0630436,-61.614674,78.398262
2151000000,-8.8406906,-8.9193144,-61.655197,79.081642
2152000000,-8.8955383,-8.6951141,-61.860493,79.497986
2153000000,-8.9724894,-8.4526968,-61.669094,79.398781
2154000000,-9.0787678,-8.1917019,-61.675514,78.9646
2155000000,-9.1316414,-7.9783649,-61.435932,78.09462
2156000000,-9.2084856,-7.7583303,-61.274666,76.93795
2157000000,-9.2519789,-7.5683684,-60.864452,75.802811
2158000000,-9.3241358,-7.3992162,-60.863617,74.182457
2159000000,-9.3539209,-7.2531457,-60.537525,72.343483
2160000000,-9.3809023,-7.1750317,-60.403633,70.446983
2161000000,-9.4134321,-7.0949392,-60.472179,68.382118
2162000000,-9.435482,-7.1314669,-60.369247,66.153496
2163000000,-9.4804573,-7.1693587,-60.351955,63.945965
2164000000,-9.5393429,-7.2800794,-60.259926,61.902107
2165000000,-9.5855694,-7.3978634,-60.29195,60.243027
2166000000,-9.6287298,-7.5760188,-60.226833,58.326126
2167000000,-9.6965675,-7.7812157,-60.303951,56.761623
2168000000,-9.7448568,-8.0038271,-59.960331,55.406872
2169000000,-9.8518229,-8.2309427,-59.888329,54.357281
2170000000,-9.8855867,-8.4818945,-59.578293,53.670723
2171000000,-9.9613304,-8.7134542,-59.319435,53.032124
2172000000,-10.00994,-8.9523916,-58.847866,53.002659
2173000000,-10.042275,-9.1920595,-58.675991,52.703888
2174000000,-10.048157,-9.3987751,-58.237854,53.086273
2175000000,-10.103085,-9.5483418,-57.872604,53.266987
2176000000,-10.10909,-9.707839,-57.705204,53.953632
2177000000,-10.114793,-9.8312759,-57.430443,54.540688
2178000000,-10.100857,-9.8926697,-57.170921,55.367168
2179000000,-10.114902,-9.9150581,-57.021362,56.260666
2180000000,-10.125116,-9.9130116,-57.051376,57.072701
2181000000,-10.141045,-9.8509016,-56.872967,57.59594
2182000000,-10.170714,-9.7613106,-56.781319,58.208569
2183000000,-10.174681,-9.6393175,-56.784382,58.556747
2184000000,-10.200051,-9.5149212,-56.524483,58.935783
2185000000,-10.235806,-9.3088808,-56.485798,58.62508
2186000000,-10.284967,-9.1689425,-56.422287,58.155361
2187000000,-10.301845,-8.9952106,-56.119137,57.617428
2188000000,-10.327972,-8.8568029,-55.943817,56.586792
2189000000,-10.376987,-8.6852446,-55.642296,55.24794
2190000000,-10.413299,-8.573452,-55.508244,54.032509
2191000000,-10.408077,-8.4709196,-55.215332,52.405846
2192000000,-10.419963,-8.3854523,-54.743408,50.797672
2193000000,-10.422606,-8.3861132,-54.508099,48.923164
2194000000,-10.401117,-8.3954792,-54.264473,47.177082
2195000000,-10.401838,-8.4133778,-54.087776,45.401596
