Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase(°)
2000000000,-5.746048,-10.606532,-46.938736,88.819702
2001000000,-5.7960253,-10.860438,-47.305862,86.651817
2002000000,-5.8405457,-11.108895,-47.49733,84.870361
2003000000,-5.8960443,-11.39102,-47.779583,83.078262
2004000000,-5.9365869,-11.713381,-47.766956,81.898521
2005000000,-5.9974856,-12.031173,-47.861671,80.883636
2006000000,-6.0235338,-12.341366,-47.920357,80.288544
2007000000,-6.051641,-12.658432,-48.049763,79.843941
2008000000,-6.0971632,-13.008596,-48.14991,79.699875
2009000000,-6.1240396,-13.29692,-48.211452,80.016716
2010000000,-6.1255479,-13.55794,-48.4389,80.439003
2011000000,-6.1789975,-13.792987,-48.667278,81.355545
2012000000,-6.1993475,-14.01072,-48.922546,82.056046
2013000000,-6.2225642,-14.170709,-49.091473,83.076454
2014000000,-6.2728248,-14.253098,-49.256847,84.270493
2015000000,-6.3013186,-14.32454,-49.5905,85.204987
2016000000,-6.3448462,-14.313238,-49.719582,86.309837
2017000000,-6.3556294,-14.267935,-49.901634,87.185989
2018000000,-6.4193606,-14.163228,-50.126438,87.782661
2019000000,-6.4907494,-14.046413,-50.442127,88.216324
2020000000,-6.5183115,-13.827081,-50.624912,88.587624
2021000000,-6.5809436,-13.679938,-50.6021,88.431648
2022000000,-6.6007261,-13.440141,-50.809402,87.804207
2023000000,-6.6746087,-13.264351,-50.900436,86.668938
2024000000,-6.7236071,-13.068934,-51.04916,85.452049
2025000000,-6.7585287,-12.911179,-51.023563,83.763733
2026000000,-6.8066578,-12.806972,-51.142822,81.670197
2027000000,-6.8550267,-12.705311,-51.305504,79.490784
2028000000,-6.8708448,-12.645016,-51.295898,77.172707
2029000000,-6.9204044,-12.682983,-51.365627,74.659355
2030000000,-6.9520488,-12.767405,-51.482197,72.013351
2031000000,-6.963243,-12.826619,-51.728359,69.541519
2032000000,-7.0076861,-13.018227,-51.989796,66.77108
2033000000,-7.0537529,-13.218659,-52.080246,64.412704
2034000000,-7.1032076,-13.471975,-52.147633,62.304386
2035000000,-7.1419678,-13.758595,-52.370762,60.194443
2036000000,-7.1953669,-14.080525,-52.460457,58.67271
2037000000,-7.2535152,-14.399137,-52.436466,56.997746
2038000000,-7.2913847,-14.719603,-52.506535,55.947006
2039000000,-7.3542628,-15.102666,-52.385647,54.944244
2040000000,-7.3925915,-15.427331,-52.570339,54.22644
2041000000,-7.4385142,-15.727808,-52.694942,53.693481
2042000000,-7.4771342,-16.034,-52.635368,53.389179
2043000000,-7.5222826,-16.313601,-52.573105,53.48172
2044000000,-7.5464873,-16.574574,-52.662079,53.832531
2045000000,-7.5710812,-16.777592,-52.815041,54.058762
2046000000,-7.6021399,-16.972864,-52.951904,54.603687
2047000000,-7.6367359,-17.058933,-53.011002,55.00272
2048000000,-7.6874928,-17.201046,-52.914314,55.638554
2049000000,-7.7205896,-17.257309,-53.021477,56.026287
2050000000,-7.7433438,-17.261927,-53.201698,56.47298
2051000000,-7.7744274,-17.20047,-53.160988,56.668354
2052000000,-7.8431568,-17.153587,-53.359783,56.450565
2053000000,-7.8868604,-16.990618,-53.397823,55.968433
2054000000,-7.936625,-16.928432,-53.395687,55.264801
2055000000,-7.9762549,-16.786907,-53.374779,54.222614
2056000000,-8.0167418,-16.688959,-53.35688,52.75565
2057000000,-8.060792,-16.52648,-53.421074,51.421993
2058000000,-8.1071434,-16.410816,-53.379387,49.053467
2059000000,-8.117547,-16.33217,-53.427372,46.888138
2060000000,-8.1465359,-16.260498,-53.412361,44.152401
2061000000,-8.2017603,-16.246414,-53.265602,41.299122
2062000000,-8.237277,-16.328993,-53.431099,38.71759
2063000000,-8.2576666,-16.365059,-53.441631,35.485126
2064000000,-8.2957573,-16.470457,-53.398689,32.361485
2065000000,-8.3285294,-16.62339,-53.4053,29.355843
2066000000,-8.3587914,-16.815409,-53.398506,26.385519
2067000000,-8.3932638,-17.065535,-53.556236,23.510918
2068000000,-8.4310255,-17.342783,-53.452217,20.669617
2069000000,-8.4716053,-17.611227,-53.515549,18.108984
2070000000,-8.5063963,-17.937561,-53.438549,15.733754
2071000000,-8.5092793,-18.220844,-53.479694,13.769681
2072000000,-8.5712929,-18.600801,-53.408516,11.612357
2073000000,-8.5997801,-18.952843,-53.298038,10.335152
2074000000,-8.6233454,-19.251616,-53.266285,8.6028528
2075000000,-8.6500692,-19.516861,-53.226852,7.3788261
