Freq [GHz],"dB(S(1,1)) []"
2,-14.85407925
2.001,-14.87449046
2.002,-14.89495777
2.003,-14.91548144
2.004,-14.93606173
2.005,-14.95669892
2.006,-14.97739329
2.007,-14.99814511
2.008,-15.01895466
2.009,-15.03982221
2.01,-15.06074805
2.011,-15.08173247
2.012,-15.10277575
2.013,-15.12387818
2.014,-15.14504005
2.015,-15.16626166
2.016,-15.18754329
2.017,-15.20888525
2.018,-15.23028784
2.019,-15.25175135
2.02,-15.2732761
2.021,-15.29486239
2.022,-15.31651053
2.023,-15.33822083
2.024,-15.3599936
2.025,-15.38182917
2.026,-15.40372785
2.027,-15.42568996
2.028,-15.44771583
2.029,-15.46980578
2.03,-15.49196015
2.031,-15.51417926
2.032,-15.53646345
2.033,-15.55881306
2.034,-15.58122843
2.035,-15.60370989
2.036,-15.62625781
2.037,-15.64887251
2.038,-15.67155437
2.039,-15.69430372
2.04,-15.71712093
2.041,-15.74000635
2.042,-15.76296036
2.043,-15.7859833
2.044,-15.80907557
2.045,-15.83223752
2.046,-15.85546953
2.047,-15.87877198
2.048,-15.90214525
2.049,-15.92558972
2.05,-15.94910579
2.051,-15.97269384
2.052,-15.99635428
2.053,-16.02008748
2.054,-16.04389387
2.055,-16.06777383
2.056,-16.09172779
2.057,-16.11575615
2.058,-16.13985932
2.059,-16.16403773
2.06,-16.18829179
2.061,-16.21262194
2.062,-16.2370286
2.063,-16.26151221
2.064,-16.2860732
2.065,-16.31071202
2.066,-16.3354291
2.067,-16.3602249
2.068,-16.38509988
2.069,-16.41005448
2.07,-16.43508917
2.071,-16.46020442
2.072,-16.48540068
2.073,-16.51067845
2.074,-16.53603819
2.075,-16.56148038
2.076,-16.58700552
2.077,-16.6126141
2.078,-16.6383066
2.079,-16.66408353
2.08,-16.6899454
2.081,-16.71589271
2.082,-16.74192597
2.083,-16.76804572
2.084,-16.79425246
2.085,-16.82054673
2.086,-16.84692906
2.087,-16.87339999
2.088,-16.89996007
2.089,-16.92660984
2.09,-16.95334985
2.091,-16.98018067
2.092,-17.00710285
2.093,-17.03411698
2.094,-17.06122363
2.095,-17.08842336
2.096,-17.11571679
2.097,-17.14310448
2.098,-17.17058705
2.099,-17.1981651
2.1,-17.22583923
2.101,-17.25361007
2.102,-17.28147823
2.103,-17.30944434
2.104,-17.33750904
2.105,-17.36567297
2.106,-17.39393677
2.107,-17.42230111
2.108,-17.45076663
2.109,-17.479334
2.11,-17.50800391
2.111,-17.53677703
2.112,-17.56565404
2.113,-17.59463565
2.114,-17.62372255
2.115,-17.65291546
2.116,-17.68221508
2.117,-17.71162215
2.118,-17.74113739
2.119,-17.77076155
2.12,-17.80049536
2.121,-17.83033959
2.122,-17.860295
2.123,-17.89036236
2.124,-17.92054244
2.125,-17.95083604
2.126,-17.98124395
2.127,-18.01176697
2.128,-18.04240592
2.129,-18.07316162
2.13,-18.10403491
2.131,-18.13502661
2.132,-18.16613758
2.133,-18.19736868
2.134,-18.22872078
2.135,-18.26019475
2.136,-18.29179148
2.137,-18.32351187
2.138,-18.35535683
2.139,-18.38732727
2.14,-18.41942412
2.141,-18.45164833
2.142,-18.48400083
2.143,-18.51648259
2.144,-18.54909459
2.145,-18.5818378
