Freq(Hz),S11 Log Mag(dB),S11 Phase(°),S21 Log Mag(dB),S21 Phase(°),S31 Log Mag(dB),S31 Phase(°),S41 Log Mag(dB),S41 Phase(°),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS
1053000000,-4.4015141,116.86917,-6.1984591,-63.917511,-11.491391,-59.362534,-5.0601864,-117.92697,,-4.106995582,-6.649019547,-12.14387346,-5.274638906
1054000000,-4.4259114,116.88248,-6.2094622,-64.382851,-11.479713,-59.353848,-5.0417714,-118.1174,,-4.103598401,-6.652608054,-12.16217533,-5.273357464
1055000000,-4.4111133,116.92072,-6.2000217,-64.159058,-11.526631,-59.320168,-5.0434394,-117.94917,,-4.10020137,-6.656216519,-12.180505,-5.27207793
1056000000,-4.40418,116.73672,-6.2010503,-64.128632,-11.541079,-59.163933,-5.0372367,-118.07543,,-4.096804523,-6.659845055,-12.19886191,-5.270800337
1057000000,-4.3591614,116.42834,-6.1828685,-64.349449,-11.536471,-59.367149,-5.0507827,-118.46194,,-4.093407895,-6.663493773,-12.21724552,-5.269524716
1058000000,-4.3832407,116.49947,-6.2338181,-64.443405,-11.606836,-59.350662,-5.0662041,-118.55919,,-4.090011519,-6.667162787,-12.23565525,-5.2682511
1059000000,-4.3604989,116.3471,-6.2203403,-64.561699,-11.601919,-59.160088,-5.0498953,-118.57135,,-4.086615431,-6.670852212,-12.25409051,-5.266979519
1060000000,-4.3811231,116.2939,-6.2098541,-64.554184,-11.590051,-59.108067,-5.0268912,-118.70792,,-4.083219666,-6.674562161,-12.27255071,-5.265710007
1061000000,-4.3596554,116.11751,-6.2733245,-64.609268,-11.632028,-59.186562,-5.0515981,-118.87897,,-4.07982426,-6.67829275,-12.29103521,-5.264442595
1062000000,-4.3704209,116.11192,-6.2359018,-64.770981,-11.644479,-59.094048,-5.0439062,-119.04663,,-4.076429248,-6.682044094,-12.30954339,-5.263177317
1063000000,-4.330946,116.157,-6.2273517,-64.799911,-11.654819,-59.132595,-5.0098891,-119.25151,,-4.073034667,-6.685816309,-12.3280746,-5.261914206
1064000000,-4.3752098,116.08401,-6.2373247,-64.861168,-11.674725,-59.091766,-5.027184,-119.4767,,-4.069640552,-6.689609513,-12.34662817,-5.260653295
1065000000,-4.3226686,116.0356,-6.2252493,-65.057205,-11.642493,-59.0317,-5.0265565,-119.58275,,-4.066246941,-6.693423823,-12.36520342,-5.259394617
1066000000,-4.3691144,115.79237,-6.2226281,-65.162132,-11.716839,-58.874973,-5.0200882,-119.68906,,-4.062853871,-6.697259357,-12.38379966,-5.258138207
