Freq(Hz),S11 Log Mag(dB),S11 Phase(deg),S21 Log Mag(dB),S21 Phase(deg),S31 Log Mag(dB),S31 Phase(deg),S41 Log Mag(dB),S41 Phase(deg),,S11_HFSS,S21_HFSS,S31_HFSS,S41_HFSS,,S21-S31,S21-S31_HFSS
1027000000,-4.7286696,161.4268,-7.0752301,-48.07666,-5.581573,-72.56736,-6.6900005,-58.001617,,-4.859600963,-7.481776241,-5.907511745,-7.131790431,,24.4907,24.85199968
1028000000,-4.7726688,161.42738,-7.0952253,-48.117378,-5.6192226,-72.715004,-6.7248039,-58.272339,,-4.858774176,-7.484016178,-5.906683465,-7.133486805,,24.597626,24.88707015
1029000000,-4.7601976,161.67719,-7.115437,-48.188763,-5.6030331,-72.713943,-6.7087603,-58.206913,,-4.857950874,-7.486254945,-5.905851839,-7.135182889,,24.52518,24.92217842
1030000000,-4.7681403,161.49396,-7.0895495,-48.285702,-5.6247897,-72.825233,-6.7182236,-58.314838,,-4.857131062,-7.488492534,-5.905016863,-7.136878683,,24.539531,24.95732456
1031000000,-4.7124114,161.22311,-7.1151433,-48.207764,-5.6229835,-72.792862,-6.7174993,-58.33485,,-4.856314749,-7.490728936,-5.904178533,-7.138574187,,24.585098,24.99250866
1032000000,-4.7901711,161.16946,-7.1445079,-48.428585,-5.6088095,-73.126038,-6.7370343,-58.514595,,-4.855501941,-7.492964142,-5.903336846,-7.140269401,,24.697453,25.02773081
1033000000,-4.7507715,161.10037,-7.138207,-48.151287,-5.630734,-72.905533,-6.723628,-58.36404,,-4.854692646,-7.495198141,-5.902491798,-7.141964326,,24.754246,25.06299109
1034000000,-4.7702441,161.37341,-7.1594553,-48.348328,-5.6573911,-73.11467,-6.7206874,-58.589371,,-4.85388687,-7.497430926,-5.901643387,-7.143658961,,24.766342,25.09828957
1035000000,-4.7509656,161.20055,-7.1332183,-48.229713,-5.608603,-73.258965,-6.72539,-58.558933,,-4.853084621,-7.499662485,-5.900791609,-7.145353307,,25.029252,25.13362635
1036000000,-4.7559109,161.24925,-7.1046162,-48.521751,-5.6100278,-73.374245,-6.7170734,-58.63591,,-4.852285906,-7.501892812,-5.89993646,-7.147047364,,24.852494,25.16900151
1037000000,-4.7272625,161.07077,-7.1053381,-48.620415,-5.6148543,-73.458252,-6.7321281,-58.872623,,-4.851490732,-7.504121894,-5.899077937,-7.148741133,,24.837837,25.20441513
1038000000,-4.7486148,161.30675,-7.1194057,-48.409618,-5.5861907,-73.41333,-6.7053709,-58.763424,,-4.850699106,-7.506349724,-5.898216037,-7.150434613,,25.003712,25.23986729
1039000000,-4.7765698,161.20471,-7.1420965,-48.540928,-5.6087584,-73.477211,-6.725584,-58.812183,,-4.849911036,-7.508576292,-5.897350756,-7.152127806,,24.936283,25.27535808
1040000000,-4.7116957,161.05882,-7.1173959,-48.479275,-5.5982585,-73.554565,-6.7297759,-58.865528,,-4.849126528,-7.510801589,-5.896482092,-7.153820712,,25.07529,25.31088759
1041000000,-4.7787046,161.0506,-7.1673322,-48.654781,-5.6202083,-73.620651,-6.7594776,-59.004784,,-4.84834559,-7.513025604,-5.89561004,-7.155513331,,24.96587,25.34645589
1042000000,-4.7633381,160.97646,-7.1442084,-48.589729,-5.619915,-73.684685,-6.7588186,-59.009777,,-4.847568229,-7.515248328,-5.894734598,-7.157205663,,25.094956,25.38206307
1043000000,-4.7553163,160.98895,-7.1249156,-48.564465,-5.5698099,-73.761353,-6.70998,-58.979565,,-4.846794452,-7.517469752,-5.893855763,-7.158897709,,25.196888,25.41770923
1044000000,-4.7365985,160.89063,-7.1157689,-48.536366,-5.5919571,-73.642708,-6.7134886,-59.129631,,-4.846024267,-7.519689866,-5.89297353,-7.16058947,,25.106342,25.45339443
1045000000,-4.7733192,160.88445,-7.1586871,-48.769009,-5.6164699,-74.040253,-6.7323942,-59.102112,,-4.845257682,-7.52190866,-5.892087897,-7.162280946,,25.271244,25.48911877
1046000000,-4.7314315,160.644,-7.1481347,-48.91222,-5.6177974,-74.241913,-6.7315826,-59.61034,,-4.844494702,-7.524126125,-5.891198861,-7.163972137,,25.329693,25.52488234
1047000000,-4.733006,160.82294,-7.1596127,-48.617516,-5.6033468,-73.872208,-6.7394118,-59.210419,,-4.843735336,-7.52634225,-5.890306418,-7.165663045,,25.254692,25.56068521
1048000000,-4.7422976,160.75684,-7.1699572,-48.716457,-5.6066327,-73.834167,-6.7732787,-59.332462,,-4.842979591,-7.528557027,-5.889410565,-7.167353669,,25.11771,25.59652748
1049000000,-4.7057252,160.69437,-7.173049,-48.683651,-5.5853944,-74.057968,-6.7288218,-59.436184,,-4.842227474,-7.530770445,-5.8885113,-7.16904401,,25.374317,25.63240923
1050000000,-4.7135539,160.77167,-7.1357207,-48.790165,-5.6063156,-73.997894,-6.732357,-59.361046,,-4.841478993,-7.532982494,-5.887608618,-7.170734069,,25.207729,25.66833055
1051000000,-4.7329679,160.67906,-7.1571112,-48.853054,-5.6019869,-74.248573,-6.7480874,-59.463203,,-4.840734156,-7.535193165,-5.886702516,-7.172423847,,25.395519,25.70429151
1052000000,-4.7097306,160.72957,-7.1805754,-49.066723,-5.5987334,-74.49189,-6.7235231,-59.559864,,-4.839992969,-7.537402448,-5.885792992,-7.174113344,,25.425167,25.74029222
1053000000,-4.7176619,160.38469,-7.1763091,-48.940006,-5.5886464,-74.420853,-6.7599931,-59.738987,,-4.839255439,-7.539610332,-5.884880042,-7.175802561,,25.480847,25.77633275
1054000000,-4.7223034,160.38084,-7.1543627,-49.048275,-5.5785642,-74.462242,-6.7400618,-59.687691,,-4.838521576,-7.541816808,-5.883963663,-7.177491499,,25.413967,25.8124132
1055000000,-4.7165179,160.66098,-7.1842351,-48.938946,-5.6095133,-74.456146,-6.7350626,-59.719185,,-4.837791385,-7.544021865,-5.883043852,-7.179180158,,25.5172,25.84853365
1056000000,-4.7748885,160.54329,-7.1749258,-49.128071,-5.5899978,-74.621704,-6.7550087,-59.786095,,-4.837064875,-7.546225494,-5.882120606,-7.180868539,,25.493633,25.88469418
1057000000,-4.695076,160.33252,-7.1641889,-49.209518,-5.5655599,-74.741112,-6.725708,-60.007938,,-4.836342053,-7.548427685,-5.881193921,-7.182556643,,25.531594,25.92089489
1058000000,-4.7664223,160.18581,-7.1968856,-49.250248,-5.6169305,-74.728516,-6.7626691,-59.909542,,-4.835622926,-7.550628427,-5.880263795,-7.184244471,,25.478268,25.95713586
1059000000,-4.7384453,160.35387,-7.2106571,-49.291138,-5.5900512,-74.952202,-6.7693815,-59.99078,,-4.834907503,-7.552827709,-5.879330225,-7.185932024,,25.661064,25.99341718
1060000000,-4.7153373,160.37325,-7.169559,-49.283058,-5.5696363,-74.885231,-6.7369533,-60.139668,,-4.83419579,-7.555025523,-5.878393207,-7.187619302,,25.602173,26.02973894
1061000000,-4.7162862,160.07527,-7.2208104,-49.334316,-5.592031,-74.982933,-6.7742391,-60.130383,,-4.833487795,-7.557221858,-5.877452738,-7.189306307,,25.648617,26.06610122
1062000000,-4.7527847,160.17616,-7.2121367,-49.359234,-5.5824003,-75.061623,-6.7664461,-60.196316,,-4.832783526,-7.559416703,-5.876508816,-7.190993038,,25.702389,26.10250412
1063000000,-4.7136421,160.25027,-7.1908884,-49.287388,-5.5669384,-75.109886,-6.7371235,-60.199356,,-4.832082991,-7.561610048,-5.875561436,-7.192679498,,25.822498,26.13894772
1064000000,-4.707418,160.18759,-7.2047296,-49.563725,-5.5936556,-75.277924,-6.7841721,-60.464348,,-4.831386197,-7.563801882,-5.874610597,-7.194365688,,25.714199,26.17543212
1065000000,-4.6993608,160.11949,-7.1764779,-49.627754,-5.5553541,-75.167824,-6.742877,-60.548187,,-4.830693152,-7.565992196,-5.873656296,-7.196051607,,25.54007,26.21195739
1066000000,-4.7131796,160.00356,-7.195509,-49.449261,-5.5713391,-75.396935,-6.7729607,-60.53508,,-4.830003864,-7.568180979,-5.872698528,-7.197737258,,25.947674,26.24852364
1067000000,-4.7095413,159.85045,-7.2182083,-49.557568,-5.5916924,-75.563927,-6.7466779,-60.58007,,-4.82931834,-7.57036822,-5.871737292,-7.199422641,,26.006359,26.28513094
1068000000,-4.7105527,159.90755,-7.1717086,-49.523842,-5.5573025,-75.538536,-6.7192569,-60.608185,,-4.828636588,-7.572553909,-5.870772583,-7.201107757,,26.014694,26.3217794
1069000000,-4.6970644,159.95967,-7.2026968,-49.528217,-5.5860167,-75.42588,-6.7759223,-60.53019,,-4.827958615,-7.574738035,-5.8698044,-7.202792607,,25.897663,26.35846909
1070000000,-4.7164326,159.66327,-7.2172799,-49.581802,-5.553966,-75.654427,-6.7506323,-60.730968,,-4.827284431,-7.576920587,-5.86883274,-7.204477193,,26.072625,26.39520011
1071000000,-4.7157679,159.94708,-7.1965151,-49.520924,-5.5842209,-75.590767,-6.7608457,-60.721851,,-4.826614041,-7.579101556,-5.867857598,-7.206161516,,26.069843,26.43197254
1072000000,-4.7052298,159.70003,-7.2115035,-49.638294,-5.5513577,-75.744843,-6.7481852,-60.797947,,-4.825947455,-7.58128093,-5.866878973,-7.207845577,,26.106549,26.46878649
1073000000,-4.7235155,159.97023,-7.2248874,-49.632107,-5.5746565,-75.703896,-6.7876787,-60.789013,,-4.82528468,-7.583458698,-5.865896862,-7.209529376,,26.071789,26.50564203
1074000000,-4.6873293,159.80569,-7.1940217,-49.710117,-5.5671506,-75.605843,-6.7540832,-60.830902,,-4.824625724,-7.585634851,-5.864911261,-7.211212916,,25.895726,26.54253926
1075000000,-4.7262821,159.71938,-7.2432046,-49.942566,-5.5972776,-76.159302,-6.7931585,-61.229813,,-4.823970594,-7.587809376,-5.863922167,-7.212896197,,26.216736,26.57947827
1076000000,-4.6916723,159.92088,-7.2336063,-49.894249,-5.5768824,-76.113014,-6.7925639,-61.05545,,-4.823319299,-7.589982263,-5.862929578,-7.214579221,,26.218765,26.61645916
1077000000,-4.6993065,159.62842,-7.2298741,-49.883411,-5.5773139,-76.137154,-6.7872553,-61.278564,,-4.822671847,-7.592153502,-5.861933492,-7.216261989,,26.253743,26.653482
1078000000,-4.7177186,159.6353,-7.2090383,-49.751621,-5.547164,-76.069778,-6.7570248,-61.075359,,-4.822028246,-7.594323081,-5.860933904,-7.217944502,,26.318157,26.69054689
1079000000,-4.7045979,159.48209,-7.2204576,-49.867882,-5.5776792,-76.3433,-6.7951016,-61.239674,,-4.821388503,-7.596490989,-5.859930812,-7.219626761,,26.475418,26.72765393
1080000000,-4.697001,159.43854,-7.2302833,-49.927559,-5.5657244,-76.311768,-6.7719302,-61.308147,,-4.820752626,-7.598657215,-5.858924214,-7.221308769,,26.384209,26.76480321
1081000000,-4.6758428,159.67688,-7.2626681,-49.960594,-5.5501676,-76.358795,-6.7981806,-61.335072,,-4.820120624,-7.600821749,-5.857914106,-7.222990526,,26.398201,26.80199481
1082000000,-4.7002592,159.4556,-7.2521286,-50.113186,-5.593111,-76.464661,-6.7872205,-61.490856,,-4.819492505,-7.602984578,-5.856900486,-7.224672034,,26.351475,26.83922883
1083000000,-4.6987453,159.50723,-7.2266693,-50.097099,-5.5636978,-76.635078,-6.7806745,-61.638351,,-4.818868276,-7.605145693,-5.855883351,-7.226353294,,26.537979,26.87650536
1084000000,-4.6794763,159.36703,-7.2133574,-50.064899,-5.5500059,-76.542915,-6.7781715,-61.340694,,-4.818247946,-7.607305081,-5.854862698,-7.228034308,,26.478016,26.9138245
1085000000,-4.6708717,159.33936,-7.2443447,-50.081089,-5.5621362,-76.566727,-6.8085032,-61.729919,,-4.817631522,-7.609462732,-5.853838524,-7.229715077,,26.485638,26.95118633
1086000000,-4.6922665,159.18405,-7.259696,-50.327656,-5.5610871,-76.896774,-6.7965465,-61.976761,,-4.817019014,-7.611618634,-5.852810827,-7.231395603,,26.569118,26.98859095
1087000000,-4.660491,159.50539,-7.2462287,-50.163204,-5.5542474,-76.827187,-6.772316,-61.677517,,-4.816410429,-7.613772775,-5.851779604,-7.233075887,,26.663983,27.02603845
