Freq,M,H
1.186,17.20986365,30.370697
1.187,17.23231071,30.447525
1.188,17.25478988,30.20895
1.189,17.27730126,30.277794
1.19,17.29984495,30.753212
1.191,17.32242105,30.503425
1.192,17.34502966,30.650254
1.193,17.36767089,30.612038
1.194,17.39034484,30.460022
1.195,17.41305163,30.924083
1.196,17.43579134,30.72414
1.197,17.45856408,30.687729
1.198,17.48136997,30.929051
1.199,17.50420911,30.784095
1.2,17.5270816,30.820468
1.201,17.54998755,30.826416
1.202,17.57292707,30.905308
1.203,17.59590026,31.02523
1.204,17.61890724,31.187896
1.205,17.6419481,31.0728
1.206,17.66502297,31.014229
1.207,17.68813194,31.191475
1.208,17.71127513,31.187935
1.209,17.73445265,31.37196
1.21,17.75766461,31.416389
1.211,17.78091111,31.349723
1.212,17.80419227,31.406536
1.213,17.82750821,31.403255
1.214,17.85085902,31.437172
1.215,17.87424484,31.730049
1.216,17.89766575,31.444355
1.217,17.92112189,31.521568
1.218,17.94461337,31.71661
1.219,17.96814029,31.667591
1.22,17.99170277,31.679386
1.221,18.01530093,31.910302
1.222,18.03893489,31.932232
1.223,18.06260475,31.9608
1.224,18.08631064,32.117881
1.225,18.11005266,31.978866
1.226,18.13383095,31.926777
1.227,18.15764561,32.034386
1.228,18.18149676,32.109234
1.229,18.20538452,32.07135
1.23,18.22930902,32.152862
1.231,18.25327036,32.300301
1.232,18.27726867,32.433049
1.233,18.30130407,32.13269
1.234,18.32537668,32.370384
1.235,18.34948662,32.33397
1.236,18.373634,32.252171
1.237,18.39781897,32.385639
1.238,18.42204162,32.467903
1.239,18.4463021,32.578041
1.24,18.47060052,32.493949
1.241,18.494937,32.564106
1.242,18.51931167,32.749008
1.243,18.54372465,32.695217
1.244,18.56817608,32.763584
1.245,18.59266606,32.800743
1.246,18.61719474,32.87981
1.247,18.64176223,33.013851
1.248,18.66636867,33.035156
1.249,18.69101417,33.050038
1.25,18.71569888,33.025436
1.251,18.74042291,33.090645
1.252,18.76518639,33.126408
1.253,18.78998947,33.039478
1.254,18.81483225,33.164665
1.255,18.83971488,33.354138
1.256,18.86463748,33.133999
1.257,18.8896002,33.139888
1.258,18.91460314,33.494678
1.259,18.93964646,33.512886
1.26,18.96473028,33.385856
1.261,18.98985474,33.57967
1.262,19.01501997,33.604728
1.263,19.0402261,33.532093
1.264,19.06547327,33.774456
1.265,19.09076161,33.753449
1.266,19.11609126,33.86979
1.267,19.14146235,33.730797
1.268,19.16687503,33.705883
1.269,19.19232943,34.194137
1.27,19.21782568,34.205795
1.271,19.24336392,34.047161
1.272,19.2689443,34.10368
1.273,19.29456695,34.160603
1.274,19.32023201,34.233734
1.275,19.34593963,34.060318
1.276,19.37168993,34.34235
1.277,19.39748308,34.429478
1.278,19.42331919,34.289932
1.279,19.44919842,34.298924
1.28,19.47512092,34.328037
1.281,19.50108681,34.613705
1.282,19.52709626,34.593513
1.283,19.5531494,34.638023
1.284,19.57924637,34.681663
1.285,19.60538732,34.697727
1.286,19.63157241,34.703808
1.287,19.65780176,34.823883
1.288,19.68407554,34.968815
1.289,19.71039389,34.87244
1.29,19.73675696,34.839714
1.291,19.76316489,34.942089
1.292,19.78961783,34.95586
1.293,19.81611594,35.034569
1.294,19.84265937,35.119762
1.295,19.86924826,35.253124
1.296,19.89588277,35.263492
1.297,19.92256305,35.148853
1.298,19.94928924,35.375851
1.299,19.97606152,35.518524
1.3,20.00288002,35.410278
1.301,20.0297449,35.471237
1.302,20.05665632,35.453617
1.303,20.08361444,35.653275
1.304,20.1106194,35.760311
1.305,20.13767136,35.667907
1.306,20.16477049,35.848968
1.307,20.19191693,35.780296
1.308,20.21911086,35.665936
1.309,20.24635242,35.956871
1.31,20.27364177,35.915619
1.311,20.30097908,35.964512
1.312,20.32836451,36.225982
1.313,20.35579821,36.040798
1.314,20.38328035,36.18301
1.315,20.41081109,36.125451
1.316,20.43839059,36.19479
1.317,20.46601902,36.162674
1.318,20.49369654,36.10442
1.319,20.52142332,36.485538
1.32,20.54919951,36.415634
1.321,20.57702529,36.738647
1.322,20.60490083,36.554561
1.323,20.63282628,36.670093
1.324,20.66080182,36.580631
1.325,20.68882761,36.989479
1.326,20.71690383,36.78738
1.327,20.74503064,36.854282
1.328,20.77320822,36.893142
1.329,20.80143673,36.781021
1.33,20.82971634,36.916111
1.331,20.85804723,36.878784
1.332,20.88642957,36.923279
1.333,20.91486353,37.080769
1.334,20.94334928,37.143364
1.335,20.97188701,37.425938
1.336,21.00047688,37.459275
1.337,21.02911907,37.281853
1.338,21.05781376,37.416023
1.339,21.08656112,37.414688
1.34,21.11536134,37.385868
1.341,21.14421458,37.427788
1.342,21.17312103,37.594574
1.343,21.20208086,37.625294
1.344,21.23109427,37.693306
1.345,21.26016142,37.577248
1.346,21.2892825,37.702641
1.347,21.31845769,37.722061
1.348,21.34768717,37.849624
1.349,21.37697113,37.84935
1.35,21.40630975,37.933636
1.351,21.43570322,38.241687
1.352,21.46515171,38.010105
1.353,21.49465542,38.222507
1.354,21.52421454,38.145214
1.355,21.55382924,38.196068
1.356,21.58349972,38.192268
1.357,21.61322616,38.341259
1.358,21.64300876,38.511563
1.359,21.6728477,38.433308
1.36,21.70274318,38.577698
1.361,21.73269539,38.692715
1.362,21.76270451,38.751576
1.363,21.79277074,38.775154
1.364,21.82289427,38.911755
1.365,21.8530753,38.89664
1.366,21.88331402,38.875614
1.367,21.91361063,38.869983
1.368,21.94396532,38.965389
1.369,21.97437829,38.99358
1.37,22.00484973,39.153199
1.371,22.03537985,39.198379
1.372,22.06596884,39.246246
1.373,22.0966169,39.091202
1.374,22.12732423,39.353157
1.375,22.15809103,39.441715
1.376,22.18891751,39.378403
1.377,22.21980386,39.621861
1.378,22.25075029,39.477218
1.379,22.281757,39.57637
1.38,22.3128242,39.660343
1.381,22.34395208,39.616451
1.382,22.37514086,39.923713
1.383,22.40639075,39.801315
1.384,22.43770194,39.763572
1.385,22.46907464,40.016213
1.386,22.50050908,39.98507
1.387,22.53200544,40.130764
1.388,22.56356395,40.043549
1.389,22.59518481,40.363518
1.39,22.62686823,40.290604
1.391,22.65861444,40.562908
1.392,22.69042363,40.530956
1.393,22.72229602,40.35181
1.394,22.75423183,40.410854
1.395,22.78623127,40.480877
1.396,22.81829455,40.649326
1.397,22.8504219,40.684848
1.398,22.88261353,40.796761
1.399,22.91486966,40.569656
1.4,22.9471905,40.62817
1.401,22.97957627,40.727913
1.402,23.0120272,41.00534
1.403,23.04454351,40.915032
1.404,23.07712541,41.109264
1.405,23.10977313,41.132423
1.406,23.14248688,41.245079
1.407,23.17526691,41.208035
1.408,23.20811342,41.155056
1.409,23.24102665,41.284401
1.41,23.27400681,41.340591
1.411,23.30705414,41.641001
1.412,23.34016886,41.586511
1.413,23.37335121,41.740188
1.414,23.4066014,41.61259
1.415,23.43991967,41.847139
1.416,23.47330625,41.939495
1.417,23.50676137,41.919401
1.418,23.54028526,41.953873
1.419,23.57387816,41.88736
1.42,23.60754029,42.196833
1.421,23.64127189,42.126923
1.422,23.6750732,41.922285
1.423,23.70894445,42.131333
1.424,23.74288588,42.157481
1.425,23.77689772,42.521501
1.426,23.81098021,42.474215
1.427,23.84513359,42.58868
1.428,23.8793581,42.60038
1.429,23.91365398,42.464574
1.43,23.94802148,42.525795
1.431,23.98246082,42.609723
1.432,24.01697225,42.717346
1.433,24.05155603,42.875455
1.434,24.08621238,42.830531
1.435,24.12094156,42.980437
1.436,24.1557438,43.038709
1.437,24.19061937,43.161003
1.438,24.22556849,43.215762
1.439,24.26059143,43.091126
1.44,24.29568843,43.337716
1.441,24.33085973,43.373024
1.442,24.3661056,43.379256
1.443,24.40142627,43.517906
1.444,24.436822,43.6394
1.445,24.47229304,43.525031
1.446,24.50783965,43.6081
1.447,24.54346208,43.877442
1.448,24.57916058,43.595893
1.449,24.61493541,43.84094
1.45,24.65078683,43.999126
1.451,24.68671508,43.915562
1.452,24.72272044,43.934097
1.453,24.75880315,44.211129
1.454,24.79496348,44.244832
1.455,24.83120169,44.248845
1.456,24.86751804,44.067323
1.457,24.90391278,44.379707
1.458,24.94038618,44.377145
1.459,24.97693851,44.480627
1.46,25.01357003,44.414364
1.461,25.05028099,44.568823
1.462,25.08707168,44.584613
1.463,25.12394235,44.641309
1.464,25.16089327,44.742549
1.465,25.19792471,44.906546
1.466,25.23503693,44.912452
1.467,25.27223021,44.897941
1.468,25.30950482,45.127005
1.469,25.34686102,45.052432
1.47,25.38429909,45.272574
1.471,25.42181931,45.292561
1.472,25.45942193,45.605185
1.473,25.49710724,45.543911
1.474,25.53487551,45.363487
1.475,25.57272702,45.428803
1.476,25.61066205,45.581384
1.477,25.64868086,45.683196
1.478,25.68678374,45.857649
1.479,25.72497097,45.820172
1.48,25.76324282,45.690124
1.481,25.80159957,45.820009
1.482,25.84004152,46.056225
1.483,25.87856892,45.914927
1.484,25.91718208,46.068306
1.485,25.95588127,46.137776
1.486,25.99466678,46.240705
1.487,26.03353889,46.376771
1.488,26.07249788,46.354191
1.489,26.11154405,46.529484
1.49,26.15067767,46.477311
1.491,26.18989904,46.54137
1.492,26.22920845,46.665955
1.493,26.26860617,46.864679
1.494,26.30809251,46.57465
1.495,26.34766776,46.674022
1.496,26.3873322,46.910401
1.497,26.42708612,46.777114
1.498,26.46692983,47.033587
1.499,26.50686361,47.294739
1.5,26.54688775,47.011446
1.501,26.58700256,47.394865
1.502,26.62720832,47.469284
1.503,26.66750534,47.335375
1.504,26.70789391,47.713443
1.505,26.74837433,47.542086
1.506,26.7889469,47.539055
1.507,26.82961192,47.729083
1.508,26.87036968,47.737263
1.509,26.91122049,47.783952
1.51,26.95216465,48.077914
1.511,26.99320246,47.93317
1.512,27.03433422,48.063802
1.513,27.07556025,48.04868
1.514,27.11688083,48.188465
1.515,27.15829629,48.300612
1.516,27.19980691,48.25922
1.517,27.24141302,48.332544
1.518,27.28311491,48.54016
1.519,27.3249129,48.572968
1.52,27.36680728,48.544309
1.521,27.40879838,48.634618
1.522,27.45088651,48.687453
1.523,27.49307196,48.67409
1.524,27.53535506,48.908497
