Freq(Hz),S11 Log Mag(dB),S21 Log Mag(dB),S11 Phase(°),S21 Phase
2090000000,-6.3768787,-6.837512,-28.173109,179.05176
2091000000,-6.4291921,-6.716773,-27.859964,179.60474
2092000000,-6.4195023,-6.5576267,-27.623924,179.91112
2093000000,-6.4127464,-6.4089651,-27.316544,-179.91862
2094000000,-6.36798,-6.2652912,-27.117496,-179.78983
2095000000,-6.3415289,-6.093246,-26.971579,179.95798
2096000000,-6.2482514,-5.9208894,-26.97316,179.46953
2097000000,-6.2204843,-5.7726755,-27.170938,179.13354
2098000000,-6.1645637,-5.6603889,-27.618856,178.25015
2099000000,-6.0837536,-5.49401,-27.807421,177.37344
2100000000,-6.0946646,-5.3917117,-28.415031,176.19449
2101000000,-6.0713148,-5.3215327,-28.901133,174.98018
2102000000,-6.1052299,-5.3035092,-29.306559,173.65463
2103000000,-6.1354451,-5.274497,-29.614622,172.24815
2104000000,-6.1922593,-5.3247395,-30.002552,170.90282
2105000000,-6.2375069,-5.4025049,-29.973862,169.73512
2106000000,-6.3007717,-5.4786696,-30.117435,168.47102
2107000000,-6.3251514,-5.5928063,-29.986744,167.46451
2108000000,-6.384119,-5.7238526,-29.845684,166.66541
2109000000,-6.3899217,-5.877614,-29.651661,165.94612
2110000000,-6.3900123,-6.0458531,-29.340584,165.5162
2111000000,-6.364285,-6.1797099,-29.174286,165.43369
2112000000,-6.3505874,-6.3565001,-29.090401,165.21542
2113000000,-6.3125973,-6.5089455,-28.932156,165.20726
2114000000,-6.2368035,-6.6233277,-28.919708,165.5423
2115000000,-6.2116642,-6.7724676,-29.018858,165.88666
2116000000,-6.1682076,-6.9198637,-29.121355,166.49249
2117000000,-6.1487341,-7.0035024,-29.319553,167.05222
2118000000,-6.0978765,-7.0691934,-29.582031,167.94206
2119000000,-6.0826883,-7.1202021,-29.941818,168.7711
2120000000,-6.0612864,-7.1324887,-30.397446,169.73209
2121000000,-6.0713339,-7.0967484,-30.664968,170.60017
2122000000,-6.0826273,-7.0827808,-31.039194,171.34094
2123000000,-6.109128,-6.9843631,-31.377384,172.21178
2124000000,-6.1336298,-6.8274169,-31.500078,172.77061
2125000000,-6.1691928,-6.7053199,-31.641508,173.27118
2126000000,-6.1970325,-6.5766325,-31.744074,173.61111
2127000000,-6.234364,-6.4267268,-31.6544,173.63771
2128000000,-6.2571788,-6.2564826,-31.625269,173.54536
2129000000,-6.2661142,-6.0853486,-31.531349,173.31836
2130000000,-6.240941,-5.9180984,-31.309416,172.87782
2131000000,-6.2185493,-5.7635508,-31.237043,171.89467
2132000000,-6.1671214,-5.6505184,-30.978037,171.21259
2133000000,-6.15482,-5.5211487,-31.104511,170.07487
2134000000,-6.0842791,-5.4583759,-31.33222,168.8521
2135000000,-6.0420814,-5.4085765,-31.560837,167.54272
2136000000,-6.0080581,-5.3753448,-32.135548,166.11021
2137000000,-5.9870667,-5.3977551,-32.522934,164.73726
2138000000,-5.9833989,-5.4615507,-32.936127,163.62509
2139000000,-6.0277576,-5.5350633,-33.362377,162.37807
2140000000,-6.0809107,-5.6907806,-33.675304,161.34016
2141000000,-6.1134243,-5.8018527,-33.975052,160.32153
2142000000,-6.1479759,-5.9321294,-34.148647,159.54558
2143000000,-6.2161965,-6.0895171,-34.192451,159.02898
2144000000,-6.2425752,-6.2736006,-33.994381,158.84654
2145000000,-6.2852473,-6.4432578,-33.895699,158.76405
2146000000,-6.3071103,-6.5905733,-33.760525,158.57014
2147000000,-6.2952542,-6.7396231,-33.612591,158.93784
2148000000,-6.2811265,-6.8537397,-33.364357,159.2899
2149000000,-6.2579184,-7.0052032,-33.28299,159.68806
2150000000,-6.2400708,-7.0693674,-33.188107,160.4203
2151000000,-6.2025251,-7.182869,-33.144836,161.22441
2152000000,-6.165556,-7.2278481,-33.304321,162.05959
2153000000,-6.119669,-7.2207856,-33.372028,162.84499
2154000000,-6.0916677,-7.2006378,-33.720451,163.5844
2155000000,-6.0601258,-7.156209,-33.882626,164.35229
2156000000,-6.0362263,-7.0869389,-34.218555,164.98814
2157000000,-6.0340843,-6.9824481,-34.397648,165.8288
2158000000,-6.0245686,-6.8701739,-34.69418,166.43521
2159000000,-6.0498385,-6.7398272,-34.97728,166.6846
2160000000,-6.0575762,-6.5763807,-35.268608,166.72665
2161000000,-6.0771918,-6.3929849,-35.604137,166.74579
2162000000,-6.1089087,-6.270493,-35.617565,166.3588
2163000000,-6.1299357,-6.1239738,-35.803791,165.76506
2164000000,-6.138536,-5.9837565,-35.717007,164.99294
2165000000,-6.156116,-5.8554325,-35.667465,164.48363
2166000000,-6.1548185,-5.7767396,-35.594788,163.38052
2167000000,-6.1508522,-5.6895924,-35.567127,162.1908
2168000000,-6.1026349,-5.6437535,-35.557247,160.97409
2169000000,-6.0909133,-5.63026,-35.620815,159.56354
2170000000,-6.0504484,-5.661098,-35.680344,158.45317
2171000000,-6.0361309,-5.6871085,-35.8592,157.23927
2172000000,-5.9978886,-5.7794757,-36.107624,156.22433
2173000000,-5.9753504,-5.8869824,-36.601124,154.92949
2174000000,-5.9689937,-6.0241542,-36.908398,154.13547
2175000000,-5.9888692,-6.1576529,-37.352722,153.19275
2176000000,-6.0118566,-6.3267751,-37.664173,152.82704
2177000000,-6.042438,-6.5083518,-37.920055,152.43593
2178000000,-6.0824771,-6.6654091,-37.955105,152.43387
2179000000,-6.1122732,-6.8134184,-38.216843,152.58908
2180000000,-6.1587391,-6.9772129,-38.252354,152.71568
2181000000,-6.1936164,-7.0903926,-38.264519,153.07744
2182000000,-6.2175326,-7.1851883,-38.146534,153.65141
2183000000,-6.2312574,-7.2811313,-37.984829,154.48705
2184000000,-6.2116699,-7.3663664,-37.817371,155.33006
2185000000,-6.2070618,-7.3805461,-37.728065,155.97537
2186000000,-6.1908617,-7.4037118,-37.665901,156.77411
2187000000,-6.1433425,-7.3725405,-37.636612,157.76785
2188000000,-6.1127906,-7.3386612,-37.732502,158.35941
2189000000,-6.0894318,-7.2513103,-37.72794,158.93593
2190000000,-6.0718899,-7.1581392,-38.083546,159.72253
2191000000,-6.0409017,-7.0459557,-38.344208,160.00356
2192000000,-6.0262437,-6.8769155,-38.548862,160.46152
2193000000,-6.0148764,-6.7515197,-38.807587,160.44978
2194000000,-6.0150862,-6.5826778,-39.18161,160.26656
2195000000,-6.0403547,-6.4418283,-39.425022,159.98026
2196000000,-6.0342784,-6.2672439,-39.670155,159.39917
2197000000,-6.0647416,-6.1520948,-39.796234,158.52802
2198000000,-6.0831723,-6.0432196,-39.840481,157.81264
2199000000,-6.0969787,-5.9758172,-40.052738,156.65628
2200000000,-6.1175947,-5.8983207,-40.0425,155.43167
2201000000,-6.1419773,-5.8489318,-39.95599,154.2574
2202000000,-6.1506648,-5.8805647,-39.904831,153.16707
2203000000,-6.1190248,-5.9172831,-39.896187,151.97533
2204000000,-6.1284957,-5.9650679,-40.002319,150.71037
2205000000,-6.0952473,-6.0383134,-39.988857,149.64542
2206000000,-6.0785975,-6.1964436,-40.121025,148.67491
2207000000,-6.0504255,-6.3131723,-40.343952,147.96002
2208000000,-6.0239773,-6.4536433,-40.578884,147.19254
2209000000,-5.9916158,-6.6486974,-40.770344,146.79333
2210000000,-5.979569,-6.7847199,-41.101479,146.51181
2211000000,-5.9961958,-6.9548888,-41.532604,146.61143
2212000000,-6.0117688,-7.1009645,-41.66473,146.67644
2213000000,-6.0494008,-7.2430806,-42.054867,147.03911
2214000000,-6.0657282,-7.377687,-42.166359,147.73242
2215000000,-6.072319,-7.4863496,-42.415131,148.41292
2216000000,-6.1409101,-7.5171628,-42.520069,148.97861
2217000000,-6.1433468,-7.6003351,-42.58242,149.88193
2218000000,-6.18154,-7.6010604,-42.533558,150.6288
2219000000,-6.1921535,-7.5953207,-42.330093,151.71642
2220000000,-6.2016497,-7.5348129,-42.43663,152.41447
2221000000,-6.1823444,-7.4706688,-42.267258,153.23137
2222000000,-6.1555734,-7.3679218,-42.272099,153.91998
2223000000,-6.1443563,-7.2407937,-42.148746,154.30003
2224000000,-6.1144223,-7.1068363,-42.342041,154.54639
2225000000,-6.0856199,-6.9565024,-42.603035,154.72331
2226000000,-6.0711737,-6.7864084,-42.816833,154.63615
2227000000,-6.0383282,-6.628932,-42.998665,154.29863
2228000000,-6.0347633,-6.4890537,-43.302444,153.88905
2229000000,-6.0250354,-6.3152266,-43.455929,153.17314
2230000000,-6.0469308,-6.1873927,-43.919319,152.17827
2231000000,-6.0451107,-6.1180191,-44.131939,151.09073
2232000000,-6.0795941,-6.0385513,-44.384884,149.76866
2233000000,-6.1170464,-5.9775152,-44.674854,148.70956
2234000000,-6.1615682,-5.984684,-44.596848,147.37968
2235000000,-6.1651616,-6.0243173,-44.628086,146.11829
2236000000,-6.1752524,-6.0596814,-44.612061,144.88332
2237000000,-6.188621,-6.1376939,-44.619057,143.83755
2238000000,-6.1827893,-6.250453,-44.497501,142.66643
2239000000,-6.178925,-6.4186144,-44.487129,141.61317
2240000000,-6.1515136,-6.513937,-44.482235,141.1057
2241000000,-6.142477,-6.7158618,-44.443665,140.53839
2242000000,-6.1254463,-6.8619089,-44.553471,140.22691
2243000000,-6.0735059,-7.0269341,-44.777016,140.10176
2244000000,-6.0749555,-7.2107582,-45.01033,140.09583
2245000000,-6.0530033,-7.3732786,-45.165028,140.42307
2246000000,-6.0158558,-7.5160313,-45.564075,140.97839
2247000000,-6.0288854,-7.6526232,-45.845341,141.54439
2248000000,-6.0249009,-7.7309761,-46.101704,142.4091
2249000000,-6.0290265,-7.7938566,-46.454556,143.2702
2250000000,-6.0509939,-7.8459883,-46.744492,144.1778
2251000000,-6.0786042,-7.8293433,-46.830025,145.08173
2252000000,-6.1148129,-7.7864056,-47.033237,145.96439
2253000000,-6.1190691,-7.73002,-47.163155,146.68761
2254000000,-6.1617727,-7.6187487,-47.209511,147.69252
2255000000,-6.1779056,-7.5060167,-47.255665,148.18152
2256000000,-6.1974907,-7.3790827,-47.197475,148.69354
2257000000,-6.2136459,-7.2086787,-47.048866,148.90543
2258000000,-6.1713958,-7.0181689,-47.13623,148.89919
2259000000,-6.1701012,-6.8481307,-47.124226,148.70599
