!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:28:26
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°)
1000000000,-6.0803132,-59.050762
1001000000,-6.081975,-58.999722
1002000000,-6.0823746,-58.906174
1003000000,-6.083322,-59.109966
1004000000,-6.0577722,-59.175686
1005000000,-6.1299753,-59.170147
1006000000,-6.0875311,-59.391762
1007000000,-6.0900817,-59.567398
1008000000,-6.0716038,-59.525291
1009000000,-6.0978217,-59.650684
1010000000,-6.0782437,-59.729614
1011000000,-6.1084962,-59.825382
1012000000,-6.1556325,-59.837566
1013000000,-6.0958195,-59.968002
1014000000,-6.1164384,-59.954494
1015000000,-6.1072249,-60.203434
1016000000,-6.0977945,-60.090168
1017000000,-6.1017203,-60.230152
1018000000,-6.1323071,-60.288563
1019000000,-6.1360512,-60.466328
1020000000,-6.1308694,-60.271576
1021000000,-6.1176391,-60.496719
1022000000,-6.1384573,-60.600212
1023000000,-6.1672297,-60.746727
1024000000,-6.1739788,-60.676231
1025000000,-6.1791677,-60.808334
1026000000,-6.1671886,-60.698254
1027000000,-6.1527462,-60.965191
1028000000,-6.1710911,-61.051338
1029000000,-6.1701899,-61.107716
1030000000,-6.1650395,-61.188229
1031000000,-6.1497884,-61.118084
1032000000,-6.2082343,-61.2752
1033000000,-6.1942787,-61.309246
1034000000,-6.2080626,-61.389038
1035000000,-6.2052994,-61.419678
1036000000,-6.1917605,-61.727287
1037000000,-6.2031446,-61.773289
1038000000,-6.1856456,-61.629086
1039000000,-6.2160244,-61.813717
1040000000,-6.1939182,-61.85461
1041000000,-6.2261291,-61.978046
1042000000,-6.2472796,-61.905434
1043000000,-6.1988082,-61.914867
1044000000,-6.2014947,-61.983921
1045000000,-6.2358036,-62.172714
1046000000,-6.2214627,-62.736694
1047000000,-6.2418451,-62.209785
1048000000,-6.2523718,-62.234375
1049000000,-6.2530184,-62.49477
1050000000,-6.2627668,-62.42437
1051000000,-6.2834358,-62.713036
1052000000,-6.2649398,-62.851517
1053000000,-6.285378,-62.827633
1054000000,-6.2623892,-62.914944
1055000000,-6.2717066,-62.755573
1056000000,-6.2500081,-62.925713
1057000000,-6.2795429,-63.122246
1058000000,-6.3123431,-63.0783
1059000000,-6.2992387,-63.40242
1060000000,-6.2919998,-63.422131
1061000000,-6.3344584,-63.412018
1062000000,-6.3109884,-63.511894
1063000000,-6.2893596,-63.640213
1064000000,-6.3331132,-63.751205
1065000000,-6.299788,-63.775192
1066000000,-6.3106418,-63.924767
1067000000,-6.3143148,-63.961773
1068000000,-6.3228636,-63.954014
1069000000,-6.3426299,-64.034332
1070000000,-6.3427186,-64.105583
1071000000,-6.3108931,-64.132011
1072000000,-6.3417253,-64.178421
1073000000,-6.3627534,-64.243126
1074000000,-6.351738,-64.290878
1075000000,-6.3850641,-64.640533
1076000000,-6.3728504,-64.648674
1077000000,-6.3874073,-64.707939
1078000000,-6.363028,-64.697769
1079000000,-6.3705134,-64.724892
1080000000,-6.3600473,-64.995186
1081000000,-6.3710427,-64.927414
1082000000,-6.38976,-65.13707
1083000000,-6.3983788,-65.152954
1084000000,-6.3703523,-65.106438
1085000000,-6.4015956,-65.220718
1086000000,-6.4241424,-65.429665
1087000000,-6.4012351,-65.266495
1088000000,-6.4309874,-65.590614
1089000000,-6.4318542,-65.74456
1090000000,-6.4155135,-65.688072
1091000000,-6.4386029,-65.547379
1092000000,-6.4280915,-65.907043
1093000000,-6.4509449,-65.903732
1094000000,-6.4639454,-65.866524
1095000000,-6.450242,-66.078499
1096000000,-6.4654012,-66.069031
1097000000,-6.4619031,-66.332466
1098000000,-6.4588108,-66.178375
1099000000,-6.4661012,-66.368515
1100000000,-6.4645929,-66.378555
1101000000,-6.4948173,-66.591461
1102000000,-6.4987688,-66.467926
1103000000,-6.5015993,-66.616562
1104000000,-6.4974236,-66.741882
1105000000,-6.5328922,-66.932571
1106000000,-6.5118752,-67.03994
1107000000,-6.5265865,-66.992874
1108000000,-6.5391603,-67.230042
1109000000,-6.4972472,-67.200417
1110000000,-6.541708,-67.212296
1111000000,-6.5656033,-67.156357
1112000000,-6.5409074,-67.470886
1113000000,-6.5517564,-67.325058
1114000000,-6.5754247,-67.451767
1115000000,-6.5497212,-67.417007
1116000000,-6.576335,-67.582115
1117000000,-6.5709376,-67.759026
1118000000,-6.5863857,-67.679939
1119000000,-6.5681491,-67.908188
