x,y1,y2,y3,,Frequency,S21_Z0lver,S21_HFSS,S21_Analytical
2,-1.204917684,-1.206710043,-1.05,,,,,
2.01,-1.204918356,-1.206256554,-1.05,,,,,
2.02,-1.204918356,-1.20581026,-1.05,,,,,
2.03,-1.204919701,-1.205371728,-1.05,,,,,
2.04,-1.204921045,-1.204941485,-1.05,,,,,
2.05,-1.204919028,-1.204520014,-1.05,,,,,
2.06,-1.204917684,-1.204107761,-1.05,,,,,
2.07,-1.204918356,-1.203705133,-1.05,,,,,
2.08,-1.204917011,-1.203312497,-1.05,,,,,
2.09,-1.204919028,-1.202930182,-1.05,,,,,
2.1,-1.204917684,-1.202558481,-1.05,,,,,
2.11,-1.204918356,-1.202197648,-1.05,,,,,
2.12,-1.204919028,-1.201847901,-1.05,,,,,
2.13,-1.204918356,-1.201509423,-1.05,,,,,
2.14,-1.204919028,-1.201182363,-1.05,,,,,
2.15,-1.204919028,-1.200866833,-1.05,,,,,
2.16,-1.204919028,-1.200562914,-1.05,,,,,
2.17,-1.204919701,-1.200270653,-1.05,,,,,
2.18,-1.204918356,-1.199990068,-1.05,,,,,
2.19,-1.204919701,-1.199721142,-1.05,,,,,
2.2,-1.204918356,-1.199463831,-1.05,,,,,
2.21,-1.204918356,-1.199218061,-1.05,,,,,
2.22,-1.204919701,-1.19898373,-1.05,,,,,
2.23,-1.204919701,-1.198760708,-1.05,,,,,
2.24,-1.204919701,-1.19854884,-1.05,,,,,
2.25,-1.204917684,-1.198347945,-1.05,,,,,
2.26,-1.204919028,-1.198157817,-1.05,,,,,
2.27,-1.204917684,-1.197978228,-1.05,,,,,
2.28,-1.204919701,-1.197808927,-1.05,,,,,
2.29,-1.204919028,-1.197649641,-1.05,,,,,
2.3,-1.204919701,-1.19750008,-1.05,,,,,
2.31,-1.204918356,-1.19735993,-1.05,,,,,
2.32,-1.204919701,-1.197228863,-1.05,,,,,
2.33,-1.204919028,-1.197106531,-1.05,,,,,
2.34,-1.204918356,-1.196992572,-1.05,,,,,
2.35,-1.204919701,-1.196886608,-1.05,,,,,
2.36,-1.204919028,-1.196788247,-1.05,,,,,
2.37,-1.204918356,-1.196697084,-1.05,,,,,
2.38,-1.204920373,-1.196612703,-1.05,,,,,
2.39,-1.204918356,-1.196534677,-1.05,,,,,
2.4,-1.204919028,-1.196462568,-1.05,,,,,
2.41,-1.204919028,-1.196395931,-1.05,,,,,
2.42,-1.204918356,-1.196334311,-1.05,,,,,
2.43,-1.204917684,-1.19627725,-1.05,,,,,
2.44,-1.204919028,-1.196224281,-1.05,,,,,
2.45,-1.204919701,-1.196174933,-1.05,,,,,
2.46,-1.204919028,-1.196128733,-1.05,,,,,
2.47,-1.204920373,-1.196085202,-1.05,,,,,
2.48,-1.204919028,-1.196043864,-1.05,,,,,
2.49,-1.204918356,-1.196004237,-1.05,,,,,
2.5,-1.204920373,-1.195965843,-1.05,,,,,
2.51,-1.204917684,-1.195928203,-1.05,,,,,
2.52,-1.204919028,-1.195890841,-1.05,,,,,
2.53,-1.204919701,-1.195853283,-1.05,,,,,
2.54,-1.204917684,-1.19581506,-1.05,,,,,
2.55,-1.204921045,-1.195775706,-1.05,,,,,
2.56,-1.204919028,-1.195734762,-1.05,,,,,
2.57,-1.204918356,-1.195691773,-1.05,,,,,
2.58,-1.204917011,-1.195646294,-1.05,,,,,
2.59,-1.204918356,-1.195597886,-1.05,,,,,
2.6,-1.204919028,-1.195546118,-1.05,,,,,
2.61,-1.204919028,-1.195490569,-1.05,,,,,
2.62,-1.204919028,-1.19543083,-1.05,,,,,
2.63,-1.204919028,-1.1953665,-1.05,,,,,
2.64,-1.204919701,-1.195297191,-1.05,,,,,
2.65,-1.204919028,-1.195222526,-1.05,,,,,
2.66,-1.204920373,-1.195142143,-1.05,,,,,
2.67,-1.204920373,-1.195055691,-1.05,,,,,
2.68,-1.204919028,-1.194962836,-1.05,,,,,
2.69,-1.204917684,-1.194863255,-1.05,,,,,
2.7,-1.204919028,-1.194756643,-1.05,,,,,
2.71,-1.204918356,-1.194642711,-1.05,,,,,
2.72,-1.204918356,-1.194521186,-1.05,,,,,
2.73,-1.204918356,-1.194391811,-1.05,,,,,
2.74,-1.204918356,-1.194254348,-1.05,,,,,
2.75,-1.204920373,-1.194108577,-1.05,,,,,
2.76,-1.204919028,-1.193954296,-1.05,,,,,
2.77,-1.204919028,-1.193791323,-1.05,,,,,
2.78,-1.204917684,-1.193619494,-1.05,,,,,
2.79,-1.204919701,-1.193438667,-1.05,,,,,
2.8,-1.204918356,-1.19324872,-1.05,,,,,
2.81,-1.204918356,-1.193049552,-1.05,,,,,
2.82,-1.204919028,-1.192841084,-1.05,,,,,
2.83,-1.204919701,-1.192623257,-1.05,,,,,
2.84,-1.204919701,-1.192396038,-1.05,,,,,
2.85,-1.204919028,-1.192159413,-1.05,,,,,
2.86,-1.204918356,-1.191913394,-1.05,,,,,
2.87,-1.204919028,-1.191658016,-1.05,,,,,
