Freq,HFSS,Milled,Measured
1,38.12365682,-134.16127,-108.62758
1.001,38.36578485,-134.51608,-109.13165
1.002,38.63538098,-135.5383,-109.58015
1.003,38.93483353,-134.65883,-109.29931
1.004,39.26680232,-135.15677,-109.82072
1.005,39.63425642,-135.55338,-110.11365
1.006,40.04051786,-135.56915,-110.30454
1.007,40.48931248,-135.71078,-110.67027
1.008,40.98482899,-136.19127,-110.89949
1.009,41.53178776,-136.21426,-111.39787
1.01,42.13552084,-136.37645,-111.48005
1.011,42.802065,-136.78482,-111.83723
1.012,43.53826975,-137.16454,-112.25063
1.013,44.35192227,-137.85612,-112.53913
1.014,45.25189115,-137.13358,-112.70734
1.015,46.24829025,-137.5419,-113.01479
1.016,47.35266329,-137.69894,-113.14615
1.017,48.57818739,-137.6936,-113.47855
1.018,49.93989077,-138.10049,-113.60558
1.019,51.45487375,-138.01657,-113.76846
1.02,53.14251289,-138.2829,-114.24958
1.021,55.0246131,-138.94925,-114.73692
1.022,57.12545044,-139.31929,-114.854
1.023,59.47161585,-139.23714,-115.17593
1.024,62.09152721,-139.54045,-115.47521
1.025,65.01442503,-139.6665,-115.73331
1.026,68.26861808,-139.9976,-115.90397
1.027,71.8787262,-139.85165,-116.07095
1.028,75.86173046,-140.30788,-116.35712
1.029,80.22186418,-140.17195,-116.55957
1.03,84.94483191,-140.3645,-116.91203
1.031,89.99251586,-141.05713,-117.32525
1.032,95.29999566,-140.89415,-117.71421
1.033,100.7768859,-140.97969,-117.53191
1.034,106.314158,-141.37845,-118.01242
1.035,111.7957256,-142.14154,-118.47115
1.036,117.1119841,-141.79419,-118.47408
1.037,122.1715527,-142.00508,-118.84543
1.038,126.9083354,-142.60641,-119.34894
1.039,131.2830834,-142.42563,-119.19241
1.04,135.2805636,-142.94479,-119.89816
1.041,138.9043237,-142.98416,-119.91233
1.042,142.1709032,-142.61066,-120.00502
1.043,145.1046802,-143.50392,-120.54179
1.044,147.7338685,-143.44356,-120.57496
1.045,150.0877108,-144.03398,-121.37671
1.046,152.1946867,-144.07672,-121.42507
1.047,154.0814799,-144.59222,-121.74574
1.048,155.7724726,-145.00763,-122.1399
1.049,157.2895779,-144.73927,-122.26518
1.05,158.6522756,-144.82082,-122.47697
1.051,159.8777615,-145.11165,-122.66797
1.052,160.9811496,-145.37801,-122.9311
1.053,161.9756934,-145.3262,-122.92137
1.054,162.8730035,-145.45686,-123.25133
1.055,163.6832523,-145.89766,-123.53216
1.056,164.4153594,-146.39853,-124.24137
1.057,165.0771561,-146.44469,-124.27178
1.058,165.6755302,-146.41588,-124.47401
1.059,166.2165518,-146.88911,-124.80189
1.06,166.7055819,-147.28024,-125.12221
1.061,167.147366,-147.45181,-125.34682
1.062,167.5461147,-147.87022,-125.80845
1.063,167.9055729,-148.13829,-126.10623
1.064,168.2290795,-148.50476,-126.38913
1.065,168.5196181,-148.63753,-126.8557
1.066,168.7798616,-148.56769,-126.87646
1.067,169.0122096,-148.3828,-127.03407
1.068,169.2188217,-149.43079,-127.53693
1.069,169.4016454,-149.34001,-127.71436
1.07,169.5624409,-149.56764,-128.37926
1.071,169.7028027,-149.78436,-128.21921
1.072,169.8241777,-149.80948,-128.52808
1.073,169.9278818,-150.26135,-128.86577
1.074,170.0151138,-150.34155,-128.7719
1.075,170.0869683,-150.60776,-129.04971
1.076,170.1444458,-150.68083,-129.62224
1.077,170.1884634,-151.31194,-129.75749
1.078,170.2198622,-151.15535,-130.06383
1.079,170.2394155,-151.54036,-130.38792
1.08,170.2478352,-151.42134,-130.549
1.081,170.2457775,-152.3008,-131.12001
1.082,170.2338487,-152.36964,-131.32515
1.083,170.212609,-152.56496,-131.6149
1.084,170.1825774,-152.60376,-131.63672
1.085,170.1442352,-153.10953,-131.92062
1.086,170.0980292,-153.09818,-132.2101
1.087,170.0443747,-153.14854,-132.20132
1.088,169.9836584,-153.73163,-132.88939
1.089,169.9162406,-153.61433,-132.93073
1.09,169.8424575,-153.60484,-132.88333
1.091,169.7626232,-154.34457,-133.64687
1.092,169.6770314,-154.46672,-134.10548
1.093,169.5859568,-154.86089,-134.26328
1.094,169.4896571,-154.49385,-134.26898
1.095,169.388374,-155.1978,-134.90886
1.096,169.2823342,-154.98415,-134.93187
1.097,169.1717511,-155.62126,-135.44516
1.098,169.0568252,-155.37793,-135.31204
1.099,168.9377453,-156.2296,-136.12592
1.1,168.8146894,-156.3351,-136.10358
1.101,168.6878255,-156.52835,-136.41457
1.102,168.5573119,-156.40027,-136.48631
1.103,168.4232984,-156.75363,-136.94653
1.104,168.2859264,-157.26945,-137.22823
1.105,168.14533,-157.63026,-137.75645
1.106,168.001636,-157.73431,-137.76176
1.107,167.8549644,-157.57462,-138.03325
1.108,167.7054294,-158.87128,-138.90222
1.109,167.553139,-158.19414,-138.75754
1.11,167.3981961,-158.95366,-139.18562
1.111,167.2406981,-158.7489,-138.82173
1.112,167.0807379,-159.31897,-139.71715
1.113,166.9184038,-159.39848,-139.82355
1.114,166.7537798,-159.38957,-139.85416
1.115,166.5869462,-159.79143,-140.40091
1.116,166.4179792,-159.72687,-140.5067
1.117,166.2469516,-160.12399,-140.71803
1.118,166.0739331,-159.92543,-140.82474
1.119,165.8989899,-160.62401,-141.34023
1.12,165.7221854,-160.74425,-141.6068
1.121,165.5435804,-161.16585,-141.78297
1.122,165.3632327,-161.08682,-141.97832
1.123,165.1811979,-161.50302,-142.34535
1.124,164.9975291,-162.02647,-142.92012
1.125,164.8122771,-161.75508,-142.76764
1.126,164.6254908,-162.04124,-143.12737
1.127,164.4372169,-162.60559,-143.66692
1.128,164.2475003,-162.98958,-143.89561
1.129,164.056384,-163.28549,-144.14905
1.13,163.8639093,-163.20631,-144.38051
1.131,163.6701161,-163.20555,-144.41635
1.132,163.4750424,-163.67834,-144.78568
1.133,163.2787249,-163.40096,-144.74104
1.134,163.081199,-164.0519,-145.37482
1.135,162.8824986,-164.11205,-145.46558
1.136,162.6826564,-164.07256,-145.70091
1.137,162.4817038,-164.73988,-146.19441
1.138,162.2796713,-165.11131,-146.47099
1.139,162.0765881,-165.15141,-146.80449
1.14,161.8724823,-165.10597,-146.88733
1.141,161.6673812,-165.44252,-147.2244
1.142,161.4613109,-165.8615,-147.49963
1.143,161.2542969,-166.14777,-148.0849
1.144,161.0463635,-166.37892,-148.11308
1.145,160.8375344,-166.12321,-147.98465
1.146,160.6278324,-166.83849,-148.72511
1.147,160.4172796,-167.20491,-149.34424
1.148,160.2058973,-167.23485,-149.28006
1.149,159.9937061,-167.47426,-149.35889
1.15,159.780726,-167.66042,-149.77518
1.151,159.5669764,-167.78284,-149.96028
