Freq,S11, S12,S21, S22
1,0.030319821,0.998914599,0.998914659,0.030319911
1.001,0.038961813,0.998613417,0.998613596,0.038961735
1.002,0.047505122,0.998241961,0.99824214,0.047505084
1.003,0.055933807,0.997804105,0.997804105,0.055933788
1.004,0.064232498,0.997303009,0.99730289,0.064232484
1.005,0.072384909,0.996743143,0.996743262,0.072384924
1.006,0.080375552,0.996129572,0.996129334,0.080375522
1.007,0.088189036,0.995467842,0.995467901,0.088188991
1.008,0.095809661,0.994762182,0.994761944,0.095809676
1.009,0.103222325,0.99401933,0.994018972,0.103222303
1.01,0.11041195,0.993245423,0.993245542,0.110411935
1.011,0.117363937,0.992447376,0.992447376,0.117363781
1.012,0.124063216,0.991631687,0.991631925,0.124063231
1.013,0.130495518,0.990804911,0.990804732,0.130495608
1.014,0.136647016,0.989974856,0.989974618,0.136647016
1.015,0.142503008,0.989147663,0.989147782,0.142502949
1.016,0.148050055,0.988332212,0.988332093,0.14805001
1.017,0.153274402,0.987534761,0.987534761,0.153274447
1.018,0.158162594,0.98676312,0.986763179,0.158162445
1.019,0.162700981,0.986023784,0.986023903,0.16270113
1.02,0.166876584,0.98532474,0.985324681,0.166876718
1.021,0.170676157,0.984672666,0.984672904,0.170676246
1.022,0.174086586,0.984074593,0.984074414,0.174086645
1.023,0.177094668,0.98353672,0.98353684,0.177094594
1.024,0.179687083,0.983065128,0.98306483,0.179687068
1.025,0.181850836,0.982665598,0.982665718,0.181850776
1.026,0.183572546,0.982343674,0.982343853,0.183572605
1.027,0.184838921,0.98210454,0.982104421,0.184838936
1.028,0.185636267,0.981952429,0.981952488,0.185636193
1.029,0.185951084,0.981890559,0.98189038,0.185951054
1.03,0.185768977,0.981922448,0.981922329,0.185768813
1.031,0.185076237,0.982050777,0.982050657,0.185076192
1.032,0.183857977,0.982276976,0.982277274,0.183858007
1.033,0.182099775,0.982601464,0.982601404,0.182099789
1.034,0.179786429,0.983023763,0.983023703,0.179786354
1.035,0.176902816,0.983543217,0.983543038,0.17690298
1.036,0.173433512,0.984157026,0.984156966,0.173433438
1.037,0.169362798,0.984861493,0.984861493,0.169362813
1.038,0.164674401,0.985651434,0.985651612,0.164674297
1.039,0.15935275,0.986521006,0.986521065,0.159352616
1.04,0.153381333,0.987461746,0.987461925,0.153381333
1.041,0.146744624,0.988464117,0.988464057,0.146744475
1.042,0.139426038,0.989517391,0.989517331,0.139426142
1.043,0.131410927,0.990607083,0.990607023,0.131410986
1.044,0.12268392,0.991719365,0.991719246,0.122684002
1.045,0.113230802,0.992836475,0.992836297,0.113230877
1.046,0.103038162,0.993938148,0.99393785,0.103038214
1.047,0.092094109,0.995004654,0.995004654,0.092094235
1.048,0.080387995,0.996011078,0.996011019,0.080387875
1.049,0.067910507,0.996931315,0.996931315,0.067910612
1.05,0.054656386,0.99773711,0.997737229,0.054656405
1.051,0.040621128,0.998398423,0.998398662,0.040621162
1.052,0.02580452,0.998882413,0.998882294,0.02580449
1.053,0.010209625,0.999154687,0.999154985,0.010209588
1.054,0.006160536,0.999178708,0.999178946,0.006160565
1.055,0.023286959,0.998916984,0.998916686,0.023287199
1.056,0.041158341,0.998330355,0.998330474,0.041158471
1.057,0.059752744,0.997381628,0.997381628,0.059752792
1.058,0.079042606,0.996029139,0.996029139,0.079042472
1.059,0.098993957,0.994235575,0.994235635,0.098993853
1.06,0.119568184,0.99196291,0.991962969,0.11956837
1.061,0.140719354,0.989174902,0.989174724,0.140719548
1.062,0.162395537,0.985840678,0.98584044,0.162395507
1.063,0.184538811,0.981928408,0.981928468,0.184538737
1.064,0.207086265,0.977415264,0.977415562,0.207086369
1.065,0.229967699,0.972278774,0.972279072,0.22996752
1.066,0.253110707,0.966506362,0.966506124,0.253110707
1.067,0.276438236,0.960089088,0.960089088,0.276438296
1.068,0.299871057,0.953026176,0.953026176,0.299870908
1.069,0.32332626,0.945322037,0.945321798,0.323326051
1.07,0.346723229,0.936990976,0.936991215,0.346722961
1.071,0.369978458,0.928052485,0.928052425,0.369978398
1.072,0.393014818,0.918532968,0.918533027,0.39301455
1.073,0.415754437,0.908466816,0.908467054,0.415754229
