Freq,S11, S12,S21, S22
1,0.005013512,0.998901546,0.998901606,0.005013586
1.001,0.00500508,0.998901069,0.99890101,0.005005135
1.002,0.004992738,0.998900652,0.998900533,0.004992697
1.003,0.004976617,0.998899877,0.998900175,0.00497663
1.004,0.004956793,0.998900235,0.998900294,0.004956768
1.005,0.004932638,0.998899698,0.9988994,0.004932642
1.006,0.004904138,0.998898804,0.998898864,0.004904172
1.007,0.004871259,0.998898745,0.998898745,0.004871202
1.008,0.004833867,0.99889797,0.998898208,0.004833893
1.009,0.004791656,0.998897672,0.998897672,0.004791644
1.01,0.004744683,0.998897612,0.998897672,0.004744682
1.011,0.004692453,0.998896897,0.998897016,0.004692482
1.012,0.004634956,0.99889648,0.99889636,0.004635091
1.013,0.004572109,0.998896003,0.998896122,0.004572179
1.014,0.004503589,0.998895824,0.998896182,0.004503493
1.015,0.004429308,0.998895109,0.998895109,0.004429194
1.016,0.004348881,0.99889493,0.998894811,0.004348856
1.017,0.004262446,0.998894572,0.998894513,0.004262506
1.018,0.004169405,0.998894393,0.998894513,0.004169454
1.019,0.004069937,0.998893797,0.998893738,0.004069978
1.02,0.003963599,0.998893559,0.998893261,0.003963563
1.021,0.003850382,0.998893142,0.998892963,0.003850327
1.022,0.003729833,0.998892784,0.998892665,0.003729727
1.023,0.003601769,0.998892069,0.998892069,0.003601809
1.024,0.003466343,0.99889189,0.998891771,0.003466305
1.025,0.003322614,0.998891354,0.998891175,0.003322827
1.026,0.003171171,0.998891115,0.998890758,0.003171324
1.027,0.003011404,0.998889923,0.99889046,0.003011188
1.028,0.002843164,0.998889864,0.998889804,0.002843165
1.029,0.002666163,0.998889267,0.998889327,0.002666156
1.03,0.002480669,0.99888885,0.998889029,0.002480688
1.031,0.002286014,0.998888373,0.998888314,0.002286081
1.032,0.002082889,0.998887718,0.998887599,0.002082806
1.033,0.001870859,0.998887003,0.998886943,0.001870837
1.034,0.001650621,0.998886347,0.998886347,0.001650481
1.035,0.001422923,0.998885274,0.998885393,0.001422987
1.036,0.001190138,0.998884559,0.998884559,0.001190144
1.037,0.000956676,0.998883784,0.998883545,0.000956717
1.038,0.000734524,0.998882949,0.998882771,0.00073447
1.039,0.000554939,0.998881638,0.998881698,0.000555
1.04,0.000491533,0.998880446,0.998880506,0.000491267
1.041,0.000602591,0.998878777,0.998879015,0.000602489
1.042,0.000834685,0.998877585,0.998877347,0.000834728
1.043,0.001126477,0.998875678,0.998875678,0.00112638
1.044,0.001451948,0.998874188,0.998874247,0.001452124
1.045,0.0018014,0.998872221,0.99887228,0.00180172
1.046,0.002171447,0.998870313,0.998870313,0.002171402
1.047,0.002559578,0.998867512,0.998867571,0.002559466
1.048,0.00296497,0.998865247,0.998865008,0.002964931
1.049,0.003387891,0.998861909,0.998861849,0.003387831
1.05,0.003828232,0.99885869,0.99885875,0.003828148
1.051,0.004285791,0.998855352,0.99885571,0.00428579
1.052,0.004761571,0.998851597,0.998851717,0.004761737
1.053,0.005255282,0.998847604,0.998847544,0.005255191
1.054,0.005767467,0.998843133,0.998843133,0.00576767
1.055,0.006298756,0.998838127,0.998838365,0.006298641
