Freq,S11, S12,S21, S22
1.056,0.006849081,0.99883306,0.998832882,0.00684917
1.057,0.007419357,0.998827279,0.998827279,0.007419406
1.058,0.008010173,0.998820305,0.998820365,0.008009882
1.059,0.008621277,0.99881345,0.998813391,0.00862138
1.06,0.009254051,0.998806179,0.998806,0.009254149
1.061,0.009908419,0.998797774,0.998797655,0.009908491
1.062,0.010585371,0.998788834,0.998788834,0.010585247
1.063,0.011284901,0.998778701,0.998779237,0.011285219
1.064,0.012008561,0.998768568,0.998768687,0.012008642
1.065,0.012755969,0.998757362,0.998757482,0.012755712
1.066,0.013527945,0.998744786,0.998744905,0.013528046
1.067,0.014325304,0.998731554,0.998731554,0.01432535
1.068,0.015148776,0.99871701,0.998717189,0.015148792
1.069,0.0159986,0.998701572,0.998701394,0.015998652
1.07,0.016875949,0.998684704,0.998684466,0.016875632
1.071,0.017780898,0.998666227,0.998666167,0.017780965
1.072,0.018714465,0.998647094,0.998647034,0.018714482
1.073,0.019677512,0.998626113,0.998625696,0.01967746
1.074,0.020670319,0.998603225,0.998602986,0.020670291
1.075,0.021694012,0.998578608,0.998578847,0.021693971
1.076,0.022749219,0.99855274,0.998552859,0.02274913
1.077,0.023836343,0.998524487,0.998524189,0.023836376
1.078,0.024956882,0.998494148,0.998494268,0.024957012
1.079,0.026111351,0.998461723,0.998461723,0.026111487
1.08,0.027300289,0.998426914,0.998426795,0.027300458
1.081,0.028525004,0.998389602,0.998390079,0.02852501
1.082,0.02978571,0.998349607,0.998349667,0.029785767
1.083,0.031083738,0.998307049,0.99830699,0.031083982
1.084,0.032419734,0.998260796,0.998260915,0.032419808
1.085,0.033794958,0.99821198,0.998212159,0.03379488
1.086,0.035210088,0.998159468,0.998159587,0.035210047
1.087,0.036665924,0.998103857,0.998103678,0.036665887
1.088,0.038163684,0.998044074,0.998043895,0.038163684
1.089,0.039704081,0.997980416,0.997980475,0.039704204
1.09,0.041288313,0.99791193,0.997912228,0.04128864
1.091,0.042917766,0.997839868,0.99783963,0.042917714
1.092,0.044592623,0.997762442,0.997762501,0.044592343
1.093,0.046314582,0.997680187,0.997680247,0.046314638
1.094,0.048084494,0.997592092,0.997592211,0.048084378
1.095,0.049903281,0.997498512,0.997498691,0.04990346
1.096,0.051772699,0.997398973,0.997399211,0.051772729
1.097,0.053693462,0.997293651,0.997293711,0.053693228
1.098,0.055666536,0.997180581,0.997180641,0.055666469
1.099,0.057693485,0.997060776,0.997060716,0.057693519
1.1,0.059775274,0.996933818,0.996933699,0.059775423
1.101,0.06191349,0.996798515,0.996798456,0.061913554
1.102,0.064108871,0.996654213,0.99665457,0.064109005
1.103,0.066362903,0.996502638,0.99650234,0.066363134
1.104,0.068677127,0.996340334,0.996340334,0.068677239
1.105,0.071052827,0.99616909,0.996168852,0.071052909
1.106,0.073490776,0.995986402,0.995986581,0.073490992
1.107,0.075993434,0.995793521,0.995793521,0.075993389
1.108,0.078560963,0.99558866,0.99558872,0.078561008
1.109,0.081195034,0.995371699,0.995371759,0.081195027
1.11,0.083897933,0.995142281,0.995142162,0.083897792
1.111,0.086670391,0.994898439,0.994898617,0.086670443
1.112,0.089513928,0.994640946,0.994641006,0.089513898
1.113,0.092430256,0.994367957,0.994367778,0.092430115
1.114,0.095420718,0.994079471,0.994079351,0.09542077
1.115,0.098486781,0.993774176,0.993774355,0.09848696
1.116,0.101630084,0.99345094,0.993451178,0.101630285
1.117,0.104852371,0.993109882,0.993109942,0.104852647
1.118,0.108155191,0.992749035,0.992749095,0.108155064
1.119,0.111539848,0.992368102,0.992367923,0.111540027
1.12,0.115008086,0.991965294,0.991965413,0.115008093
1.121,0.118561611,0.991539836,0.991539776,0.118561834
1.122,0.122202262,0.991090715,0.991090596,0.122202344
1.123,0.125931099,0.990616739,0.990616798,0.125931114
1.124,0.129750326,0.990116835,0.990116477,0.129750371
1.125,0.133661404,0.989589036,0.989589036,0.133661524
1.126,0.137666091,0.989032567,0.989032149,0.137665987
1.127,0.141766354,0.98844558,0.98844558,0.14176628
1.128,0.145962954,0.987827361,0.987827539,0.14596276
1.129,0.15025796,0.987175345,0.987175584,0.150258035
1.13,0.154653639,0.986488462,0.98648876,0.154653549
1.131,0.159151167,0.985765338,0.985765398,0.159151152
1.132,0.163752481,0.98500365,0.985003889,0.163752392
1.133,0.168459013,0.984201491,0.984201431,0.168458998
1.134,0.173272118,0.983357787,0.983357847,0.17327185
1.135,0.178193435,0.982469857,0.982469797,0.178193718
1.136,0.18322444,0.981535673,0.981535554,0.183224767
1.137,0.188367859,0.980553448,0.980553627,0.188367739
1.138,0.193623766,0.979521155,0.979521096,0.19362396
1.139,0.198994398,0.978436112,0.978436232,0.198994681
1.14,0.204481065,0.977295935,0.977295995,0.204481274
1.141,0.210084543,0.976098537,0.976098359,0.210084483
1.142,0.215806916,0.97484076,0.974840879,0.215806946
1.143,0.221649572,0.973520935,0.973520756,0.221649393
1.144,0.227612183,0.972136021,0.972136259,0.227612361
1.145,0.233697504,0.970682859,0.970682561,0.233697757
1.146,0.239905596,0.969158948,0.969159007,0.23990567
1.147,0.246237785,0.967561543,0.967561841,0.246238083
1.148,0.252695203,0.965887606,0.965887666,0.252695113
1.149,0.259277493,0.964133441,0.964133501,0.259277225
1.15,0.265986472,0.962296605,0.962296605,0.265986323
1.151,0.27282095,0.960373461,0.960373461,0.272821009
1.152,0.279782772,0.958360791,0.958360612,0.279782832
1.153,0.286871702,0.956255794,0.956255674,0.286871821
1.154,0.29408735,0.954054177,0.954054177,0.29408738
1.155,0.301429808,0.951752543,0.951752424,0.301429898
1.156,0.30889833,0.949348331,0.949348211,0.30889827
1.157,0.31649375,0.946837187,0.946836948,0.31649375
1.158,0.324213356,0.94421494,0.944215059,0.324213237
1.159,0.332057178,0.941479027,0.941479147,0.332057178
1.16,0.340024382,0.938625932,0.938625932,0.340024144
1.161,0.348112792,0.935650289,0.935650408,0.348112732
1.162,0.35632062,0.932550669,0.932550728,0.356320888
1.163,0.364647567,0.929322124,0.929321885,0.364647329
1.164,0.373089969,0.925961018,0.925960958,0.373090118
1.165,0.381645769,0.922464132,0.922463894,0.381646007
1.166,0.390312195,0.918826938,0.918826997,0.390312374
1.167,0.399086952,0.915047586,0.915047765,0.399086595
1.168,0.407965213,0.911121965,0.911122024,0.407965303
1.169,0.416944772,0.90704602,0.907045901,0.416944832
1.17,0.426021397,0.902817786,0.902817607,0.426021487
1.171,0.435190976,0.898432732,0.898432612,0.435191304
1.172,0.444449216,0.893890023,0.893889964,0.444449216
1.173,0.453790575,0.889184952,0.889184892,0.453790486
1.174,0.463210285,0.884315968,0.884315968,0.463209987
1.175,0.472703278,0.879280806,0.879280806,0.472703278
1.176,0.482263237,0.874076843,0.874076724,0.482263207
1.177,0.491884738,0.868702769,0.86870271,0.491884917
1.178,0.501561463,0.863156378,0.863156378,0.501561701
1.179,0.511286974,0.85743767,0.857437611,0.511286736
1.18,0.521053791,0.851543903,0.851544023,0.521053731
1.181,0.530855358,0.845475614,0.845475853,0.530855358
1.182,0.540684164,0.839232445,0.839232385,0.540683985
1.183,0.550533533,0.832813919,0.832814157,0.550533533
1.184,0.560393572,0.826221228,0.826221049,0.560393572
1.185,0.570259869,0.819454253,0.819454193,0.570259631
1.186,0.580120266,0.812514603,0.812514782,0.580120504
1.187,0.589970708,0.805404842,0.805404782,0.589970827
1.188,0.599799633,0.798124909,0.798124611,0.59980017
1.189,0.609601736,0.790679216,0.790679514,0.609601259
1.19,0.619365573,0.783069789,0.78306973,0.619366109
1.191,0.629085243,0.775300622,0.775300384,0.629085362
1.192,0.63875109,0.767374516,0.767374456,0.638751209
1.193,0.648355365,0.759296,0.75929606,0.648355901
1.194,0.657890618,0.751069665,0.751069725,0.657890439
1.195,0.667347074,0.742700458,0.742700279,0.667346954
1.196,0.676718235,0.734193981,0.734193862,0.676718116
1.197,0.685995638,0.725555122,0.725555182,0.685995877
1.198,0.695172191,0.716791451,0.716791332,0.69517237
1.199,0.704241037,0.707907856,0.707907915,0.704240859
1.2,0.713194668,0.698911846,0.698912084,0.713194668
1.201,0.722026408,0.689810813,0.689811051,0.72202605
1.202,0.730728746,0.680610359,0.680610061,0.730729044
1.203,0.739298105,0.671319962,0.671320021,0.739298344
1.204,0.747727335,0.661946058,0.661946178,0.747727096
1.205,0.756011665,0.652497232,0.652497053,0.756011546
1.206,0.764145792,0.642980635,0.642980576,0.764145792
1.207,0.772125244,0.633405328,0.633405328,0.772125721
1.208,0.779946327,0.623778999,0.623778999,0.779946208
1.209,0.787604749,0.614110053,0.614109933,0.787605047
1.21,0.79509896,0.604407013,0.604406893,0.795098662
1.211,0.802424312,0.594677508,0.594677568,0.802423775
1.212,0.809579015,0.584930062,0.584930003,0.809579074
1.213,0.816560924,0.575173199,0.575173199,0.816560626
1.214,0.823369443,0.56541425,0.56541419,0.823369145
1.215,0.830002129,0.555661678,0.555661559,0.830002248
1.216,0.836459339,0.545923054,0.545922816,0.836459518
1.217,0.842740536,0.536204875,0.536204755,0.842740059
1.218,0.848844588,0.52651602,0.52651608,0.848844767
1.219,0.854773819,0.516863287,0.516863108,0.854773521
1.22,0.860527396,0.507253766,0.507253647,0.860527635
1.221,0.86610657,0.497692645,0.497692555,0.866106749
1.222,0.871513665,0.488188446,0.488188118,0.87151438
1.223,0.876750112,0.478745818,0.478745908,0.876749516
1.224,0.881816447,0.46937114,0.46937117,0.881816149
1.225,0.88671571,0.460070044,0.460069984,0.886716306
1.226,0.89145118,0.450847149,0.450847268,0.891451001
1.227,0.896024942,0.441708058,0.441708356,0.896024525
1.228,0.900437951,0.432658017,0.432657987,0.900437594
1.229,0.90469569,0.423699856,0.423699886,0.904695511
1.23,0.908799529,0.414838821,0.414838791,0.90879941
1.231,0.912752748,0.406077534,0.406077534,0.912753582
1.232,0.916560292,0.397420496,0.397420436,0.916560173
1.233,0.92022413,0.388870418,0.388870299,0.920223773
1.234,0.923748255,0.380430192,0.380430132,0.923748016
1.235,0.927135289,0.372102499,0.37210235,0.927135408
1.236,0.930389166,0.363889217,0.363889039,0.930389762
1.237,0.93351543,0.355793387,0.355793119,0.933515668
1.238,0.93651557,0.347815156,0.347815394,0.93651551
1.239,0.939393461,0.33995831,0.33995834,0.939393759
1.24,0.942154348,0.332222432,0.332222283,0.942154229
1.241,0.944799721,0.324608952,0.324609131,0.944799185
1.242,0.947334111,0.31711939,0.317119479,0.947333634
1.243,0.949761331,0.309753567,0.309753686,0.949761272
1.244,0.95208472,0.302512646,0.302512735,0.95208472
1.245,0.954308689,0.295396864,0.295396924,0.95430851
1.246,0.956435084,0.288405776,0.288405776,0.956435144
1.247,0.958467722,0.281540006,0.281539947,0.958467841
1.248,0.960411131,0.274798721,0.274798781,0.960411072
1.249,0.962267041,0.268182129,0.268182159,0.962266922
1.25,0.964040577,0.261689752,0.261689723,0.964040339
1.251,0.965732396,0.255320609,0.255320519,0.965732217
1.252,0.967347562,0.249074191,0.249074191,0.967347682
1.253,0.968887866,0.242949635,0.24294968,0.968888223
1.254,0.97035706,0.236946225,0.23694624,0.97035706
1.255,0.971757233,0.231062442,0.231062561,0.971757174
1.256,0.973091722,0.225298092,0.225297988,0.973092139
1.257,0.974363148,0.21965088,0.219650954,0.97436291
1.258,0.975573421,0.214120254,0.214120179,0.975573659
1.259,0.976725996,0.208705023,0.208705023,0.976726055
1.26,0.977822304,0.203403115,0.20340313,0.977822244
1.261,0.978865326,0.198214084,0.198214084,0.978865206
1.262,0.979856849,0.193135545,0.193135485,0.979857087
1.263,0.980799675,0.188166633,0.188166603,0.980799675
1.264,0.981695473,0.183305621,0.183305636,0.981696069
1.265,0.982546687,0.178550869,0.17855081,0.982546568
1.266,0.983354092,0.173900828,0.173900738,0.983354211
1.267,0.984121025,0.169353947,0.169353992,0.984120905
1.268,0.984848321,0.164908677,0.164908633,0.984848857
1.269,0.985538721,0.16056329,0.160563231,0.985538781
1.27,0.98619318,0.156315967,0.156316012,0.986193299
1.271,0.986813247,0.152165487,0.152165458,0.986813188
1.272,0.987399995,0.148109838,0.148109779,0.987400591
1.273,0.987956405,0.144147262,0.144147247,0.987956405
1.274,0.988482595,0.140276536,0.140276596,0.988482654
1.275,0.988980234,0.13649565,0.13649568,0.988980174
1.276,0.989450753,0.132803157,0.132803187,0.989450634
1.277,0.989896178,0.129197374,0.129197389,0.989895821
1.278,0.990316868,0.125676736,0.125676721,0.990316093
1.279,0.990712583,0.122239374,0.122239336,0.990712762
1.28,0.991087139,0.11888402,0.118883945,0.991087019
1.281,0.991439939,0.115608744,0.115608759,0.991439641
1.282,0.991772354,0.112412177,0.112412132,0.991772533
1.283,0.992085576,0.109292664,0.109292656,0.992085576
1.284,0.992379308,0.106248707,0.106248669,0.992379725
1.285,0.992657006,0.103278816,0.103278816,0.992657423
1.286,0.992917776,0.10038133,0.100381434,0.992917657
1.287,0.993162274,0.097555146,0.097555168,0.993162036
1.288,0.993391216,0.0947982,0.094798237,0.993391097
1.289,0.993606389,0.09210965,0.092109636,0.993606269
1.29,0.993807316,0.08948759,0.08948762,0.993807137
1.291,0.993995369,0.086930901,0.086930879,0.993995369
1.292,0.994170606,0.084437922,0.084437899,0.994170487
1.293,0.994334459,0.082007565,0.08200758,0.994334042
1.294,0.994486749,0.079638392,0.079638436,0.994486809
1.295,0.994628549,0.077329055,0.077329069,0.994628608
1.296,0.994760394,0.075078294,0.075078286,0.994760215
1.297,0.994882941,0.072884731,0.072884731,0.99488312
1.298,0.994995415,0.070747227,0.070747219,0.994995475
1.299,0.995099843,0.068664387,0.068664394,0.995099664
1.3,0.995195448,0.066635273,0.066635251,0.995195329
1.301,0.995283604,0.064658366,0.064658381,0.995283425
1.302,0.995364308,0.062732868,0.062732786,0.995364726
1.303,0.99543798,0.060857166,0.060857162,0.995438218
1.304,0.995505214,0.059030544,0.059030514,0.995505214
1.305,0.995565772,0.057251658,0.057251651,0.995565713
1.306,0.995619953,0.055519503,0.055519518,0.995619834
1.307,0.995668709,0.053833053,0.053833049,0.995668709
1.308,0.995711923,0.052191224,0.052191213,0.995711863
1.309,0.995749652,0.050592914,0.050592925,0.995749772
1.31,0.995783269,0.049037319,0.049037296,0.995783448
1.311,0.995812118,0.04752323,0.047523249,0.995812237
1.312,0.995836973,0.046049811,0.046049818,0.995837033
1.313,0.995857179,0.044616137,0.044616133,0.99585712
1.314,0.995873153,0.043221131,0.04322112,0.995873153
1.315,0.995885789,0.041863989,0.041864004,0.995885909
1.316,0.995894909,0.040543873,0.040543877,0.995894551
1.317,0.995900631,0.039259855,0.039259836,0.995900691
1.318,0.995903313,0.038011041,0.038011026,0.995903075
1.319,0.995903552,0.036796618,0.036796644,0.995903611
1.32,0.995899975,0.035615847,0.035615824,0.995900035
1.321,0.995894194,0.03446779,0.034467761,0.995894253
1.322,0.995885789,0.033351772,0.033351764,0.995885849
1.323,0.995875299,0.03226696,0.032266971,0.995875478
1.324,0.995862782,0.031212643,0.031212669,0.995862722
1.325,0.995847762,0.030188073,0.030188058,0.995847523
1.326,0.995830596,0.029192487,0.029192481,0.995830596
1.327,0.995812118,0.028225241,0.028225228,0.995812297
1.328,0.995791674,0.027285619,0.027285608,0.995791733
1.329,0.995769799,0.026372913,0.026372915,0.995769858
1.33,0.995745897,0.025486512,0.025486492,0.995745838
1.331,0.995720744,0.024625676,0.024625691,0.995720804
1.332,0.995693922,0.023789926,0.02378992,0.995694578
1.333,0.995666325,0.022978511,0.022978507,0.995666802
1.334,0.995637536,0.022190854,0.022190837,0.995637834
1.335,0.995608091,0.021426376,0.021426387,0.995607734
1.336,0.995576799,0.02068447,0.020684497,0.99557662
1.337,0.995544434,0.019964615,0.019964621,0.995544374
1.338,0.995511472,0.019266229,0.019266233,0.995511591
1.339,0.995477676,0.018588781,0.018588753,0.995477736
1.34,0.995443165,0.017931681,0.017931672,0.995443106
1.341,0.99540776,0.017294472,0.017294465,0.99540776
1.342,0.995372236,0.016676625,0.016676635,0.995372295
1.343,0.995335698,0.016077619,0.016077647,0.995335758
1.344,0.995298505,0.015497028,0.015497034,0.995298624
1.345,0.995261312,0.014934309,0.014934304,0.995261192
1.346,0.995222628,0.01438903,0.014389024,0.995222688
1.347,0.995184064,0.013860701,0.013860704,0.995183826
1.348,0.99514544,0.013348931,0.013348924,0.995145202
1.349,0.995105922,0.01285324,0.012853243,0.995105863
1.35,0.995066524,0.012373235,0.012373231,0.995066643
1.351,0.99502641,0.011908478,0.011908469,0.99502641
1.352,0.994986475,0.011458577,0.011458563,0.994986773
1.353,0.994946063,0.011023112,0.011023097,0.994946182
1.354,0.994905353,0.010601685,0.010601674,0.994905412
1.355,0.994864941,0.010193962,0.010193959,0.994864702
1.356,0.994823635,0.009799536,0.009799525,0.994823635
1.357,0.994782805,0.009418055,0.009418052,0.994782746
1.358,0.994741559,0.009049134,0.009049166,0.994741499
1.359,0.99470079,0.008692537,0.008692531,0.99470067
1.36,0.994659483,0.008347801,0.008347794,0.994659782
1.361,0.994618952,0.008014653,0.008014635,0.994618833
1.362,0.994577169,0.007692714,0.007692722,0.994577587
1.363,0.994536459,0.007381744,0.007381743,0.994536459
1.364,0.994494855,0.007081413,0.007081394,0.994494736
1.365,0.994453907,0.006791368,0.006791372,0.994453728
1.366,0.994413614,0.006511369,0.006511386,0.994413555
1.367,0.994372368,0.006241143,0.006241143,0.994372428
1.368,0.994331777,0.005980361,0.00598036,0.994331837
1.369,0.994291842,0.005728782,0.005728772,0.994291723
1.37,0.994251192,0.005486114,0.005486101,0.994251013
1.371,0.994210959,0.005252088,0.005252095,0.994210839
1.372,0.994170845,0.005026487,0.005026498,0.994170725
1.373,0.994130909,0.004809053,0.004809062,0.994130909
1.374,0.994090855,0.004599544,0.004599533,0.994091034
1.375,0.994051278,0.00439769,0.004397686,0.994051278
1.376,0.994012058,0.004203294,0.004203286,0.994012058
1.377,0.993973076,0.004016121,0.00401611,0.993973076
1.378,0.993933737,0.003835942,0.003835931,0.993933618
1.379,0.993896008,0.003662541,0.003662551,0.993896008
1.38,0.993857265,0.003495734,0.00349574,0.993857622
1.381,0.993819237,0.003335307,0.003335313,0.993819237
1.382,0.993781507,0.003181048,0.003181047,0.993781686
1.383,0.993744195,0.003032769,0.00303277,0.993744195
1.384,0.993706703,0.002890274,0.002890281,0.993706703
1.385,0.993669927,0.002753399,0.002753406,0.993669748
1.386,0.99363333,0.002621953,0.002621958,0.99363333
1.387,0.993597031,0.002495754,0.002495754,0.993596852
1.388,0.993561089,0.002374638,0.00237464,0.993561089
1.389,0.993525565,0.002258433,0.002258442,0.993525863
1.39,0.993490338,0.002146996,0.002146989,0.99349004
1.391,0.993455291,0.002040139,0.00204014,0.993455172
1.392,0.99342072,0.001937725,0.001937728,0.993420363
1.393,0.993386149,0.001839614,0.001839614,0.99338603
1.394,0.993352234,0.001745647,0.001745643,0.993352115
1.395,0.993318558,0.001655687,0.001655679,0.993318558
1.396,0.993285418,0.001569586,0.001569583,0.993285418
1.397,0.993252516,0.001487215,0.001487219,0.993252575
1.398,0.99322021,0.001408466,0.001408459,0.99322021
1.399,0.993187964,0.001333179,0.001333172,0.993188262
1.4,0.993156612,0.001261233,0.001261236,0.993156552
