Freq,Milled,HFSS,Tapered
1,-128.03087,3.963531392,175.5045391
1.001,-128.14154,3.788845174,175.3192785
1.002,-128.19481,3.614160216,175.1340121
1.003,-128.40608,3.439476508,174.9487398
1.004,-128.52483,3.264794039,174.7634617
1.005,-128.61418,3.090112799,174.5781776
1.006,-128.49913,2.915432777,174.3928877
1.007,-128.85139,2.740753962,174.2075918
1.008,-128.76862,2.566076344,174.02229
1.009,-129.05669,2.391399912,173.8369822
1.01,-128.9743,2.216724656,173.6516684
1.011,-129.40973,2.042050564,173.4663487
1.012,-129.5619,1.867377626,173.281023
1.013,-129.50137,1.692705832,173.0956912
1.014,-129.94637,1.51803517,172.9103534
1.015,-129.77426,1.34336563,172.7250096
1.016,-129.71022,1.1686972,172.5396597
1.017,-130.12477,0.994029871,172.3543037
1.018,-130.18933,0.819363631,172.1689417
1.019,-130.36623,0.64469847,171.9835735
1.02,-130.37076,0.470034376,171.7981993
1.021,-130.57289,0.295371338,171.6128189
1.022,-130.91783,0.120709346,171.4274323
1.023,-130.98721,-0.053951611,171.2420396
1.024,-130.83293,-0.228611544,171.0566407
1.025,-131.14198,-0.403270464,170.8712356
1.026,-131.20508,-0.577928382,170.6858243
1.027,-131.48454,-0.75258531,170.5004068
1.028,-131.57384,-0.927241258,170.3149831
1.029,-131.72438,-1.101896237,170.1295531
1.03,-131.81621,-1.276550258,169.9441168
1.031,-132.04799,-1.451203333,169.7586743
1.032,-131.99596,-1.625855472,169.5732254
1.033,-132.09207,-1.800506686,169.3877703
1.034,-132.26064,-1.975156988,169.2023088
1.035,-132.38173,-2.149806387,169.016841
1.036,-132.60861,-2.324454895,168.8313669
1.037,-132.78696,-2.499102524,168.6458863
1.038,-132.89731,-2.673749284,168.4603994
1.039,-133.01662,-2.848395186,168.2749061
1.04,-133.04411,-3.023040243,168.0894064
1.041,-133.02826,-3.197684465,167.9039003
1.042,-133.26869,-3.372327863,167.7183877
1.043,-133.52599,-3.546970449,167.5328687
1.044,-133.53235,-3.721612234,167.3473432
1.045,-133.63509,-3.896253229,167.1618112
1.046,-133.90654,-4.070893446,166.9762727
1.047,-133.88544,-4.245532896,166.7907278
1.048,-134.33789,-4.420171591,166.6051763
1.049,-134.13747,-4.594809541,166.4196182
1.05,-134.42279,-4.769446759,166.2340536
1.051,-134.65503,-4.944083255,166.0484824
1.052,-134.4528,-5.118719042,165.8629047
1.053,-134.75542,-5.29335413,165.6773203
1.054,-134.78189,-5.467988531,165.4917294
1.055,-134.8445,-5.642622257,165.3061318
1.056,-135.37613,-5.81725532,165.1205275
1.057,-135.38669,-5.991887729,164.9349167
1.058,-135.53296,-6.166519498,164.7492991
1.059,-135.83072,-6.341150638,164.5636749
1.06,-135.5405,-6.51578116,164.3780439
1.061,-135.60645,-6.690411076,164.1924063
1.062,-136.05597,-6.865040398,164.0067619
1.063,-136.00436,-7.039669137,163.8211108
1.064,-136.20944,-7.214297305,163.6354529
1.065,-136.29323,-7.388924913,163.4497883
1.066,-136.43697,-7.563551974,163.2641169
1.067,-136.54619,-7.738178498,163.0784387
1.068,-136.57332,-7.912804498,162.8927537
1.069,-136.97342,-8.087429985,162.7070618
1.07,-136.83986,-8.262054972,162.5213631
1.071,-137.03055,-8.436679469,162.3356576
1.072,-137.23502,-8.611303489,162.1499452
1.073,-137.157,-8.785927043,161.9642259
1.074,-137.41692,-8.960550144,161.7784997
1.075,-137.54024,-9.135172802,161.5927666
1.076,-137.74583,-9.309795031,161.4070265
1.077,-137.77823,-9.484416841,161.2212796
1.078,-137.97072,-9.659038244,161.0355257
1.079,-138.07712,-9.833659254,160.8497648
1.08,-138.37656,-10.00827988,160.6639969
1.081,-138.43924,-10.18290014,160.478222
1.082,-138.5367,-10.35752003,160.2924402
1.083,-138.75836,-10.53213958,160.1066513
1.084,-138.63672,-10.7067588,159.9208553
1.085,-138.95976,-10.88137769,159.7350524
1.086,-138.91434,-11.05599627,159.5492423
1.087,-139.33717,-11.23061456,159.3634252
1.088,-139.31265,-11.40523255,159.177601
1.089,-139.50967,-11.57985027,158.9917696
1.09,-139.35184,-11.75446773,158.8059312
1.091,-139.53035,-11.92908494,158.6200856
1.092,-139.77966,-12.1037019,158.4342329
1.093,-139.77786,-12.27831865,158.248373
1.094,-140.18156,-12.45293517,158.0625059
1.095,-140.27184,-12.6275515,157.8766316
1.096,-140.19772,-12.80216763,157.6907502
1.097,-140.51047,-12.97678359,157.5048615
1.098,-140.56038,-13.15139938,157.3189656
1.099,-140.56801,-13.32601502,157.1330624
1.1,-140.86552,-13.50063051,156.947152
1.101,-140.96605,-13.67524588,156.7612343
1.102,-140.72809,-13.84986113,156.5753093
1.103,-141.18568,-14.02447627,156.389377
1.104,-141.43987,-14.19909132,156.2034374
1.105,-141.29816,-14.37370629,156.0174905
1.106,-141.63301,-14.54832119,155.8315362
1.107,-141.73653,-14.72293604,155.6455745
1.108,-141.97577,-14.89755084,155.4596055
1.109,-141.98174,-15.07216561,155.2736291
1.11,-141.97017,-15.24678036,155.0876454
1.111,-142.39192,-15.42139511,154.9016541
1.112,-142.39583,-15.59600986,154.7156555
1.113,-142.54456,-15.77062463,154.5296495
1.114,-142.44978,-15.94523943,154.3436359
1.115,-142.72296,-16.11985427,154.1576149
1.116,-142.97983,-16.29446917,153.9715865
1.117,-142.97266,-16.46908413,153.7855505
1.118,-143.13676,-16.64369918,153.599507
1.119,-143.29614,-16.81831432,153.413456
1.12,-143.53346,-16.99292956,153.2273975
1.121,-143.3987,-17.16754492,153.0413314
1.122,-143.63982,-17.34216041,152.8552578
1.123,-143.8036,-17.51677604,152.6691766
1.124,-143.7962,-17.69139183,152.4830878
1.125,-144.25429,-17.86600778,152.2969913
1.126,-143.99719,-18.04062391,152.1108873
1.127,-144.26724,-18.21524024,151.9247756
1.128,-144.26102,-18.38985677,151.7386563
1.129,-144.6026,-18.56447352,151.5525294
1.13,-144.83427,-18.7390905,151.3663947
1.131,-144.82072,-18.91370772,151.1802524
1.132,-144.71246,-19.0883252,150.9941024
1.133,-144.86252,-19.26294294,150.8079447
1.134,-145.16267,-19.43756096,150.6217792
1.135,-145.21654,-19.61217928,150.435606
1.136,-145.50848,-19.7867979,150.249425
1.137,-145.67604,-19.96141685,150.0632363
1.138,-145.70164,-20.13603612,149.8770398
1.139,-145.75578,-20.31065573,149.6908355
1.14,-145.76736,-20.4852757,149.5046234
1.141,-146.13815,-20.65989605,149.3184035
1.142,-146.21564,-20.83451677,149.1321757
1.143,-146.46632,-21.00913789,148.9459401
1.144,-146.45175,-21.18375941,148.7596967
1.145,-146.48433,-21.35838135,148.5734453
1.146,-146.72685,-21.53300373,148.3871861
1.147,-147.08145,-21.70762655,148.200919
1.148,-146.87949,-21.88224983,148.0146439
1.149,-147.18364,-22.05687358,147.828361
1.15,-147.369,-22.23149782,147.6420701
1.151,-147.30467,-22.40612255,147.4557712
1.152,-147.59854,-22.58074779,147.2694644
1.153,-147.56618,-22.75537355,147.0831495
1.154,-147.78564,-22.92999985,146.8968267
1.155,-147.95935,-23.10462669,146.7104959
1.156,-148.0657,-23.2792541,146.5241571
1.157,-148.24637,-23.45388208,146.3378102
1.158,-148.39754,-23.62851064,146.1514553
1.159,-148.32137,-23.80313981,145.9650923
1.16,-148.62918,-23.97776958,145.7787212
1.161,-148.71805,-24.15239999,145.5923421
1.162,-148.90765,-24.32703102,145.4059548
1.163,-148.89264,-24.50166271,145.2195594
1.164,-149.04694,-24.67629507,145.033156
1.165,-149.21788,-24.8509281,144.8467443
1.166,-149.28537,-25.02556182,144.6603245
1.167,-149.35861,-25.20019624,144.4738966
