Freq,HFSS,Analytical,Z0lver
2.332,-1.193549772,-1.0471,-1.204917684
2.333,-1.193548825,-1.0471,-1.204917684
2.334,-1.193548053,-1.0471,-1.204917684
2.335,-1.193547457,-1.0471,-1.204917684
2.336,-1.193547035,-1.0471,-1.204917684
2.337,-1.193546789,-1.0471,-1.204917684
2.338,-1.193546716,-1.0471,-1.204917684
2.339,-1.193546817,-1.0471,-1.204917684
2.34,-1.193547092,-1.0471,-1.204917684
2.341,-1.193547539,-1.0471,-1.204917684
2.342,-1.193548159,-1.0471,-1.204917684
2.343,-1.193548951,-1.0471,-1.204917684
2.344,-1.193549914,-1.0471,-1.204917684
2.345,-1.193551049,-1.0471,-1.204917684
2.346,-1.193552355,-1.0471,-1.204917684
2.347,-1.193553831,-1.0471,-1.204917684
2.348,-1.193555477,-1.0471,-1.204917684
2.349,-1.193557293,-1.0471,-1.204917684
2.35,-1.193559278,-1.0471,-1.204917684
2.351,-1.193561431,-1.0471,-1.204917684
2.352,-1.193563753,-1.0471,-1.204917684
2.353,-1.193566242,-1.0471,-1.204917684
2.354,-1.193568899,-1.0471,-1.204917684
2.355,-1.193571723,-1.0471,-1.204917684
2.356,-1.193574713,-1.0471,-1.204917684
2.357,-1.193577869,-1.0471,-1.204917684
2.358,-1.193581191,-1.0471,-1.204917684
2.359,-1.193584678,-1.0471,-1.204917684
2.36,-1.19358833,-1.0471,-1.204917684
2.361,-1.193592146,-1.0471,-1.204917684
2.362,-1.193596125,-1.0471,-1.204917684
2.363,-1.193600268,-1.0471,-1.204917684
2.364,-1.193604574,-1.0471,-1.204917684
2.365,-1.193609042,-1.0471,-1.204917684
2.366,-1.193613671,-1.0471,-1.204917684
2.367,-1.193618463,-1.0471,-1.204917684
2.368,-1.193623415,-1.0471,-1.204917684
2.369,-1.193628527,-1.0471,-1.204917684
2.37,-1.1936338,-1.0471,-1.204917684
2.371,-1.193639232,-1.0471,-1.204917684
2.372,-1.193644823,-1.0471,-1.204917684
2.373,-1.193650572,-1.0471,-1.204917684
2.374,-1.193656479,-1.0471,-1.204917684
2.375,-1.193662544,-1.0471,-1.204917684
2.376,-1.193668766,-1.0471,-1.204917684
2.377,-1.193675145,-1.0471,-1.204917684
2.378,-1.193681679,-1.0471,-1.204917684
2.379,-1.193688369,-1.0471,-1.204917684
2.38,-1.193695214,-1.0471,-1.204917684
2.381,-1.193702213,-1.0471,-1.204917684
2.382,-1.193709367,-1.0471,-1.204917684
2.383,-1.193716673,-1.0471,-1.204917684
2.384,-1.193724133,-1.0471,-1.204917684
2.385,-1.193731745,-1.0471,-1.204917684
2.386,-1.19373951,-1.0471,-1.204917684
2.387,-1.193747425,-1.0471,-1.204917684
2.388,-1.193755492,-1.0471,-1.204917684
2.389,-1.193763709,-1.0471,-1.204917684
2.39,-1.193772075,-1.0471,-1.204917684
2.391,-1.193780591,-1.0471,-1.204917684
2.392,-1.193789256,-1.0471,-1.204917684
2.393,-1.193798069,-1.0471,-1.204917684
2.394,-1.19380703,-1.0471,-1.204917684
2.395,-1.193816138,-1.0471,-1.204917684
2.396,-1.193825392,-1.0471,-1.204917684
2.397,-1.193834793,-1.0471,-1.204917684
2.398,-1.193844339,-1.0471,-1.204917684
2.399,-1.19385403,-1.0471,-1.204917684
2.4,-1.193863865,-1.0471,-1.204917684
2.401,-1.193873845,-1.0471,-1.204917684
2.402,-1.193883968,-1.0471,-1.204917684
2.403,-1.193894233,-1.0471,-1.204917684
2.404,-1.193904641,-1.0471,-1.204917684
2.405,-1.193915191,-1.0471,-1.204917684
2.406,-1.193925881,-1.0471,-1.204917684
2.407,-1.193936713,-1.0471,-1.204917684
2.408,-1.193947684,-1.0471,-1.204917684
2.409,-1.193958795,-1.0471,-1.204917684
2.41,-1.193970044,-1.0471,-1.204917684
2.411,-1.193981432,-1.0471,-1.204917684
2.412,-1.193992958,-1.0471,-1.204917684
2.413,-1.19400462,-1.0471,-1.204917684
2.414,-1.19401642,-1.0471,-1.204917684
2.415,-1.194028355,-1.0471,-1.204917684
2.416,-1.194040426,-1.0471,-1.204917684
2.417,-1.194052631,-1.0471,-1.204917684
2.418,-1.194064971,-1.0471,-1.204917684
2.419,-1.194077445,-1.0471,-1.204917684
2.42,-1.194090052,-1.0471,-1.204917684
2.421,-1.194102791,-1.0471,-1.204917684
2.422,-1.194115662,-1.0471,-1.204917684
2.423,-1.194128664,-1.0471,-1.204917684
2.424,-1.194141798,-1.0471,-1.204917684
2.425,-1.194155061,-1.0471,-1.204917684
2.426,-1.194168454,-1.0471,-1.204917684
2.427,-1.194181976,-1.0471,-1.204917684
2.428,-1.194195626,-1.0471,-1.204917684
2.429,-1.194209404,-1.0471,-1.204917684
2.43,-1.194223309,-1.0471,-1.204917684
2.431,-1.194237341,-1.0471,-1.204917684
2.432,-1.194251498,-1.0471,-1.204917684
2.433,-1.194265781,-1.0471,-1.204917684
2.434,-1.194280189,-1.0471,-1.204917684
2.435,-1.194294721,-1.0471,-1.204917684
2.436,-1.194309376,-1.0471,-1.204917684
2.437,-1.194324154,-1.0471,-1.204917684
2.438,-1.194339055,-1.0471,-1.204917684
2.439,-1.194354077,-1.0471,-1.204917684
2.44,-1.19436922,-1.0471,-1.204917684
2.441,-1.194384484,-1.0471,-1.204917684
2.442,-1.194399867,-1.0471,-1.204917684
2.443,-1.19441537,-1.0471,-1.204917684
2.444,-1.194430991,-1.0471,-1.204917684
2.445,-1.19444673,-1.0471,-1.204917684
2.446,-1.194462586,-1.0471,-1.204917684
2.447,-1.194478559,-1.0471,-1.204917684
2.448,-1.194494648,-1.0471,-1.204917684
2.449,-1.194510853,-1.0471,-1.204917684
2.45,-1.194527172,-1.0471,-1.204917684
2.451,-1.194543605,-1.0471,-1.204917684
2.452,-1.194560152,-1.0471,-1.204917684
2.453,-1.194576812,-1.0471,-1.204917684
2.454,-1.194593584,-1.0471,-1.204917684
2.455,-1.194610467,-1.0471,-1.204917684
2.456,-1.194627462,-1.0471,-1.204917684
2.457,-1.194644567,-1.0471,-1.204917684
2.458,-1.194661781,-1.0471,-1.204917684
2.459,-1.194679104,-1.0471,-1.204917684
2.46,-1.194696536,-1.0471,-1.204917684
2.461,-1.194714076,-1.0471,-1.204917684
2.462,-1.194731722,-1.0471,-1.204917684
2.463,-1.194749475,-1.0471,-1.204917684
2.464,-1.194767334,-1.0471,-1.204917684
2.465,-1.194785298,-1.0471,-1.204917684
2.466,-1.194803366,-1.0471,-1.204917684
2.467,-1.194821538,-1.0471,-1.204917684
2.468,-1.194839813,-1.0471,-1.204917684
2.469,-1.194858191,-1.0471,-1.204917684
2.47,-1.19487667,-1.0471,-1.204917684
2.471,-1.194895251,-1.0471,-1.204917684
2.472,-1.194913932,-1.0471,-1.204917684
2.473,-1.194932713,-1.0471,-1.204917684
2.474,-1.194951593,-1.0471,-1.204917684
2.475,-1.194970572,-1.0471,-1.204917684
2.476,-1.194989649,-1.0471,-1.204917684
2.477,-1.195008822,-1.0471,-1.204917684
2.478,-1.195028092,-1.0471,-1.204917684
2.479,-1.195047458,-1.0471,-1.204917684
2.48,-1.195066919,-1.0471,-1.204917684
2.481,-1.195086475,-1.0471,-1.204917684
2.482,-1.195106124,-1.0471,-1.204917684
2.483,-1.195125867,-1.0471,-1.204917684
2.484,-1.195145702,-1.0471,-1.204917684
2.485,-1.195165629,-1.0471,-1.204917684
2.486,-1.195185647,-1.0471,-1.204917684
2.487,-1.195205755,-1.0471,-1.204917684
2.488,-1.195225953,-1.0471,-1.204917684
2.489,-1.19524624,-1.0471,-1.204917684
2.49,-1.195266616,-1.0471,-1.204917684
2.491,-1.195287079,-1.0471,-1.204917684
2.492,-1.195307629,-1.0471,-1.204917684
2.493,-1.195328266,-1.0471,-1.204917684
2.494,-1.195348988,-1.0471,-1.204917684
2.495,-1.195369796,-1.0471,-1.204917684
2.496,-1.195390687,-1.0471,-1.204917684
2.497,-1.195411662,-1.0471,-1.204917684
2.498,-1.19543272,-1.0471,-1.204917684
2.499,-1.195453861,-1.0471,-1.204917684
2.5,-1.195475082,-1.0471,-1.204917684
2.501,-1.195496385,-1.0471,-1.204917684
2.502,-1.195517768,-1.0471,-1.204917684
2.503,-1.19553923,-1.0471,-1.204917684
2.504,-1.195560771,-1.0471,-1.204917684
2.505,-1.19558239,-1.0471,-1.204917684
2.506,-1.195604086,-1.0471,-1.204917684
2.507,-1.195625859,-1.0471,-1.204917684
2.508,-1.195647708,-1.0471,-1.204917684
2.509,-1.195669632,-1.0471,-1.204917684
2.51,-1.195691631,-1.0471,-1.204917684
2.511,-1.195713704,-1.0471,-1.204917684
2.512,-1.19573585,-1.0471,-1.204917684
2.513,-1.195758068,-1.0471,-1.204917684
2.514,-1.195780358,-1.0471,-1.204917684
2.515,-1.19580272,-1.0471,-1.204917684
2.516,-1.195825151,-1.0471,-1.204917684
2.517,-1.195847652,-1.0471,-1.204917684
2.518,-1.195870223,-1.0471,-1.204917684
2.519,-1.195892861,-1.0471,-1.204917684
2.52,-1.195915567,-1.0471,-1.204917684
2.521,-1.19593834,-1.0471,-1.204917684
2.522,-1.195961179,-1.0471,-1.204917684
2.523,-1.195984084,-1.0471,-1.204917684
2.524,-1.196007053,-1.0471,-1.204917684
2.525,-1.196030086,-1.0471,-1.204917684
2.526,-1.196053183,-1.0471,-1.204917684
2.527,-1.196076342,-1.0471,-1.204917684
2.528,-1.196099563,-1.0471,-1.204917684
2.529,-1.196122845,-1.0471,-1.204917684
2.53,-1.196146188,-1.0471,-1.204917684
2.531,-1.196169591,-1.0471,-1.204917684
2.532,-1.196193052,-1.0471,-1.204917684
2.533,-1.196216572,-1.0471,-1.204917684
2.534,-1.19624015,-1.0471,-1.204917684
2.535,-1.196263784,-1.0471,-1.204917684
2.536,-1.196287475,-1.0471,-1.204917684
2.537,-1.196311221,-1.0471,-1.204917684
2.538,-1.196335022,-1.0471,-1.204917684
2.539,-1.196358877,-1.0471,-1.204917684
2.54,-1.196382785,-1.0471,-1.204917684
2.541,-1.196406746,-1.0471,-1.204917684
2.542,-1.196430759,-1.0471,-1.204917684
2.543,-1.196454823,-1.0471,-1.204917684
2.544,-1.196478938,-1.0471,-1.204917684
2.545,-1.196503103,-1.0471,-1.204917684
2.546,-1.196527316,-1.0471,-1.204917684
2.547,-1.196551578,-1.0471,-1.204917684
2.548,-1.196575887,-1.0471,-1.204917684
2.549,-1.196600244,-1.0471,-1.204917684
2.55,-1.196624646,-1.0471,-1.204917684
2.551,-1.196649094,-1.0471,-1.204917684
2.552,-1.196673587,-1.0471,-1.204917684
2.553,-1.196698124,-1.0471,-1.204917684
2.554,-1.196722704,-1.0471,-1.204917684
2.555,-1.196747326,-1.0471,-1.204917684
2.556,-1.196771991,-1.0471,-1.204917684
2.557,-1.196796697,-1.0471,-1.204917684
2.558,-1.196821443,-1.0471,-1.204917684
2.559,-1.196846229,-1.0471,-1.204917684
2.56,-1.196871054,-1.0471,-1.204917684
2.561,-1.196895917,-1.0471,-1.204917684
2.562,-1.196920818,-1.0471,-1.204917684
2.563,-1.196945755,-1.0471,-1.204917684
2.564,-1.196970729,-1.0471,-1.204917684
2.565,-1.196995738,-1.0471,-1.204917684
2.566,-1.197020782,-1.0471,-1.204917684
2.567,-1.19704586,-1.0471,-1.204917684
2.568,-1.197070971,-1.0471,-1.204917684
2.569,-1.197096114,-1.0471,-1.204917684
2.57,-1.197121289,-1.0471,-1.204917684
2.571,-1.197146496,-1.0471,-1.204917684
2.572,-1.197171733,-1.0471,-1.204917684
2.573,-1.197196999,-1.0471,-1.204917684
2.574,-1.197222294,-1.0471,-1.204917684
2.575,-1.197247618,-1.0471,-1.204917684
2.576,-1.197272969,-1.0471,-1.204917684
2.577,-1.197298347,-1.0471,-1.204917684
2.578,-1.19732375,-1.0471,-1.204917684
