Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S21(dB)_HFSS,S21(dB)_measured,S31(dB)_HFSS,S31(dB)_measured,S41(dB)_HFSS,S41(dB)_measured
1.053,-4.686228356,-4.7176619,-7.522192253,-7.1763091,-5.910426614,-5.5886464,-7.361920271,-6.7599931
1.054,-4.685122568,-4.7223034,-7.524598203,-7.1543627,-5.909538908,-5.5785642,-7.363907252,-6.7400618
1.055,-4.684019851,-4.7165179,-7.527006176,-7.1842351,-5.908648052,-5.6095133,-7.36589437,-6.7350626
1.056,-4.682920215,-4.7748885,-7.529416158,-7.1749258,-5.907754041,-5.5899978,-7.367881625,-6.7550087
1.057,-4.681823668,-4.695076,-7.531828137,-7.1641889,-5.906856871,-5.5655599,-7.369869013,-6.725708
1.058,-4.680730216,-4.7664223,-7.5342421,-7.1968856,-5.905956537,-5.6169305,-7.371856534,-6.7626691
1.059,-4.679639868,-4.7384453,-7.536658036,-7.2106571,-5.905053034,-5.5900512,-7.373844187,-6.7693815
1.06,-4.678552631,-4.7153373,-7.53907593,-7.169559,-5.904146356,-5.5696363,-7.375831968,-6.7369533
1.061,-4.677468515,-4.7162862,-7.541495772,-7.2208104,-5.903236499,-5.592031,-7.377819877,-6.7742391
1.062,-4.676387525,-4.7527847,-7.543917547,-7.2121367,-5.902323459,-5.5824003,-7.379807913,-6.7664461
1.063,-4.675309671,-4.7136421,-7.546341243,-7.1908884,-5.90140723,-5.5669384,-7.381796072,-6.7371235
1.064,-4.67423496,-4.707418,-7.548766847,-7.2047296,-5.900487808,-5.5936556,-7.383784355,-6.7841721
1.065,-4.673163401,-4.6993608,-7.551194347,-7.1764779,-5.899565187,-5.5553541,-7.385772758,-6.742877
1.066,-4.672095,-4.7131796,-7.553623729,-7.195509,-5.898639363,-5.5713391,-7.387761281,-6.7729607
1.067,-4.671029766,-4.7095413,-7.556054981,-7.2182083,-5.897710331,-5.5916924,-7.389749922,-6.7466779
1.068,-4.669967707,-4.7105527,-7.558488088,-7.1717086,-5.896778086,-5.5573025,-7.391738678,-6.7192569
1.069,-4.668908832,-4.6970644,-7.560923039,-7.2026968,-5.895842623,-5.5860167,-7.39372755,-6.7759223
1.07,-4.667853146,-4.7164326,-7.563359819,-7.2172799,-5.894903938,-5.553966,-7.395716533,-6.7506323
1.071,-4.66680066,-4.7157679,-7.565798415,-7.1965151,-5.893962025,-5.5842209,-7.397705628,-6.7608457
1.072,-4.665751381,-4.7052298,-7.568238815,-7.2115035,-5.89301688,-5.5513577,-7.399694833,-6.7481852
1.073,-4.664705317,-4.7235155,-7.570681004,-7.2248874,-5.892068498,-5.5746565,-7.401684145,-6.7876787
1.074,-4.663662475,-4.6873293,-7.573124969,-7.1940217,-5.891116874,-5.5671506,-7.403673563,-6.7540832
1.075,-4.662622864,-4.7262821,-7.575570696,-7.2432046,-5.890162003,-5.5972776,-7.405663086,-6.7931585
1.076,-4.661586493,-4.6916723,-7.578018173,-7.2336063,-5.889203881,-5.5768824,-7.407652711,-6.7925639
1.077,-4.660553368,-4.6993065,-7.580467384,-7.2298741,-5.888242502,-5.5773139,-7.409642438,-6.7872553
1.078,-4.659523499,-4.7177186,-7.582918317,-7.2090383,-5.887277862,-5.547164,-7.411632263,-6.7570248
1.079,-4.658496893,-4.7045979,-7.585370958,-7.2204576,-5.886309956,-5.5776792,-7.413622187,-6.7951016
1.08,-4.657473558,-4.697001,-7.587825293,-7.2302833,-5.885338779,-5.5657244,-7.415612206,-6.7719302
1.081,-4.656453503,-4.6758428,-7.590281308,-7.2626681,-5.884364327,-5.5501676,-7.41760232,-6.7981806
1.082,-4.655436735,-4.7002592,-7.592738989,-7.2521286,-5.883386594,-5.593111,-7.419592526,-6.7872205
1.083,-4.654423263,-4.6987453,-7.595198321,-7.2266693,-5.882405576,-5.5636978,-7.421582824,-6.7806745
1.084,-4.653413095,-4.6794763,-7.597659292,-7.2133574,-5.881421267,-5.5500059,-7.42357321,-6.7781715
1.085,-4.652406239,-4.6708717,-7.600121887,-7.2443447,-5.880433664,-5.5621362,-7.425563684,-6.8085032
1.086,-4.651402703,-4.6922665,-7.602586091,-7.259696,-5.879442761,-5.5610871,-7.427554244,-6.7965465
1.087,-4.650402496,-4.660491,-7.605051891,-7.2462287,-5.878448554,-5.5542474,-7.429544888,-6.772316
1.088,-4.649405626,-4.6768999,-7.607519271,-7.254437,-5.877451037,-5.5809054,-7.431535614,-6.791481
1.089,-4.6484121,-4.6881728,-7.609988219,-7.2469277,-5.876450207,-5.531776,-7.433526421,-6.7846661
1.09,-4.647421928,-4.7045932,-7.612458719,-7.2149014,-5.875446057,-5.5591683,-7.435517307,-6.7711315
1.091,-4.646435117,-4.6742592,-7.614930757,-7.2373562,-5.874438584,-5.5535522,-7.437508271,-6.7691998
1.092,-4.645451676,-4.6816373,-7.617404319,-7.2281199,-5.873427782,-5.5664649,-7.43949931,-6.8029799
1.093,-4.644471613,-4.6658473,-7.619879389,-7.2493706,-5.872413648,-5.5511613,-7.441490423,-6.7588415
1.094,-4.643494936,-4.6781964,-7.622355954,-7.2959471,-5.871396175,-5.5659828,-7.443481608,-6.8219976
1.095,-4.642521654,-4.6642399,-7.624833999,-7.2501245,-5.87037536,-5.5474563,-7.445472863,-6.8038611
1.096,-4.641551774,-4.6782298,-7.627313508,-7.2845197,-5.869351197,-5.5499635,-7.447464187,-6.7945991
1.097,-4.640585306,-4.6683726,-7.629794468,-7.2812352,-5.868323682,-5.5446005,-7.449455579,-6.8052874
1.098,-4.639622258,-4.6780481,-7.632276864,-7.2599607,-5.86729281,-5.5461726,-7.451447035,-6.7782068
1.099,-4.638662638,-4.6772494,-7.63476068,-7.2879682,-5.866258576,-5.5495796,-7.453438556,-6.8475366
1.1,-4.637706454,-4.6930642,-7.637245902,-7.2485199,-5.865220976,-5.5367832,-7.455430138,-6.8124185
1.101,-4.636753715,-4.6835632,-7.639732514,-7.2929163,-5.864180004,-5.558496,-7.45742178,-6.8388915
1.102,-4.63580443,-4.6768684,-7.642220503,-7.3091044,-5.863135657,-5.5422254,-7.45941348,-6.8118277
1.103,-4.634858606,-4.6922593,-7.644709852,-7.2916889,-5.862087929,-5.5288386,-7.461405238,-6.8178821
1.104,-4.633916252,-4.6894956,-7.647200548,-7.2897573,-5.861036815,-5.5218439,-7.46339705,-6.8172307
1.105,-4.632977377,-4.6762805,-7.649692574,-7.3046784,-5.859982311,-5.5644708,-7.465388915,-6.8131924
1.106,-4.632041989,-4.6703372,-7.652185915,-7.2929211,-5.858924412,-5.5099268,-7.467380832,-6.80404
1.107,-4.631110097,-4.6744847,-7.654680557,-7.3117247,-5.857863113,-5.559041,-7.469372799,-6.8198829
1.108,-4.630181708,-4.6457233,-7.657176484,-7.305203,-5.85679841,-5.5353065,-7.471364813,-6.8356972
1.109,-4.629256833,-4.6496425,-7.65967368,-7.2694101,-5.855730298,-5.5075707,-7.473356874,-6.7906895
1.11,-4.628335478,-4.6579132,-7.662172131,-7.3110271,-5.854658772,-5.5271163,-7.47534898,-6.8232102
1.111,-4.627417653,-4.65166,-7.664671821,-7.3173652,-5.853583828,-5.5342078,-7.477341128,-6.8248525
1.112,-4.626503367,-4.6848388,-7.667172735,-7.2942328,-5.85250546,-5.5176816,-7.479333317,-6.8138862
1.113,-4.625592628,-4.6719275,-7.669674856,-7.3418741,-5.851423664,-5.526473,-7.481325546,-6.840147
1.114,-4.624685444,-4.7016873,-7.672178171,-7.3278947,-5.850338436,-5.5398707,-7.483317812,-6.8546014
1.115,-4.623781824,-4.6307325,-7.674682662,-7.3415341,-5.84924977,-5.5266819,-7.485310114,-6.8230629
1.116,-4.622881777,-4.6653485,-7.677188315,-7.3245282,-5.848157662,-5.5345407,-7.48730245,-6.8487968
1.117,-4.621985312,-4.625484,-7.679695113,-7.2985106,-5.847062107,-5.5105362,-7.489294818,-6.8164401
1.118,-4.621092436,-4.6509485,-7.682203042,-7.3225484,-5.845963101,-5.5514445,-7.491287217,-6.8122311
1.119,-4.62020316,-4.6326623,-7.684712086,-7.3124089,-5.844860639,-5.5094233,-7.493279645,-6.8358855
1.12,-4.61931749,-4.6442304,-7.687222228,-7.3375473,-5.843754716,-5.5168667,-7.495272099,-6.8352294
1.121,-4.618435438,-4.6573091,-7.689733452,-7.3442116,-5.842645327,-5.538631,-7.497264579,-6.8513422
1.122,-4.61755701,-4.6548009,-7.692245744,-7.3643479,-5.841532469,-5.5377235,-7.499257083,-6.8670301
1.123,-4.616682215,-4.6575432,-7.694759088,-7.3172517,-5.840416135,-5.4981475,-7.501249609,-6.826344
1.124,-4.615811064,-4.6180911,-7.697273466,-7.306397,-5.839296322,-5.4712105,-7.503242154,-6.8285923
1.125,-4.614943563,-4.6519136,-7.699788864,-7.3427043,-5.838173025,-5.5019851,-7.505234718,-6.8337073
1.126,-4.614079723,-4.6522708,-7.702305265,-7.35111,-5.837046239,-5.5182824,-7.507227298,-6.8688827
1.127,-4.613219552,-4.6660094,-7.704822653,-7.3486977,-5.835915959,-5.5197639,-7.509219893,-6.882091
1.128,-4.612363058,-4.6681156,-7.707341013,-7.3747015,-5.834782182,-5.5073524,-7.511212501,-6.8616276
1.129,-4.611510251,-4.6467452,-7.709860328,-7.3566179,-5.833644901,-5.5170488,-7.513205121,-6.8797235
1.13,-4.610661139,-4.6440125,-7.712380581,-7.3834405,-5.832504114,-5.5320935,-7.51519775,-6.8843513
1.131,-4.609815732,-4.6151133,-7.714901758,-7.3410625,-5.831359814,-5.4897203,-7.517190387,-6.8753819
1.132,-4.608974038,-4.6513867,-7.717423841,-7.3664017,-5.830211997,-5.5021796,-7.519183029,-6.8925099
1.133,-4.608136066,-4.6552181,-7.719946815,-7.3531914,-5.829060659,-5.4809875,-7.521175676,-6.8582859
1.134,-4.607301825,-4.6162243,-7.722470663,-7.3516297,-5.827905796,-5.4921103,-7.523168326,-6.8318996
1.135,-4.606471324,-4.6525917,-7.724995369,-7.407249,-5.826747401,-5.5159435,-7.525160976,-6.8732262
1.136,-4.605644572,-4.6507096,-7.727520916,-7.3779011,-5.825585472,-5.507843,-7.527153625,-6.8880367
1.137,-4.604821579,-4.6763787,-7.730047288,-7.3773046,-5.824420003,-5.5246511,-7.529146271,-6.8841524
1.138,-4.604002352,-4.6039991,-7.732574469,-7.3632255,-5.823250989,-5.4471064,-7.531138913,-6.8701549
1.139,-4.603186902,-4.6378059,-7.735102442,-7.3842216,-5.822078427,-5.5073595,-7.533131548,-6.8944325
