"Freq [GHz]","ang_deg(S(2,3)) [deg]","ang_deg(S(4,2)) [deg]","ang_deg(S(4,3)) [deg]"
1,-173.636990465594,-169.293936777712,-122.986835343341
1.001,-173.831547912234,-169.468026465706,-123.122818870629
1.002,-174.026198638959,-169.642144383479,-123.258844420624
1.003,-174.220942919647,-169.81629067939,-123.394911921376
1.004,-174.415781028944,-169.99046550273,-123.531021298783
1.005,-174.61071324226,-170.164669003721,-123.66717247656
1.006,-174.805739835773,-170.33890133353,-123.803365376213
1.007,-175.000861086426,-170.513162644266,-123.939599917016
1.008,-175.196077271929,-170.687453088992,-124.07587601598
1.009,-175.39138867076,-170.86177282173,-124.212193587831
1.01,-175.586795562166,-171.036121997462,-124.348552544979
1.011,-175.782298226163,-171.210500772138,-124.484952797491
1.012,-175.977896943535,-171.384909302686,-124.621394253064
1.013,-176.173591995835,-171.55934774701,-124.757876816999
1.014,-176.369383665388,-171.733816264,-124.894400392167
1.015,-176.565272235288,-171.908315013538,-125.030964878985
1.016,-176.761257989398,-172.082844156501,-125.167570175386
1.017,-176.957341212354,-172.257403854771,-125.304216176788
1.018,-177.153522189561,-172.431994271233,-125.440902776066
1.019,-177.349801207196,-172.606615569791,-125.577629863521
1.02,-177.546178552207,-172.781267915364,-125.714397326849
1.021,-177.742654512312,-172.955951473898,-125.851205051111
1.022,-177.939229376,-173.130666412368,-125.988052918705
1.023,-178.135903432533,-173.305412898788,-126.124940809328
1.024,-178.332676971941,-173.480191102211,-126.26186859995
1.025,-178.529550285028,-173.655001192739,-126.398836164778
1.026,-178.726523663365,-173.829843341528,-126.535843375226
1.027,-178.923597399296,-174.004717720792,-126.672890099883
1.028,-179.120771785935,-174.17962450381,-126.809976204477
1.029,-179.318047117163,-174.354563864934,-126.947101551841
1.03,-179.515423687632,-174.529535979589,-127.084266001883
1.031,-179.712901792765,-174.704541024283,-127.221469411549
1.032,-179.910481728749,-174.879579176615,-127.358711634788
1.033,179.891836207458,-175.054650615274,-127.495992522518
1.034,179.694051718133,-175.22975552005,-127.63331192259
1.035,179.496164504784,-175.404894071837,-127.770669679754
1.036,179.298174268155,-175.580066452644,-127.908065635617
1.037,179.100080708224,-175.755272845591,-128.045499628615
1.038,178.901883524207,-175.930513434925,-128.182971493969
1.039,178.703582414554,-176.10578840602,-128.320481063649
1.04,178.505177076955,-176.281097945383,-128.458028166339
1.041,178.306667208335,-176.456442240663,-128.595612627396
1.042,178.108052504864,-176.631821480653,-128.73323426881
1.043,177.909332661949,-176.807235855299,-128.870892909169
1.044,177.710507374239,-176.982685555702,-129.008588363617
1.045,177.51157633563,-177.158170774129,-129.146320443812
1.046,177.312539239258,-177.333691704014,-129.284088957889
1.047,177.113395777509,-177.509248539965,-129.421893710418
1.048,176.914145642014,-177.684841477771,-129.559734502362
1.049,176.714788523654,-177.860470714409,-129.697611131034
1.05,176.515324112561,-178.036136448044,-129.835523390057
1.051,176.315752098119,-178.211838878042,-129.973471069321
1.052,176.116072168966,-178.38757820497,-130.111453954937
1.053,175.916284012996,-178.563354630607,-130.249471829196
1.054,175.71638731736,-178.739168357942,-130.387524470525
1.055,175.51638176847,-178.91501959119,-130.52561165344
1.056,175.316267052,-179.090908535788,-130.663733148503
1.057,175.116042852887,-179.266835398406,-130.801888722273
1.058,174.915708855333,-179.442800386953,-130.940078137264
1.059,174.71526474281,-179.61880371058,-131.078301151895
1.06,174.514710198061,-179.794845579686,-131.216557520447
1.061,174.3140449031,-179.970926205926,-131.354846993007
1.062,174.113268539219,179.852954197785,-131.493169315429
1.063,173.912380786987,179.676795417267,-131.631524229279
1.064,173.711381326253,179.500597237068,-131.769911471788
1.065,173.510269836152,179.324359440459,-131.908330775802
1.066,173.309045995103,179.148081809431,-132.04678186973
1.067,173.107709480815,178.971764124683,-132.185264477494
1.068,172.90625997029,178.795406165623,-132.323778318479
1.069,172.704697139826,178.619007710359,-132.462323107476
1.07,172.503020665019,178.442568535697,-132.600898554636
1.071,172.301230220766,178.266088417128,-132.739504365409
1.072,172.09932548127,178.089567128833,-132.878140240496
1.073,171.897306120045,177.913004443669,-133.016805875792
1.074,171.695171809914,177.736400133168,-133.15550096233
1.075,171.492922223017,177.55975396753,-133.294225186229
1.076,171.290557030816,177.383065715618,-133.432978228631
1.077,171.088075904094,177.206335144955,-133.571759765651
1.078,170.885478512962,177.029562021714,-133.710569468313
1.079,170.682764526865,176.852746110716,-133.849407002496
1.08,170.479933614581,176.675887175425,-133.988272028875
1.081,170.27698544423,176.498984977942,-134.127164202858
1.082,170.073919683275,176.322039278999,-134.266083174529
1.083,169.87073599853,176.145049837956,-134.405028588585
1.084,169.66743405616,175.968016412793,-134.544000084275
1.085,169.464013521689,175.790938760108,-134.682997295337
1.086,169.260474060007,175.61381663511,-134.822019849937
1.087,169.056815335367,175.436649791617,-134.961067370604
1.088,168.853037011398,175.259437982045,-135.100139474164
1.089,168.649138751108,175.08218095741,-135.239235771677
1.09,168.445120216886,174.904878467319,-135.37835586837
1.091,168.24098107051,174.727530259966,-135.517499363572
1.092,168.036720973154,174.550136082129,-135.656665850643
1.093,167.832339585391,174.372695679163,-135.79585491691
1.094,167.627836567198,174.195208794997,-135.935066143595
1.095,167.423211577966,174.017675172127,-136.074299105749
1.096,167.218464276502,173.840094551615,-136.213553372176
1.097,167.013594321037,173.662466673082,-136.352828505368
1.098,166.80860136923,173.484791274706,-136.492124061427
1.099,166.60348507818,173.307068093212,-136.631439589999
1.1,166.398245104424,173.129296863875,-136.770774634192
1.101,166.192881103952,172.951477320512,-136.910128730511
1.102,165.987392732207,172.773609195477,-137.049501408773
1.103,165.781779644097,172.595692219657,-137.18889219204
1.104,165.576041493999,172.417726122472,-137.328300596536
1.105,165.370177935767,172.239710631866,-137.467726131571
1.106,165.16418862274,172.061645474305,-137.607168299463
1.107,164.958073207748,171.883530374773,-137.746626595457
1.108,164.75183134312,171.705365056768,-137.886100507646
1.109,164.545462680694,171.5271492423,-138.02558951689
1.11,164.33896687182,171.348882651884,-138.165093096731
1.111,164.132343567373,171.170565004539,-138.304610713314
1.112,163.925592417759,170.992196017783,-138.444141825299
1.113,163.718713072924,170.813775407632,-138.583685883779
1.114,163.511705182359,170.635302888592,-138.723242332192
1.115,163.304568395116,170.456778173662,-138.862810606236
1.116,163.097302359808,170.278200974325,-139.002390133779
1.117,162.889906724624,170.099571000547,-139.141980334771
1.118,162.682381137337,169.920887960775,-139.281580621157
1.119,162.474725245313,169.742151561934,-139.421190396782
1.12,162.266938695517,169.563361509421,-139.5608090573
1.121,162.059021134528,169.384517507106,-139.700435990084
1.122,161.850972208546,169.205619257329,-139.84007057413
1.123,161.642791563402,169.026666460894,-139.979712179961
1.124,161.434478844568,168.847658817069,-140.119360169535
1.125,161.226033697166,168.668596023584,-140.259013896142
1.126,161.017455765984,168.489477776629,-140.398672704314
1.127,160.808744695478,168.310303770849,-140.538335929717
1.128,160.59990012979,168.131073699343,-140.678002899058
1.129,160.390921712755,167.951787253666,-140.817672929979
1.13,160.181809087914,167.77244412382,-140.957345330957
1.131,159.972561898523,167.593043998259,-141.0970194012
1.132,159.763179787568,167.413586563882,-141.23669443054
1.133,159.553662397773,167.234071506035,-141.376369699333
1.134,159.344009371616,167.054498508507,-141.516044478344
1.135,159.134220351336,166.874867253531,-141.655718028645
1.136,158.924294978949,166.695177421783,-141.795389601501
1.137,158.714232896259,166.515428692376,-141.935058438266
1.138,158.50403374487,166.335620742866,-142.074723770262
1.139,158.293697166202,166.155753249245,-142.214384818674
1.14,158.083222801498,165.975825885945,-142.354040794431
1.141,157.872610291845,165.795838325836,-142.493690898092
1.142,157.66185927818,165.615790240222,-142.63333431973
1.143,157.450969401307,165.435681298846,-142.772970238812
1.144,157.239940301913,165.255511169887,-142.912597824081
1.145,157.028771620577,165.07527951996,-143.052216233434
1.146,156.817462997789,164.894986014115,-143.191824613801
1.147,156.60601407396,164.714630315843,-143.331422101022
1.148,156.39442448944,164.534212087067,-143.471007819721
1.149,156.182693884532,164.353730988149,-143.610580883182
1.15,155.970821899507,164.173186677892,-143.750140393216
1.151,155.758808174617,163.992578813534,-143.889685440042
1.152,155.546652350116,163.811907050755,-144.029215102146
1.153,155.334354066269,163.631171043676,-144.168728446156
1.154,155.121912963373,163.450370444859,-144.308224526709
1.155,154.909328681771,163.269504905312,-144.447702386311
1.156,154.696600861869,163.088574074485,-144.587161055208
1.157,154.483729144151,162.907577600279,-144.726599551243
1.158,154.270713169199,162.726515129042,-144.866016879719
1.159,154.057552577709,162.545386305571,-145.00541203326
1.16,153.844247010504,162.364190773121,-145.144783991666
1.161,153.630796108559,162.1829281734,-145.284131721772
1.162,153.417199513013,162.001598146573,-145.423454177302
1.163,153.20345686519,161.82020033127,-145.562750298721
1.164,152.989567806615,161.638734364583,-145.70201901309
1.165,152.775531979035,161.457199882071,-145.841259233913
1.166,152.561349024437,161.275596517764,-145.980469860986
1.167,152.347018585064,161.093923904169,-146.119649780246
1.168,152.13254030344,160.912181672267,-146.258797863613
1.169,151.917913822385,160.730369451524,-146.397912968838
1.17,151.703138785035,160.54848686989,-146.536993939341
1.171,151.488214834865,160.366533553807,-146.676039604053
1.172,151.273141615707,160.184509128212,-146.815048777253
1.173,151.057918771769,160.00241321654,-146.954020258408
1.174,150.84254594766,159.820245440733,-147.092952832004
1.175,150.627022788408,159.638005421241,-147.231845267385
1.176,150.411348939482,159.455692777031,-147.370696318576
1.177,150.195524046814,159.273307125589,-147.509504724122
1.178,149.97954775682,159.090848082929,-147.648269206911
1.179,149.763419716423,158.908315263598,-147.786988473998
1.18,149.547139573076,158.72570828068,-147.925661216436
1.181,149.330706974783,158.543026745807,-148.064286109092
1.182,149.114121570121,158.360270269161,-148.202861810472
1.183,148.897383008268,158.177438459484,-148.341386962537
1.184,148.68049093902,157.994530924086,-148.479860190521
1.185,148.463445012823,157.811547268847,-148.618280102746
1.186,148.246244880788,157.628487098233,-148.756645290433
1.187,148.028890194721,157.445350015295,-148.894954327518
1.188,147.811380607146,157.262135621685,-149.033205770454
1.189,147.593715771332,157.078843517659,-149.171398158023
1.19,147.375895341315,156.895473302088,-149.309530011142
1.191,147.157918971924,156.712024572467,-149.44759983266
1.192,146.93978631881,156.528496924924,-149.585606107166
1.193,146.721497038468,156.344889954228,-149.723547300782
1.194,146.503050788267,156.161203253801,-149.861421860965
1.195,146.284447226473,155.977436415726,-149.999228216298
1.196,146.06568601228,155.79358903076,-150.136964776284
1.197,145.846766805835,155.609660688339,-150.274629931138
1.198,145.627689268263,155.425650976597,-150.412222051572
1.199,145.408453061702,155.24155948237,-150.549739488586
1.2,145.189057849325,155.057385791209,-150.687180573248
1.201,144.969503295371,154.873129487395,-150.824543616476
1.202,144.749789065172,154.688790153948,-150.961826908823
1.203,144.529914825185,154.504367372638,-151.099028720247
1.204,144.309880243021,154.319860724,-151.236147299894
1.205,144.089684987471,154.135269787348,-151.373180875862
1.206,143.869328728542,153.950594140784,-151.510127654983
1.207,143.648811137483,153.765833361214,-151.64698582258
1.208,143.428131886815,153.580987024363,-151.783753542242
1.209,143.207290650368,153.396054704784,-151.920428955584
1.21,142.986287103306,153.21103597588,-152.057010182009
1.211,142.765120922162,153.025930409911,-152.193495318467
1.212,142.543791784869,152.840737578014,-152.329882439213
1.213,142.322299370794,152.655457050217,-152.466169595561
1.214,142.100643360766,152.470088395452,-152.602354815637
1.215,141.878823437116,152.284631181577,-152.738436104127
1.216,141.656839283704,152.099084975385,-152.874411442026
1.217,141.434690585957,151.913449342626,-153.01027878638
1.218,141.2123770309,151.727723848022,-153.146036070035
1.219,140.989898307194,151.541908055283,-153.28168120137
1.22,140.767254105166,151.356001527129,-153.417212064038
1.221,140.544444116847,151.170003825301,-153.552626516701
1.222,140.321468036007,150.983914510586,-153.687922392763
1.223,140.098325558191,150.797733142833,-153.8230975001
1.224,139.875016380753,150.61145928097,-153.958149620785
1.225,139.651540202895,150.425092483026,-154.093076510818
1.226,139.427896725702,150.238632306152,-154.227875899846
1.227,139.20408565218,150.052078306637,-154.362545490882
1.228,138.980106687293,149.865430039929,-154.497082960025
1.229,138.755959538001,149.678687060662,-154.631485956173
1.23,138.531643913295,149.491848922668,-154.765752100737
1.231,138.307159524243,149.304915179004,-154.899878987351
1.232,138.082506084019,149.117885381976,-155.033864181579
1.233,137.857683307952,148.930759083154,-155.167705220618
1.234,137.632690913556,148.743535833402,-155.301399613003
1.235,137.407528620578,148.556215182895,-155.434944838306
1.236,137.182196151032,148.368796681148,-155.568338346831
1.237,136.956693229244,148.181279877036,-155.701577559311
1.238,136.731019581888,147.993664318819,-155.834659866598
1.239,136.505174938033,147.805949554168,-155.967582629355
1.24,136.279159029181,147.618135130188,-156.100343177739
1.241,136.052971589308,147.430220593443,-156.232938811087
1.242,135.826612354909,147.242205489987,-156.365366797599
1.243,135.60008106504,147.054089365381,-156.497624374015
1.244,135.373377461357,146.865871764729,-156.62970874529
1.245,135.146501288167,146.677552232699,-156.761617084272
1.246,134.919452292464,146.489130313551,-156.893346531369
1.247,134.692230223977,146.300605551168,-157.02489419422
1.248,134.464834835215,146.111977489081,-157.156257147361
1.249,134.237265881506,145.923245670498,-157.287432431888
1.25,134.009523121052,145.734409638334,-157.418417055117
1.251,133.781606314963,145.545468935241,-157.549207990244
1.252,133.553515227312,145.356423103636,-157.679802176002
1.253,133.325249625176,145.167271685732,-157.810196516312
1.254,133.096809278683,144.978014223569,-157.940387879935
1.255,132.86819396106,144.788650259046,-158.07037310012
1.256,132.63940344868,144.599179333948,-158.200148974253
1.257,132.41043752111,144.409600989987,-158.329712263497
1.258,132.181295961154,144.219914768823,-158.459059692435
1.259,131.951978554908,144.030120212106,-158.588187948709
1.26,131.722485091805,143.840216861505,-158.717093682658
1.261,131.492815364662,143.650204258742,-158.845773506948
1.262,131.262969169734,143.460081945626,-158.974223996211
1.263,131.032946306758,143.26984946409,-159.102441686667
1.264,130.802746579007,143.079506356221,-159.230423075757
1.265,130.572369793339,142.8890521643,-159.358164621769
1.266,130.341815760244,142.698486430838,-159.485662743456
1.267,130.111084293901,142.507808698606,-159.612913819663
1.268,129.880175212223,142.31701851068,-159.739914188943
1.269,129.649088336914,142.126115410472,-159.866660149176
1.27,129.417823493516,141.935098941771,-159.993147957182
1.271,129.186380511463,141.743968648779,-160.119373828338
1.272,128.954759224135,141.55272407615,-160.245333936186
1.273,128.722959468906,141.36136476903,-160.371024412047
1.274,128.490981087203,141.169890273095,-160.496441344624
1.275,128.258823924556,140.978300134591,-160.621580779613
1.276,128.026487830649,140.786593900373,-160.746438719308
1.277,127.793972659381,140.594771117951,-160.871011122199
1.278,127.561278268913,140.402831335522,-160.995293902583
1.279,127.328404521727,140.210774102021,-161.119282930157
1.28,127.095351284678,140.018598967155,-161.242974029621
1.281,126.862118429053,139.826305481452,-161.366362980279
1.282,126.628705830621,139.633893196298,-161.48944551563
1.283,126.395113369694,139.441361663985,-161.612217322972
1.284,126.161340931179,139.248710437752,-161.73467404299
1.285,125.927388404636,139.05593907183,-161.856811269358
1.286,125.693255684334,138.863047121486,-161.978624548329
1.287,125.458942669308,138.67003414307,-162.100109378329
1.288,125.224449263417,138.476899694056,-162.221261209552
1.289,124.9897753754,138.283643333094,-162.342075443554
1.29,124.754920918932,138.090264620051,-162.462547432842
1.291,124.519885812687,137.896763116061,-162.582672480471
1.292,124.284669980389,137.70313838357,-162.702445839636
1.293,124.049273350876,137.509389986385,-162.821862713264
1.294,123.813695858158,137.315517489723,-162.940918253611
1.295,123.577937441472,137.121520460256,-163.059607561852
1.296,123.341998045343,136.927398466162,-163.177925687684
1.297,123.105877619646,136.733151077176,-163.295867628912
1.298,122.869576119661,136.538777864636,-163.413428331058
1.299,122.633093506135,136.344278401537,-163.53060268695
1.3,122.396429745343,136.149652262576,-163.647385536328
1.301,122.159584809144,135.954899024211,-163.763771665446
1.302,121.922558675045,135.760018264703,-163.879755806673
1.303,121.685351326261,135.565009564177,-163.995332638103
1.304,121.447962751773,135.369872504666,-164.110496783161
1.305,121.210392946394,135.17460667017,-164.225242810218
1.306,120.972641910822,134.979211646703,-164.3395652322
1.307,120.734709651711,134.783687022352,-164.453458506211
1.308,120.496596181722,134.588032387327,-164.566917033151
1.309,120.258301519594,134.392247334016,-164.67993515734
1.31,120.019825690197,134.196331457039,-164.792507166148
1.311,119.781168724602,134.000284353306,-164.90462728963
1.312,119.542330660135,133.804105622065,-165.01628970016
1.313,119.303311540446,133.607794864967,-165.127488512073
1.314,119.064111415564,133.411351686114,-165.238217781316
1.315,118.824730341967,133.214775692119,-165.348471505101
1.316,118.585168382638,133.018066492164,-165.45824362156
1.317,118.34542560713,132.82122369805,-165.567528009415
1.318,118.105502091629,132.624246924265,-165.676318487647
1.319,117.865397919013,132.427135788033,-165.784608815179
1.32,117.625113178921,132.229889909373,-165.892392690557
1.321,117.38464796781,132.032508911164,-165.99966375165
1.322,117.14400238902,131.834992419195,-166.106415575349
1.323,116.903176552836,131.637340062228,-166.21264167728
1.324,116.662170576552,131.439551472059,-166.318335511525
1.325,116.420984584532,131.241626283573,-166.423490470352
1.326,116.179618708276,131.043564134809,-166.528099883955
1.327,115.938073086479,130.845364667015,-166.632157020205
1.328,115.696347865096,130.647027524712,-166.735655084415
1.329,115.454443197403,130.448552355754,-166.838587219109
1.33,115.212359244063,130.249938811386,-166.940946503814
1.331,114.970096173187,130.051186546311,-167.042725954854
1.332,114.727654160395,129.852295218746,-167.143918525166
1.333,114.485033388881,129.653264490486,-167.244517104125
1.334,114.242234049474,129.454094026965,-167.344514517387
1.335,113.999256340704,129.254783497322,-167.443903526741
1.336,113.756100468857,129.055332574455,-167.542676829987
1.337,113.512766648045,128.855740935094,-167.64082706082
1.338,113.269255100266,128.656008259855,-167.73834678874
1.339,113.025566055462,128.456134233308,-167.835228518975
1.34,112.781699751587,128.256118544039,-167.931464692423
1.341,112.537656434664,128.055960884712,-168.027047685615
1.342,112.29343635885,127.855660952133,-168.121969810701
1.343,112.049039786494,127.655218447317,-168.216223315449
1.344,111.804466988202,127.454633075546,-168.309800383274
1.345,111.559718242896,127.253904546438,-168.402693133287
1.346,111.314793837874,127.053032574008,-168.494893620367
