Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S22(dB)_HFSS,S22(dB)_measured,S33(dB)_HFSS,S33(dB)_measured,S44(dB)_HFSS,S44(dB)_measured
1,-4.287506139,-4.6348395,-10.4407437,-11.280647,-4.309743536,-4.5515471,-10.41608172,-10.930903
1.001,-4.284117869,-4.5919943,-10.45465689,-11.36977,-4.306456683,-4.5181999,-10.42967784,-10.987521
1.002,-4.280728121,-4.6164355,-10.46861722,-11.385002,-4.303168305,-4.5515003,-10.4433199,-11.012508
1.003,-4.277336918,-4.6028991,-10.48262489,-11.357979,-4.299878425,-4.5391455,-10.4570081,-10.991899
1.004,-4.273944285,-4.5738692,-10.49668012,-11.371806,-4.296587064,-4.5044699,-10.47074265,-11.020203
1.005,-4.270550244,-4.593842,-10.51078312,-11.389421,-4.293294246,-4.5427904,-10.48452376,-11.057718
1.006,-4.267154818,-4.5699763,-10.52493412,-11.392499,-4.289999995,-4.5130177,-10.49835164,-11.044017
1.007,-4.263758033,-4.5485988,-10.53913332,-11.442576,-4.286704334,-4.5167837,-10.51222649,-11.087819
1.008,-4.260359912,-4.570138,-10.55338096,-11.415813,-4.283407287,-4.5027761,-10.52614852,-11.04544
1.009,-4.256960479,-4.5584912,-10.56767724,-11.440481,-4.280108877,-4.5061445,-10.54011796,-11.082186
1.01,-4.253559758,-4.5447178,-10.5820224,-11.455206,-4.276809129,-4.4737921,-10.55413501,-11.10241
1.011,-4.250157775,-4.5887618,-10.59641665,-11.496253,-4.273508066,-4.5166678,-10.56819988,-11.108741
1.012,-4.246754555,-4.5658541,-10.61086021,-11.529275,-4.270205714,-4.5222192,-10.5823128,-11.136457
1.013,-4.243350121,-4.5503926,-10.62535332,-11.525167,-4.266902097,-4.4949608,-10.59647397,-11.184651
1.014,-4.239944501,-4.5196857,-10.6398962,-11.551148,-4.263597239,-4.4865599,-10.61068363,-11.215725
1.015,-4.236537718,-4.5567379,-10.65448907,-11.549329,-4.260291167,-4.4922848,-10.62494197,-11.14613
1.016,-4.2331298,-4.5395632,-10.66913216,-11.569324,-4.256983905,-4.4596381,-10.63924924,-11.189468
1.017,-4.229720771,-4.5155745,-10.68382572,-11.614557,-4.253675478,-4.42974,-10.65360564,-11.217411
1.018,-4.226310658,-4.5477304,-10.69856995,-11.597887,-4.250365913,-4.4916344,-10.6680114,-11.265887
1.019,-4.222899488,-4.5109434,-10.71336511,-11.611734,-4.247055235,-4.4819059,-10.68246674,-11.258414
1.02,-4.219487286,-4.5378971,-10.72821142,-11.645055,-4.243743471,-4.4689255,-10.6969719,-11.30047
1.021,-4.21607408,-4.5014896,-10.74310912,-11.666297,-4.240430647,-4.4625545,-10.71152709,-11.294121
1.022,-4.212659896,-4.5015411,-10.75805844,-11.662101,-4.237116789,-4.4658494,-10.72613254,-11.308737
1.023,-4.209244763,-4.5310402,-10.77305962,-11.646029,-4.233801924,-4.4711967,-10.74078848,-11.299639
1.024,-4.205828706,-4.5174613,-10.78811291,-11.685839,-4.23048608,-4.4486709,-10.75549514,-11.338431
1.025,-4.202411755,-4.5197449,-10.80321854,-11.705967,-4.227169283,-4.4457955,-10.77025276,-11.383286
1.026,-4.198993937,-4.5167031,-10.81837675,-11.711898,-4.223851562,-4.4516025,-10.78506156,-11.348786
1.027,-4.19557528,-4.4913349,-10.83358779,-11.723287,-4.220532943,-4.4475212,-10.79992178,-11.374321
1.028,-4.192155812,-4.5052829,-10.8488519,-11.802462,-4.217213455,-4.4453411,-10.81483365,-11.412807
1.029,-4.188735562,-4.5364861,-10.86416933,-11.798717,-4.213893126,-4.4581604,-10.82979741,-11.435217
1.03,-4.185314559,-4.494844,-10.87954033,-11.7865,-4.210571984,-4.4406962,-10.8448133,-11.435358
1.031,-4.181892833,-4.4452267,-10.89496513,-11.835199,-4.207250058,-4.4000869,-10.85988156,-11.423741
1.032,-4.178470411,-4.4883175,-10.910444,-11.8603,-4.203927376,-4.4489584,-10.87500242,-11.452751
1.033,-4.175047325,-4.484611,-10.92597719,-11.840949,-4.200603969,-4.4459,-10.89017612,-11.473334
1.034,-4.171623603,-4.4944539,-10.94156494,-11.854129,-4.197279865,-4.4353442,-10.90540292,-11.473856
1.035,-4.168199276,-4.4633565,-10.95720751,-11.841393,-4.193955094,-4.3978839,-10.92068304,-11.527229
1.036,-4.164774375,-4.455986,-10.97290515,-11.887704,-4.190629686,-4.4116287,-10.93601675,-11.551644
1.037,-4.161348929,-4.4392371,-10.98865814,-11.884132,-4.187303671,-4.4070888,-10.95140428,-11.548045
1.038,-4.157922969,-4.4597635,-11.00446671,-11.901299,-4.183977079,-4.4046941,-10.96684588,-11.548675
1.039,-4.154496528,-4.4711781,-11.02033113,-11.88764,-4.180649941,-4.4090214,-10.98234181,-11.535129
1.04,-4.151069635,-4.437326,-11.03625167,-11.945582,-4.177322288,-4.3667135,-10.9978923,-11.568441
1.041,-4.147642323,-4.4923244,-11.05222858,-11.96596,-4.173994151,-4.4357686,-11.01349762,-11.59677
1.042,-4.144214623,-4.4445601,-11.06826213,-11.958803,-4.170665561,-4.4014673,-11.02915802,-11.635574
1.043,-4.140786568,-4.4424043,-11.08435258,-11.982185,-4.16733655,-4.3773499,-11.04487375,-11.588
1.044,-4.137358189,-4.4314198,-11.10050021,-12.008701,-4.16400715,-4.3614988,-11.06064506,-11.617673
1.045,-4.133929521,-4.4670691,-11.11670527,-12.037574,-4.160677393,-4.3712988,-11.07647222,-11.672144
1.046,-4.130500595,-4.402822,-11.13296804,-12.083485,-4.157347311,-4.3605514,-11.09235547,-11.675427
1.047,-4.127071444,-4.4139466,-11.1492888,-12.049566,-4.154016938,-4.3594646,-11.10829509,-11.654202
1.048,-4.123642104,-4.4208398,-11.1656678,-12.083457,-4.150686306,-4.390748,-11.12429134,-11.71086
1.049,-4.120212606,-4.400393,-11.18210534,-12.115697,-4.147355448,-4.347322,-11.14034447,-11.719254
1.05,-4.116782985,-4.4149275,-11.19860168,-12.095337,-4.144024398,-4.3765998,-11.15645475,-11.717004
1.051,-4.113353275,-4.4151912,-11.21515709,-12.054017,-4.14069319,-4.361001,-11.17262244,-11.715033
1.052,-4.109923512,-4.3939452,-11.23177187,-12.145887,-4.137361858,-4.3369627,-11.18884782,-11.754237
1.053,-4.106493729,-4.4015141,-11.24844629,-12.142615,-4.134030437,-4.3515873,-11.20513114,-11.74315
1.054,-4.103063963,-4.4259114,-11.26518063,-12.176166,-4.13069896,-4.3484836,-11.22147269,-11.785465
1.055,-4.099634248,-4.4111133,-11.28197517,-12.167747,-4.127367463,-4.3562479,-11.23787272,-11.797523
1.056,-4.096204621,-4.40418,-11.2988302,-12.201579,-4.124035982,-4.350245,-11.25433152,-11.781026
1.057,-4.092775117,-4.3591614,-11.31574601,-12.235111,-4.120704551,-4.317688,-11.27084936,-11.793333
1.058,-4.089345773,-4.3832407,-11.33272288,-12.245527,-4.117373207,-4.3260827,-11.2874265,-11.867849
1.059,-4.085916626,-4.3604989,-11.34976111,-12.235051,-4.114041985,-4.311439,-11.30406324,-11.864545
1.06,-4.082487712,-4.3811231,-11.36686098,-12.277065,-4.110710923,-4.3193026,-11.32075984,-11.873174
1.061,-4.079059069,-4.3596554,-11.38402279,-12.303508,-4.107380056,-4.3032513,-11.33751659,-11.917826
1.062,-4.075630734,-4.3704209,-11.40124682,-12.315252,-4.104049422,-4.3213992,-11.35433376,-11.894399
1.063,-4.072202745,-4.330946,-11.41853339,-12.311833,-4.100719059,-4.3066115,-11.37121164,-11.88366
1.064,-4.068775142,-4.3752098,-11.43588278,-12.359063,-4.097389004,-4.311729,-11.38815052,-11.947609
1.065,-4.065347961,-4.3226686,-11.45329529,-12.356015,-4.094059294,-4.286664,-11.40515067,-11.938257
1.066,-4.061921242,-4.3691144,-11.47077123,-12.367072,-4.090729968,-4.2908773,-11.42221239,-11.956166
1.067,-4.058495024,-4.3540149,-11.48831089,-12.391583,-4.087401065,-4.297523,-11.43933596,-11.983307
1.068,-4.055069347,-4.3265715,-11.50591459,-12.420533,-4.084072624,-4.2854199,-11.45652167,-12.024911
1.069,-4.051644251,-4.3495598,-11.52358262,-12.438151,-4.080744684,-4.2957339,-11.47376982,-12.026273
1.07,-4.048219775,-4.3325505,-11.54131529,-12.480651,-4.077417284,-4.2792969,-11.4910807,-12.067506
1.071,-4.04479596,-4.3405228,-11.55911291,-12.448228,-4.074090465,-4.2972794,-11.50845459,-12.024836
1.072,-4.041372848,-4.3404646,-11.57697579,-12.509725,-4.070764266,-4.275733,-11.52589181,-12.08534
1.073,-4.037950478,-4.3462067,-11.59490425,-12.499591,-4.067438728,-4.2960658,-11.54339263,-12.08484
1.074,-4.034528893,-4.313828,-11.61289859,-12.565337,-4.064113892,-4.2833071,-11.56095737,-12.13499
1.075,-4.031108135,-4.3413343,-11.63095914,-12.553945,-4.060789799,-4.2873082,-11.57858632,-12.136518
1.076,-4.027688245,-4.3109956,-11.6490862,-12.550935,-4.057466491,-4.2754731,-11.59627978,-12.138799
1.077,-4.024269267,-4.2962708,-11.6672801,-12.603423,-4.05414401,-4.2518725,-11.61403806,-12.206723
1.078,-4.020851243,-4.3083153,-11.68554116,-12.593076,-4.050822397,-4.2538471,-11.63186147,-12.175266
1.079,-4.017434216,-4.3211083,-11.7038697,-12.606758,-4.047501696,-4.2492542,-11.6497503,-12.202793
1.08,-4.01401823,-4.3009863,-11.72226604,-12.655972,-4.04418195,-4.238389,-11.66770486,-12.219142
1.081,-4.010603329,-4.2736211,-11.74073051,-12.692805,-4.040863201,-4.2054119,-11.68572547,-12.265414
1.082,-4.007189557,-4.3089461,-11.75926343,-12.687546,-4.037545493,-4.2266693,-11.70381243,-12.224333
1.083,-4.00377696,-4.2787147,-11.77786514,-12.72039,-4.034228871,-4.2367435,-11.72196606,-12.261549
1.084,-4.000365581,-4.2583394,-11.79653596,-12.737967,-4.030913378,-4.2102332,-11.74018667,-12.303578
1.085,-3.996955467,-4.269937,-11.81527623,-12.768561,-4.02759906,-4.2029495,-11.75847458,-12.324922
1.086,-3.993546663,-4.3037596,-11.83408627,-12.752562,-4.024285961,-4.2263422,-11.77683009,-12.332075
1.087,-3.990139216,-4.2718334,-11.85296643,-12.766071,-4.020974127,-4.1958823,-11.79525354,-12.330159
1.088,-3.986733171,-4.293736,-11.87191704,-12.83617,-4.017663604,-4.192862,-11.81374524,-12.367362
1.089,-3.983328576,-4.2940226,-11.89093844,-12.805174,-4.014354438,-4.2042704,-11.83230551,-12.383147
1.09,-3.979925479,-4.2785826,-11.91003097,-12.818909,-4.011046676,-4.2134953,-11.85093467,-12.354875
1.091,-3.976523926,-4.2297363,-11.92919498,-12.849269,-4.007740364,-4.2208548,-11.86963306,-12.409737
1.092,-3.973123966,-4.2800884,-11.9484308,-12.891203,-4.00443555,-4.1814623,-11.88840098,-12.458972
1.093,-3.969725648,-4.2490883,-11.96773878,-12.905173,-4.001132281,-4.1786208,-11.90723878,-12.44655
1.094,-3.96632902,-4.2182088,-11.98711927,-12.913608,-3.997830606,-4.1995239,-11.92614677,-12.496449
1.095,-3.962934131,-4.2452426,-12.00657262,-12.918027,-3.994530573,-4.1729984,-11.9451253,-12.505836
1.096,-3.959541032,-4.2462478,-12.02609918,-12.990315,-3.991232232,-4.1765175,-11.96417469,-12.536291
1.097,-3.956149772,-4.2158689,-12.0456993,-13.001334,-3.98793563,-4.1726608,-11.98329528,-12.536193
1.098,-3.952760402,-4.2308588,-12.06537333,-12.990685,-3.984640819,-4.1669393,-12.00248739,-12.526438
1.099,-3.949372972,-4.2504501,-12.08512164,-13.000329,-3.981347848,-4.1787257,-12.02175137,-12.538545
1.1,-3.945987534,-4.2667284,-12.10494457,-13.063787,-3.978056767,-4.1784444,-12.04108756,-12.624815
1.101,-3.94260414,-4.2086525,-12.12484249,-13.032912,-3.974767628,-4.1433878,-12.06049629,-12.626075
1.102,-3.939222842,-4.2355514,-12.14481576,-13.106128,-3.971480482,-4.1749125,-12.07997791,-12.668464
1.103,-3.935843692,-4.2582526,-12.16486474,-13.078469,-3.96819538,-4.1818204,-12.09953275,-12.678668
