Freq [GHz],S11(dB)_HFSS,S11(dB)_measured,S21(dB)_HFSS,S21(dB)_measured,S31(dB)_HFSS,S31(dB)_measured,S41(dB)_HFSS,S41(dB)_measured
1.053,-4.106493729,-4.4015141,-6.659894363,-6.1984591,-12.2148119,-11.491391,-5.257193902,-5.0601864
1.054,-4.103063963,-4.4259114,-6.663649309,-6.2094622,-12.23313279,-11.479713,-5.255918017,-5.0417714
1.055,-4.099634248,-4.4111133,-6.667426143,-6.2000217,-12.25147613,-11.526631,-5.254644261,-5.0434394
1.056,-4.096204621,-4.40418,-6.671224987,-6.2010503,-12.26984125,-11.541079,-5.25337267,-5.0372367
1.057,-4.092775117,-4.3591614,-6.675045966,-6.1828685,-12.28822744,-11.536471,-5.252103277,-5.0507827
1.058,-4.089345773,-4.3832407,-6.678889202,-6.2338181,-12.30663399,-11.606836,-5.250836119,-5.0662041
1.059,-4.085916626,-4.3604989,-6.682754822,-6.2203403,-12.32506016,-11.601919,-5.249571231,-5.0498953
1.06,-4.082487712,-4.3811231,-6.686642949,-6.2098541,-12.34350522,-11.590051,-5.248308649,-5.0268912
1.061,-4.079059069,-4.3596554,-6.690553711,-6.2733245,-12.36196838,-11.632028,-5.247048409,-5.0515981
1.062,-4.075630734,-4.3704209,-6.694487235,-6.2359018,-12.38044888,-11.644479,-5.245790547,-5.0439062
1.063,-4.072202745,-4.330946,-6.698443647,-6.2273517,-12.3989459,-11.654819,-5.244535101,-5.0098891
1.064,-4.068775142,-4.3752098,-6.702423076,-6.2373247,-12.41745862,-11.674725,-5.243282106,-5.027184
1.065,-4.065347961,-4.3226686,-6.70642565,-6.2252493,-12.4359862,-11.642493,-5.2420316,-5.0265565
1.066,-4.061921242,-4.3691144,-6.7104515,-6.2226281,-12.45452778,-11.716839,-5.240783621,-5.0200882
1.067,-4.058495024,-4.3540149,-6.714500755,-6.2406387,-12.47308249,-11.71854,-5.239538207,-5.0022559
1.068,-4.055069347,-4.3265715,-6.718573546,-6.2258172,-12.49164942,-11.74432,-5.238295395,-5.0099969
1.069,-4.051644251,-4.3495598,-6.722670005,-6.2636991,-12.51022766,-11.773101,-5.237055224,-5.0286126
1.07,-4.048219775,-4.3325505,-6.726790263,-6.2601609,-12.52881626,-11.762985,-5.235817732,-5.0498729
