!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Tuesday, March 08, 2016 15:07:48
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11 Log Mag(dB),S11 Phase(°)
1158000000,-4.6797667,155.31488
1159000000,-4.7103133,155.27815
1160000000,-4.6721821,155.12799
1161000000,-4.6852679,155.36424
1162000000,-4.684761,155.25787
1163000000,-4.7037249,155.24524
1164000000,-4.6874604,155.30347
1165000000,-4.6801267,155.11682
1166000000,-4.6709042,155.11794
1167000000,-4.6841645,155.26523
1168000000,-4.6831098,155.13853
1169000000,-4.6912761,154.72633
1170000000,-4.6511636,155.04047
1171000000,-4.7017217,154.91602
1172000000,-4.692234,154.79388
1173000000,-4.6936789,154.67062
1174000000,-4.691287,154.73276
1175000000,-4.6610856,154.52621
1176000000,-4.6843557,154.63231
1177000000,-4.7275214,154.46819
1178000000,-4.6567535,154.6678
1179000000,-4.7063179,154.58939
1180000000,-4.6476111,154.2719
1181000000,-4.7080722,154.30637
1182000000,-4.6665411,154.22211
1183000000,-4.6350121,154.45485
1184000000,-4.6757593,154.29865
1185000000,-4.7050357,154.25331
1186000000,-4.6721525,154.24637
1187000000,-4.6923623,154.07574
1188000000,-4.6391191,153.92621
1189000000,-4.6629057,153.92104
1190000000,-4.6756768,154.04379
1191000000,-4.6357312,153.93271
1192000000,-4.6518064,153.80899
1193000000,-4.7017031,153.98753
1194000000,-4.6679111,153.93483
1195000000,-4.6666994,153.67648
1196000000,-4.6264033,153.84686
1197000000,-4.6814494,153.49631
1198000000,-4.6525898,153.76892
1199000000,-4.6824961,153.45975
1200000000,-4.6603599,153.54689
1201000000,-4.6611295,153.56387
1202000000,-4.6620798,153.49789
1203000000,-4.6627393,153.36009
1204000000,-4.6643472,153.54102
1205000000,-4.6553097,153.3499
1206000000,-4.6820884,153.59898
1207000000,-4.6680126,153.53201
1208000000,-4.6444445,153.13194
1209000000,-4.6496491,153.21634
1210000000,-4.668931,153.11963
1211000000,-4.6446624,153.22205
1212000000,-4.687336,152.8815
1213000000,-4.6667418,153.03331
1214000000,-4.6633639,152.70892
1215000000,-4.6340175,153.07135
1216000000,-4.6670489,153.07329
1217000000,-4.6335187,152.87915
1218000000,-4.6209598,152.84425
1219000000,-4.6493959,152.78883
1220000000,-4.6554804,152.7572
1221000000,-4.6397619,152.7518
1222000000,-4.6551924,152.60855
1223000000,-4.6553946,152.52646
1224000000,-4.6626196,152.48532
1225000000,-4.6426086,152.45403
1226000000,-4.6691165,152.41301
1227000000,-4.6924677,152.25615
1228000000,-4.6465106,152.1082
1229000000,-4.6406817,152.42598
1230000000,-4.6304512,152.13284
1231000000,-4.6514964,151.82246
1232000000,-4.7039304,152.32515
1233000000,-4.6336832,152.0732
1234000000,-4.6734891,152.16809
1235000000,-4.6398807,151.91487
1236000000,-4.6269774,151.88089
1237000000,-4.634223,151.81485
1238000000,-4.6415691,151.90137
1239000000,-4.6563215,151.80215
1240000000,-4.6433511,151.72504
1241000000,-4.6570983,151.69888
1242000000,-4.6199355,151.6176
1243000000,-4.6231661,151.82368
1244000000,-4.627892,151.55618
1245000000,-4.6367159,151.54657
1246000000,-4.6584325,151.18425
1247000000,-4.6369624,151.33267
1248000000,-4.6546259,151.26651
1249000000,-4.6512933,151.52008
1250000000,-4.6470585,151.35106
1251000000,-4.6548266,151.12415
1252000000,-4.6144099,150.92703
1253000000,-4.6835852,151.06596
1254000000,-4.6668887,151.12363
1255000000,-4.6455388,151.17145
1256000000,-4.6471548,151.11108
1257000000,-4.6439691,151.01035
1258000000,-4.6422486,150.91867
1259000000,-4.6741085,151.00798
1260000000,-4.6417618,150.75011
1261000000,-4.642571,150.87454
1262000000,-4.6650696,150.53546
1263000000,-4.6442533,150.62506
1264000000,-4.6672802,150.81467
1265000000,-4.6423745,150.8156
1266000000,-4.6682506,150.73889
1267000000,-4.6337152,150.51315
1268000000,-4.6559758,150.51889
1269000000,-4.6392951,150.31944
1270000000,-4.6606503,150.46179
1271000000,-4.6591268,150.28026
1272000000,-4.6692915,150.26158
1273000000,-4.6425757,150.23509
1274000000,-4.6545601,150.24492
1275000000,-4.6479111,149.90602
1276000000,-4.6392741,150.31747
1277000000,-4.6192722,149.98441
1278000000,-4.6479597,149.84343
1279000000,-4.6817379,149.96884
1280000000,-4.6923966,149.74179
1281000000,-4.6702166,149.80432
1282000000,-4.6661606,149.85936
1283000000,-4.6573653,149.44922
1284000000,-4.6416793,149.74622
1285000000,-4.6427331,149.45552
1286000000,-4.6455765,149.63664
1287000000,-4.6556973,149.65639
1288000000,-4.6378717,149.49062
1289000000,-4.6849413,149.33029
1290000000,-4.6508737,149.39049
1291000000,-4.6903291,149.44936
1292000000,-4.6568489,149.11443
1293000000,-4.6447029,149.00076
1294000000,-4.6466298,149.31543
1295000000,-4.6491818,149.10387
1296000000,-4.6646247,149.27368
1297000000,-4.6762147,149.03806
1298000000,-4.6578531,148.86644
1299000000,-4.660224,149.08736
1300000000,-4.6521077,148.96783
1301000000,-4.6841717,148.65245
1302000000,-4.6552424,148.90321
1303000000,-4.6469054,148.83797
1304000000,-4.667717,148.77322
1305000000,-4.679656,148.69751
1306000000,-4.6729388,148.55882
1307000000,-4.663455,148.47133
1308000000,-4.679482,148.57292
1309000000,-4.6788073,148.62827
1310000000,-4.6579103,148.26898
1311000000,-4.6470909,148.31314
1312000000,-4.6660471,148.30705
1313000000,-4.6756582,148.22015
1314000000,-4.6975584,148.12926
1315000000,-4.6611109,148.07658
1316000000,-4.6842718,148.16002
1317000000,-4.6407695,148.09657
1318000000,-4.6730437,147.86963
1319000000,-4.6841664,147.96664
1320000000,-4.647491,148.08652
1321000000,-4.6785569,147.85564
1322000000,-4.6759858,147.75984
1323000000,-4.7039661,147.6284
1324000000,-4.6809459,147.78751
1325000000,-4.6793499,147.7859
1326000000,-4.6459384,147.80972
1327000000,-4.6819711,147.49864
