Freq [GHz],"dB(S(1,1)) []","dB(S(2,1)) []","dB(S(3,1)) []","dB(S(4,1)) []"
4.638,-6.0455466563,-6.261111248,-6.867419353,-6.1836917384
4.639,-6.0473547378,-6.2609492354,-6.8644482707,-6.184653669
4.64,-6.0491590401,-6.2607874969,-6.8614866743,-6.1856138906
4.641,-6.0509595548,-6.2606260305,-6.8585345477,-6.1865724039
4.642,-6.0527562737,-6.260464834,-6.8555918749,-6.1875292096
4.643,-6.0545491884,-6.2603039055,-6.8526586402,-6.1884843087
4.644,-6.0563382907,-6.2601432428,-6.8497348277,-6.189437702
4.645,-6.0581235721,-6.259982844,-6.8468204217,-6.1903893904
4.646,-6.0599050244,-6.259822707,-6.8439154067,-6.191339375
4.647,-6.0616826391,-6.25966283,-6.8410197672,-6.1922876568
4.648,-6.0634564078,-6.259503211,-6.8381334876,-6.193234237
4.649,-6.065226322,-6.2593438481,-6.8352565529,-6.1941791167
4.65,-6.0669923733,-6.2591847394,-6.8323889476,-6.1951222972
4.651,-6.0687545532,-6.2590258831,-6.8295306567,-6.1960637798
4.652,-6.0705128532,-6.2588672775,-6.8266816651,-6.1970035659
4.653,-6.0722672647,-6.2587089206,-6.823841958,-6.1979416569
4.654,-6.0740177792,-6.2585508109,-6.8210115203,-6.1988780544
4.655,-6.0757643881,-6.2583929464,-6.8181903375,-6.1998127598
4.656,-6.0775070827,-6.2582353256,-6.8153783947,-6.2007457747
4.657,-6.0792458545,-6.2580779467,-6.8125756775,-6.201677101
4.658,-6.0809806948,-6.2579208082,-6.8097821712,-6.2026067402
4.659,-6.0827115949,-6.2577639083,-6.8069978616,-6.2035346943
4.66,-6.0844385461,-6.2576072456,-6.8042227343,-6.2044609651
4.661,-6.0861615397,-6.2574508183,-6.8014567751,-6.2053855544
4.662,-6.087880567,-6.2572946251,-6.7986999698,-6.2063084645
4.663,-6.0895956191,-6.2571386643,-6.7959523045,-6.2072296972
4.664,-6.0913066873,-6.2569829346,-6.793213765,-6.2081492547
4.665,-6.0930137628,-6.2568274343,-6.7904843377,-6.2090671393
4.666,-6.0947168367,-6.2566721622,-6.7877640086,-6.2099833531
4.667,-6.0964159001,-6.2565171167,-6.7850527642,-6.2108978985
4.668,-6.0981109442,-6.2563622966,-6.7823505907,-6.211810778
4.669,-6.09980196,-6.2562077004,-6.7796574748,-6.2127219939
4.67,-6.1014889387,-6.2560533268,-6.7769734029,-6.2136315487
4.671,-6.1031718712,-6.2558991746,-6.7742983618,-6.2145394451
4.672,-6.1048507486,-6.2557452424,-6.7716323381,-6.2154456858
4.673,-6.1065255618,-6.2555915289,-6.7689753188,-6.2163502734
4.674,-6.1081963019,-6.2554380331,-6.7663272907,-6.2172532107
4.675,-6.1098629597,-6.2552847535,-6.7636882408,-6.2181545007
