"Freq [GHz]","dB(S(3,2)) []","dB(S(4,2)) []","dB(S(4,3)) []"
1,-5.3107559815214,-4.48476515008961,-6.56839272412056
1.001,-5.30933473633675,-4.48108360567895,-6.57129239164002
1.002,-5.30791435264982,-4.47739548087614,-6.57420878998876
1.003,-5.30649485584597,-4.47370076462951,-6.57714201543935
1.004,-5.30507627150356,-4.46999944589444,-6.58009216479798
1.005,-5.30365862539545,-4.46629151363405,-6.58305933540728
1.006,-5.30224194349041,-4.46257695681996,-6.58604362514909
1.007,-5.30082625195464,-4.45885576443286,-6.58904513244723
1.008,-5.29941157715323,-4.45512792546336,-6.59206395627031
1.009,-5.29799794565166,-4.45139342891267,-6.59510019613452
1.01,-5.29658538421731,-4.4476522637933,-6.59815395210649
1.011,-5.29517391982096,-4.44390441912987,-6.60122532480607
1.012,-5.29376357963834,-4.44014988395983,-6.60431441540915
1.013,-5.29235439105164,-4.43638864733421,-6.60742132565059
1.014,-5.29094638165111,-4.43262069831848,-6.61054615782694
1.015,-5.28953957923653,-4.42884602599324,-6.61368901479943
1.016,-5.28813401181888,-4.42506461945509,-6.61684999999673
1.017,-5.28672970762186,-4.4212764678174,-6.62002921741789
1.018,-5.28532669508347,-4.41748156021119,-6.6232267716352
1.019,-5.28392500285768,-4.41367988578589,-6.62644276779709
1.02,-5.28252465981596,-4.40987143371023,-6.62967731163099
1.021,-5.28112569504898,-4.40605619317312,-6.6329305094463
1.022,-5.27972813786819,-4.40223415338444,-6.63620246813725
1.023,-5.27833201780751,-4.39840530357602,-6.63949329518585
1.024,-5.27693736462495,-4.39456963300242,-6.64280309866479
1.025,-5.27554420830429,-4.39072713094197,-6.64613198724041
1.026,-5.27415257905679,-4.38687778669754,-6.6494800701756
1.027,-5.27276250732285,-4.38302158959756,-6.65284745733278
1.028,-5.27137402377372,-4.37915852899698,-6.65623425917681
1.029,-5.26998715931321,-4.3752885942781,-6.65964058677803
1.03,-5.26860194507945,-4.37141177485167,-6.66306655181512
1.031,-5.26721841244657,-4.3675280601578,-6.66651226657815
1.032,-5.2658365930265,-4.36363743966695,-6.66997784397152
1.033,-5.26445651867071,-4.35973990288095,-6.67346339751695
1.034,-5.26307822147197,-4.35583543933399,-6.67696904135647
1.035,-5.26170173376616,-4.35192403859368,-6.68049489025538
1.036,-5.26032708813405,-4.34800569026207,-6.68404105960531
1.037,-5.2589543174031,-4.3440803839767,-6.68760766542715
1.038,-5.25758345464931,-4.34014810941169,-6.69119482437409
1.039,-5.256214533199,-4.33620885627878,-6.6948026537346
1.04,-5.25484758663071,-4.33226261432848,-6.6984312714355
1.041,-5.25348264877701,-4.3283093733511,-6.70208079604489
1.042,-5.25211975372638,-4.32434912317797,-6.70575134677522
1.043,-5.25075893582509,-4.32038185368247,-6.7094430434863
1.044,-5.2494002296791,-4.31640755478126,-6.71315600668832
1.045,-5.24804367015593,-4.31242621643541,-6.71689035754486
1.046,-5.24668929238661,-4.30843782865154,-6.72064621787591
1.047,-5.2453371317676,-4.30444238148309,-6.72442371016095
1.048,-5.24398722396269,-4.30043986503147,-6.72822295754188
1.049,-5.24263960490499,-4.29643026944727,-6.73204408382615
1.05,-5.24129431079887,-4.29241358493153,-6.73588721348971
1.051,-5.23995137812196,-4.28838980173697,-6.73975247168007
1.052,-5.2386108436271,-4.28435891016927,-6.74363998421933
1.053,-5.23727274434436,-4.2803209005883,-6.74754987760719
1.054,-5.23593711758304,-4.27627576340947,-6.75148227902401
1.055,-5.23460400093371,-4.27222348910501,-6.75543731633375
1.056,-5.23327343227021,-4.26816406820528,-6.7594151180871
1.057,-5.23194544975175,-4.26409749130014,-6.76341581352442
1.058,-5.23062009182488,-4.26002374904029,-6.76743953257877
1.059,-5.22929739722568,-4.25594283213863,-6.77148640587896
1.06,-5.22797740498173,-4.25185473137164,-6.7755565647525
1.061,-5.22666015441428,-4.24775943758081,-6.77965014122865
1.062,-5.22534568514031,-4.24365694167402,-6.7837672680414
