Freq(Hz),S11(dB)_milled,S11(dB)_HFSS,S11(dB)_z0lver
1000000000,-14.300021,-13.64235685,-12.91137301
1001000000,-14.306345,-13.64880216,-12.91559456
1002000000,-14.278394,-13.65524827,-12.91982331
1003000000,-14.290505,-13.66169517,-12.92405602
1004000000,-14.275203,-13.66814284,-12.92829704
1005000000,-14.321868,-13.67459129,-12.93254312
1006000000,-14.305704,-13.68104049,-12.93679752
1007000000,-14.304113,-13.68749044,-12.94105482
1008000000,-14.306793,-13.69394113,-12.94532046
1009000000,-14.316817,-13.70039254,-12.949589
1010000000,-14.279301,-13.70684468,-12.95386372
1011000000,-14.339478,-13.71329754,-12.95814463
1012000000,-14.363085,-13.71975109,-12.96243173
1013000000,-14.353533,-13.72620534,-12.9667272
1014000000,-14.317296,-13.73266027,-12.9710267
1015000000,-14.381784,-13.73911587,-12.97533024
1016000000,-14.351166,-13.74557214,-12.97964217
1017000000,-14.354682,-13.75202906,-12.98396033
1018000000,-14.400917,-13.75848663,-12.98828364
1019000000,-14.396955,-13.76494484,-12.99261318
1020000000,-14.393271,-13.77140368,-12.99694897
1021000000,-14.409789,-13.77786313,-13.00128993
1022000000,-14.337261,-13.78432319,-13.00563605
1023000000,-14.4259,-13.79078386,-13.00998844
1024000000,-14.398869,-13.79724511,-13.0143482
1025000000,-14.446362,-13.80370695,-13.01871424
1026000000,-14.397699,-13.81016936,-13.02308658
1027000000,-14.431259,-13.81663234,-13.02746412
1028000000,-14.439301,-13.82309587,-13.03184906
1029000000,-14.466365,-13.82955994,-13.03623702
1030000000,-14.462805,-13.83602455,-13.0406324
1031000000,-14.438236,-13.84248969,-13.045033
1032000000,-14.46242,-13.84895535,-13.04943994
1033000000,-14.44999,-13.85542152,-13.05385322
1034000000,-14.48852,-13.86188819,-13.05827615
1035000000,-14.448808,-13.86835535,-13.06270214
1036000000,-14.45181,-13.874823,-13.06713338
1037000000,-14.439985,-13.88129112,-13.0715721
1038000000,-14.503059,-13.8877597,-13.076015
1039000000,-14.535621,-13.89422874,-13.08046428
1040000000,-14.484746,-13.90069823,-13.08492105
1041000000,-14.573742,-13.90716815,-13.08938202
