Freq(Hz),S21(dB)_milled,S21(dB)_HFSS,S21(dB)_z0lver
1000000000,-3.3031089,-3.407998097,-3.860542723
1001000000,-3.3200655,-3.407945447,-3.860197237
1002000000,-3.3256302,-3.407893166,-3.859850886
1003000000,-3.3444421,-3.407841253,-3.859504548
1004000000,-3.296206,-3.407789709,-3.859158221
1005000000,-3.3582709,-3.407738532,-3.858812783
1006000000,-3.3314629,-3.407687722,-3.858468234
1007000000,-3.315927,-3.407637278,-3.858121943
1008000000,-3.2936885,-3.407587199,-3.857775665
1009000000,-3.3323593,-3.407537485,-3.857428521
1010000000,-3.3162453,-3.407488134,-3.857080514
1011000000,-3.3437617,-3.407439148,-3.856734271
1012000000,-3.330678,-3.407390523,-3.856387164
1013000000,-3.2955241,-3.407342261,-3.856040945
1014000000,-3.3116651,-3.40729436,-3.855692986
1015000000,-3.3024576,-3.40724682,-3.855345915
1016000000,-3.2963843,-3.40719964,-3.854996226
1017000000,-3.3164914,-3.407152819,-3.854650932
1018000000,-3.3506289,-3.407106356,-3.854301268
1019000000,-3.3096333,-3.407060252,-3.853953369
1020000000,-3.3170166,-3.407014505,-3.853606359
1021000000,-3.2971575,-3.406969114,-3.853254979
1022000000,-3.3414946,-3.406924079,-3.852908869
1023000000,-3.3591683,-3.406879399,-3.852558389
1024000000,-3.3641713,-3.406835074,-3.852208799
1025000000,-3.3502083,-3.406791103,-3.851860096
1026000000,-3.3342662,-3.406747484,-3.85151053
1027000000,-3.3055775,-3.406704218,-3.851163604
1028000000,-3.3440511,-3.406661304,-3.850813186
1029000000,-3.3366563,-3.406618741,-3.85046278
1030000000,-3.3286898,-3.406576527,-3.850112387
1031000000,-3.3206503,-3.406534664,-3.849762882
1032000000,-3.3316619,-3.406493149,-3.849409885
1033000000,-3.3415239,-3.406451983,-3.84906128
1034000000,-3.3401482,-3.406411164,-3.848712688
1035000000,-3.3226011,-3.406370691,-3.84836148
1036000000,-3.316937,-3.406330565,-3.848012912
1037000000,-3.3211832,-3.406290784,-3.847659101
1038000000,-3.3153489,-3.406251347,-3.847309681
1039000000,-3.3463182,-3.406212255,-3.846957647
1040000000,-3.3112123,-3.406173505,-3.846605625
1041000000,-3.336257,-3.406135098,-3.846254491
1042000000,-3.3346972,-3.406097033,-3.845904245
1043000000,-3.3056855,-3.406059309,-3.845551385
1044000000,-3.3006067,-3.406021925,-3.845199412
1045000000,-3.3326757,-3.40598488,-3.844848328
1046000000,-3.3098171,-3.405948175,-3.844495504
1047000000,-3.324882,-3.405911807,-3.844143569
1048000000,-3.3325219,-3.405875777,-3.843790771
1049000000,-3.2999284,-3.405840084,-3.843437985
1050000000,-3.312216,-3.405804727,-3.843084336
1051000000,-3.3498542,-3.405769704,-3.842731575
1052000000,-3.3397498,-3.405735017,-3.842379702
1053000000,-3.3156869,-3.405700663,-3.84202434
1054000000,-3.3176925,-3.405666641,-3.841671616
1055000000,-3.3199441,-3.405632953,-3.84131803
1056000000,-3.3184454,-3.405599596,-3.840964456
1057000000,-3.2987981,-3.405566569,-3.84061177
1058000000,-3.3537502,-3.405533873,-3.840258221
1059000000,-3.3422277,-3.405501506,-3.839902935
1060000000,-3.2992275,-3.405469468,-3.839550286
1061000000,-3.3361983,-3.405437757,-3.839195025
1062000000,-3.3336556,-3.405406374,-3.838841526
1063000000,-3.2845469,-3.405375317,-3.838485415
1064000000,-3.3420646,-3.405344586,-3.838132816
1065000000,-3.3033853,-3.40531418,-3.837777605
1066000000,-3.3479021,-3.405284098,-3.837424156
1067000000,-3.3162873,-3.405254339,-3.837067221
1068000000,-3.2969613,-3.405224903,-3.836709423
1069000000,-3.3263743,-3.405195789,-3.836355138
1070000000,-3.3315251,-3.405166997,-3.836001739
1071000000,-3.3096399,-3.405138525,-3.835646604
1072000000,-3.3251798,-3.405110372,-3.835288857
1073000000,-3.3367116,-3.405082539,-3.834934622
1074000000,-3.2916262,-3.405055024,-3.834577775
1075000000,-3.3485451,-3.405027826,-3.834221816
1076000000,-3.3235183,-3.405000945,-3.833866744
1077000000,-3.3420601,-3.40497438,-3.833509061
1078000000,-3.302496,-3.404948131,-3.833152265
1079000000,-3.3202212,-3.404922196,-3.832794607
1080000000,-3.3189657,-3.404896575,-3.832439586
1081000000,-3.3335114,-3.404871267,-3.832081954
1082000000,-3.3751006,-3.404846271,-3.831726083
1083000000,-3.3406274,-3.404821587,-3.831368477
1084000000,-3.3123097,-3.404797213,-3.831011757
1085000000,-3.3216343,-3.40477315,-3.830654177
1086000000,-3.3279614,-3.404749396,-3.830297483
1087000000,-3.2983701,-3.404725951,-3.829940801
1088000000,-3.3447397,-3.404702814,-3.829582385
1089000000,-3.315136,-3.404679983,-3.829225729
1090000000,-3.3181629,-3.40465746,-3.828865589
1091000000,-3.3104694,-3.404635241,-3.828508959
1092000000,-3.3319159,-3.404613328,-3.828150594
1093000000,-3.3192346,-3.404591719,-3.827792241
1094000000,-3.322859,-3.404570413,-3.827434775
1095000000,-3.3301446,-3.40454941,-3.827075574
1096000000,-3.3383682,-3.404528709,-3.82671726
1097000000,-3.3154953,-3.404508309,-3.826358085
1098000000,-3.3254166,-3.404488209,-3.825999796
1099000000,-3.337347,-3.404468409,-3.825640647
1100000000,-3.3446696,-3.404448908,-3.825280637
1101000000,-3.3250246,-3.404429706,-3.824922387
1102000000,-3.3151324,-3.4044108,-3.824563276
1103000000,-3.3110652,-3.404392192,-3.824204178
1104000000,-3.3133545,-3.40437388,-3.82384422
1105000000,-3.3489497,-3.404355862,-3.823484274
1106000000,-3.3195403,-3.40433814,-3.823126089
1107000000,-3.318223,-3.404320711,-3.822765295
1108000000,-3.3301737,-3.404303575,-3.822406262
1109000000,-3.2983696,-3.404286731,-3.822044621
1110000000,-3.3268585,-3.40427018,-3.82168474
1111000000,-3.3236947,-3.404253919,-3.821325745
1112000000,-3.3107107,-3.404237948,-3.820964144
1113000000,-3.3270438,-3.404222266,-3.820602555
1114000000,-3.3428516,-3.404206873,-3.820243599
1115000000,-3.3153305,-3.404191768,-3.819883783
1116000000,-3.3317859,-3.40417695,-3.819522233
1117000000,-3.299964,-3.404162419,-3.819162443
1118000000,-3.3330905,-3.404148173,-3.818801793
1119000000,-3.2983,-3.404134213,-3.818438536
1120000000,-3.3234932,-3.404120536,-3.818077912
1121000000,-3.3158226,-3.404107143,-3.8177173
1122000000,-3.3317032,-3.404094033,-3.817355829
1123000000,-3.299938,-3.404081206,-3.81699437
1124000000,-3.2799673,-3.404068659,-3.816632052
1125000000,-3.3292546,-3.404056393,-3.81627062
1126000000,-3.3024545,-3.404044407,-3.815910947
1127000000,-3.3259292,-3.4040327,-3.815547795
1128000000,-3.3190017,-3.404021272,-3.815186402
1129000000,-3.3392096,-3.404010122,-3.814824149
1130000000,-3.3335533,-3.403999248,-3.814461909
