frequency, S11, S12, S13, S21, S22, S23, S31, S32, S33
1000000000.0000000000, -12.9113730111, -3.8605418458, -3.8605418458, -3.8605427227, -21.1799872723, -10.6404338174, -3.8605435995, -10.6404338174, -21.1799854139
1001000000.0000000000, -12.9155945572, -3.8601972370, -3.8601972370, -3.8601972370, -21.1948992880, -10.6485514861, -3.8601981138, -10.6485532149, -21.1948968064
1002000000.0000000000, -12.9198233101, -3.8598517632, -3.8598508864, -3.8598508864, -21.2098155553, -10.6566670989, -3.8598517632, -10.6566679640, -21.2098199046
1003000000.0000000000, -12.9240560225, -3.8595045478, -3.8595036710, -3.8595045478, -21.2247447715, -10.6647858401, -3.8595054246, -10.6647875717, -21.2247460160
1004000000.0000000000, -12.9282970416, -3.8591599747, -3.8591599747, -3.8591582212, -21.2396757440, -10.6729085786, -3.8591590980, -10.6729085786, -21.2396807294
1005000000.0000000000, -12.9325431187, -3.8588127834, -3.8588127834, -3.8588127834, -21.2546171849, -10.6810257795, -3.8588136601, -10.6810249123, -21.2546178091
1006000000.0000000000, -12.9367975193, -3.8584673574, -3.8584673574, -3.8584682341, -21.2695659828, -10.6891478389, -3.8584682341, -10.6891495747, -21.2695647327
1007000000.0000000000, -12.9410548178, -3.8581219434, -3.8581219434, -3.8581219434, -21.2845196331, -10.6972712886, -3.8581228201, -10.6972704200, -21.2845233890
1008000000.0000000000, -12.9453204550, -3.8577747881, -3.8577747881, -3.8577756647, -21.2994774972, -10.7053943883, -3.8577756647, -10.7053943883, -21.2994850203
1009000000.0000000000, -12.9495890005, -3.8574285214, -3.8574285214, -3.8574285214, -21.3144502343, -10.7135188716, -3.8574293980, -10.7135188716, -21.3144489786
1010000000.0000000000, -12.9538637228, -3.8570813901, -3.8570805135, -3.8570805135, -21.3294259303, -10.7216412537, -3.8570813901, -10.7216438659, -21.3294271879
1011000000.0000000000, -12.9581446292, -3.8567342709, -3.8567342709, -3.8567342709, -21.3444089732, -10.7297719813, -3.8567342709, -10.7297728527, -21.3444070840
1012000000.0000000000, -12.9624317267, -3.8563871637, -3.8563871637, -3.8563871637, -21.3594006237, -10.7378979872, -3.8563871637, -10.7378962429, -21.3593943168
