Freq(Hz),S11(Phase)_milled,S11(Phase)_z0lver
1000000000,119.21049,145.6133093
1001000000,119.28559,145.5780376
1002000000,119.51999,145.5427659
1003000000,119.35461,145.5074941
1004000000,119.5321,145.4722127
1005000000,119.28111,145.436941
1006000000,119.12949,145.4016499
1007000000,119.29576,145.3663879
1008000000,119.21896,145.3310968
1009000000,119.24446,145.2958154
1010000000,119.15956,145.2605339
1011000000,118.46354,145.2252428
1012000000,118.83692,145.189942
1013000000,118.59124,145.1546508
1014000000,118.7683,145.1193597
1015000000,118.97276,145.0840491
1016000000,119.06185,145.0487483
1017000000,118.95971,145.0134572
1018000000,118.62856,144.9781563
1019000000,118.39742,144.9428263
1020000000,118.63709,144.9075352
1021000000,118.51868,144.8722149
1022000000,118.67869,144.8368946
1023000000,118.32308,144.8015647
1024000000,118.60519,144.7662541
1025000000,118.60267,144.7309338
1026000000,117.92841,144.6956038
1027000000,118.20049,144.6602738
1028000000,117.96685,144.6249439
1029000000,118.27441,144.5896139
1030000000,117.94181,144.5542742
1031000000,118.06896,144.5189345
1032000000,117.9753,144.4835948
1033000000,118.17898,144.4482551
1034000000,118.03874,144.4129056
1035000000,117.95135,144.3775659
1036000000,118.27934,144.3422068
1037000000,117.96141,144.3068574
1038000000,118.05359,144.271508
1039000000,117.72606,144.2361391
1040000000,117.70921,144.20078
1041000000,118.04272,144.1654209
1042000000,117.64339,144.130052
1043000000,117.75079,144.0946832
1044000000,117.53361,144.0593338
1045000000,117.43725,144.0239552
1046000000,117.69833,143.9885669
1047000000,117.71529,143.9531884
1048000000,117.66681,143.9178098
1049000000,117.52718,143.8824313
1050000000,117.69962,143.8470527
1051000000,117.27011,143.8116547
1052000000,117.12977,143.7762762
1053000000,117.00912,143.7408782
1054000000,116.90977,143.7054899
1055000000,117.16236,143.6700919
1056000000,117.23563,143.6346842
1057000000,117.01902,143.5992765
1058000000,117.21377,143.5638688
1059000000,116.66228,143.5284611
1060000000,116.97213,143.4930534
1061000000,116.93268,143.4576457
1062000000,116.89941,143.4222283
1063000000,116.82402,143.3868206
1064000000,117.30669,143.3513935
1065000000,116.597,143.315976
1066000000,116.74176,143.2805489
1067000000,116.86831,143.2451218
1068000000,116.62206,143.2096849
1069000000,116.78815,143.1742578
1070000000,116.619,143.1388113
1071000000,116.67765,143.1033938
1072000000,116.37334,143.0679473
1073000000,116.35899,143.0325104
1074000000,116.60293,142.9970736
1075000000,116.5543,142.9616076
1076000000,116.63306,142.9261708
1077000000,116.76625,142.8907145
1078000000,116.08965,142.8552679
1079000000,116.01923,142.819802
1080000000,116.17599,142.7843554
1081000000,116.16558,142.7488894
1082000000,116.12836,142.7134331
1083000000,116.22675,142.6779672
1084000000,115.87576,142.6424915
1085000000,115.878,142.6070255
1086000000,115.74547,142.5715498
1087000000,116.1557,142.5360935
1088000000,116.0674,142.5005984
1089000000,115.59924,142.4651227
1090000000,115.82692,142.4296373
1091000000,115.45879,142.3941616
1092000000,115.70139,142.3586664
1093000000,115.71995,142.323181
1094000000,115.76488,142.2876859
1095000000,115.88066,142.2522005
1096000000,115.5644,142.2166956
1097000000,115.51655,142.1811908
1098000000,115.6168,142.145686
1099000000,115.64585,142.1101908
1100000000,115.22162,142.0746666
1101000000,115.31175,142.0391617
1102000000,115.03343,142.0036472
1103000000,114.95413,141.9681423
1104000000,115.22932,141.9326278
1105000000,115.13616,141.8971132
1106000000,114.84315,141.8615987
1107000000,115.06103,141.8260647
1108000000,114.83591,141.7905307
1109000000,114.81709,141.7550064
1110000000,115.09547,141.7194724
1111000000,115.00106,141.6839288
1112000000,114.50759,141.6483948
1113000000,114.91134,141.6128511
1114000000,114.72157,141.5773268
1115000000,114.89577,141.5417734
1116000000,114.70004,141.5062297
1117000000,114.5209,141.4706763
1118000000,114.92912,141.4351132
1119000000,114.38305,141.3995695
1120000000,114.63314,141.364016
1121000000,114.37197,141.3284529
1122000000,114.47814,141.2928898
1123000000,114.26135,141.257317
1124000000,114.33375,141.2217538
1125000000,114.51885,141.186181
1126000000,114.16283,141.1506179
1127000000,114.07837,141.1150256
1128000000,114.16096,141.0794528
1129000000,113.94122,141.0438702
1130000000,113.92757,141.0082974
1131000000,114.2209,140.9726954
1132000000,114.22842,140.9371128
1133000000,113.91173,140.9015303
1134000000,113.88236,140.8659283
1135000000,113.82269,140.8303457
1136000000,113.93987,140.794734
1137000000,113.57342,140.7591321
1138000000,113.49619,140.7235495
1139000000,113.73604,140.6879378
1140000000,113.44909,140.6523261
1141000000,113.86561,140.616695
1142000000,113.2687,140.5811027
1143000000,113.63442,140.5454813
1144000000,113.49389,140.5098599
1145000000,113.32818,140.4742288
1146000000,113.5737,140.4386074
1147000000,113.28203,140.4029763
1148000000,113.08075,140.3673646
1149000000,113.34443,140.3317237
1150000000,113.02416,140.2961023
1151000000,113.31746,140.2604615
1152000000,113.33648,140.2248109
1153000000,112.99442,140.1891701
1154000000,113.05325,140.153539
1155000000,113.04977,140.1178884
1156000000,112.94137,140.0822476
1157000000,113.19208,140.0465776
1158000000,112.90546,140.010927
