Freq(Hz),S21 Log Mag(dB),S21 Phase(¡)
1000000000,-9.8119335,-143.53526
1001000000,-9.7938576,-143.56146
1002000000,-9.8269262,-143.58739
1003000000,-9.8179932,-143.84628
1004000000,-9.8065386,-143.98386
1005000000,-9.8606787,-143.89107
1006000000,-9.8234587,-144.18852
1007000000,-9.8515625,-144.44316
1008000000,-9.8375244,-144.38304
1009000000,-9.8578682,-144.39946
1010000000,-9.8540297,-144.80898
1011000000,-9.9058867,-144.82968
1012000000,-9.8897419,-144.7197
1013000000,-9.8953867,-145.01414
1014000000,-9.8911743,-145.1317
1015000000,-9.8958616,-145.2863
1016000000,-9.9009285,-145.34911
1017000000,-9.9060736,-145.54059
1018000000,-9.9347582,-145.78693
1019000000,-9.9563808,-145.72414
1020000000,-9.9301672,-145.71889
1021000000,-9.9469652,-145.96173
1022000000,-9.9440985,-145.7417
1023000000,-9.9475918,-146.36978
1024000000,-10.01818,-146.29291
1025000000,-9.97472,-146.47495
1026000000,-10.014117,-146.57434
1027000000,-9.9658689,-146.52391
1028000000,-10.003701,-146.71808
1029000000,-9.9992599,-146.87666
1030000000,-9.995121,-146.99867
1031000000,-10.001168,-147.03735
1032000000,-10.043402,-147.24063
1033000000,-10.039644,-147.20256
1034000000,-10.05613,-147.38504
1035000000,-10.025111,-147.36069
1036000000,-10.035487,-147.62738
1037000000,-10.040012,-147.99716
1038000000,-10.034117,-147.93617
1039000000,-10.050023,-148.22974
1040000000,-10.054244,-148.10004
1041000000,-10.090462,-148.38872
1042000000,-10.109119,-148.49551
1043000000,-10.027571,-148.50842
1044000000,-10.077552,-148.48169
1045000000,-10.111601,-148.87733
1046000000,-10.100956,-149.09877
1047000000,-10.071602,-148.93602
1048000000,-10.125792,-148.88977
1049000000,-10.125011,-149.32576
1050000000,-10.110864,-149.43123
1051000000,-10.148888,-149.50186
1052000000,-10.148307,-149.57971
1053000000,-10.145614,-149.91235
1054000000,-10.161273,-149.91995
1055000000,-10.173662,-149.80867
1056000000,-10.164267,-149.77927
1057000000,-10.157983,-150.28192
1058000000,-10.223232,-150.25621
1059000000,-10.18913,-150.59578
1060000000,-10.192078,-150.41461
1061000000,-10.188493,-150.66342
1062000000,-10.21288,-150.9104
