"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1))_1 []"
1.298,-1.13440519724973,-11.7474111627527
1.299,-1.13656718894485,-11.7286676487192
1.3,-1.13872825660015,-11.7099837068333
1.301,-1.14088834642102,-11.6913593987582
1.302,-1.14304740467091,-11.6727947849098
1.303,-1.14520537767458,-11.6542899244503
1.304,-1.14736221182096,-11.6358448752808
1.305,-1.14951785356643,-11.6174596940357
1.306,-1.15167224943738,-11.599134436076
1.307,-1.15382534603357,-11.5808691554829
1.308,-1.15597709003108,-11.5626639050519
1.309,-1.15812742818499,-11.5445187362869
1.31,-1.16027630733283,-11.526433699394
1.311,-1.16242367439698,-11.5084088432762
1.312,-1.16456947638803,-11.4904442155272
1.313,-1.16671366040771,-11.4725398624264
1.314,-1.16885617365163,-11.4546958289333
1.315,-1.1709969634124,-11.4369121586822
1.316,-1.17313597708227,-11.4191888939773
1.317,-1.17527316215638,-11.4015260757873
1.318,-1.17740846623556,-11.383923743741
1.319,-1.17954183702889,-11.3663819361223
1.32,-1.18167322235715,-11.3489006898655
1.321,-1.18380257015534,-11.3314800405512
1.322,-1.18592982847524,-11.3141200224016
1.323,-1.18805494548906,-11.2968206682763
1.324,-1.19017786949157,-11.2795820096685
1.325,-1.19229854890306,-11.2624040767009
1.326,-1.19441693227242,-11.2452868981221
1.327,-1.19653296827973,-11.2282305013024
1.328,-1.19864660573891,-11.2112349122309
1.329,-1.20075779360087,-11.1943001555119
1.33,-1.20286648095581,-11.1774262543616
1.331,-1.2049726170364,-11.1606132306049
1.332,-1.20707615122002,-11.1438611046729
1.333,-1.20917703303194,-11.1271698955994
1.334,-1.21127521214781,-11.110539621019
1.335,-1.21337063839621,-11.0939702971639
1.336,-1.21546326176154,-11.077461938862
1.337,-1.21755303238648,-11.0610145595344
