Freq(Hz),Line S21 Mag,,Thru S21 Mag,,Line S21 Mag Sim,,Thru S21 Mag Sim
1000000000,0.075243369,,0.064007699,,-0.231686364,,-0.148970907
1001000000,0.070801236,,0.049001426,,-0.23175632,,-0.1490078
1002000000,0.082808293,,0.10179503,,-0.231825986,,-0.149044514
1003000000,0.076650299,,0.070962027,,-0.231895362,,-0.149081049
1004000000,0.07391312,,0.064582214,,-0.231964449,,-0.149117405
1005000000,0.090489514,,0.072323769,,-0.232033247,,-0.149153583
1006000000,0.055391997,,0.079134174,,-0.232101756,,-0.149189585
1007000000,0.10608042,,0.098458953,,-0.232169978,,-0.14922541
1008000000,0.10189336,,0.073355116,,-0.232237912,,-0.149261059
1009000000,0.064422525,,0.058750443,,-0.232305559,,-0.149296533
1010000000,0.071754821,,0.10081871,,-0.23237292,,-0.149331832
1011000000,0.10019661,,0.11263729,,-0.232439994,,-0.149366957
1012000000,0.05794134,,0.10334518,,-0.232506784,,-0.149401909
1013000000,0.10041723,,0.094235457,,-0.232573288,,-0.149436689
1014000000,0.088881992,,0.062196512,,-0.232639507,,-0.149471296
1015000000,0.10853089,,0.086493209,,-0.232705443,,-0.149505732
1016000000,0.089552648,,0.074844293,,-0.232771095,,-0.149539997
1017000000,0.078889653,,0.082766496,,-0.232836464,,-0.149574092
1018000000,0.06765911,,0.067847282,,-0.23290155,,-0.149608018
1019000000,0.06063835,,0.071309783,,-0.232966354,,-0.149641774
1020000000,0.099001005,,0.10956316,,-0.233030877,,-0.149675363
1021000000,0.053126495,,0.05685281,,-0.233095118,,-0.149708783
1022000000,0.066375993,,0.075946279,,-0.233159079,,-0.149742037
1023000000,0.078445219,,0.080943294,,-0.23322276,,-0.149775124
1024000000,0.060974162,,0.064191937,,-0.233286161,,-0.149808045
1025000000,0.06091281,,0.056992374,,-0.233349283,,-0.149840802
1026000000,0.096261971,,0.071352445,,-0.233412126,,-0.149873393
1027000000,0.085771158,,0.095453158,,-0.233474691,,-0.14990582
1028000000,0.062422898,,0.06392473,,-0.233536979,,-0.149938085
1029000000,0.067058049,,0.055980735,,-0.233598989,,-0.149970186
1030000000,0.055603839,,0.089354329,,-0.233660723,,-0.150002125
1031000000,0.070934214,,0.06281884,,-0.233722181,,-0.150033902
1032000000,0.055525433,,0.071821347,,-0.233783363,,-0.150065519
1033000000,0.088185266,,0.082721934,,-0.23384427,,-0.150096975
1034000000,0.077354744,,0.064355761,,-0.233904903,,-0.150128271
1035000000,0.074867271,,0.055072661,,-0.233965261,,-0.150159408
1036000000,0.09077882,,0.068892866,,-0.234025346,,-0.150190386
1037000000,0.06674093,,0.067046687,,-0.234085157,,-0.150221206
1038000000,0.079785548,,0.072139174,,-0.234144697,,-0.150251869
1039000000,0.077722557,,0.092271797,,-0.234203964,,-0.150282375
1040000000,0.067055099,,0.082610972,,-0.234262959,,-0.150312725
1041000000,0.090126015,,0.091976486,,-0.234321684,,-0.150342918
1042000000,0.075542644,,0.095124513,,-0.234380138,,-0.150372957
1043000000,0.07146728,,0.07386785,,-0.234438322,,-0.150402841
1044000000,0.072962701,,0.075601384,,-0.234496236,,-0.150432571
1045000000,0.075430363,,0.070291862,,-0.234553882,,-0.150462148
1046000000,0.051829625,,0.064849235,,-0.234611259,,-0.150491572
1047000000,0.11644983,,0.088838771,,-0.234668368,,-0.150520843
1048000000,0.065640867,,0.086014494,,-0.234725209,,-0.150549963
1049000000,0.051984683,,0.050546292,,-0.234781784,,-0.150578931
1050000000,0.064218447,,0.0811553,,-0.234838093,,-0.150607749
1051000000,0.073544778,,0.091046147,,-0.234894135,,-0.150636417
1052000000,0.052374434,,0.066927098,,-0.234949912,,-0.150664936
1053000000,0.063986264,,0.080359995,,-0.235005425,,-0.150693305
1054000000,0.073993884,,0.06394127,,-0.235060673,,-0.150721526
1055000000,0.071443342,,0.075917304,,-0.235115657,,-0.150749599
1056000000,0.055148572,,0.057324532,,-0.235170378,,-0.150777525
