Freq(Hz),S11 ON,,S11 OFF,,S21 ON,,S21 OFF,,S11 Sim,S21 Sim
1063000000,-5.971272,,-1.1550007,,-1.7969733,,-15.898213,,-0.708653108,-17.56188033
1064000000,-5.9442453,,-1.14408,,-1.7906247,,-15.843596,,-0.709764883,-17.5324175
1065000000,-5.9897575,,-1.1445907,,-1.771601,,-15.834913,,-0.71088448,-17.50298437
1066000000,-5.995719,,-1.1310891,,-1.7946696,,-15.850018,,-0.712011892,-17.47358107
1067000000,-6.0256047,,-1.1649702,,-1.7988112,,-15.816494,,-0.713147111,-17.44420774
1068000000,-6.0264354,,-1.1629376,,-1.7798254,,-15.79295,,-0.714290129,-17.41486449
1069000000,-6.0240946,,-1.1703576,,-1.7753788,,-15.784218,,-0.715440939,-17.38555147
1070000000,-6.0443702,,-1.1589712,,-1.7750187,,-15.749155,,-0.716599531,-17.3562688
1071000000,-6.0754948,,-1.167028,,-1.7797767,,-15.782096,,-0.717765897,-17.3270166
1072000000,-6.043119,,-1.1515571,,-1.7467009,,-15.727441,,-0.718940027,-17.297795
1073000000,-6.0882931,,-1.1660967,,-1.7683257,,-15.734763,,-0.720121914,-17.26860414
1074000000,-6.0711803,,-1.1575599,,-1.7379198,,-15.741785,,-0.721311546,-17.23944415
1075000000,-6.1060591,,-1.1702216,,-1.7538546,,-15.738373,,-0.722508915,-17.21031515
1076000000,-6.0969234,,-1.1793922,,-1.7306967,,-15.70395,,-0.72371401,-17.18121727
1077000000,-6.1144567,,-1.1518308,,-1.7408615,,-15.658018,,-0.72492682,-17.15215065
1078000000,-6.1284366,,-1.1636304,,-1.7573298,,-15.686598,,-0.726147336,-17.12311541
1079000000,-6.1459241,,-1.1728573,,-1.7577983,,-15.66573,,-0.727375546,-17.09411168
1080000000,-6.1395736,,-1.1787438,,-1.7453068,,-15.636144,,-0.728611439,-17.0651396
1081000000,-6.1855574,,-1.1895653,,-1.7220867,,-15.634862,,-0.729855003,-17.0361993
1082000000,-6.207808,,-1.2009914,,-1.715554,,-15.611182,,-0.731106226,-17.0072909
1083000000,-6.2012014,,-1.183699,,-1.7095101,,-15.599393,,-0.732365097,-16.97841454
