"Freq [GHz]","S(1,1) []"
1.978,-0.928796715737665 + 0.349317180470647i
1.979,-0.928628162857978 + 0.349732321151947i
1.98,-0.92845931746167 + 0.350147562183957i
1.981,-0.928290178886676 + 0.350562904117273i
1.982,-0.928120746467932 + 0.35097834750344i
1.983,-0.927951019537357 + 0.351393892894958i
1.984,-0.927780997423841 + 0.351809540845289i
1.985,-0.927610679453233 + 0.352225291908857i
1.986,-0.927440064948324 + 0.35264114664106i
1.987,-0.927269153228832 + 0.353057105598262i
1.988,-0.927097943611389 + 0.353473169337813i
1.989,-0.926926435409527 + 0.353889338418039i
1.99,-0.926754627933663 + 0.354305613398261i
1.991,-0.926582520491082 + 0.354721994838785i
1.992,-0.926410112385924 + 0.355138483300919i
1.993,-0.926237402919173 + 0.355555079346968i
1.994,-0.926064391388632 + 0.355971783540248i
1.995,-0.925891077088919 + 0.356388596445082i
1.996,-0.925717459311444 + 0.356805518626812i
1.997,-0.925543537344398 + 0.357222550651794i
1.998,-0.925369310472734 + 0.357639693087417i
1.999,-0.925194777978155 + 0.358056946502094i
2,-0.925019939139097 + 0.358474311465274i
2.001,-0.924844793230713 + 0.358891788547445i
2.002,-0.924669339524855 + 0.35930937832014i
2.003,-0.924493577290065 + 0.359727081355937i
2.004,-0.92431750579155 + 0.360144898228473i
2.005,-0.924141124291174 + 0.36056282951244i
2.006,-0.923964432047437 + 0.360980875783594i
2.007,-0.923787428315456 + 0.361399037618756i
2.008,-0.92361011234696 + 0.361817315595823i
2.009,-0.923432483390259 + 0.362235710293769i
2.01,-0.923254540690238 + 0.362654222292648i
2.011,-0.923076283488335 + 0.363072852173606i
2.012,-0.922897711022527 + 0.363491600518875i
2.013,-0.922718822527311 + 0.36391046791179i
2.014,-0.922539617233686 + 0.364329454936783i
2.015,-0.922360094369142 + 0.364748562179396i
2.016,-0.922180253157633 + 0.36516779022628i
2.017,-0.922000092819569 + 0.365587139665205i
2.018,-0.921819612571792 + 0.366006611085062i
2.019,-0.921638811627562 + 0.366426205075868i
2.02,-0.921457689196537 + 0.366845922228771i
2.021,-0.921276244484756 + 0.367265763136058i
2.022,-0.921094476694623 + 0.367685728391153i
2.023,-0.920912385024886 + 0.368105818588631i
2.024,-0.920729968670621 + 0.368526034324215i
2.025,-0.920547226823209 + 0.368946376194788i
2.026,-0.920364158670327 + 0.369366844798391i
2.027,-0.920180763395918 + 0.369787440734234i
2.028,-0.919997040180182 + 0.370208164602697i
2.029,-0.919812988199553 + 0.370629017005337i
2.03,-0.919628606626679 + 0.371049998544893i
2.031,-0.919443894630403 + 0.371471109825293i
2.032,-0.919258851375748 + 0.371892351451651i
2.033,-0.919073476023894 + 0.372313724030284i
2.034,-0.918887767732159 + 0.37273522816871i
2.035,-0.918701725653981 + 0.373156864475652i
2.036,-0.918515348938895 + 0.373578633561046i
2.037,-0.918328636732519 + 0.374000536036047i
2.038,-0.918141588176527 + 0.374422572513033i
2.039,-0.917954202408636 + 0.374844743605607i
2.04,-0.917766478562579 + 0.375267049928609i
2.041,-0.917578415768092 + 0.375689492098113i
2.042,-0.917390013150886 + 0.376112070731441i
2.043,-0.917201269832633 + 0.376534786447159i
2.044,-0.91701218493094 + 0.376957639865092i
2.045,-0.916822757559331 + 0.377380631606321i
2.046,-0.916632986827229 + 0.377803762293192i
2.047,-0.916442871839927 + 0.37822703254932i
2.048,-0.916252411698574 + 0.378650442999596i
2.049,-0.916061605500149 + 0.379073994270192i
2.05,-0.915870452337443 + 0.379497686988562i
2.051,-0.915678951299034 + 0.379921521783457i
2.052,-0.915487101469269 + 0.380345499284917i
2.053,-0.915294901928238 + 0.38076962012429i
2.054,-0.915102351751754 + 0.381193884934225i
2.055,-0.914909450011331 + 0.381618294348689i
2.056,-0.914716195774162 + 0.38204284900296i
2.057,-0.914522588103093 + 0.382467549533645i
2.058,-0.914328626056606 + 0.382892396578674i
2.059,-0.914134308688791 + 0.383317390777315i
2.06,-0.913939635049325 + 0.383742532770174i
2.061,-0.913744604183451 + 0.384167823199197i
2.062,-0.913549215131949 + 0.384593262707687i
2.063,-0.91335346693112 + 0.385018851940296i
2.064,-0.913157358612756 + 0.385444591543041i
2.065,-0.91296088920412 + 0.385870482163302i
2.066,-0.91276405772792 + 0.386296524449833i
2.067,-0.912566863202287 + 0.386722719052763i
2.068,-0.912369304640747 + 0.387149066623605i
2.069,-0.912171381052203 + 0.387575567815258i
2.07,-0.911973091440902 + 0.388002223282017i
2.071,-0.911774434806418 + 0.388429033679575i
2.072,-0.911575410143625 + 0.388855999665028i
2.073,-0.911376016442666 + 0.389283121896883i
2.074,-0.911176252688936 + 0.389710401035064i
2.075,-0.910976117863054 + 0.390137837740913i
2.076,-0.910775610940835 + 0.3905654326772i
2.077,-0.910574730893265 + 0.390993186508128i
2.078,-0.910373476686478 + 0.391421099899337i
2.079,-0.910171847281728 + 0.391849173517909i
2.08,-0.909969841635359 + 0.392277408032375i
2.081,-0.909767458698788 + 0.392705804112723i
2.082,-0.909564697418466 + 0.393134362430397i
2.083,-0.909361556735864 + 0.393563083658309i
2.084,-0.909158035587435 + 0.393991968470842i
2.085,-0.908954132904596 + 0.394421017543855i
2.086,-0.90874984761369 + 0.394850231554689i
2.087,-0.908545178635971 + 0.395279611182174i
2.088,-0.908340124887566 + 0.395709157106633i
2.089,-0.908134685279453 + 0.396138870009889i
2.09,-0.907928858717431 + 0.396568750575267i
2.091,-0.907722644102091 + 0.396998799487606i
2.092,-0.907516040328788 + 0.397429017433261i
2.093,-0.907309046287613 + 0.397859405100105i
2.094,-0.907101660863364 + 0.398289963177543i
2.095,-0.906893882935516 + 0.398720692356509i
2.096,-0.906685711378194 + 0.39915159332948i
2.097,-0.906477145060138 + 0.399582666790476i
2.098,-0.906268182844682 + 0.400013913435065i
2.099,-0.906058823589715 + 0.400445333960373i
2.1,-0.90584906614766 + 0.400876929065087i
2.101,-0.905638909365434 + 0.401308699449463i
2.102,-0.905428352084427 + 0.401740645815327i
2.103,-0.905217393140464 + 0.402172768866085i
2.104,-0.905006031363777 + 0.402605069306728i
2.105,-0.904794265578977 + 0.403037547843837i
2.106,-0.904582094605014 + 0.403470205185589i
2.107,-0.904369517255158 + 0.40390304204176i
2.108,-0.904156532336952 + 0.404336059123738i
2.109,-0.903943138652196 + 0.40476925714452i
2.11,-0.903729334996901 + 0.405202636818724i
2.111,-0.903515120161267 + 0.405636198862593i
2.112,-0.903300492929643 + 0.406069943993998i
2.113,-0.903085452080499 + 0.406503872932447i
2.114,-0.902869996386389 + 0.40693798639909i
2.115,-0.902654124613922 + 0.407372285116725i
2.116,-0.902437835523725 + 0.407806769809802i
2.117,-0.902221127870408 + 0.408241441204433i
2.118,-0.902004000402538 + 0.408676300028391i
2.119,-0.901786451862593 + 0.40911134701112i
2.12,-0.901568480986936 + 0.409546582883744i
2.121,-0.901350086505778 + 0.409982008379064i
2.122,-0.901131267143143 + 0.410417624231573i
2.123,-0.900912021616831 + 0.410853431177455i
2.124,-0.900692348638387 + 0.411289429954595i
2.125,-0.900472246913059 + 0.411725621302581i
2.126,-0.900251715139767 + 0.412162005962713i
2.127,-0.900030752011065 + 0.412598584678009i
2.128,-0.899809356213105 + 0.413035358193207i
2.129,-0.8995875264256 + 0.413472327254774i
2.13,-0.899365261321785 + 0.413909492610911i
2.131,-0.899142559568385 + 0.414346855011557i
2.132,-0.898919419825571 + 0.414784415208399i
2.133,-0.898695840746928 + 0.415222173954874i
2.134,-0.898471820979412 + 0.415660132006174i
2.135,-0.898247359163317 + 0.416098290119255i
2.136,-0.898022453932231 + 0.416536649052842i
2.137,-0.897797103912998 + 0.416975209567434i
2.138,-0.897571307725687 + 0.417413972425306i
2.139,-0.897345063983538 + 0.417852938390522i
2.14,-0.897118371292938 + 0.418292108228936i
2.141,-0.896891228253366 + 0.4187314827082i
2.142,-0.896663633457367 + 0.419171062597766i
2.143,-0.8964355854905 + 0.419610848668895i
2.144,-0.896207082931304 + 0.420050841694665i
2.145,-0.895978124351253 + 0.420491042449967i
2.146,-0.895748708314719 + 0.420931451711524i
2.147,-0.895518833378925 + 0.421372070257883i
2.148,-0.895288498093907 + 0.421812898869434i
2.149,-0.895057701002469 + 0.422253938328406i
2.15,-0.894826440640144 + 0.422695189418875i
2.151,-0.894594715535147 + 0.42313665292677i
2.152,-0.894362524208333 + 0.423578329639882i
2.153,-0.894129865173156 + 0.424020220347864i
2.154,-0.893896736935622 + 0.424462325842238i
2.155,-0.893663137994245 + 0.424904646916406i
2.156,-0.893429066840008 + 0.425347184365645i
2.157,-0.893194521956307 + 0.425789938987127i
2.158,-0.89295950181892 + 0.426232911579906i
2.159,-0.892724004895948 + 0.426676102944943i
2.16,-0.892488029647779 + 0.427119513885096i
2.161,-0.892251574527038 + 0.427563145205137i
2.162,-0.892014637978541 + 0.428006997711746i
2.163,-0.891777218439246 + 0.42845107221353i
2.164,-0.891539314338212 + 0.428895369521014i
2.165,-0.891300924096545 + 0.429339890446659i
2.166,-0.891062046127353 + 0.429784635804859i
2.167,-0.890822678835698 + 0.43022960641195i
2.168,-0.890582820618549 + 0.430674803086215i
2.169,-0.890342469864729 + 0.431120226647888i
2.17,-0.89010162495487 + 0.431565877919162i
2.171,-0.88986028426136 + 0.432011757724191i
2.172,-0.889618446148297 + 0.432457866889097i
2.173,-0.889376108971434 + 0.432904206241978i
2.174,-0.889133271078133 + 0.433350776612906i
2.175,-0.88888993080731 + 0.433797578833939i
2.176,-0.888646086489388 + 0.434244613739124i
2.177,-0.888401736446242 + 0.434691882164502i
2.178,-0.888156878991143 + 0.435139384948112i
2.179,-0.887911512428717 + 0.435587122929997i
2.18,-0.887665635054882 + 0.436035096952209i
2.181,-0.887419245156796 + 0.436483307858819i
2.182,-0.887172341012809 + 0.436931756495909i
2.183,-0.8869249208924 + 0.437380443711592i
2.184,-0.886676983056134 + 0.437829370356009i
2.185,-0.886428525755595 + 0.438278537281333i
2.186,-0.886179547233338 + 0.438727945341778i
2.187,-0.885930045722835 + 0.439177595393599i
2.188,-0.885680019448411 + 0.439627488295105i
2.189,-0.885429466625193 + 0.440077624906655i
2.19,-0.885178385459053 + 0.440528006090666i
2.191,-0.884926774146551 + 0.440978632711619i
2.192,-0.884674630874872 + 0.441429505636063i
2.193,-0.884421953821777 + 0.441880625732619i
2.194,-0.884168741155533 + 0.442331993871986i
2.195,-0.883914991034864 + 0.442783610926943i
2.196,-0.883660701608886 + 0.443235477772356i
2.197,-0.883405871017048 + 0.443687595285181i
2.198,-0.883150497389074 + 0.444139964344469i
2.199,-0.882894578844895 + 0.444592585831373i
2.2,-0.882638113494599 + 0.445045460629144i
2.201,-0.882381099438357 + 0.445498589623147i
2.202,-0.882123534766371 + 0.445951973700856i
2.203,-0.881865417558803 + 0.446405613751864i
2.204,-0.881606745885721 + 0.44685951066788i
2.205,-0.881347517807024 + 0.447313665342745i
2.206,-0.881087731372386 + 0.447768078672422i
2.207,-0.880827384621191 + 0.44822275155501i
2.208,-0.880566475582462 + 0.448677684890745i
2.209,-0.880305002274803 + 0.449132879582004i
2.21,-0.880042962706328 + 0.449588336533307i
2.211,-0.879780354874592 + 0.450044056651326i
2.212,-0.879517176766534 + 0.450500040844877i
2.213,-0.879253426358399 + 0.450956290024943i
2.214,-0.878989101615672 + 0.451412805104657i
2.215,-0.878724200493013 + 0.451869586999319i
2.216,-0.878458720934187 + 0.452326636626396i
2.217,-0.878192660871989 + 0.452783954905523i
2.218,-0.877926018228183 + 0.453241542758508i
2.219,-0.877658790913419 + 0.453699401109338i
2.22,-0.877390976827177 + 0.454157530884176i
2.221,-0.877122573857679 + 0.454615933011372i
2.222,-0.876853579881828 + 0.455074608421459i
2.223,-0.876583992765131 + 0.455533558047159i
2.224,-0.876313810361626 + 0.455992782823387i
2.225,-0.876043030513806 + 0.456452283687251i
2.226,-0.875771651052548 + 0.456912061578058i
2.227,-0.875499669797032 + 0.457372117437316i
2.228,-0.875227084554673 + 0.457832452208732i
2.229,-0.874953893121038 + 0.458293066838221i
2.23,-0.874680093279772 + 0.458753962273906i
2.231,-0.874405682802521 + 0.459215139466119i
2.232,-0.874130659448848 + 0.459676599367404i
2.233,-0.873855020966165 + 0.460138342932521i
2.234,-0.873578765089643 + 0.460600371118444i
2.235,-0.873301889542137 + 0.461062684884369i
2.236,-0.873024392034105 + 0.461525285191708i
2.237,-0.872746270263528 + 0.461988173004101i
2.238,-0.872467521915821 + 0.462451349287407i
2.239,-0.872188144663764 + 0.462914815009712i
2.24,-0.871908136167402 + 0.463378571141331i
2.241,-0.871627494073976 + 0.463842618654804i
2.242,-0.871346216017829 + 0.464306958524905i
2.243,-0.871064299620324 + 0.464771591728636i
2.244,-0.870781742489763 + 0.46523651924523i
2.245,-0.870498542221288 + 0.465701742056158i
2.246,-0.870214696396807 + 0.466167261145119i
2.247,-0.869930202584899 + 0.466633077498048i
2.248,-0.869645058340727 + 0.46709919210312i
2.249,-0.86935926120595 + 0.46756560595074i
2.25,-0.86907280870863 + 0.468032320033551i
2.251,-0.868785698363145 + 0.468499335346433i
2.252,-0.868497927670092 + 0.468966652886502i
2.253,-0.868209494116206 + 0.469434273653109i
2.254,-0.867920395174251 + 0.469902198647844i
2.255,-0.867630628302943 + 0.47037042887453i
2.256,-0.867340190946844 + 0.470838965339228i
2.257,-0.86704908053627 + 0.471307809050232i
2.258,-0.8667572944872 + 0.471776961018074i
2.259,-0.866464830201171 + 0.472246422255513i
2.26,-0.866171685065189 + 0.472716193777547i
2.261,-0.865877856451624 + 0.473186276601403i
2.262,-0.865583341718118 + 0.473656671746536i
2.263,-0.865288138207476 + 0.474127380234632i
2.264,-0.864992243247577 + 0.474598403089605i
2.265,-0.864695654151261 + 0.47506974133759i
2.266,-0.864398368216237 + 0.475541396006949i
2.267,-0.864100382724972 + 0.476013368128266i
2.268,-0.863801694944596 + 0.47648565873434i
2.269,-0.863502302126788 + 0.476958268860188i
2.27,-0.863202201507674 + 0.477431199543044i
2.271,-0.862901390307726 + 0.47790445182235i
2.272,-0.862599865731647 + 0.478378026739756i
2.273,-0.86229762496827 + 0.478851925339118i
2.274,-0.861994665190441 + 0.479326148666494i
2.275,-0.861690983554918 + 0.47980069777014i
2.276,-0.861386577202255 + 0.480275573700505i
2.277,-0.861081443256691 + 0.480750777510231i
2.278,-0.860775578826039 + 0.481226310254143i
2.279,-0.860468981001573 + 0.48170217298925i
2.28,-0.860161646857912 + 0.48217836677474i
2.281,-0.859853573452905 + 0.482654892671969i
2.282,-0.859544757827515 + 0.483131751744468i
2.283,-0.859235197005707 + 0.483608945057921i
2.284,-0.858924887994319 + 0.484086473680178i
2.285,-0.858613827782955 + 0.484564338681235i
2.286,-0.858302013343855 + 0.485042541133235i
2.287,-0.857989441631782 + 0.485521082110463i
2.288,-0.857676109583895 + 0.485999962689332i
2.289,-0.857362014119628 + 0.486479183948385i
2.29,-0.857047152140567 + 0.486958746968287i
2.291,-0.856731520530322 + 0.48743865283181i
2.292,-0.856415116154404 + 0.487918902623833i
2.293,-0.856097935860096 + 0.488399497431337i
2.294,-0.855779976476328 + 0.488880438343386i
2.295,-0.855461234813544 + 0.489361726451132i
2.296,-0.855141707663574 + 0.489843362847796i
2.297,-0.854821391799502 + 0.490325348628664i
2.298,-0.854500283975535 + 0.49080768489108i
2.299,-0.854178380926867 + 0.491290372734431i
2.3,-0.853855679369548 + 0.491773413260145i
2.301,-0.853532176000344 + 0.492256807571671i
2.302,-0.853207867496606 + 0.492740556774481i
2.303,-0.852882750516127 + 0.493224661976049i
2.304,-0.852556821697002 + 0.493709124285846i
2.305,-0.852230077657496 + 0.494193944815328i
2.306,-0.851902514995892 + 0.494679124677922i
2.307,-0.851574130290357 + 0.495164664989019i
2.308,-0.851244920098792 + 0.495650566865956i
2.309,-0.850914880958692 + 0.496136831428012i
2.31,-0.850584009386997 + 0.496623459796382i
2.311,-0.850252301879947 + 0.497110453094179i
2.312,-0.849919754912927 + 0.49759781244641i
2.313,-0.849586364940327 + 0.498085538979966i
2.314,-0.849252128395382 + 0.498573633823609i
2.315,-0.848917041690025 + 0.499062098107954i
2.316,-0.848581101214731 + 0.499550932965456i
2.317,-0.848244303338364 + 0.500040139530395i
2.318,-0.847906644408017 + 0.50052971893886i
2.319,-0.847568120748858 + 0.501019672328732i
2.32,-0.84722872866397 + 0.501510000839669i
2.321,-0.846888464434191 + 0.502000705613085i
2.322,-0.84654732431795 + 0.502491787792141i
2.323,-0.846205304551106 + 0.502983248521718i
2.324,-0.845862401346785 + 0.503475088948403i
2.325,-0.845518610895213 + 0.503967310220472i
2.326,-0.845173929363547 + 0.504459913487866i
2.327,-0.844828352895709 + 0.504952899902177i
2.328,-0.844481877612212 + 0.505446270616623i
2.329,-0.844134499609996 + 0.505940026786032i
2.33,-0.843786214962245 + 0.506434169566817i
2.331,-0.843437019718223 + 0.506928700116956i
2.332,-0.84308690990309 + 0.507423619595971i
2.333,-0.842735881517728 + 0.507918929164904i
2.334,-0.842383930538562 + 0.508414629986296i
2.335,-0.842031052917376 + 0.508910723224162i
2.336,-0.841677244581141 + 0.509407210043964i
2.337,-0.841322501431816 + 0.509904091612596i
2.338,-0.840966819346176 + 0.510401369098345i
2.339,-0.840610194175621 + 0.510899043670876i
2.34,-0.840252621745984 + 0.511397116501206i
2.341,-0.839894097857346 + 0.511895588761668i
2.342,-0.83953461828384 + 0.512394461625891i
2.343,-0.839174178773462 + 0.512893736268773i
2.344,-0.838812775047875 + 0.513393413866447i
2.345,-0.838450402802208 + 0.513893495596253i
2.346,-0.838087057704862 + 0.514393982636714i
2.347,-0.837722735397309 + 0.514894876167498i
2.348,-0.837357431493891 + 0.515396177369391i
2.349,-0.836991141581614 + 0.515897887424264i
2.35,-0.836623861219943 + 0.51640000751504i
2.351,-0.836255585940597 + 0.516902538825666i
2.352,-0.835886311247337 + 0.517405482541069i
2.353,-0.835516032615761 + 0.517908839847131i
2.354,-0.835144745493082 + 0.51841261193065i
2.355,-0.834772445297921 + 0.518916799979305i
2.356,-0.83439912742009 + 0.519421405181618i
2.357,-0.834024787220367 + 0.519926428726917i
2.358,-0.833649420030287 + 0.520431871805301i
2.359,-0.833273021151909 + 0.520937735607595i
2.36,-0.832895585857599 + 0.521444021325316i
2.361,-0.8325171093898 + 0.52195073015063i
2.362,-0.832137586960807 + 0.52245786327631i
2.363,-0.831757013752533 + 0.522965421895697i
2.364,-0.831375384916282 + 0.523473407202655i
2.365,-0.83099269557251 + 0.523981820391526i
2.366,-0.830608940810592 + 0.524490662657086i
2.367,-0.830224115688581 + 0.524999935194505i
2.368,-0.829838215232972 + 0.525509639199291i
2.369,-0.829451234438453 + 0.526019775867248i
2.37,-0.829063168267667 + 0.526530346394432i
2.371,-0.82867401165096 + 0.527041351977092i
2.372,-0.828283759486135 + 0.527552793811629i
2.373,-0.827892406638197 + 0.528064673094542i
2.374,-0.827499947939108 + 0.52857699102237i
2.375,-0.827106378187517 + 0.529089748791651i
2.376,-0.826711692148517 + 0.529602947598858i
2.377,-0.826315884553374 + 0.530116588640347i
2.378,-0.82591895009927 + 0.530630673112304i
2.379,-0.825520883449035 + 0.531145202210683i
2.38,-0.825121679230879 + 0.531660177131151i
2.381,-0.824721332038127 + 0.532175599069028i
2.382,-0.824319836428941 + 0.532691469219228i
2.383,-0.823917186926048 + 0.533207788776191i
2.384,-0.823513378016462 + 0.533724558933832i
2.385,-0.823108404151206 + 0.534241780885466i
2.386,-0.822702259745027 + 0.53475945582375i
2.387,-0.822294939176115 + 0.535277584940613i
2.388,-0.82188643678581 + 0.535796169427191i
2.389,-0.82147674687832 + 0.536315210473756i
2.39,-0.82106586372042 + 0.536834709269649i
2.391,-0.820653781541161 + 0.537354667003208i
2.392,-0.820240494531575 + 0.537875084861691i
2.393,-0.819825996844368 + 0.53839596403121i
2.394,-0.819410282593623 + 0.53891730569665i
2.395,-0.818993345854488 + 0.539439111041595i
2.396,-0.818575180662871 + 0.539961381248249i
2.397,-0.818155781015129 + 0.540484117497357i
2.398,-0.817735140867749 + 0.541007320968124i
2.399,-0.817313254137036 + 0.541530992838135i
2.4,-0.81689011469879 + 0.542055134283266i
2.401,-0.816465716387981 + 0.542579746477605i
2.402,-0.816040052998429 + 0.543104830593361i
2.403,-0.815613118282465 + 0.543630387800781i
2.404,-0.815184905950611 + 0.544156419268048i
2.405,-0.814755409671231 + 0.544682926161208i
2.406,-0.81432462307021 + 0.545209909644058i
2.407,-0.813892539730593 + 0.545737370878068i
2.408,-0.813459153192256 + 0.546265311022267i
2.409,-0.813024456951551 + 0.546793731233165i
2.41,-0.812588444460957 + 0.547322632664635i
2.411,-0.812151109128725 + 0.547852016467822i
2.412,-0.81171244431852 + 0.548381883791036i
2.413,-0.811272443349066 + 0.548912235779646i
2.414,-0.810831099493772 + 0.549443073575976i
2.415,-0.810388405980372 + 0.549974398319193i
2.416,-0.809944355990554 + 0.550506211145197i
2.417,-0.809498942659582 + 0.551038513186507i
2.418,-0.809052159075921 + 0.551571305572151i
2.419,-0.808603998280855 + 0.552104589427541i
2.42,-0.808154453268102 + 0.552638365874361i
2.421,-0.807703516983425 + 0.553172636030444i
2.422,-0.807251182324246 + 0.553707401009645i
2.423,-0.806797442139238 + 0.554242661921723i
2.424,-0.806342289227939 + 0.554778419872209i
2.425,-0.80588571634034 + 0.555314675962275i
2.426,-0.805427716176484 + 0.555851431288606i
2.427,-0.804968281386051 + 0.556388686943263i
2.428,-0.804507404567945 + 0.556926444013546i
2.429,-0.804045078269878 + 0.557464703581861i
2.43,-0.803581294987947 + 0.558003466725567i
2.431,-0.803116047166201 + 0.558542734516848i
2.432,-0.802649327196222 + 0.559082508022552i
2.433,-0.802181127416686 + 0.559622788304049i
2.434,-0.801711440112921 + 0.560163576417081i
2.435,-0.801240257516469 + 0.560704873411606i
2.436,-0.800767571804639 + 0.56124668033164i
2.437,-0.800293375100055 + 0.561788998215101i
2.438,-0.799817659470202 + 0.562331828093643i
2.439,-0.799340416926965 + 0.562875170992497i
2.44,-0.798861639426166 + 0.563419027930296i
2.441,-0.798381318867102 + 0.56396339991891i
2.442,-0.797899447092061 + 0.564508287963272i
2.443,-0.797416015885853 + 0.565053693061198i
2.444,-0.796931016975328 + 0.565599616203211i
2.445,-0.796444442028889 + 0.566146058372359i
2.446,-0.795956282656 + 0.566693020544026i
2.447,-0.795466530406695 + 0.567240503685746i
2.448,-0.79497517677107 + 0.567788508757007i
2.449,-0.794482213178789 + 0.568337036709065i
2.45,-0.793987630998566 + 0.568886088484733i
2.451,-0.793491421537654 + 0.56943566501819i
2.452,-0.792993576041329 + 0.569985767234764i
2.453,-0.792494085692354 + 0.570536396050738i
2.454,-0.79199294161047 + 0.571087552373121i
2.455,-0.791490134851839 + 0.571639237099446i
2.456,-0.790985656408525 + 0.572191451117541i
2.457,-0.790479497207931 + 0.572744195305309i
2.458,-0.789971648112268 + 0.573297470530501i
2.459,-0.789462099917986 + 0.573851277650482i
2.46,-0.788950843355218 + 0.574405617511998i
2.461,-0.788437869087216 + 0.574960490950941i
2.462,-0.78792316770978 + 0.575515898792093i
2.463,-0.78740672975068 + 0.576071841848896i
2.464,-0.786888545669074 + 0.576628320923184i
2.465,-0.786368605854924 + 0.577185336804939i
2.466,-0.785846900628396 + 0.577742890272025i
2.467,-0.785323420239267 + 0.578300982089923i
2.468,-0.784798154866318 + 0.578859613011468i
2.469,-0.784271094616724 + 0.579418783776568i
2.47,-0.783742229525438 + 0.579978495111929i
2.471,-0.783211549554567 + 0.580538747730774i
2.472,-0.782679044592748 + 0.581099542332551i
2.473,-0.782144704454506 + 0.581660879602644i
2.474,-0.781608518879623 + 0.582222760212072i
2.475,-0.781070477532484 + 0.582785184817191i
2.476,-0.780530570001427 + 0.583348154059383i
2.477,-0.779988785798085 + 0.583911668564744i
2.478,-0.779445114356718 + 0.58447572894376i
2.479,-0.778899545033541 + 0.585040335790999i
2.48,-0.778352067106053 + 0.585605489684762i
2.481,-0.777802669772337 + 0.586171191186764i
2.482,-0.777251342150382 + 0.586737440841785i
2.483,-0.776698073277382 + 0.587304239177329i
2.484,-0.776142852109023 + 0.587871586703266i
2.485,-0.775585667518782 + 0.588439483911482i
2.486,-0.7750265082972 + 0.589007931275507i
2.487,-0.774465363151161 + 0.58957692925015i
2.488,-0.773902220703157 + 0.590146478271124i
2.489,-0.773337069490548 + 0.590716578754657i
2.49,-0.772769897964815 + 0.59128723109711i
2.491,-0.772200694490809 + 0.591858435674574i
2.492,-0.771629447345982 + 0.592430192842474i
2.493,-0.771056144719627 + 0.593002502935156i
2.494,-0.770480774712094 + 0.59357536626547i
2.495,-0.769903325334009 + 0.594148783124353i
2.496,-0.769323784505481 + 0.594722753780392i
2.497,-0.768742140055308 + 0.595297278479386i
2.498,-0.768158379720159 + 0.595872357443907i
2.499,-0.767572491143772 + 0.596447990872841i
2.5,-0.766984461876121 + 0.597024178940934i
2.501,-0.766394279372586 + 0.597600921798317i
2.502,-0.765801930993121 + 0.598178219570038i
2.503,-0.765207404001401 + 0.598756072355567i
2.504,-0.764610685563967 + 0.599334480228315i
2.505,-0.764011762749363 + 0.599913443235128i
2.506,-0.763410622527264 + 0.60049296139578i
2.507,-0.762807251767595 + 0.60107303470245i
2.508,-0.762201637239644 + 0.601653663119202i
2.509,-0.761593765611158 + 0.602234846581449i
2.51,-0.760983623447443 + 0.602816584995404i
2.511,-0.760371197210446 + 0.60339887823753i
2.512,-0.759756473257828 + 0.603981726153976i
2.513,-0.759139437842037 + 0.604565128560005i
2.514,-0.758520077109356 + 0.605149085239412i
2.515,-0.757898377098964 + 0.605733595943929i
2.516,-0.757274323741961 + 0.606318660392625i
2.517,-0.756647902860409 + 0.606904278271295i
2.518,-0.756019100166347 + 0.607490449231834i
2.519,-0.755387901260803 + 0.608077172891606i
2.52,-0.754754291632793 + 0.608664448832797i
2.521,-0.754118256658316 + 0.609252276601763i
2.522,-0.753479781599334 + 0.609840655708362i
2.523,-0.752838851602744 + 0.610429585625277i
2.524,-0.752195451699338 + 0.611019065787325i
2.525,-0.751549566802755 + 0.611609095590759i
2.526,-0.750901181708427 + 0.612199674392553i
2.527,-0.750250281092505 + 0.612790801509679i
2.528,-0.749596849510779 + 0.613382476218367i
2.529,-0.748940871397593 + 0.613974697753357i
2.53,-0.748282331064744 + 0.614567465307135i
2.531,-0.747621212700367 + 0.61516077802916i
2.532,-0.746957500367817 + 0.615754635025072i
2.533,-0.746291178004534 + 0.616349035355892i
2.534,-0.745622229420904 + 0.616943978037204i
2.535,-0.744950638299098 + 0.617539462038327i
2.536,-0.744276388191912 + 0.618135486281468i
2.537,-0.743599462521588 + 0.618732049640865i
2.538,-0.742919844578624 + 0.619329150941916i
2.539,-0.742237517520578 + 0.619926788960285i
2.54,-0.741552464370847 + 0.620524962421008i
2.541,-0.740864668017464 + 0.62112366999756i
2.542,-0.740174111211838 + 0.621722910310935i
2.543,-0.739480776567529 + 0.622322681928687i
2.544,-0.738784646558975 + 0.622922983363962i
2.545,-0.738085703520228 + 0.623523813074523i
2.546,-0.737383929643671 + 0.624125169461737i
2.547,-0.73667930697872 + 0.62472705086957i
2.548,-0.735971817430517 + 0.625329455583544i
2.549,-0.735261442758613 + 0.625932381829686i
2.55,-0.734548164575633 + 0.626535827773455i
2.551,-0.733831964345928 + 0.627139791518661i
2.552,-0.733112823384223 + 0.627744271106346i
2.553,-0.73239072285424 + 0.628349264513661i
2.554,-0.731665643767317 + 0.628954769652724i
2.555,-0.730937566981012 + 0.629560784369444i
2.556,-0.730206473197686 + 0.630167306442348i
2.557,-0.729472342963087 + 0.630774333581357i
2.558,-0.728735156664907 + 0.631381863426575i
2.559,-0.727994894531337 + 0.631989893547025i
