x,y1
1500000000,-20.154594
1501000000,-20.210167
1502000000,-20.156546
1503000000,-20.220501
1504000000,-20.190472
1505000000,-20.283651
1506000000,-20.202948
1507000000,-20.24003
1508000000,-20.216572
1509000000,-20.273071
1510000000,-20.290535
1511000000,-20.266514
1512000000,-20.295479
1513000000,-20.313335
1514000000,-20.312263
1515000000,-20.304483
1516000000,-20.376156
1517000000,-20.356346
1518000000,-20.416512
1519000000,-20.399357
1520000000,-20.398703
1521000000,-20.398012
1522000000,-20.47595
1523000000,-20.460873
1524000000,-20.476772
1525000000,-20.463404
1526000000,-20.49979
1527000000,-20.524281
1528000000,-20.600586
1529000000,-20.492544
1530000000,-20.59374
1531000000,-20.587845
1532000000,-20.616854
1533000000,-20.579092
1534000000,-20.652056
1535000000,-20.613306
1536000000,-20.587702
1537000000,-20.603151
1538000000,-20.536877
1539000000,-20.705757
1540000000,-20.729181
1541000000,-20.680092
1542000000,-20.756107
1543000000,-20.768351
1544000000,-20.807943
1545000000,-20.686588
1546000000,-20.772396
1547000000,-20.80146
1548000000,-20.748486
1549000000,-20.790417
1550000000,-20.861706
1551000000,-20.901485
1552000000,-20.827854
1553000000,-20.913876
1554000000,-20.861698
1555000000,-20.907335
1556000000,-20.941284
1557000000,-20.921486
1558000000,-20.907703
1559000000,-20.900646
1560000000,-20.933752
1561000000,-20.935427
1562000000,-21.018064
1563000000,-21.028799
1564000000,-21.048656
1565000000,-21.046288
1566000000,-21.071432
1567000000,-21.045223
1568000000,-21.111176
1569000000,-21.128983
1570000000,-21.11014
1571000000,-21.180853
1572000000,-21.102686
1573000000,-21.134972
1574000000,-21.219521
1575000000,-21.247116
1576000000,-21.225609
1577000000,-21.203396
1578000000,-21.236885
1579000000,-21.174974
1580000000,-21.269629
1581000000,-21.253654
1582000000,-21.316944
1583000000,-21.286888
1584000000,-21.390604
1585000000,-21.397207
1586000000,-21.382238
1587000000,-21.369272
1588000000,-21.448183
1589000000,-21.386164
1590000000,-21.425613
1591000000,-21.4177
1592000000,-21.426483
1593000000,-21.458984
1594000000,-21.421738
1595000000,-21.464685
1596000000,-21.485188
1597000000,-21.486345
1598000000,-21.535589
1599000000,-21.557335
1600000000,-21.535982
1601000000,-21.551531
1602000000,-21.529051
1603000000,-21.527706
1604000000,-21.598585
1605000000,-21.571966
1606000000,-21.686581
1607000000,-21.684855
1608000000,-21.550718
1609000000,-21.674147
1610000000,-21.66297
1611000000,-21.720564
1612000000,-21.669874
1613000000,-21.67333
1614000000,-21.727116
1615000000,-21.757236
1616000000,-21.694033
1617000000,-21.765432
1618000000,-21.791399
1619000000,-21.777222
1620000000,-21.830244
1621000000,-21.822105
1622000000,-21.881081
1623000000,-21.837526
1624000000,-21.860329
1625000000,-21.891148
1626000000,-21.909184
1627000000,-21.902214
1628000000,-21.922647
1629000000,-21.940964
1630000000,-21.911823
1631000000,-21.895422
1632000000,-21.966034
1633000000,-21.991734
1634000000,-22.015633
1635000000,-22.012829
1636000000,-21.988144
1637000000,-22.013802
1638000000,-22.057503
1639000000,-22.100399
1640000000,-22.131332
1641000000,-22.079414
1642000000,-22.176996
1643000000,-22.115227
1644000000,-22.10187
1645000000,-22.062672
1646000000,-22.083481
1647000000,-22.133644
1648000000,-22.161028
1649000000,-22.122437
1650000000,-22.202141
1651000000,-22.272755
1652000000,-22.341118
1653000000,-22.19068
1654000000,-22.28821
1655000000,-22.279175
1656000000,-22.242115
1657000000,-22.333555
1658000000,-22.22934
1659000000,-22.331177
1660000000,-22.334673
1661000000,-22.354681
1662000000,-22.371237
1663000000,-22.397678
1664000000,-22.422848
1665000000,-22.318245
1666000000,-22.422916
1667000000,-22.341785
1668000000,-22.467493
1669000000,-22.481651
1670000000,-22.424519
1671000000,-22.480991
1672000000,-22.501387
1673000000,-22.496691
1674000000,-22.449808
1675000000,-22.437096
1676000000,-22.461651
1677000000,-22.468388
1678000000,-22.501045
1679000000,-22.493834
1680000000,-22.521614
1681000000,-22.53145
1682000000,-22.53163
1683000000,-22.531086
1684000000,-22.562426
1685000000,-22.478594
1686000000,-22.566036
1687000000,-22.600672
1688000000,-22.55966
1689000000,-22.544538
1690000000,-22.685144
1691000000,-22.64856
1692000000,-22.670263
1693000000,-22.638165
1694000000,-22.660652
1695000000,-22.763906
1696000000,-22.722202
1697000000,-22.752724
1698000000,-22.702322
1699000000,-22.76918
1700000000,-22.72278
1701000000,-22.776169
1702000000,-22.734331
1703000000,-22.777433
1704000000,-22.822369
1705000000,-22.958719
1706000000,-22.896198
1707000000,-22.882071
1708000000,-22.877993
1709000000,-22.91868
1710000000,-22.899132
1711000000,-22.896505
1712000000,-22.907593
1713000000,-22.92153
1714000000,-23.014126
1715000000,-22.969078
1716000000,-23.033651
1717000000,-23.010044
1718000000,-23.010036
1719000000,-23.084532
1720000000,-23.081018
1721000000,-23.04068
1722000000,-23.068228
1723000000,-23.187881
1724000000,-23.239521
1725000000,-23.15222
1726000000,-23.258339
1727000000,-23.132561
1728000000,-23.199839
1729000000,-23.168465
1730000000,-23.156601
1731000000,-23.280725
1732000000,-23.258848
1733000000,-23.300989
1734000000,-23.274084
1735000000,-23.331707
1736000000,-23.338886
1737000000,-23.273737
1738000000,-23.293682
1739000000,-23.333061
1740000000,-23.380409
1741000000,-23.405411
1742000000,-23.379837
1743000000,-23.468969
1744000000,-23.388155
1745000000,-23.409821
1746000000,-23.416538
1747000000,-23.465437
1748000000,-23.5651
1749000000,-23.533524
1750000000,-23.580759
1751000000,-23.53838
1752000000,-23.516439
1753000000,-23.532469
