"Freq [GHz]","im(Z(1,1)) []"
1,-2488.6828133157
1.001,-2484.36640465519
1.002,-2480.06292958768
1.003,-2475.77235129128
1.004,-2471.49463287181
1.005,-2467.22973736713
1.006,-2462.97762775011
1.007,-2458.73826693268
1.008,-2454.51161777024
1.009,-2450.29764306383
1.01,-2446.09630556484
1.011,-2441.90756797873
1.012,-2437.73139296692
1.013,-2433.56774315178
1.014,-2429.41658111948
1.015,-2425.27786942248
1.016,-2421.15157058433
1.017,-2417.03764710033
1.018,-2412.93606144347
1.019,-2408.84677606504
1.02,-2404.76975339905
1.021,-2400.70495586492
1.022,-2396.65234586897
1.023,-2392.611885809
1.024,-2388.58353807652
1.025,-2384.56726505879
1.026,-2380.56302914206
1.027,-2376.57079271374
1.028,-2372.59051816546
1.029,-2368.62216789501
1.03,-2364.66570430881
1.031,-2360.72108982488
1.032,-2356.78828687445
1.033,-2352.86725790487
1.034,-2348.95796538083
1.035,-2345.06037178838
1.036,-2341.17443963483
1.037,-2337.30013145254
1.038,-2333.43740980044
1.039,-2329.58623726622
1.04,-2325.74657646758
1.041,-2321.91839005511
1.042,-2318.10164071369
1.043,-2314.2962911648
1.044,-2310.50230416723
1.045,-2306.71964252038
1.046,-2302.94826906503
1.047,-2299.18814668504
1.048,-2295.43923830934
1.049,-2291.7015069142
1.05,-2287.97491552267
1.051,-2284.25942720891
1.052,-2280.55500509772
1.053,-2276.8616123669
1.054,-2273.17921224853
1.055,-2269.50776803041
1.056,-2265.84724305699
1.057,-2262.19760073206
1.058,-2258.55880451827
1.059,-2254.93081794027
1.06,-2251.31360458441
1.061,-2247.70712810074
1.062,-2244.11135220471
1.063,-2240.52624067681
1.064,-2236.95175736569
1.065,-2233.38786618781
1.066,-2229.83453112907
1.067,-2226.29171624596
1.068,-2222.75938566664
1.069,-2219.23750359127
1.07,-2215.72603429453
1.071,-2212.22494212465
1.072,-2208.73419150622
1.073,-2205.25374693968
1.074,-2201.78357300282
1.075,-2198.32363435164
1.076,-2194.87389572171
1.077,-2191.43432192783
1.078,-2188.00487786603
1.079,-2184.58552851304
1.08,-2181.17623892877
1.081,-2177.77697425543
1.082,-2174.38769971955
1.083,-2171.00838063144
1.084,-2167.63898238725
1.085,-2164.27947046796
1.086,-2160.92981044181
1.087,-2157.58996796381
1.088,-2154.25990877655
1.089,-2150.93959871091
1.09,-2147.62900368655
1.091,-2144.32808971249
1.092,-2141.03682288804
1.093,-2137.75516940228
1.094,-2134.48309553546
1.095,-2131.22056765945
1.096,-2127.96755223802
1.097,-2124.72401582686
1.098,-2121.48992507499
1.099,-2118.265246724
1.1,-2115.0499476095
1.101,-2111.84399466097
1.102,-2108.64735490251
1.103,-2105.45999545241
1.104,-2102.28188352459
1.105,-2099.11298642806
1.106,-2095.95327156765
1.107,-2092.80270644439
1.108,-2089.66125865531
1.109,-2086.52889589438
1.11,-2083.40558595222
1.111,-2080.29129671696
1.112,-2077.18599617371
1.113,-2074.08965240549
1.114,-2071.00223359311
1.115,-2067.92370801517
1.116,-2064.85404404903
1.117,-2061.79321017004
1.118,-2058.74117495263
1.119,-2055.69790706969
1.12,-2052.66337529276
1.121,-2049.63754849314
1.122,-2046.62039564114
1.123,-2043.61188580628
1.124,-2040.61198815734
1.125,-2037.62067196311
1.126,-2034.63790659182
1.127,-2031.66366151158
1.128,-2028.6979062902
1.129,-2025.74061059556
1.13,-2022.79174419523
1.131,-2019.85127695705
1.132,-2016.91917884883
1.133,-2013.99541993845
1.134,-2011.07997039392
1.135,-2008.17280048369
1.136,-2005.27388057562
1.137,-2002.38318113865
1.138,-1999.50067274134
1.139,-1996.62632605245
1.14,-1993.76011184091
1.141,-1990.90200097596
1.142,-1988.05196442656
1.143,-1985.20997326204
1.144,-1982.37599865162
1.145,-1979.55001186421
1.146,-1976.731984269
1.147,-1973.921887335
1.148,-1971.1196926308
1.149,-1968.32537182457
1.15,-1965.53889668449
1.151,-1962.76023907781
1.152,-1959.98937097146
1.153,-1957.22626443158
1.154,-1954.47089162389
1.155,-1951.72322481289
1.156,-1948.98323636209
1.157,-1946.25089873403
1.158,-1943.52618449016
1.159,-1940.8090662901
1.16,-1938.09951689248
1.161,-1935.39750915418
1.162,-1932.70301603006
1.163,-1930.01601057353
1.164,-1927.33646593544
1.165,-1924.66435536503
1.166,-1921.99965220851
1.167,-1919.3423299102
1.168,-1916.69236201127
1.169,-1914.04972215015
1.17,-1911.41438406245
1.171,-1908.78632158028
1.172,-1906.16550863256
1.173,-1903.55191924449
1.174,-1900.94552753786
1.175,-1898.34630773002
1.176,-1895.75423413476
1.177,-1893.16928116065
1.178,-1890.59142331293
1.179,-1888.02063519105
1.18,-1885.45689149017
1.181,-1882.90016699982
1.182,-1880.35043660475
1.183,-1877.80767528371
1.184,-1875.27185810978
1.185,-1872.74296025006
1.186,-1870.22095696552
1.187,-1867.70582361032
1.188,-1865.19753563267
1.189,-1862.69606857298
1.19,-1860.20139806541
1.191,-1857.71349983609
1.192,-1855.23234970392
1.193,-1852.75792358
1.194,-1850.29019746701
1.195,-1847.82914745964
1.196,-1845.37474974393
1.197,-1842.92698059741
1.198,-1840.48581638814
1.199,-1838.0512335749
1.2,-1835.62320870755
1.201,-1833.20171842554
1.202,-1830.78673945836
1.203,-1828.37824862572
1.204,-1825.97622283617
1.205,-1823.58063908801
1.206,-1821.19147446787
1.207,-1818.80870615162
1.208,-1816.43231140341
1.209,-1814.06226757546
1.21,-1811.69855210799
1.211,-1809.34114252888
1.212,-1806.99001645332
1.213,-1804.64515158374
1.214,-1802.30652570915
1.215,-1799.97411670566
1.216,-1797.64790253502
1.217,-1795.32786124566
1.218,-1793.01397097128
1.219,-1790.70620993148
1.22,-1788.40455643095
1.221,-1786.10898885928
1.222,-1783.81948569086
1.223,-1781.53602548448
1.224,-1779.25858688283
1.225,-1776.98714861301
1.226,-1774.72168948522
1.227,-1772.46218839316
1.228,-1770.20862431353
1.229,-1767.96097630608
1.23,-1765.71922351251
1.231,-1763.48334515719
1.232,-1761.25332054631
1.233,-1759.02912906764
1.234,-1756.81075019036
1.235,-1754.59816346487
1.236,-1752.39134852211
1.237,-1750.19028507381
1.238,-1747.99495291189
1.239,-1745.8053319084
1.24,-1743.62140201484
1.241,-1741.4431432623
1.242,-1739.27053576091
1.243,-1737.10355969967
1.244,-1734.94219534639
1.245,-1732.78642304698
1.246,-1730.63622322546
1.247,-1728.49157638342
1.248,-1726.35246310001
1.249,-1724.21886403169
1.25,-1722.0907599118
1.251,-1719.96813155017
1.252,-1717.85095983308
1.253,-1715.7392257227
1.254,-1713.63291025736
1.255,-1711.53199455053
1.256,-1709.4364597911
1.257,-1707.34628724289
1.258,-1705.26145824418
1.259,-1703.18195420794
1.26,-1701.10775662133
1.261,-1699.03884704481
1.262,-1696.97520711289
1.263,-1694.91681853324
1.264,-1692.86366308642
1.265,-1690.81572262589
1.266,-1688.77297907744
1.267,-1686.735414439
1.268,-1684.70301078062
1.269,-1682.67575024366
1.27,-1680.65361504107
1.271,-1678.6365874568
1.272,-1676.62464984557
1.273,-1674.61778463261
1.274,-1672.61597431348
1.275,-1670.61920145373
1.276,-1668.62744868849
1.277,-1666.64069872235
1.278,-1664.65893432927
1.279,-1662.68213835191
1.28,-1660.71029370152
1.281,-1658.74338335796
1.282,-1656.7813903687
1.283,-1654.82429784963
1.284,-1652.87208898376
1.285,-1650.9247470215
1.286,-1648.98225528032
1.287,-1647.04459714433
1.288,-1645.11175606418
1.289,-1643.18371555674
1.29,-1641.26045920483
1.291,-1639.34197065702
1.292,-1637.42823362728
1.293,-1635.51923189457
1.294,-1633.61494930302
1.295,-1631.71536976115
1.296,-1629.82047724196
1.297,-1627.93025578258
1.298,-1626.04468948406
1.299,-1624.16376251081
1.3,-1622.28745909103
1.301,-1620.41576351543
1.302,-1618.54866013798
1.303,-1616.68613337506
1.304,-1614.82816770529
1.305,-1612.97474766952
1.306,-1611.1258578702
1.307,-1609.2814829716
1.308,-1607.44160769905
1.309,-1605.60621683899
1.31,-1603.77529523862
1.311,-1601.94882780586
1.312,-1600.12679950875
1.313,-1598.30919537537
1.314,-1596.49600049379
1.315,-1594.68720001139
1.316,-1592.88277913492
1.317,-1591.08272313042
1.318,-1589.28701732228
1.319,-1587.49564709397
1.32,-1585.70859788683
1.321,-1583.92585520073
1.322,-1582.14740459292
1.323,-1580.37323167852
1.324,-1578.60332212991
1.325,-1576.83766167689
1.326,-1575.07623610555
1.327,-1573.31903125907
1.328,-1571.56603303695
1.329,-1569.81722739476
1.33,-1568.07260034407
1.331,-1566.33213795203
1.332,-1564.5958263415
1.333,-1562.86365169028
1.334,-1561.13560023145
1.335,-1559.41165825253
1.336,-1557.69181209576
