Freq,Simulated,Measured
1,-30.0701894,-31.301643
1.001,-30.10086818,-31.332808
1.002,-30.13154763,-31.212919
1.003,-30.16222774,-31.278296
1.004,-30.1929085,-31.497305
1.005,-30.22358993,-31.351234
1.006,-30.254272,-31.625061
1.007,-30.28495473,-31.437616
1.008,-30.31563811,-31.483425
1.009,-30.34632213,-31.491283
1.01,-30.3770068,-31.606161
1.011,-30.40769211,-31.601315
1.012,-30.43837805,-31.609657
1.013,-30.46906463,-31.722557
1.014,-30.49975185,-31.637875
1.015,-30.53043969,-31.785969
1.016,-30.56112816,-31.790335
1.017,-30.59181726,-31.887991
1.018,-30.62250698,-31.892616
1.019,-30.65319731,-31.862726
1.02,-30.68388827,-31.929167
1.021,-30.71457984,-31.970865
1.022,-30.74527202,-32.005459
1.023,-30.7759648,-32.017334
1.024,-30.8066582,-32.05756
1.025,-30.8373522,-32.026237
1.026,-30.8680468,-31.896591
1.027,-30.898742,-32.17934
1.028,-30.92943779,-32.032253
1.029,-30.96013418,-32.077461
1.03,-30.99083115,-32.121853
1.031,-31.02152872,-32.112034
1.032,-31.05222687,-32.333706
1.033,-31.0829256,-32.282272
1.034,-31.11362492,-32.266598
1.035,-31.14432481,-32.358715
1.036,-31.17502527,-32.305744
1.037,-31.20572631,-32.386684
1.038,-31.23642791,-32.288342
1.039,-31.26713009,-32.364174
1.04,-31.29783282,-32.417946
1.041,-31.32853612,-32.551357
1.042,-31.35923998,-32.587124
1.043,-31.38994439,-32.71983
1.044,-31.42064936,-32.647373
1.045,-31.45135488,-32.607021
1.046,-31.48206095,-32.502357
1.047,-31.51276756,-32.809956
1.048,-31.54347472,-32.78318
1.049,-31.57418241,-32.792652
1.05,-31.60489065,-32.724026
1.051,-31.63559942,-32.846191
1.052,-31.66630872,-32.855019
1.053,-31.69701856,-32.771202
1.054,-31.72772892,-33.002369
1.055,-31.7584398,-32.908482
1.056,-31.78915121,-32.895641
1.057,-31.81986314,-33.096775
1.058,-31.85057559,-33.084145
1.059,-31.88128855,-32.988037
1.06,-31.91200202,-32.966015
1.061,-31.942716,-32.94775
1.062,-31.97343049,-33.174461
1.063,-32.00414548,-33.259075
1.064,-32.03486097,-33.364178
1.065,-32.06557697,-33.36842
1.066,-32.09629346,-33.260372
1.067,-32.12701044,-33.292301
1.068,-32.15772791,-33.434952
1.069,-32.18844588,-33.183506
1.07,-32.21916433,-33.225204
1.071,-32.24988326,-33.397614
1.072,-32.28060268,-33.558239
1.073,-32.31132257,-33.573196
1.074,-32.34204294,-33.513973
1.075,-32.37276378,-33.452835
1.076,-32.40348509,-33.431618
1.077,-32.43420687,-33.313641
1.078,-32.46492912,-33.62957
1.079,-32.49565183,-33.741695
1.08,-32.526375,-33.751526
1.081,-32.55709863,-33.655231
1.082,-32.58782271,-33.815453
1.083,-32.61854725,-33.501797
1.084,-32.64927223,-33.796829
1.085,-32.67999767,-34.035736
1.086,-32.71072355,-33.901787
1.087,-32.74144987,-33.863342
1.088,-32.77217663,-34.00354
1.089,-32.80290383,-33.888512
1.09,-32.83363146,-33.990761
1.091,-32.86435953,-33.988323
1.092,-32.89508803,-34.055477
1.093,-32.92581695,-33.905312
1.094,-32.9565463,-34.14278
1.095,-32.98727607,-33.838959
1.096,-33.01800627,-33.987309
1.097,-33.04873688,-34.16333
1.098,-33.0794679,-34.045681
1.099,-33.11019934,-34.339603
1.1,-33.14093118,-34.388187
1.101,-33.17166344,-34.398598
1.102,-33.20239609,-34.305481
1.103,-33.23312915,-34.267204
1.104,-33.26386261,-34.584389
1.105,-33.29459647,-34.386246
1.106,-33.32533072,-34.452251
1.107,-33.35606537,-34.513607
1.108,-33.3868004,-34.766014
1.109,-33.41753582,-34.548519
1.11,-33.44827163,-34.608723
1.111,-33.47900782,-34.659355
1.112,-33.50974439,-34.604443
