Freq [GHz],S11 Log Mag(dB),S21 Log Mag(dB),S22 Log Mag(dB),S31 Log Mag(dB),S32 Log Mag(dB),S33 Log Mag(dB)
3.39,-13.49458728,-3.761864968,-15.7550488,-3.735597789,-21.96745282,-15.96586274
3.391,-13.49776783,-3.761837939,-15.75798438,-3.735573303,-21.9803091,-15.96898723
3.392,-13.50095813,-3.761810634,-15.76092404,-3.735548538,-21.99318267,-15.97211333
3.393,-13.50415816,-3.761783054,-15.76386778,-3.735523496,-22.00607357,-15.97524104
3.394,-13.50736792,-3.761755199,-15.76681559,-3.735498177,-22.01898185,-15.97837034
3.395,-13.51058741,-3.761727071,-15.76976746,-3.735472583,-22.03190757,-15.98150122
3.396,-13.51381661,-3.76169867,-15.77272339,-3.735446713,-22.04485077,-15.98463367
3.397,-13.51705552,-3.761669998,-15.77568338,-3.735420569,-22.05781151,-15.98776769
3.398,-13.52030412,-3.761641056,-15.77864741,-3.735394152,-22.07078984,-15.99090326
3.399,-13.52356242,-3.761611844,-15.78161549,-3.735367463,-22.08378582,-15.99404038
3.4,-13.5268304,-3.761582364,-15.7845876,-3.735340502,-22.09679949,-15.99717904
3.401,-13.53010805,-3.761552616,-15.78756374,-3.735313271,-22.1098309,-16.00031922
3.402,-13.53339537,-3.761522602,-15.79054391,-3.73528577,-22.12288012,-16.00346092
3.403,-13.53669235,-3.761492323,-15.7935281,-3.735258001,-22.13594718,-16.00660412
3.404,-13.53999897,-3.761461779,-15.7965163,-3.735229964,-22.14903216,-16.00974883
3.405,-13.54331524,-3.761430971,-15.79950851,-3.73520166,-22.16213509,-16.01289503
3.406,-13.54664114,-3.761399902,-15.80250472,-3.73517309,-22.17525604,-16.0160427
3.407,-13.54997667,-3.76136857,-15.80550494,-3.735144256,-22.18839505,-16.01919185
3.408,-13.55332181,-3.761336978,-15.80850914,-3.735115157,-22.20155219,-16.02234246
3.409,-13.55667657,-3.761305127,-15.81151733,-3.735085795,-22.2147275,-16.02549452
3.41,-13.56004092,-3.761273017,-15.8145295,-3.735056171,-22.22792104,-16.02864803
3.411,-13.56341487,-3.761240649,-15.81754565,-3.735026286,-22.24113286,-16.03180297
3.412,-13.5667984,-3.761208025,-15.82056577,-3.73499614,-22.25436303,-16.03495934
3.413,-13.5701915,-3.761175145,-15.82358985,-3.734965735,-22.26761158,-16.03811713
3.414,-13.57359418,-3.761142011,-15.82661789,-3.734935071,-22.28087859,-16.04127632
3.415,-13.57700641,-3.761108623,-15.82964989,-3.73490415,-22.29416411,-16.04443692
3.416,-13.58042819,-3.761074982,-15.83268584,-3.734872972,-22.30746818,-16.04759891
3.417,-13.58385952,-3.76104109,-15.83572573,-3.734841538,-22.32079087,-16.05076227
3.418,-13.58730038,-3.761006946,-15.83876956,-3.734809849,-22.33413224,-16.05392701
3.419,-13.59075077,-3.760972553,-15.84181732,-3.734777906,-22.34749233,-16.05709312
3.42,-13.59421067,-3.760937912,-15.84486901,-3.73474571,-22.36087121,-16.06026058
3.421,-13.59768008,-3.760903022,-15.84792462,-3.734713263,-22.37426894,-16.06342939
3.422,-13.601159,-3.760867886,-15.85098415,-3.734680564,-22.38768556,-16.06659954
3.423,-13.6046474,-3.760832503,-15.85404759,-3.734647614,-22.40112114,-16.06977101
3.424,-13.60814529,-3.760796876,-15.85711493,-3.734614416,-22.41457574,-16.07294381
3.425,-13.61165266,-3.760761005,-15.86018618,-3.734580968,-22.42804941,-16.07611792
3.426,-13.61516949,-3.760724891,-15.86326133,-3.734547274,-22.44154221,-16.07929334
3.427,-13.61869578,-3.760688535,-15.86634036,-3.734513333,-22.4550542,-16.08247005
3.428,-13.62223152,-3.760651938,-15.86942329,-3.734479146,-22.46858544,-16.08564805
3.429,-13.6257767,-3.7606151,-15.87251009,-3.734444714,-22.48213598,-16.08882733
3.43,-13.62933132,-3.760578024,-15.87560077,-3.734410039,-22.49570589,-16.09200788
3.431,-13.63289536,-3.76054071,-15.87869532,-3.73437512,-22.50929523,-16.09518969
3.432,-13.63646881,-3.760503158,-15.88179374,-3.73433996,-22.52290405,-16.09837276
3.433,-13.64005167,-3.76046537,-15.88489601,-3.734304558,-22.53653241,-16.10155707
3.434,-13.64364393,-3.760427347,-15.88800214,-3.734268917,-22.55018037,-16.10474262
3.435,-13.64724559,-3.760389089,-15.89111213,-3.734233036,-22.563848,-16.1079294
3.436,-13.65085662,-3.760350598,-15.89422596,-3.734196917,-22.57753535,-16.1111174
3.437,-13.65447702,-3.760311875,-15.89734362,-3.734160561,-22.59124249,-16.11430662
