Freq [GHz],S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
1,70.29187086,-144.143641,-45.73445644,-144.1874087,159.6969882,-46.29705585
1.001,70.2026928,-144.2891192,-45.89851827,-144.3330041,159.5144106,-46.46278056
1.002,70.11355043,-144.4346,-46.06248455,-144.4786018,159.3318456,-46.62840086
1.003,70.02444375,-144.5800834,-46.22635535,-144.6242016,159.149293,-46.79391685
1.004,69.93537271,-144.7255694,-46.39013076,-144.7698037,158.9667529,-46.95932862
1.005,69.84633732,-144.8710579,-46.55381084,-144.9154079,158.7842251,-47.12463626
1.006,69.75733755,-145.0165489,-46.71739567,-145.0610144,158.6017095,-47.28983986
1.007,69.66837339,-145.1620426,-46.88088533,-145.206623,158.4192063,-47.45493951
1.008,69.57944481,-145.3075388,-47.04427989,-145.3522338,158.2367151,-47.61993532
1.009,69.4905518,-145.4530376,-47.20757943,-145.4978468,158.0542362,-47.78482736
1.01,69.40169435,-145.5985389,-47.37078402,-145.643462,157.8717692,-47.94961573
1.011,69.31287243,-145.7440428,-47.53389373,-145.7890793,157.6893143,-48.11430053
1.012,69.22408604,-145.8895493,-47.69690865,-145.9346989,157.5068713,-48.27888184
1.013,69.13533514,-146.0350583,-47.85982883,-146.0803206,157.3244402,-48.44335976
1.014,69.04661974,-146.1805699,-48.02265437,-146.2259445,157.142021,-48.60773437
1.015,68.9579398,-146.3260841,-48.18538532,-146.3715706,156.9596135,-48.77200576
1.016,68.86929533,-146.4716008,-48.34802176,-146.5171988,156.7772177,-48.93617404
1.017,68.78068629,-146.6171201,-48.51056377,-146.6628293,156.5948336,-49.10023927
1.018,68.69211267,-146.762642,-48.67301141,-146.8084619,156.4124612,-49.26420156
1.019,68.60357446,-146.9081664,-48.83536476,-146.9540966,156.2301002,-49.428061
1.02,68.51507164,-147.0536934,-48.99762389,-147.0997336,156.0477508,-49.59181767
1.021,68.4266042,-147.1992229,-49.15978886,-147.2453727,155.8654128,-49.75547167
1.022,68.33817213,-147.344755,-49.32185975,-147.3910139,155.6830862,-49.91902307
1.023,68.24977539,-147.4902897,-49.48383664,-147.5366574,155.5007709,-50.08247198
1.024,68.16141399,-147.6358269,-49.64571958,-147.682303,155.3184669,-50.24581848
1.025,68.07308791,-147.7813666,-49.80750864,-147.8279507,155.1361741,-50.40906265
1.026,67.98479713,-147.926909,-49.96920391,-147.9736007,154.9538925,-50.57220458
1.027,67.89654163,-148.0724539,-50.13080544,-148.1192527,154.771622,-50.73524437
1.028,67.80832141,-148.2180013,-50.29231331,-148.264907,154.5893626,-50.8981821
1.029,67.72013645,-148.3635513,-50.45372758,-148.4105634,154.4071141,-51.06101785
1.03,67.63198673,-148.5091039,-50.61504831,-148.5562219,154.2248766,-51.22375171
1.031,67.54387224,-148.654659,-50.77627559,-148.7018826,154.04265,-51.38638377
1.032,67.45579297,-148.8002167,-50.93740947,-148.8475454,153.8604343,-51.54891412
1.033,67.3677489,-148.9457769,-51.09845003,-148.9932104,153.6782293,-51.71134284
1.034,67.27974002,-149.0913397,-51.25939732,-149.1388776,153.496035,-51.87367002
1.035,67.19176632,-149.236905,-51.42025141,-149.2845469,153.3138515,-52.03589574
1.036,67.10382778,-149.3824729,-51.58101238,-149.4302183,153.1316785,-52.19802009
1.037,67.01592439,-149.5280434,-51.74168028,-149.5758919,152.9495161,-52.36004315
1.038,66.92805614,-149.6736164,-51.90225518,-149.7215677,152.7673643,-52.521965
1.039,66.84022302,-149.819192,-52.06273715,-149.8672455,152.5852229,-52.68378574
1.04,66.752425,-149.9647701,-52.22312625,-150.0129256,152.4030919,-52.84550545
1.041,66.66466209,-150.1103508,-52.38342254,-150.1586077,152.2209713,-53.0071242
1.042,66.57693426,-150.255934,-52.5436261,-150.304292,152.038861,-53.16864209
1.043,66.48924151,-150.4015198,-52.70373697,-150.4499784,151.8567609,-53.3300592
1.044,66.40158382,-150.5471081,-52.86375523,-150.595667,151.6746711,-53.4913756
1.045,66.31396118,-150.692699,-53.02368093,-150.7413577,151.4925914,-53.65259139
1.046,66.22637359,-150.8382924,-53.18351415,-150.8870506,151.3105218,-53.81370665
1.047,66.13882102,-150.9838884,-53.34325494,-151.0327455,151.1284622,-53.97472145
1.048,66.05130347,-151.1294869,-53.50290336,-151.1784427,150.9464127,-54.13563588
1.049,65.96382092,-151.275088,-53.66245948,-151.3241419,150.7643731,-54.29645003
1.05,65.87637337,-151.4206917,-53.82192335,-151.4698433,150.5823433,-54.45716397
1.051,65.7889608,-151.5662979,-53.98129505,-151.6155468,150.4003235,-54.61777778
1.052,65.70158321,-151.7119066,-54.14057462,-151.7612524,150.2183134,-54.77829155
1.053,65.61424058,-151.8575179,-54.29976213,-151.9069602,150.036313,-54.93870536
1.054,65.5269329,-152.0031317,-54.45885764,-152.05267,149.8543224,-55.09901929
1.055,65.43966017,-152.1487481,-54.61786121,-152.198382,149.6723414,-55.25923341
1.056,65.35242236,-152.2943671,-54.7767729,-152.3440962,149.4903699,-55.41934781
1.057,65.26521948,-152.4399886,-54.93559276,-152.4898124,149.3084081,-55.57936257
1.058,65.17805151,-152.5856126,-55.09432086,-152.6355308,149.1264557,-55.73927776
1.059,65.09091845,-152.7312392,-55.25295725,-152.7812513,148.9445127,-55.89909347
1.06,65.00382028,-152.8768684,-55.411502,-152.9269739,148.7625791,-56.05880978
1.061,64.91675699,-153.0225001,-55.56995515,-153.0726987,148.5806549,-56.21842676
1.062,64.82972858,-153.1681344,-55.72831677,-153.2184255,148.39874,-56.37794449
1.063,64.74273504,-153.3137712,-55.88658691,-153.3641545,148.2168343,-56.53736305
1.064,64.65577635,-153.4594105,-56.04476564,-153.5098856,148.0349377,-56.69668253
1.065,64.56885251,-153.6050524,-56.202853,-153.6556188,147.8530504,-56.85590298
1.066,64.48196352,-153.7506969,-56.36084905,-153.8013542,147.6711721,-57.0150245
1.067,64.39510935,-153.8963439,-56.51875385,-153.9470916,147.4893029,-57.17404716
1.068,64.30829001,-154.0419934,-56.67656746,-154.0928312,147.3074426,-57.33297104
1.069,64.22150549,-154.1876455,-56.83428992,-154.2385729,147.1255913,-57.49179621
1.07,64.13475578,-154.3333002,-56.9919213,-154.3843166,146.9437489,-57.65052276
1.071,64.04804087,-154.4789574,-57.14946164,-154.5300625,146.7619154,-57.80915074
1.072,63.96136076,-154.6246172,-57.30691101,-154.6758106,146.5800907,-57.96768025
1.073,63.87471543,-154.7702795,-57.46426946,-154.8215607,146.3982747,-58.12611136
1.074,63.78810488,-154.9159443,-57.62153703,-154.9673129,146.2164674,-58.28444414
1.075,63.70152911,-155.0616117,-57.77871378,-155.1130673,146.0346688,-58.44267866
1.076,63.6149881,-155.2072817,-57.93579978,-155.2588237,145.8528788,-58.60081501
1.077,63.52848185,-155.3529542,-58.09279506,-155.4045823,145.6710973,-58.75885326
1.078,63.44201036,-155.4986292,-58.24969968,-155.5503429,145.4893244,-58.91679347
1.079,63.35557362,-155.6443068,-58.40651369,-155.6961057,145.30756,-59.07463573
1.08,63.26917162,-155.789987,-58.56323715,-155.8418706,145.1258039,-59.23238011
1.081,63.18280435,-155.9356697,-58.7198701,-155.9876376,144.9440563,-59.39002668
1.082,63.09647182,-156.081355,-58.87641259,-156.1334067,144.762317,-59.54757551
1.083,63.01017401,-156.2270428,-59.03286469,-156.2791779,144.5805859,-59.70502668
1.084,62.92391092,-156.3727331,-59.18922643,-156.4249512,144.3988631,-59.86238026
1.085,62.83768255,-156.5184261,-59.34549787,-156.5707266,144.2171485,-60.01963632
1.086,62.75148889,-156.6641215,-59.50167906,-156.7165041,144.0354421,-60.17679494
1.087,62.66532993,-156.8098195,-59.65777004,-156.8622837,143.8537437,-60.33385618
1.088,62.57920568,-156.9555201,-59.81377087,-157.0080654,143.6720534,-60.49082011
1.089,62.49311612,-157.1012232,-59.96968159,-157.1538492,143.4903711,-60.64768682
1.09,62.40706126,-157.2469289,-60.12550225,-157.2996351,143.3086967,-60.80445636
1.091,62.32104108,-157.3926371,-60.28123291,-157.4454232,143.1270303,-60.96112881
1.092,62.23505559,-157.5383479,-60.4368736,-157.5912133,142.9453718,-61.11770424
1.093,62.14910479,-157.6840612,-60.59242439,-157.7370055,142.7637211,-61.27418273
1.094,62.06318866,-157.8297771,-60.7478853,-157.8827998,142.5820781,-61.43056433
1.095,61.9773072,-157.9754956,-60.9032564,-158.0285963,142.4004429,-61.58684912
1.096,61.89146042,-158.1212165,-61.05853772,-158.1743948,142.2188154,-61.74303716
1.097,61.80564831,-158.2669401,-61.21372932,-158.3201954,142.0371955,-61.89912854
1.098,61.71987087,-158.4126662,-61.36883124,-158.4659981,141.8555833,-62.05512331
1.099,61.63412809,-158.5583948,-61.52384352,-158.611803,141.6739786,-62.21102154
1.1,61.54841998,-158.704126,-61.67876621,-158.7576099,141.4923814,-62.36682331
1.101,61.46274652,-158.8498598,-61.83359936,-158.9034189,141.3107917,-62.52252868
1.102,61.37710772,-158.9955961,-61.98834302,-159.04923,141.1292094,-62.67813771
1.103,61.29150359,-159.141335,-62.14299721,-159.1950432,140.9476346,-62.83365049
1.104,61.2059341,-159.2870764,-62.297562,-159.3408585,140.766067,-62.98906706
1.105,61.12039927,-159.4328204,-62.45203742,-159.4866759,140.5845068,-63.1443875
1.106,61.0348991,-159.5785669,-62.60642352,-159.6324955,140.4029538,-63.29961188
1.107,60.94943358,-159.724316,-62.76072034,-159.7783171,140.221408,-63.45474026
1.108,60.86400271,-159.8700677,-62.91492793,-159.9241408,140.0398694,-63.6097727
1.109,60.77860649,-160.0158219,-63.06904632,-160.0699666,139.8583379,-63.76470928
1.11,60.69324492,-160.1615787,-63.22307556,-160.2157945,139.6768135,-63.91955006
1.111,60.607918,-160.307338,-63.3770157,-160.3616245,139.4952962,-64.0742951
1.112,60.52262574,-160.4530999,-63.53086677,-160.5074565,139.3137858,-64.22894448
1.113,60.43736813,-160.5988643,-63.68462881,-160.6532907,139.1322824,-64.38349824
1.114,60.35214517,-160.7446313,-63.83830187,-160.799127,138.9507859,-64.53795647
1.115,60.26695686,-160.8904009,-63.99188599,-160.9449654,138.7692963,-64.69231921
1.116,60.18180321,-161.036173,-64.14538121,-161.0908059,138.5878135,-64.84658654
1.117,60.09668421,-161.1819477,-64.29878756,-161.2366485,138.4063376,-65.00075852
1.118,60.01159987,-161.3277249,-64.4521051,-161.3824931,138.2248683,-65.15483522
1.119,59.92655019,-161.4735047,-64.60533385,-161.5283399,138.0434058,-65.30881669
1.12,59.84153517,-161.6192871,-64.75847387,-161.6741888,137.8619499,-65.462703
1.121,59.75655481,-161.765072,-64.91152518,-161.8200397,137.6805007,-65.61649421
1.122,59.67160911,-161.9108595,-65.06448784,-161.9658928,137.4990581,-65.77019038
1.123,59.58669809,-162.0566496,-65.21736186,-162.111748,137.317622,-65.92379158
1.124,59.50182173,-162.2024422,-65.37014731,-162.2576052,137.1361924,-66.07729786
1.125,59.41698004,-162.3482374,-65.5228442,-162.4034646,136.9547692,-66.2307093
1.126,59.33217303,-162.4940352,-65.67545259,-162.549326,136.7733525,-66.38402594
1.127,59.2474007,-162.6398355,-65.82797251,-162.6951896,136.5919422,-66.53724786
1.128,59.16266305,-162.7856384,-65.98040399,-162.8410552,136.4105382,-66.6903751
1.129,59.07796008,-162.9314438,-66.13274708,-162.986923,136.2291405,-66.84340774
1.13,58.99329181,-163.0772518,-66.28500181,-163.1327928,136.0477491,-66.99634583
1.131,58.90865822,-163.2230624,-66.43716822,-163.2786648,135.8663639,-67.14918943
1.132,58.82405934,-163.3688756,-66.58924634,-163.4245388,135.6849849,-67.3019386
1.133,58.73949516,-163.5146913,-66.74123621,-163.570415,135.503612,-67.4545934
1.134,58.65496568,-163.6605096,-66.89313787,-163.7162932,135.3222452,-67.6071539
1.135,58.57047092,-163.8063304,-67.04495135,-163.8621736,135.1408845,-67.75962014
1.136,58.48601088,-163.9521539,-67.19667669,-164.008056,134.9595299,-67.91199219
1.137,58.40158556,-164.0979799,-67.34831392,-164.1539406,134.7781812,-68.0642701
1.138,58.31719496,-164.2438084,-67.49986307,-164.2998272,134.5968385,-68.21645394
1.139,58.2328391,-164.3896396,-67.65132419,-164.445716,134.4155016,-68.36854376
1.14,58.14851798,-164.5354733,-67.8026973,-164.5916068,134.2341707,-68.52053961
1.141,58.06423161,-164.6813096,-67.95398245,-164.7374998,134.0528456,-68.67244157
1.142,57.97997999,-164.8271485,-68.10517965,-164.8833948,133.8715263,-68.82424968
1.143,57.89576313,-164.9729899,-68.25628896,-165.029292,133.6902127,-68.97596399
1.144,57.81158104,-165.1188339,-68.40731039,-165.1751912,133.5089049,-69.12758458
1.145,57.72743372,-165.2646805,-68.55824399,-165.3210926,133.3276027,-69.27911148
1.146,57.64332118,-165.4105297,-68.70908979,-165.4669961,133.1463062,-69.43054477
1.147,57.55924343,-165.5563814,-68.85984782,-165.6129017,132.9650154,-69.58188449
1.148,57.47520048,-165.7022358,-69.0105181,-165.7588093,132.78373,-69.7331307
1.149,57.39119233,-165.8480927,-69.16110068,-165.9047191,132.6024502,-69.88428346
1.15,57.307219,-165.9939522,-69.31159559,-166.050631,132.421176,-70.03534282
1.151,57.22328049,-166.1398142,-69.46200286,-166.196545,132.2399071,-70.18630883
1.152,57.1393768,-166.2856789,-69.61232251,-166.3424612,132.0586437,-70.33718155
1.153,57.05550796,-166.4315461,-69.76255458,-166.4883794,131.8773857,-70.48796104
1.154,56.97167397,-166.5774159,-69.9126991,-166.6342997,131.696133,-70.63864735
1.155,56.88787483,-166.7232883,-70.06275611,-166.7802221,131.5148857,-70.78924053
1.156,56.80411056,-166.8691633,-70.21272562,-166.9261467,131.3336436,-70.93974063
1.157,56.72038117,-167.0150409,-70.36260768,-167.0720734,131.1524068,-71.09014771
1.158,56.63668666,-167.1609211,-70.51240231,-167.2180021,130.9711752,-71.24046183
1.159,56.55302706,-167.3068038,-70.66210954,-167.363933,130.7899487,-71.39068303
1.16,56.46940236,-167.4526891,-70.81172941,-167.509866,130.6087274,-71.54081137
1.161,56.38581258,-167.5985771,-70.96126193,-167.6558011,130.4275112,-71.69084689
1.162,56.30225773,-167.7444676,-71.11070714,-167.8017383,130.2463,-71.84078967
1.163,56.21873783,-167.8903607,-71.26006508,-167.9476777,130.0650939,-71.99063973
1.164,56.13525287,-168.0362563,-71.40933576,-168.0936191,129.8838927,-72.14039714
1.165,56.05180289,-168.1821546,-71.55851921,-168.2395627,129.7026966,-72.29006195
1.166,55.96838788,-168.3280555,-71.70761547,-168.3855084,129.5215053,-72.4396342
1.167,55.88500785,-168.473959,-71.85662456,-168.5314562,129.3403189,-72.58911396
1.168,55.80166283,-168.619865,-72.00554651,-168.6774061,129.1591374,-72.73850127
1.169,55.71835283,-168.7657737,-72.15438135,-168.8233582,128.9779607,-72.88779617
1.17,55.63507785,-168.911685,-72.3031291,-168.9693124,128.7967888,-73.03699873
1.171,55.55183792,-169.0575988,-72.4517898,-169.1152686,128.6156217,-73.18610899
1.172,55.46863303,-169.2035153,-72.60036346,-169.2612271,128.4344593,-73.335127
1.173,55.38546322,-169.3494343,-72.74885012,-169.4071876,128.2533015,-73.48405281
1.174,55.30232849,-169.495356,-72.8972498,-169.5531503,128.0721484,-73.63288647
1.175,55.21922885,-169.6412802,-73.04556253,-169.699115,127.8909999,-73.78162803
1.176,55.13616433,-169.7872071,-73.19378834,-169.845082,127.709856,-73.93027754
1.177,55.05313493,-169.9331365,-73.34192724,-169.991051,127.5287167,-74.07883504
1.178,54.97014067,-170.0790686,-73.48997927,-170.1370222,127.3475818,-74.22730059
1.179,54.88718156,-170.2250032,-73.63794446,-170.2829955,127.1664515,-74.37567423
1.18,54.80425763,-170.3709405,-73.78582282,-170.4289709,126.9853256,-74.52395602
1.181,54.72136888,-170.5168804,-73.93361438,-170.5749484,126.8042041,-74.67214599
1.182,54.63851534,-170.6628229,-74.08131918,-170.7209281,126.623087,-74.8202442
1.183,54.55569701,-170.808768,-74.22893722,-170.8669099,126.4419742,-74.9682507
1.184,54.47291392,-170.9547157,-74.37646854,-171.0128939,126.2608658,-75.11616552
1.185,54.39016608,-171.100666,-74.52391317,-171.15888,126.0797616,-75.26398873
1.186,54.30745351,-171.2466189,-74.67127112,-171.3048682,125.8986617,-75.41172036
1.187,54.22477623,-171.3925744,-74.81854242,-171.4508586,125.7175661,-75.55936046
1.188,54.14213425,-171.5385326,-74.96572709,-171.5968511,125.5364746,-75.70690909
1.189,54.05952759,-171.6844933,-75.11282516,-171.7428457,125.3553873,-75.85436627
1.19,53.97695627,-171.8304567,-75.25983666,-171.8888425,125.1743041,-76.00173207
1.191,53.8944203,-171.9764227,-75.4067616,-172.0348414,124.993225,-76.14900653
1.192,53.81191971,-172.1223913,-75.55360001,-172.1808425,124.8121499,-76.29618968
1.193,53.72945452,-172.2683626,-75.70035191,-172.3268457,124.6310789,-76.44328159
1.194,53.64702474,-172.4143364,-75.84701732,-172.472851,124.4500119,-76.59028228
1.195,53.5646304,-172.5603129,-75.99359627,-172.6188585,124.2689489,-76.73719182
1.196,53.4822715,-172.706292,-76.14008878,-172.7648682,124.0878898,-76.88401024
1.197,53.39994808,-172.8522737,-76.28649488,-172.91088,123.9068346,-77.03073758
1.198,53.31766015,-172.9982581,-76.43281458,-173.0568939,123.7257833,-77.1773739
1.199,53.23540773,-173.1442451,-76.5790479,-173.20291,123.5447359,-77.32391923
1.2,53.15319085,-173.2902346,-76.72519488,-173.3489283,123.3636922,-77.47037362
1.201,53.07100951,-173.4362269,-76.87125553,-173.4949487,123.1826524,-77.61673711
1.202,52.98886376,-173.5822217,-77.01722987,-173.6409712,123.0016163,-77.76300976
1.203,52.9067536,-173.7282192,-77.16311792,-173.786996,122.8205839,-77.90919159
1.204,52.82467906,-173.8742193,-77.30891972,-173.9330228,122.6395552,-78.05528266
1.205,52.74264016,-174.0202221,-77.45463526,-174.0790519,122.4585302,-78.201283
1.206,52.66063692,-174.1662275,-77.60026459,-174.2250831,122.2775088,-78.34719267
1.207,52.57866936,-174.3122355,-77.74580772,-174.3711164,122.0964911,-78.4930117
1.208,52.49673751,-174.4582461,-77.89126467,-174.5171519,121.9154769,-78.63874013
1.209,52.4148414,-174.6042594,-78.03663546,-174.6631896,121.7344662,-78.78437802
1.21,52.33298103,-174.7502754,-78.18192011,-174.8092295,121.5534591,-78.92992539
1.211,52.25115645,-174.8962939,-78.32711865,-174.9552715,121.3724555,-79.07538229
1.212,52.16936766,-175.0423152,-78.47223109,-175.1013156,121.1914553,-79.22074877
1.213,52.0876147,-175.188339,-78.61725746,-175.247362,121.0104586,-79.36602487
1.214,52.00589759,-175.3343655,-78.76219777,-175.3934105,120.8294653,-79.51121063
1.215,51.92421635,-175.4803946,-78.90705204,-175.5394612,120.6484753,-79.65630608
1.216,51.84257101,-175.6264264,-79.0518203,-175.6855141,120.4674887,-79.80131127
1.217,51.7609616,-175.7724609,-79.19650256,-175.8315691,120.2865054,-79.94622625
1.218,51.67938813,-175.9184979,-79.34109885,-175.9776264,120.1055254,-80.09105105
1.219,51.59785064,-176.0645377,-79.48560918,-176.1236858,119.9245486,-80.23578571
1.22,51.51634915,-176.2105801,-79.63003358,-176.2697473,119.7435751,-80.38043028
1.221,51.43488369,-176.3566251,-79.77437206,-176.4158111,119.5626048,-80.52498479
1.222,51.35345428,-176.5026728,-79.91862464,-176.5618771,119.3816377,-80.66944929
1.223,51.27206096,-176.6487231,-80.06279134,-176.7079452,119.2006738,-80.81382381
1.224,51.19070374,-176.7947761,-80.20687219,-176.8540155,119.0197129,-80.9581084
1.225,51.10938266,-176.9408318,-80.3508672,-177.000088,118.8387552,-81.10230309
1.226,51.02809774,-177.0868901,-80.49477639,-177.1461627,118.6578005,-81.24640793
1.227,50.94684901,-177.2329511,-80.63859977,-177.2922396,118.4768488,-81.39042296
1.228,50.86563651,-177.3790147,-80.78233738,-177.4383187,118.2959002,-81.5343482
1.229,50.78446025,-177.525081,-80.92598922,-177.5844,118.1149546,-81.67818372
1.23,50.70332027,-177.6711499,-81.06955532,-177.7304834,117.9340119,-81.82192953
1.231,50.62221659,-177.8172216,-81.21303569,-177.8765691,117.7530722,-81.96558569
1.232,50.54114925,-177.9632959,-81.35643036,-178.022657,117.5721353,-82.10915223
1.233,50.46011827,-178.1093728,-81.49973934,-178.168747,117.3912014,-82.25262919
1.234,50.3791237,-178.2554524,-81.64296265,-178.3148393,117.2102703,-82.39601661
1.235,50.29816554,-178.4015347,-81.7861003,-178.4609338,117.029342,-82.53931453
1.236,50.21724385,-178.5476197,-81.92915233,-178.6070305,116.8484166,-82.68252299
1.237,50.13635864,-178.6937074,-82.07211874,-178.7531294,116.6674939,-82.82564201
1.238,50.05550995,-178.8397977,-82.21499956,-178.8992305,116.486574,-82.96867166
1.239,49.97469781,-178.9858907,-82.3577948,-179.0453338,116.3056568,-83.11161195
1.24,49.89392225,-179.1319863,-82.50050448,-179.1914393,116.1247423,-83.25446293
1.241,49.8131833,-179.2780847,-82.64312863,-179.337547,115.9438304,-83.39722465
1.242,49.732481,-179.4241857,-82.78566725,-179.483657,115.7629212,-83.53989712
1.243,49.65181538,-179.5702894,-82.92812036,-179.6297692,115.5820147,-83.6824804
1.244,49.57118648,-179.7163958,-83.07048799,-179.7758836,115.4011107,-83.82497452
1.245,49.49059432,-179.8625049,-83.21277015,-179.9220002,115.2202094,-83.96737952
1.246,49.41003893,179.9913833,-83.35496687,179.931881,115.0393105,-84.10969544
1.247,49.32952036,179.8452689,-83.49707815,179.7857599,114.8584142,-84.25192231
1.248,49.24903864,179.6991518,-83.63910402,179.6396366,114.6775204,-84.39406017
1.249,49.1685938,179.5530319,-83.78104449,179.4935111,114.4966291,-84.53610906
1.25,49.08818587,179.4069094,-83.92289959,179.3473833,114.3157402,-84.67806901
1.251,49.0078149,179.2607842,-84.06466933,179.2012533,114.1348538,-84.81994007
1.252,48.92748091,179.1146563,-84.20635372,179.0551211,113.9539697,-84.96172226
1.253,48.84718394,178.9685257,-84.3479528,178.9089867,113.7730881,-85.10341564
1.254,48.76692404,178.8223924,-84.48946657,178.76285,113.5922088,-85.24502022
1.255,48.68670123,178.6762564,-84.63089505,178.616711,113.4113318,-85.38653606
1.256,48.60651555,178.5301177,-84.77223826,178.4705698,113.2304571,-85.52796318
1.257,48.52636703,178.3839763,-84.91349623,178.3244264,113.0495847,-85.66930163
1.258,48.44625573,178.2378322,-85.05466896,178.1782807,112.8687146,-85.81055143
1.259,48.36618166,178.0916854,-85.19575648,178.0321328,112.6878467,-85.95171264
1.26,48.28614488,177.9455359,-85.3367588,177.8859826,112.506981,-86.09278527
1.261,48.20614542,177.7993836,-85.47767595,177.7398302,112.3261176,-86.23376938
1.262,48.12618332,177.6532287,-85.61850793,177.5936755,112.1452562,-86.37466499
1.263,48.04625861,177.5070711,-85.75925477,177.4475186,111.9643971,-86.51547215
1.264,47.96637134,177.3609107,-85.89991649,177.3013594,111.78354,-86.65619088
1.265,47.88652154,177.2147477,-86.04049311,177.1551979,111.6026851,-86.79682123
1.266,47.80670926,177.0685819,-86.18098464,177.0090342,111.4218322,-86.93736323
1.267,47.72693453,176.9224134,-86.3213911,176.8628682,111.2409814,-87.07781691
1.268,47.6471974,176.7762422,-86.46171251,176.7167,111.0601326,-87.21818232
1.269,47.5674979,176.6300682,-86.60194889,176.5705295,110.8792858,-87.35845949
1.27,47.48783609,176.4838916,-86.74210026,176.4243567,110.6984411,-87.49864846
1.271,47.40821199,176.3377122,-86.88216664,176.2781816,110.5175982,-87.63874926
1.272,47.32862565,176.1915301,-87.02214804,176.1320043,110.3367574,-87.77876192
1.273,47.24907711,176.0453453,-87.16204448,175.9858247,110.1559184,-87.91868649
1.274,47.16956642,175.8991577,-87.30185599,175.8396428,109.9750814,-88.058523
1.275,47.09009362,175.7529674,-87.44158258,175.6934586,109.7942462,-88.19827148
1.276,47.01065874,175.6067744,-87.58122427,175.5472722,109.6134129,-88.33793198
1.277,46.93126184,175.4605787,-87.72078108,175.4010834,109.4325814,-88.47750452
1.278,46.85190296,175.3143802,-87.86025303,175.2548924,109.2517518,-88.61698915
1.279,46.77258214,175.168179,-87.99964013,175.1086991,109.0709239,-88.75638589
1.28,46.69329942,175.021975,-88.13894241,174.9625035,108.8900978,-88.8956948
1.281,46.61405486,174.8757683,-88.27815989,174.8163056,108.7092735,-89.03491589
1.282,46.53484849,174.7295589,-88.41729259,174.6701054,108.5284509,-89.17404921
1.283,46.45568036,174.5833467,-88.55634052,174.5239029,108.34763,-89.3130948
1.284,46.37655051,174.4371318,-88.69530371,174.3776981,108.1668108,-89.45205268
1.285,46.297459,174.2909141,-88.83418217,174.231491,107.9859932,-89.5909229
1.286,46.21840587,174.1446937,-88.97297593,174.0852816,107.8051773,-89.72970549
1.287,46.13939116,173.9984706,-89.11168501,173.9390699,107.6243631,-89.86840049
1.288,46.06041492,173.8522447,-89.25030941,173.7928558,107.4435504,-90.00700793
1.289,45.9814772,173.706016,-89.38884918,173.6466395,107.2627394,-90.14552786
1.29,45.90257805,173.5597846,-89.52730432,173.5004209,107.0819299,-90.28396029
1.291,45.82371752,173.4135505,-89.66567486,173.3541999,106.901122,-90.42230528
1.292,45.74489564,173.2673135,-89.80396082,173.2079766,106.7203155,-90.56056286
1.293,45.66611248,173.1210739,-89.94216222,173.061751,106.5395106,-90.69873307
1.294,45.58736808,172.9748314,-90.08027907,172.9155231,106.3587072,-90.83681593
1.295,45.50866249,172.8285862,-90.21831141,172.7692928,106.1779053,-90.97481149
1.296,45.42999576,172.6823383,-90.35625925,172.6230603,105.9971048,-91.11271979
1.297,45.35136794,172.5360876,-90.49412261,172.4768254,105.8163058,-91.25054086
1.298,45.27277907,172.3898341,-90.63190152,172.3305881,105.6355081,-91.38827473
1.299,45.19422922,172.2435778,-90.769596,172.1843486,105.4547119,-91.52592145
1.3,45.11571843,172.0973188,-90.90720606,172.0381067,105.273917,-91.66348104
1.301,45.03724675,171.951057,-91.04473174,171.8918624,105.0931235,-91.80095356
1.302,44.95881424,171.8047925,-91.18217304,171.7456158,104.9123313,-91.93833902
1.303,44.88042095,171.6585251,-91.31953001,171.5993669,104.7315405,-92.07563748
1.304,44.80206692,171.512255,-91.45680265,171.4531156,104.5507509,-92.21284897
1.305,44.72375222,171.3659821,-91.593991,171.306862,104.3699627,-92.34997352
1.306,44.64547689,171.2197065,-91.73109507,171.160606,104.1891757,-92.48701117
1.307,44.56724099,171.073428,-91.86811488,171.0143477,104.0083899,-92.62396196
1.308,44.48904457,170.9271468,-92.00505047,170.868087,103.8276054,-92.76082593
1.309,44.41088769,170.7808628,-92.14190186,170.721824,103.6468221,-92.89760311
1.31,44.33277039,170.634576,-92.27866906,170.5755586,103.46604,-93.03429354
1.311,44.25469275,170.4882864,-92.4153521,170.4292908,103.285259,-93.17089726
1.312,44.17665481,170.341994,-92.55195101,170.2830207,103.1044792,-93.30741431
1.313,44.09865662,170.1956989,-92.68846582,170.1367482,102.9237006,-93.44384472
1.314,44.02069824,170.0494009,-92.82489653,169.9904733,102.7429231,-93.58018854
1.315,43.94277974,169.9031002,-92.96124319,169.8441961,102.5621467,-93.71644579
1.316,43.86490116,169.7567966,-93.09750582,169.6979165,102.3813713,-93.85261653
1.317,43.78706256,169.6104903,-93.23368444,169.5516345,102.2005971,-93.98870078
1.318,43.709264,169.4641811,-93.36977907,169.4053501,102.0198239,-94.12469859
1.319,43.63150554,169.3178692,-93.50578975,169.2590633,101.8390517,-94.26060999
1.32,43.55378724,169.1715544,-93.6417165,169.1127742,101.6582806,-94.39643503
1.321,43.47610915,169.0252369,-93.77755934,168.9664827,101.4775104,-94.53217373
1.322,43.39847133,168.8789166,-93.91331831,168.8201888,101.2967413,-94.66782615
