Freq [GHz],S11 Phase(deg),S21 Phase(deg),S22 Phase(deg),S31 Phase(deg),S32 Phase(deg),S33 Phase(deg)
2.582,-22.80710299,-17.14570867,112.4581127,-17.16038487,-126.0601554,112.4319351
2.583,-22.89205265,-17.29325582,112.3225559,-17.3080162,-126.2393573,112.2954406
2.584,-22.97711875,-17.44080064,112.1869831,-17.45564531,-126.4185568,112.1589253
2.585,-23.06230108,-17.58834314,112.0513946,-17.60327222,-126.5977539,112.022389
2.586,-23.14759942,-17.73588331,111.9157904,-17.75089692,-126.7769487,111.885832
2.587,-23.23301355,-17.88342117,111.7801705,-17.89851942,-126.9561412,111.7492542
2.588,-23.31854327,-18.03095671,111.6445349,-18.0461397,-127.1353314,111.6126558
2.589,-23.40418834,-18.17848992,111.5088839,-18.19375778,-127.3145192,111.4760368
2.59,-23.48994856,-18.32602082,111.3732174,-18.34137365,-127.4937048,111.3393972
2.591,-23.57582371,-18.47354941,111.2375354,-18.48898732,-127.672888,111.2027371
2.592,-23.66181358,-18.62107568,111.1018382,-18.63659878,-127.852069,111.0660567
2.593,-23.74791793,-18.76859963,110.9661256,-18.78420803,-128.0312477,110.9293559
2.594,-23.83413657,-18.91612127,110.8303979,-18.93181508,-128.2104241,110.7926348
2.595,-23.92046928,-19.0636406,110.694655,-19.07941992,-128.3895982,110.6558935
2.596,-24.00691583,-19.21115762,110.558897,-19.22702256,-128.5687701,110.519132
2.597,-24.09347601,-19.35867233,110.423124,-19.374623,-128.7479397,110.3823505
2.598,-24.18014962,-19.50618473,110.2873361,-19.52222123,-128.9271071,110.2455489
2.599,-24.26693642,-19.65369482,110.1515333,-19.66981726,-129.1062723,110.1087274
2.6,-24.35383621,-19.80120261,110.0157157,-19.81741109,-129.2854352,109.971886
2.601,-24.44084877,-19.94870809,109.8798834,-19.96500271,-129.464596,109.8350247
2.602,-24.52797388,-20.09621127,109.7440363,-20.11259214,-129.6437545,109.6981437
2.603,-24.61521134,-20.24371215,109.6081747,-20.26017936,-129.8229108,109.5612429
2.604,-24.70256092,-20.39121073,109.4722985,-20.40776439,-130.0020649,109.4243226
